random_id,condition,feature1,feature2,exemplar,target1,target2,exemplar_label,target1_choice,target2_choice,chosen_target,correct,chosen_feature,trial_index,time_elapsed,rt
e2e7hrtwex,fmgb,gene,line,b,fbs,ds,awupav,awupav,etupol,fbs,Y,gene,42,558945,9595
e2e7hrtwex,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,579673,12200
7x8wqs3xu3,mfgb,gend,gcr,bd,zd,bs,awupav,awupav,etupol,zd,Y,gend,22,157922,12816
7x8wqs3xu3,mfgb,gene,line,s,bs,mf,qïru,qïru,kïmy,bs,Y,gene,26,176488,10022
7x8wqs3xu3,mfgb,gene,gend,mbd,mbs,mz,kawuka,goviku,kawuka,mz,N,gend,30,193786,8757
7x8wqs3xu3,mfgb,line,gcr,fzs,mb,ff,aweh,aweh,øqoç,mb,Y,line,34,209481,7153
7x8wqs3xu3,mfgb,gend,line,fm,fz,ss,rymsvå,rymsvå,kvurdå,fz,Y,gend,38,229958,11936
7x8wqs3xu3,mfgb,gene,gcr,mm,fm,dd,šïenö,šïenö,cöhido,fm,Y,gene,42,248084,9578
7x8wqs3xu3,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,268223,11589
xtg5e8kohy,fmgb,gene,gcr,mf,ff,ds,rymsvå,rymsvå,kvurdå,ff,Y,gene,22,389589,20610
xtg5e8kohy,fmgb,gend,gcr,fb,mf,fm,qïru,qïru,kïmy,mf,Y,gend,26,409050,10858
xtg5e8kohy,fmgb,gene,gend,mzs,mbd,mb,šïenö,cöhido,šïenö,mb,N,gend,30,424538,6719
xtg5e8kohy,fmgb,gene,line,z,mzd,sd,etupol,etupol,awupav,mzd,Y,gene,34,437765,4553
xtg5e8kohy,fmgb,gend,line,mb,mf,zd,kawuka,kawuka,goviku,mf,Y,gend,38,451902,5503
xtg5e8kohy,fmgb,line,gcr,ds,ff,zs,øqoç,øqoç,aweh,ff,Y,line,42,471544,11035
xtg5e8kohy,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,494079,13902
se4s3fpt3l,mfgb,gend,gcr,fz,mz,fb,kvurdå,kvurdå,rymsvå,mz,Y,gend,22,870388,43121
se4s3fpt3l,mfgb,gend,line,mz,mm,mzs,aweh,øqoç,aweh,mzs,N,line,26,903469,24539
se4s3fpt3l,mfgb,line,gcr,ds,ff,mbs,cöhido,cöhido,šïenö,ff,Y,line,30,946989,34971
se4s3fpt3l,mfgb,gene,gcr,mbs,fbs,zs,kïmy,qïru,kïmy,zs,N,gcr,34,984908,29374
se4s3fpt3l,mfgb,gene,line,s,bs,ds,awupav,etupol,awupav,ds,N,line,38,1012442,18988
se4s3fpt3l,mfgb,gene,gend,fzs,fzd,fb,goviku,goviku,kawuka,fzd,Y,gene,42,1074994,54007
se4s3fpt3l,mfgb,attn,NA,zs,bs,mbs,nephew,cousin,nephew,mbs,N,NA,46,1105831,22294
lwa70gkqlm,fmbg,gene,line,b,mzs,ff,rymsvå,kvurdå,rymsvå,ff,N,line,22,151093,13998
lwa70gkqlm,fmbg,line,gcr,dd,fm,mzd,etupol,awupav,etupol,mzd,N,gcr,26,168110,8445
lwa70gkqlm,fmbg,gene,gcr,fb,mb,bs,goviku,goviku,kawuka,mb,Y,gene,30,187475,10822
lwa70gkqlm,fmbg,gene,gend,zs,zd,mbs,šïenö,cöhido,šïenö,mbs,N,gend,34,201883,5840
lwa70gkqlm,fmbg,gend,line,zs,mf,zd,kïmy,qïru,kïmy,zd,N,line,38,226317,15894
lwa70gkqlm,fmbg,gend,gcr,sd,dd,ss,øqoç,øqoç,aweh,dd,Y,gend,42,260174,25319
lwa70gkqlm,fmbg,attn,NA,zs,bs,mbs,nephew,cousin,nephew,mbs,N,NA,46,280445,11724
rrqf0gdbje,mfgb,line,gcr,fzs,zs,ss,kvurdå,kvurdå,rymsvå,zs,Y,line,22,294352,35535
rrqf0gdbje,mfgb,gene,gend,bd,bs,fbd,øqoç,aweh,øqoç,fbd,N,gend,26,323199,20272
rrqf0gdbje,mfgb,gene,gcr,mbs,fzs,zs,qïru,qïru,kïmy,fzs,Y,gene,30,354296,22530
rrqf0gdbje,mfgb,gend,gcr,mb,ff,mm,goviku,goviku,kawuka,ff,Y,gend,34,395576,32702
rrqf0gdbje,mfgb,gend,line,fz,fm,fzs,cöhido,šïenö,cöhido,fzs,N,line,38,417431,13288
rrqf0gdbje,mfgb,gene,line,b,mzs,ff,etupol,awupav,etupol,ff,N,line,42,454191,28170
rrqf0gdbje,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,492719,29975
eps6ss0col,fmgb,gene,gend,mzd,mbs,mz,kvurdå,kvurdå,rymsvå,mbs,Y,gene,22,367599,83978
eps6ss0col,fmgb,gend,line,mf,mzs,dd,awupav,awupav,etupol,mzs,Y,gend,26,396551,20413
eps6ss0col,fmgb,gene,gcr,bs,zs,fbs,cöhido,cöhido,šïenö,zs,Y,gene,30,417815,12718
eps6ss0col,fmgb,line,gcr,fbs,mb,ff,qïru,kïmy,qïru,ff,N,gcr,34,438223,11856
eps6ss0col,fmgb,gene,line,s,zs,ss,øqoç,øqoç,aweh,zs,Y,gene,38,464727,17960
eps6ss0col,fmgb,gend,gcr,fbs,mzs,fbd,goviku,kawuka,goviku,fbd,N,gcr,42,483959,10690
eps6ss0col,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,506213,13722
4st61y1cy1,mfbg,gene,gcr,mz,fz,mzd,cöhido,cöhido,šïenö,fz,Y,gene,22,259895,10582
4st61y1cy1,mfbg,line,gcr,mm,sd,mbd,awupav,awupav,etupol,sd,Y,line,26,282285,13824
4st61y1cy1,mfbg,gene,line,d,zd,fm,rymsvå,rymsvå,kvurdå,zd,Y,gene,30,299492,8626
4st61y1cy1,mfbg,gene,gend,fzd,fbs,fz,goviku,goviku,kawuka,fbs,Y,gene,34,314659,6549
4st61y1cy1,mfbg,gend,line,bd,fm,fbs,aweh,øqoç,aweh,fbs,N,line,38,329753,6525
4st61y1cy1,mfbg,gend,gcr,zd,bd,zs,qïru,qïru,kïmy,bd,Y,gend,42,342195,3893
4st61y1cy1,mfbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,357393,6633
tax0qno0lj,fmgb,gend,line,mb,mf,mbd,goviku,goviku,kawuka,mf,Y,gend,22,186595,67337
tax0qno0lj,fmgb,gend,gcr,mz,fm,mf,qïru,qïru,kïmy,fm,Y,gend,26,203373,8203
tax0qno0lj,fmgb,gene,gcr,fb,mb,fzs,øqoç,øqoç,aweh,mb,Y,gene,30,219395,7423
tax0qno0lj,fmgb,line,gcr,ss,mf,fb,etupol,awupav,etupol,fb,N,gcr,34,267821,39870
tax0qno0lj,fmgb,gene,line,z,fzd,mm,šïenö,šïenö,cöhido,fzd,Y,gene,38,282616,6191
tax0qno0lj,fmgb,gene,gend,mbs,mbd,mb,kvurdå,kvurdå,rymsvå,mbd,Y,gene,42,297521,6323
tax0qno0lj,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,314030,7922
qf1tg5r1zt,mfgb,gend,line,zs,mf,zd,šïenö,šïenö,cöhido,mf,Y,gend,22,257396,45441
qf1tg5r1zt,mfgb,line,gcr,ff,ds,fbs,qïru,kïmy,qïru,fbs,N,gcr,26,443636,177668
qf1tg5r1zt,mfgb,gene,gcr,mzs,fbs,zs,kawuka,kawuka,goviku,fbs,Y,gene,30,467623,15404
qf1tg5r1zt,mfgb,gene,line,d,zd,fm,aweh,aweh,øqoç,zd,Y,gene,34,486152,9937
qf1tg5r1zt,mfgb,gend,gcr,bd,zd,bs,rymsvå,rymsvå,kvurdå,zd,Y,gend,38,505693,10949
qf1tg5r1zt,mfgb,gene,gend,mbd,mzs,mz,awupav,etupol,awupav,mz,N,gend,42,529465,15198
qf1tg5r1zt,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,547431,9365
lm8n50npeg,mfbg,gend,gcr,fb,mf,fm,rymsvå,rymsvå,kvurdå,mf,Y,gend,22,720738,16362
lm8n50npeg,mfbg,gene,line,z,mzd,fm,goviku,goviku,kawuka,mzd,Y,gene,26,735210,5921
lm8n50npeg,mfbg,gene,gend,fzs,fbd,fb,etupol,etupol,awupav,fbd,Y,gene,30,754553,10791
lm8n50npeg,mfbg,line,gcr,dd,fm,mzd,cöhido,šïenö,cöhido,mzd,N,gcr,34,775106,11998
lm8n50npeg,mfbg,gene,gcr,sd,dd,fm,qïru,qïru,kïmy,dd,Y,gene,38,791278,7615
lm8n50npeg,mfbg,gend,line,mm,mbd,ds,øqoç,øqoç,aweh,mbd,Y,gend,42,807023,7185
lm8n50npeg,mfbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,825709,10123
0qlo4a21l3,fmbg,gend,line,fb,ff,fzd,rymsvå,rymsvå,kvurdå,ff,Y,gend,22,133394,19333
0qlo4a21l3,fmbg,line,gcr,mf,ss,mbs,awupav,etupol,awupav,mbs,N,gcr,26,180834,38878
0qlo4a21l3,fmbg,gend,gcr,sd,dd,ss,aweh,aweh,øqoç,dd,Y,gend,30,201226,11842
0qlo4a21l3,fmbg,gene,gend,mzs,mbd,mb,goviku,goviku,kawuka,mbd,Y,gene,34,217076,7305
0qlo4a21l3,fmbg,gene,line,z,fzd,dd,šïenö,šïenö,cöhido,fzd,Y,gene,38,252810,27181
0qlo4a21l3,fmbg,gene,gcr,fz,mz,fzd,kïmy,kïmy,qïru,mz,Y,gene,42,268011,6652
