pref_name_for_society,glottocode,Value
!Kung,juho1239,Bilateral
Dorobo,okie1245,Patrilineal
Nama,nama1265,Patrilineal
Bergdama,dama1270,Bilateral
Mbuti,bila1255,Bilateral
Sandawe,sand1273,Patrilineal
Naron,naro1249,Bilateral
/Xam,xamm1241,Bilateral
Hadza,hadz1240,Bilateral
Herero,here1253,Duolateral
Pondo Xhosa,mpon1252,Patrilineal
Xhosa Ngqika,xesi1238,Patrilineal
Zulu,zulu1248,Patrilineal
Tswana,tswa1253,Quasi-lineages
Lovedu,lobe1242,Patrilineal
Pedi,tswe1238,Patrilineal
Lenge,leng1257,Patrilineal
Ndau,ndau1241,Duolateral
Shona,shon1251,Mixed
Ambo,ndon1254,Matrilineal
Swazi,swat1243,Patrilineal
Ngumbi,nkhu1238,Matrilineal
Kisama,sama1300,Patrilineal
Bomvana,bomv1238,Patrilineal
Chopi,copi1238,Patrilineal
Lozi,lozi1239,Ambilineal
Tsonga,tson1249,Patrilineal
Mbundu,umbu1257,Duolateral
Venda,vend1245,Duolateral
Nyaneka,nyan1305,Matrilineal
Sotho,sout2807,Patrilineal
Ndebele,nort2795,Patrilineal
Ila,ilaa1246,Duolateral
Chewa,chew1246,Matrilineal
Luvale,luva1239,Matrilineal
Chokwe,chok1245,Matrilineal
Tonga,tong1321,Matrilineal
Bakongo,sans1272,Matrilineal
Mbala,mbal1257,Matrilineal
Mitsogho,tsog1243,Matrilineal
Suku,suku1259,Matrilineal
Sundi,koon1244,Matrilineal
Teke,teke1278,Matrilineal
Pende,phen1239,Matrilineal
Yaka,yaka1269,Matrilineal
Bunda,mpuo1241,Matrilineal
Dzing,ding1239,Matrilineal
Lele,lele1265,Matrilineal
Sakata,saka1287,Matrilineal
Songo,song1299,Matrilineal
Yanzi,yans1239,Matrilineal
Luchazi,luch1239,Matrilineal
Luimbe,luim1238,Matrilineal
Luwa,sond1250,Matrilineal
Bemba,town1238,Mixed
Plateau Tonga,tong1318,Matrilineal
Buye,buyu1239,Matrilineal
Kaonde,kaon1241,Matrilineal
Lala,lala1264,Matrilineal
Luapula,luun1238,Matrilineal
Shila,luba1250,Matrilineal
Tumbuka,tumb1250,Patrilineal
Kunda,kund1255,Matrilineal
Nyanja,nucl1395,Matrilineal
Nyasa,mwer1247,Matrilineal
Kuba,bush1247,Matrilineal
Sena,nucl1396,Matrilineal
Makonde,mako1251,Matrilineal
