pref_name_for_society,glottocode,Value
Makua,makh1264,Matrilineal
Mambwe,mamb1296,Patrilineal
Lamba,lamb1271,Matrilineal
Ndembu,lund1266,Matrilineal
Yao,yaoo1241,Matrilineal
Yombe,yomb1244,Matrilineal
Ngoni,ngon1269,Quasi-lineages
Bajuni,baju1245,Patrilineal
Shambaa,sham1280,Patrilineal
Bena,bena1262,Mixed
Gusii,gusi1247,Patrilineal
Kiga,chig1238,Patrilineal
Luguru,lugu1238,Matrilineal
Iwa,nyam1275,Patrilineal
Ngonde,ngon1268,Patrilineal
Safwa,safw1238,Patrilineal
Bende,bend1258,Patrilineal
Fipa,fipa1238,Patrilineal
Nyoro,nyor1246,Patrilineal
Nyamwezi,nyam1276,Ambilineal
Pimbwe,pimb1238,Patrilineal
Sukuma,suku1261,Ambilineal
Sangu,sang1330,Patrilineal
Gogo,gogo1263,Patrilineal
Rangi,lang1320,Matrilineal
Turu,nyat1246,Patrilineal
Kwere,kwer1261,Matrilineal
Zigula,zigu1242,Matrilineal
Hadimu,pemb1239,Ambilineal
Chagga,moch1256,Patrilineal
Digo,digo1243,Duolateral
Duruma,duru1249,Duolateral
Giriama,giry1241,Patrilineal
Pokomo,poko1261,Patrilineal
Kamba,kamb1297,Patrilineal
Meru,meru1245,Patrilineal
Pare,asut1235,Patrilineal
Teita,tait1250,Patrilineal
Kara,kara1481,Patrilineal
Sonjo,temi1247,Patrilineal
Kikuyu,kiku1240,Patrilineal
Tiriki,idak1243,Patrilineal
Vugusu,buku1249,Patrilineal
Haya,haya1250,Patrilineal
Kerewe,kere1283,Patrilineal
Konjo,konz1239,Patrilineal
Nyankole,nyan1307,Mixed
Soga,soga1242,Patrilineal
Sumbwa,sumb1240,Patrilineal
Toro,toor1238,Patrilineal
Zinza,zinz1238,Patrilineal
Mbugwe,mbug1242,Duolateral
Kaguru,kagu1239,Matrilineal
Ngulu,ngul1246,Matrilineal
Nyakyusa,nyak1261,Mixed
Ganda,gand1255,Patrilineal
Hehe,hehe1240,Patrilineal
Gisu,masa1299,Patrilineal
Amba,amba1263,Patrilineal
Banyaruanda,kiny1244,Patrilineal
Songola,song1300,Patrilineal
Duala,dual1243,Patrilineal
Bashi,shii1238,Patrilineal
Ha,haaa1252,Patrilineal
Hunde,hund1239,Patrilineal
Lulua,luba1249,Patrilineal
Rega,lega1249,Patrilineal
Songye,song1303,Patrilineal
Garanganze,sang1331,Patrilineal
Kpe,mokp1239,Duolateral
Ekonda,ekon1238,Patrilineal
Kela,yela1238,Patrilineal
Kutsu,kusu1252,Patrilineal
Lalia,ngan1302,Patrilineal
Mongo,long1393,Patrilineal
Tetela,tete1250,Patrilineal
Topoke,poke1238,Patrilineal
Lokele,kele1255,Patrilineal
Ngala,ling1263,Patrilineal
Poto,luse1252,Patrilineal
Fang,fang1246,Patrilineal
Bira,bila1255,Patrilineal
Budu,budu1250,Patrilineal
Kumu,komo1260,Patrilineal
Ndaka Babali,bali1274,Patrilineal
Plains Bira,bera1259,Patrilineal
Rumbi,lomb1254,Patrilineal
Bombesa,mbes1238,Patrilineal
Budja,budz1238,Patrilineal
Ndoko,doko1244,Matrilineal
Ngombe,binj1250,Patrilineal
Nkundo,nkun1238,Duolateral
Dzem,njye1238,Duolateral
Kota,ndas1238,Patrilineal
Ngumba,kwas1243,Patrilineal
Sanga,bomw1238,Patrilineal
Bubi,bube1242,NA
Kundu,orok1266,Patrilineal
Mpongwe,myen1241,Matrilineal
Puku,bata1285,Patrilineal
Bafia,bafi1243,Patrilineal
Bali Nyonga,mung1266,Patrilineal
Bamileke,fefe1239,Patrilineal
Bamum,bamu1253,Patrilineal
Banen,tune1261,Patrilineal
Fungom,mmen1238,Patrilineal
Koko,bako1249,Patrilineal
Kom,komc1235,Matrilineal
Ndob,band1349,Patrilineal
Nsaw,lamn1239,Patrilineal
Nsungli,limb1268,Patrilineal
Tikar,tige1238,Patrilineal
Widikum,meta1238,Patrilineal
Luba,luba1250,Patrilineal
Baboa,bwaa1238,Patrilineal
Rundi,rund1242,Patrilineal
Fut,bafu1246,Patrilineal
Fon,fonn1241,Patrilineal
Igbo,nucl1417,Patrilineal
Toma,toma1245,Patrilineal
Akyem,akye1239,Matrilineal
Ebira,ebir1243,Patrilineal
Sherbro,sher1258,Matrilineal
Kpelle,libe1247,Patrilineal
Banyang,keny1279,Patrilineal
Boki,boky1238,NA
Ekoi,ejag1239,Patrilineal
Efik,efik1245,Patrilineal
Kissi,nort2765,Patrilineal
Ibibio,ibib1240,Patrilineal
Ijaw,kala1381,Ambilineal
Itsekiri,isek1239,Mixed
Afikpo,afik1238,Duolateral
Edo,bini1246,Patrilineal
Isoko,isok1239,Patrilineal
Kukuruku,yekh1238,Ambilineal
Eloyi,eloy1241,Patrilineal
Gbagyi,gbar1246,Patrilineal
Idoma,idom1241,Patrilineal
Ashanti,asan1239,Duolateral
Igala,igal1242,Patrilineal
Koro,ashe1269,Patrilineal
Egba,egba1238,Patrilineal
Ekiti,ekit1244,Patrilineal
Ife,ifee1241,Patrilineal
Adangme,adan1247,Duolateral
Ewe,aguu1242,Patrilineal
Buem,siwu1238,Patrilineal
Abron,abro1238,Matrilineal
Anyi,anyi1245,Matrilineal
Yako,loka1252,Duolateral
Assini,abur1243,Matrilineal
Attie,atti1239,NA
Fante,fant1241,Duolateral
Ga,gaaa1244,Patrilineal
Alagya,alla1248,Matrilineal
Avikam,avik1243,Matrilineal
Bakwe,bakw1243,Patrilineal
Krahn,west2488,Patrilineal
Kru,klao1243,Patrilineal
Sapo,sapo1251,Patrilineal
Mende,mend1266,Patrilineal
Dan,dann1241,Patrilineal
Gagu,gagu1242,Patrilineal
Guro,guro1248,Patrilineal
Tura,tour1242,Patrilineal
Gbande,band1352,Patrilineal
Gola,gola1255,Patrilineal
Ngere,dann1241,Patrilineal
Temne,timn1235,Patrilineal
Vai,vaii1241,Patrilineal
Oyo Yoruba,oyoo1238,Mixed
Bete,dalo1238,Patrilineal
Nupe,nupe1254,Patrilineal
Baule,baou1238,Matrilineal
Bambara,bamb1269,Patrilineal
Konkomba,konk1269,Patrilineal
Lobi,lobi1245,Matrilineal
Nankanse,nank1249,Duolateral
Kasena,kase1253,Patrilineal
Baga,mbul1258,Patrilineal
Balanta,bala1301,Patrilineal
Banyun,bain1259,Patrilineal
Biafada,biaf1240,Patrilineal
Bijogo,bidy1244,Matrilineal
Diola,ejam1238,Patrilineal
Mossi (Yatenga),moss1236,Patrilineal
Papel,pape1239,Patrilineal
Bassari,bass1258,Matrilineal
Serer,sere1260,Duolateral
Kasonke,xaas1235,Patrilineal
Koranko,kura1250,Patrilineal
Soninke,soni1259,Patrilineal
Susu,susu1250,Patrilineal
Diula,dyul1238,Patrilineal
Nononke,jena1242,NA
Samo,sout2844,Patrilineal
Dogon,bank1259,Patrilineal
Bobo,nort2819,Patrilineal
Minianka,mama1271,Patrilineal
Senufo,ceba1235,Patrilineal
Dyan,dyan1251,NA
Dorosie,dogo1295,Matrilineal
Kulango,boun1243,Matrilineal
Lowiili,sout2790,Duolateral
Awuna,angl1262,Patrilineal
Builsa,buli1254,Duolateral
Dagara,sout2789,Duolateral
Tallensi,taln1239,Duolateral
Isala,tumu1242,Duolateral
Kusasi,kusa1250,Duolateral
Nunuma,sout2795,Patrilineal
Vagala,vagl1239,Patrilineal
Dagomba,dagb1246,Duolateral
Gurma,gour1243,Patrilineal
Manprusi,mamp1244,Duolateral
Mossi (Ouagadougou),moss1236,Patrilineal
Basari,ntch1242,Patrilineal
Kabre,kabi1261,Patrilineal
Birifor,sout2790,Duolateral
Moba,moba1244,Patrilineal
Somba,dita1238,Patrilineal
Tem,temm1241,Patrilineal
Bisa,biss1248,Patrilineal
Yalunka,yalu1240,Patrilineal
Futajalonke,pula1262,Patrilineal
Bozo,tiey1235,Patrilineal
Coniagui,wame1240,Matrilineal
Malinke,kita1249,Patrilineal
Katab,kata1265,Patrilineal
Chawai,atsa1241,Patrilineal
Basa,basa1282,Patrilineal
Basakomo,basa1282,Patrilineal
Dakakari,clel1238,NA
Kamuku,cind1241,Patrilineal
Reshe,resh1242,Patrilineal
Angas,ngas1240,Patrilineal
Birom,bero1242,Patrilineal
Burmawa,bogh1241,Patrilineal
Adara,kada1284,Patrilineal
Jukun,juku1254,Ambilineal
Kagoro,kago1246,Patrilineal
Kurama,kura1249,Patrilineal
Yergum,taro1263,NA
Jibu,jibu1239,Ambilineal
Kentu,etky1238,Patrilineal
Tigon,tigo1236,Patrilineal
Ndoro,ndoo1241,Matrilineal
Zuande,bita1251,Patrilineal
Chamba,samb1305,Duolateral
Daka,samb1311,Matrilineal
Tiv,tivv1240,Mixed
Longuda,long1389,Matrilineal
Mumuye,nucl1240,Patrilineal
Vere,momj1237,Ambilineal
Yungur,bena1260,Patrilineal
Bata,bata1314,Patrilineal
Bura,bura1292,Patrilineal
Gude,gude1246,Patrilineal
Hwana,hwan1240,Patrilineal
Kapsiki,psik1239,Patrilineal
Podokwo,park1239,Patrilineal
Mambila,came1252,Ambilineal
Margi,marg1265,Patrilineal
Gure,gbir1241,Matrilineal
Mafa,mafa1239,Patrilineal
Bafute,vute1244,Patrilineal
Anaguta,igut1238,Patrilineal
Banda,west2458,Patrilineal
Otoro,otor1240,Patrilineal
Mangbetu,nucl1420,Patrilineal
Fali,sout2782,Patrilineal
Laka,laka1254,Patrilineal
Mbum,mbum1254,Patrilineal
Mundang,mund1325,Patrilineal
Namshi,doya1240,NA
Gisiga,sout3051,Patrilineal
Kotoko,lagw1237,NA
Musgu,musg1254,Patrilineal
Nyaro,kooo1244,Duolateral
Tupuri,tupu1244,Patrilineal
Bagirmi,bagi1246,Patrilineal
Sara,sarr1246,Patrilineal
Bwaka,ngba1284,Patrilineal
Mandja,manz1243,Patrilineal
Mbandja,mban1263,Patrilineal
Ngbandi,nort2774,Patrilineal
Abarambo,bara1361,Patrilineal
Popoi,popo1291,Patrilineal
Lendu,lend1245,Patrilineal
Azande,zand1248,Patrilineal
Lese,lese1243,Patrilineal
Logo,logo1259,Patrilineal
Lugbara,lugb1240,Patrilineal
Madi,madi1260,Patrilineal
Moru,moru1253,Patrilineal
Bongo,bong1285,Patrilineal
Jur,luwo1239,Patrilineal
Koalib,koal1240,Patrilineal
Korongo,kron1241,Matrilineal
Mesakin,ngil1242,Matrilineal
Ingassana,gaam1241,Ambilineal
Moro,moro1285,Patrilineal
Tira,tira1254,Patrilineal
Tullishi,tuli1249,Duolateral
Nyimang,amas1236,Patrilineal
Anuak,anua1242,Patrilineal
Meban,maba1273,Patrilineal
Koma,komo1258,Patrilineal
Mao,hozo1236,Patrilineal
Mamvu,mamv1243,Patrilineal
Shilluk,shil1265,Patrilineal
Gbaya,nort2775,Patrilineal
Dilling,dill1242,Patrilineal
Masa,masa1322,Patrilineal
Teso,teso1249,Patrilineal
Acholi,dhop1238,Patrilineal
Dinka,sout2832,Patrilineal
Lotuko,otuh1238,Patrilineal
Pojulu,poju1239,Patrilineal
Kakwa,kakw1240,Patrilineal
Kuku,kuku1285,Patrilineal
Mondari,mand1425,Patrilineal
Alur,alur1250,Patrilineal
Bodi,meen1242,Patrilineal
Didinga,didi1258,Patrilineal
Maasi,masa1300,Patrilineal
Suri,suri1267,Patrilineal
Jie,jiee1239,Patrilineal
Labwor,labw1238,Patrilineal
Plains Suk,east2420,Patrilineal
Toposa,topo1242,Patrilineal
Keyu,keiy1238,Patrilineal
Hill Suk,west2492,Patrilineal
Sapei,kups1238,Patrilineal
Tatoga,dato1239,Patrilineal
Samburu,samb1315,Patrilineal
Nuer,nuer1246,Patrilineal
Karamojong,nucl1430,Patrilineal
Pari,pari1256,Patrilineal
Lango,lang1324,Patrilineal
Turkana,turk1308,Patrilineal
Luo,luok1236,Patrilineal
Nandi,nand1266,Mixed
Bari,ligo1238,Patrilineal
Kipsigis,kips1239,Patrilineal
Konso,kons1243,Patrilineal
Somali (Esa),nort3051,Patrilineal
Arusi,bora1271,Patrilineal
Gibe,west2721,Patrilineal
Macha,west2721,Mixed
Burji,burj1242,Patrilineal
Darasa,gede1246,Patrilineal
Sidama,sida1246,Patrilineal
Tsamai,tsam1247,Patrilineal
Arbore,arbo1245,Patrilineal
Banna,hame1242,Patrilineal
Somali (Dolbahanta),nort3051,Patrilineal
Galab,daas1238,Patrilineal
Hamar,hame1242,Patrilineal
Male,male1284,Patrilineal
Bako,aari1239,Patrilineal
Dime,dime1235,Patrilineal
Shangama,aari1239,Patrilineal
Ubamer,aari1239,Patrilineal
Anfillo,anfi1235,Patrilineal
Basketo,bask1236,Patrilineal
Yem,toba1264,Patrilineal
Tigrinya,tigr1271,Mixed
Kafa,kafa1242,Patrilineal
Beta Israel,qima1242,Bilateral
Nara,nara1262,Matrilineal
Kunama,kuna1268,Matrilineal
Ababda,abab1239,Patrilineal
Amarar,amar1281,Patrilineal
Beni-Amer,mans1267,Patrilineal
Blin,bili1260,NA
Tigre,mans1267,Patrilineal
Jimma,west2721,Patrilineal
Iraqw,iraq1241,Duolateral
Baditu,koor1239,Patrilineal
Dorse,dorz1235,Patrilineal
Shako,shek1245,Patrilineal
Hadendowa,hade1248,Patrilineal
Bisharin,bish1251,Patrilineal
Afar,afar1241,Patrilineal
Amhara,amha1245,Bilateral
Gurage,seba1251,Patrilineal
Goroa,goro1270,Patrilineal
Maguzawa,kano1249,Patrilineal
Karekare,kare1348,Patrilineal
Midobi,mido1240,Matrilineal
Gimma,nort3133,Patrilineal
Habbaniya,nort3133,Patrilineal
Hemat,bath1248,Patrilineal
Messiria Humr,tama1331,Patrilineal
Shuwa,char1283,Patrilineal
Fur,furr1244,Matrilineal
Kanembu,kane1243,Bilateral
Kanuri,cent2050,Bilateral
Wolof,nucl1347,Duolateral
Zerma,zarm1239,Patrilineal
Djafun,adam1253,Patrilineal
Liptako,west2454,Patrilineal
Tukulor,pula1263,Patrilineal
Wodaabe Fulani,boro1274,Patrilineal
Tazarawa Hausa,arew1238,Patrilineal
Zazzagawa Hausa,haus1257,Patrilineal
Bachama,baca1246,Patrilineal
Dera,dera1248,Duolateral
Ngizim,ngiz1242,Patrilineal
Songhai,koyr1242,Patrilineal
Hasania,khar1296,Patrilineal
Buduma,budu1265,Patrilineal
Tera,tera1251,Patrilineal
Bolewa,nucl1695,Patrilineal
Bororo Fulani,boro1274,Bilateral
Hausa Kanawa,kano1249,Patrilineal
Regeibat,hass1238,Patrilineal
Asben,taya1257,Matrilineal
Azjer,ghat1242,Matrilineal
Ifora,tadh1242,NA
Udalan Tuareg,timb1263,Matrilineal
Daza,daza1242,Patrilineal
Drawa,susi1238,Patrilineal
Chaambra,algi1247,Patrilineal
Delim,hass1238,Patrilineal
Kunta,hass1238,Patrilineal
Trarza,hass1238,Patrilineal
Teda,teda1241,Patrilineal
Zenaga,zena1248,Patrilineal
Siwans,siwi1239,Patrilineal
Mzab,tumz1238,Patrilineal
Kel Antessar,timb1263,Matrilineal
Kababish,nort3133,Patrilineal
Barabish,hass1238,Patrilineal
Aulliminden,ioul1238,NA
Tuareg Ahaggar,hogg1238,Matrilineal
Barabra,kenu1236,Patrilineal
Zekara,tari1263,Patrilineal
Guanche,guan1277,Matrilineal
Algerians,algi1247,Patrilineal
Hamama,sout3114,Patrilineal
Hamyan,oran1236,Patrilineal
Jebala,jebl1238,Patrilineal
Moroccans,sout3117,Patrilineal
Nail,cons1245,Patrilineal
Saadi,said1239,Patrilineal
Sahel,sahi1245,Patrilineal
Egyptians,egyp1253,Patrilineal
Sanusi,liby1240,Patrilineal
Tunisians,tuni1260,Patrilineal
Riffians,tari1263,Patrilineal
Kabyle,kaby1243,Patrilineal
Shluh,susi1238,Patrilineal
Ancient Egyptians,egyp1246,Bilateral
Beraber,cent2194,Patrilineal
Shawiya,tach1249,Patrilineal
Tekna,hass1238,Patrilineal
Gheg,gheg1238,Mixed
Portuguese,gali1257,Bilateral
Ancient Romans,lati1261,Bilateral
French Basques,labo1236,Bilateral
Neapolitans,neap1235,Bilateral
Spaniards,stan1288,Bilateral
Greeks,mode1248,Bilateral
Spanish Basques,west1508,Bilateral
New Englanders,stan1293,Bilateral
Boers,afri1274,Bilateral
Tristan da Cunha,stan1293,Bilateral
Brazilians,braz1246,Bilateral
French Canadians,queb1247,Bilateral
Dutch,dutc1256,Bilateral
Icelanders,icel1247,Bilateral
Irish,iris1253,Bilateral
Sami,nort2671,Bilateral
Walloons,wall1255,Bilateral
Serbs,serb1264,Patrilineal
Romanians,baya1255,Bilateral
Russians,russ1263,Bilateral
Bashkir,bash1264,Mixed
Besermyan,nort2676,Mixed
Chuvash,chuv1255,Bilateral
Erzya Mordvins,erzy1239,Mixed
Estonians,esto1258,Bilateral
Gagauz,gaga1249,Bilateral
Ingrians,ingr1248,Bilateral
Karelians,livv1243,Mixed
Hutsuls,sout2604,Bilateral
Kazan tatar,midd1325,Bilateral
Latvians,latv1249,Bilateral
Lithuanian Karaim,kara1464,Bilateral
Lithuanian Tatar,west2405,Bilateral
Livs,livv1244,Bilateral
Moldovans,mold1248,Bilateral
Udmurt,sout2681,Mixed
Veps,veps1250,Bilateral
Votes,voti1245,Bilateral
Czechs,czec1258,Bilateral
Mari,east2328,Bilateral
Bulgarians,bulg1262,Bilateral
Byelorussians,bela1254,Bilateral
Ukrainians,east2270,Bilateral
Magyar,hung1274,Bilateral
Lithuanians,lith1251,Bilateral
Kalmyk,kalm1243,Patrilineal
Armenians,nucl1235,Bilateral
Kurd,cent1972,Mixed
Abkhaz,abkh1244,Patrilineal
Khevsur,xevs1238,Patrilineal
Kumyk,kumy1244,Bilateral
Cherkess,kaba1278,Patrilineal
Turks,nucl1301,Patrilineal
Ossetians,digo1242,Patrilineal
Chechen,chec1245,Patrilineal
Georgians,imer1248,NA
Svan,svan1243,Patrilineal
Syrians,nort3142,Patrilineal
Madan,meso1252,Patrilineal
Rwala,east2690,Mixed
Hebrews,anci1244,Patrilineal
Babylonians,akka1240,Bilateral
Mutair,sout3119,Patrilineal
Jordanians,sout3123,Patrilineal
Lebanese,nort3139,Patrilineal
Druze,sunn1238,Patrilineal
Yemeni,sana1295,Patrilineal
Sindhi,sind1272,Patrilineal
Marri,east2304,Patrilineal
Ghilzai,ghil1238,Patrilineal
Qashqui,qash1240,Patrilineal
Punjabi,west2386,Patrilineal
Yusufzai,yusu1238,Mixed
Hazara,haza1239,Patrilineal
Kohistani,indu1241,Patrilineal
Nuristani,kamv1242,Patrilineal
Basseri,bass1257,Patrilineal
Moghol,mogh1245,Patrilineal
Bakhtiari,bakh1245,Patrilineal
Iranians,tehr1242,Patrilineal
Kazakh,kaza1248,Patrilineal
Tu,tuuu1240,Patrilineal
Khalka,halh1238,Mixed
Dagur,daur1238,Patrilineal
Turkmen,turk1304,Patrilineal
Buryat,russ1264,Patrilineal
Chahar,peri1253,Patrilineal
Uzbek,nort2690,Patrilineal
Nivkh,gily1242,Patrilineal
Ob Ostyak,khan1273,Patrilineal
Selkup,selk1253,Patrilineal
Nganasan,ngan1291,Quasi-lineages
Itelmen,itel1242,Bilateral
Ungazikmit,cent2128,Bilateral
Mansi,mans1258,Mixed
Evenk,even1259,Patrilineal
Negidal,negi1245,Patrilineal
Ulch,ulch1241,Patrilineal
Orok,orok1265,Patrilineal
Yakut,yaku1245,Patrilineal
Oroch,oroc1248,Patrilineal
Udihe,udih1248,Patrilineal
Chukchi,chuk1273,Bilateral
Yurak-Samoyeds,nene1249,Patrilineal
Koryak,kory1246,Bilateral
Yukaghir,nort2745,Bilateral
Ainu,ainu1240,Matrilineal
Ket,kett1243,Patrilineal
Nanai,nana1257,Patrilineal
Koreans,kore1280,Patrilineal
Shantung,mand1415,Patrilineal
Ishigakians,yaey1239,Patrilineal
Man,kimm1245,Patrilineal
Miyakans,miya1259,Bilateral
Chekiang,wuch1236,Patrilineal
Cantonese,yuec1235,Patrilineal
Lolo,sich1238,Patrilineal
Manchu,manc1252,Patrilineal
Miao,horn1235,Mixed
Japanese,nucl1643,Bilateral
Min Chinese,chao1239,Patrilineal
Okinawans,cent2126,Mixed
Minchia,cent2004,Patrilineal
Li,hlai1239,Patrilineal
Adi,bori1243,Patrilineal
Burusho,buru1296,Patrilineal
Lepcha,lepc1244,Patrilineal
Central Tibetans,dbus1238,Patrilineal
Shina,shin1264,Patrilineal
Sherpa,sher1255,Patrilineal
Kachari,kach1279,Patrilineal
Magar,west2418,Patrilineal
Santal,sant1410,Patrilineal
Bihari,mait1250,Patrilineal
Uttar Pradesh,bhoj1244,Mixed
Bengali,beng1280,Mixed
Indo-Iranian,sans1269,Mixed
Ho,hooo1248,Patrilineal
Bhil,bhil1251,Patrilineal
Kurukh,kuru1302,Patrilineal
Pahari,maha1287,Mixed
Kashmiri,kash1277,Patrilineal
Gujarati,guja1252,Patrilineal
Chenchu,chen1255,Patrilineal
Telugu,telu1262,Patrilineal
Koya,koya1251,Patrilineal
Khond,kuii1252,Patrilineal
Muria Gond,west2408,Patrilineal
Reddi,mukh1238,Patrilineal
Tamil,tami1289,Patrilineal
Madia,mari1414,Patrilineal
Toda,toda1252,Duolateral
Kodavas,koda1255,Patrilineal
Kerala,mala1464,Matrilineal
Hill Bhuiya,oriy1255,Patrilineal
Kol,mund1320,Ambilineal
Baiga,chha1249,Patrilineal
Andamanese,akab1249,Bilateral
Betsileo,bets1235,Patrilineal
Merina,meri1243,Duolateral
Tanala,tana1285,Duolateral
Vedda,vedd1240,Matrilineal
Nicobarese,carn1240,Bilateral
Sinhalese,sinh1246,Quasi-lineages
Antandroy,tand1256,Patrilineal
Sakalava,saka1291,Patrilineal
Antaisaka,tesa1236,Patrilineal
Garo,garo1247,Matrilineal
Chakma,chak1266,Patrilineal
Aimol,aimo1244,Patrilineal
Thado,thad1238,Patrilineal
Angami,anga1288,Patrilineal
Ao,aona1235,Patrilineal
Rengma,sout2732,Patrilineal
Sema,sumi1235,Patrilineal
Karbi,karb1241,Patrilineal
Palaung,shwe1236,Bilateral
Chin,asho1236,Patrilineal
Lhota,loth1237,Patrilineal
Kuki,lush1249,Patrilineal
Burmese,nucl1310,Bilateral
Maras,mara1382,Patrilineal
Kachin,kach1280,Patrilineal
Purum,puru1266,Patrilineal
Karen,pwow1235,Bilateral
Khasi,khas1269,Matrilineal
Mogh,rakh1245,Patrilineal
Lamet,lame1256,Patrilineal
Rade,rade1240,Matrilineal
Cham,east2563,Matrilineal
Lawa,west2396,Patrilineal
Muong,muon1246,Patrilineal
Senoi,sema1266,Bilateral
Ancient Khmer,oldk1249,Bilateral
Negri Sembilan,nege1240,Matrilineal
Mnong Gar,east2333,Matrilineal
Semang,kens1248,Bilateral
Annamese,viet1252,Patrilineal
Khmer,cent1989,Bilateral
Moken,moke1242,Bilateral
Akha,akha1245,Patrilineal
Malays,mala1479,Bilateral
Thai,thai1261,Bilateral
Atayal,atay1247,Mixed
Bunun,bunu1267,Patrilineal
Puyuma,puyu1239,Ambilineal
Sugbuanon,cebu1242,Bilateral
Badjau Tawi-Tawi,sout2918,Bilateral
Tao,yami1254,Bilateral
Manobo,agus1235,Bilateral
Kalinga,lubu1243,Bilateral
Bilaan,koro1310,Bilateral
Bisayan,akla1241,Bilateral
Sagada,nort2877,Bilateral
Ifugao,tuwa1243,Bilateral
Subanun,cent2089,Bilateral
Hanunoo,hanu1241,Bilateral
Paiwan,paiw1248,Ambilineal
Tagbanua,tagb1258,Bilateral
Bontok,cent2292,Bilateral
Ami,amis1246,Matrilineal
Iban,iban1264,Bilateral
Javanese,java1254,Bilateral
Balinese,bali1278,Patrilineal
Toba Batak,bata1289,Patrilineal
Kadazan-Dusun,cent2100,Bilateral
Minangkabau,mina1268,Matrilineal
Mentaweians,ment1249,Ambilineal
Anak Dalam,kubu1239,Bilateral
Punan,puna1275,Bilateral
Macassarese,maka1311,Ambilineal
Tobelorese,tobe1252,Bilateral
Ambonese,ambo1250,Mixed
Sumbawanese,sumb1241,Bilateral
Kodi,kodi1247,Duolateral
Alorese,abui1241,Mixed
Belu,tetu1245,Matrilineal
Rotinese,term1237,Patrilineal
Toradja,pamo1252,Bilateral
Tanimbarese,sela1259,Patrilineal
Ili-Mandiri,lama1277,Patrilineal
Kei,keii1239,Patrilineal
Sumbanese,kamb1299,Patrilineal
Northern Aranda,east2379,Duolateral
Walbiri,warl1254,Duolateral
Gidjingali,gunn1248,Duolateral
Yir Yoront,jirj1239,Patrilineal
Anindilyagwa,anin1240,Duolateral
"Yolngu, Dhuwal",dhuw1249,Duolateral
Tiwi,tiwi1244,Matrilineal
Diyari,dier1241,Matrilineal
Kariyarra,kari1304,Duolateral
Wikmunkan,wikm1247,Patrilineal
Murriny Patha,murr1258,Patrilineal
Tasmanians (northwestern),port1278,NA
Ngiyambaa,wang1291,Duolateral
Mee,ekar1243,Patrilineal
Motu,motu1246,Mixed
Kakoli,umbu1258,Patrilineal
Kwoma,kwom1262,Patrilineal
Kiwai,sout2949,Patrilineal
Miriam,meri1244,Patrilineal
Abelam,ambu1247,Patrilineal
Kutubu,foii1241,Patrilineal
Siane,sian1257,Patrilineal
Kimam,kima1246,Mixed
Marind-Amin,nucl1622,Patrilineal
Wantoat,want1252,Mixed
Koita,koit1244,Patrilineal
Mailu,mail1248,Patrilineal
Mekeo,meke1243,Patrilineal
Muju,sout2940,Patrilineal
Koiari,gras1249,Patrilineal
Mafulu,fuyu1242,Patrilineal
