pref_name_for_society,glottocode,Value
Kasonke,xaas1235,Cross-cousin
Koranko,kura1250,Matrilateral cross only
Soninke,soni1259,Any first cousins
Susu,susu1250,Cross-cousin
Diula,dyul1238,Any first cousins
Nononke,jena1242,NA
Samo,sout2844,NA
Dogon,bank1259,No first cousins
Bobo,nort2819,NA
Minianka,mama1271,NA
Senufo,ceba1235,Cross-cousin
Dyan,dyan1251,Cross-cousin
Dorosie,dogo1295,Cross-cousin
Kulango,boun1243,Cross-cousin
Lowiili,sout2790,Cross-cousin
Awuna,angl1262,No first cousins
Builsa,buli1254,NA
Dagara,sout2789,No first cousins
Tallensi,taln1239,No first/second cousins
Isala,tumu1242,No first cousins
Kusasi,kusa1250,No first cousins
Nunuma,sout2795,NA
Vagala,vagl1239,Cross-cousin
Dagomba,dagb1246,No first cousins
Gurma,gour1243,No first cousins
Manprusi,mamp1244,No first cousins
Mossi (Ouagadougou),moss1236,No first/second cousins
Basari,ntch1242,NA
Kabre,kabi1261,No first cousins
Birifor,sout2790,Cross-cousin
Moba,moba1244,NA
Somba,dita1238,No first cousins
Tem,temm1241,NA
Bisa,biss1248,No first cousins
Yalunka,yalu1240,Cross-cousin
Futajalonke,pula1262,Any first cousins
Bozo,tiey1235,Any first cousins
Coniagui,wame1240,Trilateral
Malinke,kita1249,Cross-cousin
Katab,kata1265,No first/second cousins
Chawai,atsa1241,NA
Basa,basa1282,No first/second cousins
Basakomo,basa1282,No first cousins
Dakakari,clel1238,NA
Kamuku,cind1241,NA
Reshe,resh1242,No first cousins
Angas,ngas1240,No first/second cousins
Birom,bero1242,No first/second cousins
Burmawa,bogh1241,No first/second cousins
Adara,kada1284,No first cousins
Jukun,juku1254,Only second cousins
Kagoro,kago1246,No first cousins
Kurama,kura1249,No first cousins
Yergum,taro1263,NA
Jibu,jibu1239,Cross-cousin
Kentu,etky1238,Any first cousins
Tigon,tigo1236,No first cousins
Ndoro,ndoo1241,Cross-cousin
Zuande,bita1251,Cross-cousin
Chamba,samb1305,Only second cousins
Daka,samb1311,NA
Tiv,tivv1240,Only second cousins
Longuda,long1389,No first cousins
Mumuye,nucl1240,No first cousins
Vere,momj1237,No first cousins
Yungur,bena1260,No first cousins
Bata,bata1314,No first cousins
Bura,bura1292,No first cousins
Gude,gude1246,Only second cousins
Hwana,hwan1240,No first cousins
Kapsiki,psik1239,No first cousins
Podokwo,park1239,NA
Mambila,came1252,No first/second cousins
Margi,marg1265,No first/second cousins
Gure,gbir1241,No first/second cousins
Mafa,mafa1239,No first cousins
Bafute,vute1244,No first cousins
Anaguta,igut1238,No first cousins
Banda,west2458,No first cousins
Otoro,otor1240,No first cousins
Mangbetu,nucl1420,No first cousins
Fali,sout2782,No first cousins
Laka,laka1254,NA
Mbum,mbum1254,NA
Mundang,mund1325,NA
Namshi,doya1240,NA
Gisiga,sout3051,NA
Kotoko,lagw1237,NA
Musgu,musg1254,NA
Nyaro,kooo1244,No first cousins
Tupuri,tupu1244,NA
Bagirmi,bagi1246,NA
Sara,sarr1246,NA
Bwaka,ngba1284,No first cousins
Mandja,manz1243,NA
Mbandja,mban1263,NA
Ngbandi,nort2774,NA
Abarambo,bara1361,NA
Popoi,popo1291,No first/second cousins
Lendu,lend1245,No first cousins
Azande,zand1248,No first cousins
Lese,lese1243,NA
Logo,logo1259,NA
Lugbara,lugb1240,No first/second cousins
Madi,madi1260,NA
Moru,moru1253,NA
Bongo,bong1285,No first cousins
Jur,luwo1239,No first/second cousins
Koalib,koal1240,No first cousins
Korongo,kron1241,No first cousins
Mesakin,ngil1242,No first/second cousins
Ingassana,gaam1241,No first/second cousins
Moro,moro1285,No first/second cousins
Tira,tira1254,No first/second cousins
Tullishi,tuli1249,No first cousins
Nyimang,amas1236,No first cousins
Anuak,anua1242,No first cousins
Meban,maba1273,No first cousins
Koma,komo1258,No first cousins
Mao,hozo1236,No first cousins
Mamvu,mamv1243,NA
Shilluk,shil1265,No first/second cousins
Gbaya,nort2775,No first/second cousins
Dilling,dill1242,Cross-cousin
Masa,masa1322,No first/second cousins
Teso,teso1249,No first/second cousins
Acholi,dhop1238,NA
Dinka,sout2832,No first/second cousins
Lotuko,otuh1238,No first cousins
Pojulu,poju1239,No first cousins
Kakwa,kakw1240,No first cousins
Kuku,kuku1285,No first cousins
Mondari,mand1425,NA
Alur,alur1250,No first/second cousins
Bodi,meen1242,NA
Didinga,didi1258,NA
Maasi,masa1300,No first/second cousins
Suri,suri1267,NA
Jie,jiee1239,No first cousins
Labwor,labw1238,No first cousins
Plains Suk,east2420,No first/second cousins
Toposa,topo1242,NA
Keyu,keiy1238,NA
Hill Suk,west2492,No first cousins
Sapei,kups1238,NA
Tatoga,dato1239,No first cousins
Samburu,samb1315,NA
Nuer,nuer1246,No first/second cousins
Karamojong,nucl1430,NA
Pari,pari1256,NA
Lango,lang1324,No first cousins
Turkana,turk1308,No first/second cousins
Luo,luok1236,No first/second cousins
Nandi,nand1266,No first cousins
Bari,ligo1238,No first/second cousins
Kipsigis,kips1239,No first cousins
Konso,kons1243,Cross-cousin
Somali (Esa),nort3051,No first cousins
Arusi,bora1271,No first cousins
Gibe,west2721,NA
Macha,west2721,No first/second cousins
Burji,burj1242,NA
Darasa,gede1246,NA
Sidama,sida1246,NA
Tsamai,tsam1247,NA
Arbore,arbo1245,NA
Banna,hame1242,NA
Somali (Dolbahanta),nort3051,No first/second cousins
Galab,daas1238,NA
Hamar,hame1242,NA
Male,male1284,No first cousins
Bako,aari1239,NA
Dime,dime1235,NA
Shangama,aari1239,NA
Ubamer,aari1239,NA
Anfillo,anfi1235,No first cousins
Basketo,bask1236,No first cousins
Yem,toba1264,NA
Tigrinya,tigr1271,No first/second cousins
Kafa,kafa1242,No first cousins
Beta Israel,qima1242,NA
Nara,nara1262,No first/second cousins
Kunama,kuna1268,No first/second cousins
Ababda,abab1239,Any first cousins
Amarar,amar1281,Any first cousins
Beni-Amer,mans1267,Any first cousins
Blin,bili1260,NA
Tigre,mans1267,Any first cousins
Jimma,west2721,No first/second cousins
Iraqw,iraq1241,NA
Baditu,koor1239,No first cousins
Dorse,dorz1235,NA
Shako,shek1245,NA
Hadendowa,hade1248,NA
Bisharin,bish1251,Any first cousins
Afar,afar1241,Any first cousins
Amhara,amha1245,No first/second cousins
Gurage,seba1251,NA
Goroa,goro1270,NA
Maguzawa,kano1249,Cross-cousin
Karekare,kare1348,No first cousins
Midobi,mido1240,Matrilateral cross only
Gimma,nort3133,Any first cousins
Habbaniya,nort3133,Any first cousins
Hemat,bath1248,NA
Messiria Humr,tama1331,Any first cousins
Shuwa,char1283,Any first cousins
Fur,furr1244,No first cousins
Kanembu,kane1243,Any first cousins
Kanuri,cent2050,Trilateral
Wolof,nucl1347,Cross-cousin
Zerma,zarm1239,NA
Djafun,adam1253,Cross-cousin
Liptako,west2454,Any first cousins
Tukulor,pula1263,Any first cousins
Wodaabe Fulani,boro1274,Any first cousins
Tazarawa Hausa,arew1238,Any first cousins
Zazzagawa Hausa,haus1257,Any first cousins
Bachama,baca1246,No first cousins
Dera,dera1248,No first cousins
Ngizim,ngiz1242,NA
Songhai,koyr1242,Any first cousins
Hasania,khar1296,Any first cousins
Buduma,budu1265,Any first cousins
Tera,tera1251,Cross-cousin
Bolewa,nucl1695,Cross-cousin
Bororo Fulani,boro1274,No first cousins
Hausa Kanawa,kano1249,Any first cousins
Regeibat,hass1238,Any first cousins
Asben,taya1257,Cross-cousin
Azjer,ghat1242,NA
Ifora,tadh1242,NA
Udalan Tuareg,timb1263,Any first cousins
Daza,daza1242,No first/second cousins
Drawa,susi1238,NA
Chaambra,algi1247,Any first cousins
Delim,hass1238,Any first cousins
Kunta,hass1238,NA
Trarza,hass1238,NA
Teda,teda1241,No first/second cousins
Zenaga,zena1248,Any first cousins
Siwans,siwi1239,Any first cousins
Mzab,tumz1238,NA
Kel Antessar,timb1263,Any first cousins
Kababish,nort3133,Any first cousins
Barabish,hass1238,Any first cousins
Aulliminden,ioul1238,NA
Tuareg Ahaggar,hogg1238,Cross-cousin
Barabra,kenu1236,Any first cousins
Zekara,tari1263,Any first cousins
Guanche,guan1277,Any first cousins
Algerians,algi1247,Any first cousins
Hamama,sout3114,Any first cousins
Hamyan,oran1236,Any first cousins
Jebala,jebl1238,NA
Moroccans,sout3117,Any first cousins
Nail,cons1245,Any first cousins
Saadi,said1239,Any first cousins
Sahel,sahi1245,Any first cousins
Egyptians,egyp1253,Any first cousins
Sanusi,liby1240,Any first cousins
Tunisians,tuni1260,Any first cousins
Riffians,tari1263,Trilateral
Kabyle,kaby1243,Any first cousins
Shluh,susi1238,NA
Ancient Egyptians,egyp1246,Any first cousins
Beraber,cent2194,Any first cousins
Shawiya,tach1249,Any first cousins
Tekna,hass1238,NA
Gheg,gheg1238,Cross-cousin
Portuguese,gali1257,Any first cousins
Ancient Romans,lati1261,Any first cousins
French Basques,labo1236,NA
Neapolitans,neap1235,Only second cousins
Spaniards,stan1288,Any first cousins
Greeks,mode1248,No first/second cousins
Spanish Basques,west1508,NA
New Englanders,stan1293,Any first cousins
Boers,afri1274,NA
Tristan da Cunha,stan1293,NA
Brazilians,braz1246,No first cousins
French Canadians,queb1247,No first/second cousins
Dutch,dutc1256,Any first cousins
Icelanders,icel1247,NA
Irish,iris1253,No first/second cousins
Sami,nort2671,Only second cousins
Walloons,wall1255,NA
Serbs,serb1264,NA
Romanians,baya1255,No first cousins
Russians,russ1263,NA
Bashkir,bash1264,No first/second cousins
Besermyan,nort2676,NA
Chuvash,chuv1255,No first/second cousins
Erzya Mordvins,erzy1239,No first/second cousins
Estonians,esto1258,NA
Gagauz,gaga1249,No first/second cousins
Ingrians,ingr1248,No first/second cousins
Karelians,livv1243,NA
Hutsuls,sout2604,NA
Kazan tatar,midd1325,No first cousins
Latvians,latv1249,NA
Lithuanian Karaim,kara1464,NA
Lithuanian Tatar,west2405,Some second only
Livs,livv1244,No first/second cousins
Moldovans,mold1248,NA
Udmurt,sout2681,No first/second cousins
Veps,veps1250,No first/second cousins
Votes,voti1245,No first/second cousins
Czechs,czec1258,Only second cousins
Mari,east2328,No first/second cousins
Bulgarians,bulg1262,NA
Byelorussians,bela1254,Only second cousins
Ukrainians,east2270,No first/second cousins
Magyar,hung1274,No first/second cousins
Lithuanians,lith1251,No first cousins
Kalmyk,kalm1243,No first/second cousins
Armenians,nucl1235,No first/second cousins
Kurd,cent1972,Any first cousins
Abkhaz,abkh1244,NA
Khevsur,xevs1238,No first cousins
Kumyk,kumy1244,NA
Cherkess,kaba1278,NA
Turks,nucl1301,Any first cousins
Ossetians,digo1242,Trilateral
Chechen,chec1245,NA
Georgians,imer1248,NA
Svan,svan1243,NA
Syrians,nort3142,Any first cousins
Madan,meso1252,Any first cousins
Rwala,east2690,Any first cousins
Hebrews,anci1244,Any first cousins
Babylonians,akka1240,NA
Mutair,sout3119,Any first cousins
Jordanians,sout3123,Any first cousins
Lebanese,nort3139,Only second cousins
Druze,sunn1238,Any first cousins
Yemeni,sana1295,NA
Sindhi,sind1272,Any first cousins
Marri,east2304,Any first cousins
Ghilzai,ghil1238,Any first cousins
Qashqui,qash1240,Any first cousins
Punjabi,west2386,Any first cousins
Yusufzai,yusu1238,Any first cousins
Hazara,haza1239,Any first cousins
Kohistani,indu1241,NA
Nuristani,kamv1242,No first cousins
Basseri,bass1257,Any first cousins
Moghol,mogh1245,Any first cousins
Bakhtiari,bakh1245,NA
Iranians,tehr1242,Any first cousins
Kazakh,kaza1248,No first/second cousins
Tu,tuuu1240,Cross-cousin
Khalka,halh1238,No first/second cousins
Dagur,daur1238,No first cousins
Turkmen,turk1304,Maternal only
Buryat,russ1264,Maternal only
Chahar,peri1253,Maternal only
Uzbek,nort2690,Any first cousins
Nivkh,gily1242,Matrilateral cross only
Ob Ostyak,khan1273,No first/second cousins
Selkup,selk1253,NA
Nganasan,ngan1291,No first/second cousins
Itelmen,itel1242,Cross-cousin
Ungazikmit,cent2128,No first/second cousins
Mansi,mans1258,No first/second cousins
Evenk,even1259,Cross-cousin
Negidal,negi1245,Cross-cousin
Ulch,ulch1241,Cross-cousin
Orok,orok1265,Cross-cousin
Yakut,yaku1245,Trilateral
Oroch,oroc1248,Cross-cousin
Udihe,udih1248,Cross-cousin
Chukchi,chuk1273,Any first cousins
Yurak-Samoyeds,nene1249,Trilateral
Koryak,kory1246,Only second cousins
Yukaghir,nort2745,Only second cousins
Ainu,ainu1240,Trilateral
Ket,kett1243,NA
