pref_name_for_society,glottocode,Value
Enga,enga1252,No first cousins
Purari,pura1257,No first/second cousins
Orokaiva,orok1269,Cross-cousin
Palauans,pala1344,No first/second cousins
Nomoians,mort1237,Cross-cousin
Kosraeans,kosr1238,Cross-cousin
Bikinians,rali1241,Cross-cousin
Nauruans,naur1243,Cross-cousin
Makin,bana1287,No first/second cousins
Carolinians,caro1242,No first/second cousins
Lamotrek,lamo1243,NA
Marshallese - Jaluit atoll,rali1241,Cross-cousin
Trukese,chuu1238,No first/second cousins
Majuro,rata1243,Cross-cousin
Ifaluk,nucl1479,No first/second cousins
Ponapeans,pohn1238,Cross-cousin
Yapese,yape1248,Only second cousins
Gilbert Onotoa,nuii1237,No first/second cousins
Chamorro,cham1312,No first/second cousins
Ulithians,ulit1238,Only second cousins
Siuai,siwa1245,Cross-cousin
Usiai,lele1270,Some second only
Rossel Islanders,yele1255,No first cousins
Choiseulese,vagh1249,No first cousins
Aua,wuvu1239,Any first cousins
Dahuni,suau1242,No first cousins
Bakovi,bola1250,NA
Bwaidoga,bwai1242,NA
Kombe,mudu1242,Cross-cousin
Kwaio,kwai1243,No first cousins
Molima,moli1248,No first cousins
Trobriands,kili1267,Paternal only
Kaoka,long1395,No first cousins
Tangu,tang1348,Cross-cousin
Kurtatchi,tinp1237,No first/second cousins
Lesu,nots1237,Only second cousins
Dobuans,dobu1241,No first cousins
Ulawans,saaa1240,No first cousins
Lakalai,naka1262,Cross-cousin
Simboese,simb1256,No first/second cousins
Manus,tita1241,Some second only
Mota,mota1237,No first cousins
Tannese,sout2869,Cross-cousin
Epi,lame1260,Cross-cousin
Eromangans,siee1239,No first cousins
Ranon,nort2839,Some second only
Mbau Fijians,bauu1243,NA
Seniang,sout2857,No first/second cousins
Bunlap,saaa1241,No first/second cousins
Lau,laua1243,Cross-cousin
Ajie,ajie1238,Cross-cousin
Rotumans,rotu1241,Only second cousins
Lifu,dehu1237,No first/second cousins
Vanua Levu,nort2843,Only second cousins
Santa Cruz Islanders,natu1246,Cross-cousin
American Samoans,samo1305,No first/second cousins
Rennell Islanders,renn1242,Cross-cousin
Tongans,tong1325,No first cousins
Uveans,wall1257,No first/second cousins
Upolu Samoans,samo1305,No first/second cousins
Tikopia,tiko1237,Only second cousins
Pukapukans,puka1242,No first/second cousins
Ellice,tuva1244,No first cousins
Ontong Java,onto1237,No first/second cousins
Tokelau,toke1240,No first/second cousins
Kapingamarangi,kapi1249,No first/second cousins
Futunans,east2447,Only second cousins
Niueans,niue1239,Only second cousins
Mangaians,raro1241,No first/second cousins
Tongarevans,penr1237,No first/second cousins
Māori,maor1246,Only second cousins
Marquesans,nort2845,Cross-cousin
Manihikians,raka1237,Any first cousins
Raroians,tuam1242,NA
Hawaiians,hawa1245,Only second cousins
Mangarevans,mang1401,Only second cousins
Tahitians,tahi1242,No first cousins
Easter Islanders,rapa1244,No first cousins
Nabesna,uppe1437,Cross-cousin
Chugach,chug1254,Cross-cousin
Sivokakmeit,cent2128,Trilateral
Nunamiut,nort2944,No first/second cousins
Nunatsiarmiut,baff1240,NA
Inughuit (Northern Greenland),pola1254,NA
Tlicho,dogr1252,NA
Délįne,nort2942,NA
DeneTha,sout2959,No first cousins
Dakelh,carr1249,Cross-cousin
Tareumiut,nort2944,No first/second cousins
Kutchin,gwic1235,No first cousins
Caribou Inuit,cari1277,No first/second cousins
Iglulik Inuit,west2618,No first/second cousins
Labrador Inuit,labr1244,NA
Tasiilaq,tunu1234,No first cousins
Kalaallit (West Greenland),kala1399,NA
Dena'ina,tana1289,No first/second cousins
Tahltan,tahl1239,NA
Sekani,seka1250,Only second cousins
Beaver,beav1236,NA
Copper Inuit,copp1244,Only second cousins
Dene,chip1261,No first cousins
Eastern Cree,sout2978,Any first cousins
Montagnais,mont1268,Cross-cousin
Northern Saulteaux,alba1270,Cross-cousin
Pekangekum,lacs1238,Cross-cousin
Nipigon,cent2136,Cross-cousin
Minnesota Ojibwa,redl1238,Cross-cousin
Rainy River Ojibwe,rain1239,Cross-cousin
Katikitegon,uppe1274,Cross-cousin
Eastern Ojibwa,east2542,Cross-cousin
Kaska,kask1239,Matrilateral cross only
Ottawa,otta1242,NA
Mi'kmaq,mikm1235,No first/second cousins
Potawatomi,pota1247,No first cousins
Netsilik,nets1241,Any first cousins
Nunavimmiut,queb1248,Only second cousins
Mistissini Cree,sout2978,Cross-cousin
Naskapi,nask1242,Cross-cousin
Nunivak,kusk1241,Any first cousins
Attawapiskat Cree,swam1239,Cross-cousin
Deg Xit'an,dege1248,Only second cousins
Aleut,east2533,Any first cousins
Haida,nort2938,Cross-cousin
Alkatcho,sout2958,No first/second cousins
Nuu chah nulth,nuuc1236,No first/second cousins
Klahoose,slia1241,No first/second cousins
Squamish,squa1248,No first/second cousins
Comox,isla1276,No first/second cousins
Lummi,lumm1243,No first/second cousins
Klallam,clal1241,No first/second cousins
Puyallup,sout2965,Only second cousins
Quileute,quil1240,No first/second cousins
Lower Chinook,chin1286,No first cousins
Twana,twan1247,No first/second cousins
Tillamook,till1254,No first cousins
Coos,coos1249,No first cousins
Tlingit,tlin1245,Patrilateral cross only
Heiltsuk,bell1263,Cross-cousin
Makah,maka1318,No first/second cousins
Quinault,quin1251,No first/second cousins
Cowichan,cowi1241,No first/second cousins
Stó:lō,chil1281,No first/second cousins
Alsea,alse1251,No first cousins
Siuslaw,sius1254,Only second cousins
Kwakwaka'wakw,kwak1269,Only second cousins
Takelma,take1257,No first cousins
Tututni,tutu1242,Matrilateral cross only
Shasta,shas1239,No first/second cousins
Chimariko,chim1301,No first/second cousins
Karuk,karo1304,No first/second cousins
Hupa,hupa1239,No first/second cousins
Wiyot,wiyo1248,No first/second cousins
Lassik,wail1244,No first/second cousins
Mattole-Bear River,matt1238,No first/second cousins
Sinkyone,wail1244,No first/second cousins
Yurok,yuro1248,No first/second cousins
Eyak,eyak1241,Cross-cousin
Tolowa,tolo1259,Maternal only
Tsimshian,nucl1649,Cross-cousin
Haisla,hais1244,Cross-cousin
Nuxalk,bell1243,No first cousins
Nomlaki,noml1242,No first cousins
Achumawi,achu1247,No first/second cousins
Yana,yana1271,No first/second cousins
Maidu,nort2952,No first/second cousins
Nisenan,nise1244,Only second cousins
Wintu,nucl1651,No first/second cousins
Coast Yuki,yuki1243,No first cousins
Huchnom,yuki1243,No first cousins
Northern Pomo,nort2966,No first cousins
Eastern Pomo,east2545,Only second cousins
Southern Pomo,sout2984,No first cousins
Tübalulabal,tuba1278,No first/second cousins
Wappo,wapp1239,No first/second cousins
Lake Miwok,lake1258,No first cousins
Patwin,patw1250,Matrilateral cross only
Western Mono,mono1275,No first/second cousins
Southern Valley Yokuts,vall1251,No first/second cousins
Wukchumni,tule1245,No first/second cousins
Salinan,sali1253,NA
Kawaiisu,kawa1283,NA
Chumash,cruz1243,NA
Tongva,tong1329,No first cousins
Northern Foothill Yokuts,nort2937,No first/second cousins
Serrano,serr1255,No first/second cousins
Cahuilla (Desert),cahu1264,No first/second cousins
Cupeño,cupe1243,No first/second cousins
Luiseño,luis1253,No first/second cousins
Kiliwa,kili1268,No first cousins
Atsugewi,atsu1245,No first/second cousins
Central Sierra Miwok,cent2140,No first cousins
Kumeyaay,kumi1248,No first/second cousins
Yuki,yuki1243,No first/second cousins
Klamath,klam1254,No first/second cousins
Modoc,klam1254,No first/second cousins
Tenino,teni1238,No first/second cousins
Nlaka'pamux,thom1243,No first/second cousins
Shuswap,shus1248,No first/second cousins
Bitterroot Salish,kali1309,No first/second cousins
Kalispel,kali1309,No first cousins
Coeur d’Alene,coeu1236,Only second cousins
Sinkaitk,sout2963,No first/second cousins
Wenatchi,wena1241,No first cousins
Klikitat,nucl1237,No first cousins
Wishram,wasc1239,No first/second cousins
Umatilla,umat1237,No first/second cousins
Southern Ute,utee1244,No first/second cousins
Nez Perce,nezp1238,No first/second cousins
Tagotoka,nort1551,No first/second cousins
Wadadokado,nort1551,No first/second cousins
Atsakudokwa,nort1551,No first/second cousins
Kidutokado,nort1551,No first/second cousins
Sawakudokwa,nort1551,No first/second cousins
Wadatkuht,sout2967,No first/second cousins
Kuyuidokado,sout2967,No first/second cousins
Toedokado,sout2967,No first/second cousins
Tunava (Deep Springs and Fish Lake),mono1275,No first/second cousins
Havasupai,hava1249,No first/second cousins
Eastern Mono,mono1275,No first/second cousins
Koso,pana1305,No first/second cousins
Tümpisa Shoshone (Saline and Panamint),pana1305,No first/second cousins
Beatty,pana1305,No first/second cousins
Lida Shoshoni,west2622,No first/second cousins
Mahaguaduka,west2622,No first/second cousins
Wiyambituka,west2622,No first/second cousins
Railroad Valley Shoshoni,west2622,No first/second cousins
Ely Shoshoni,west2622,Cross-cousin
Spring Valley Shoshoni,west2622,No first/second cousins
Sanpoil,sanp1257,No first/second cousins
Tubaduka,west2622,No first/second cousins
Wadaduka,west2622,No first/second cousins
Elko Shoshoni,west2622,Patrilateral cross only
White Knife Shoshoni,west2622,Cross-cousin
Yahanduka,west2622,No first/second cousins
Bohogue,nort2955,No first cousins
Agaiduka,nort2955,No first/second cousins
Tukudika,nort2955,No first/second cousins
Gosiute,gosi1242,Cross-cousin
Antarianunts,utee1244,No first/second cousins
Hukundika,nort2955,No first/second cousins
Panguitch,utee1244,No first/second cousins
Moapa,sout2969,No first/second cousins
Shivwits,sout2969,No first/second cousins
Southern Paiute (Kaibab),sout2969,No first/second cousins
Chemehuevi,chem1251,No first/second cousins
Southern Paiute (Las Vegas),sout2969,No first/second cousins
San Juan,sout2969,No first/second cousins
Pahvant,utee1244,NA
Uintah Ute,utee1244,No first/second cousins
Moanunts,utee1244,NA
Washo,wash1253,No first/second cousins
Moache,utee1244,NA
Taviwatsiu,utee1244,NA
Uncompahgre Ute,utee1244,NA
Bannock,bann1248,No first cousins
Wind River Eastern Shoshone,nort2955,No first/second cousins
Hualapai,wala1270,Cross-cousin
Yavapai,yava1252,No first/second cousins
Tolkepaya,yava1252,No first cousins
Kutenai,kute1249,No first/second cousins
Chilcotin,chil1280,No first/second cousins
Lillooet,lill1248,No first/second cousins
Gros Ventre,gros1243,No first/second cousins
Arikara,arik1262,NA
Assiniboine,assi1247,No first/second cousins
Blackfoot,pieg1239,No first/second cousins
Kainai,bloo1239,No first cousins
Bungi,west1510,Only second cousins
Hidatsa,hida1246,No first cousins
Karankawa,kara1289,NA
Kiowa,kiow1266,No first cousins
Piegan,pieg1239,No first cousins
Plains Cree,plai1258,Cross-cousin
Kiowa Apache,kiow1264,No first/second cousins
Santee,dako1258,No first cousins
Coahuilteco,coah1252,NA
Comanche,coma1245,No first cousins
Crow,crow1244,No first cousins
Cheyenne,chey1247,No first/second cousins
Mandan,mand1446,Matrilateral cross only
Sarcee,sars1236,No first cousins
Teton,lako1247,No first cousins
Arapaho,arap1274,No first/second cousins
Iowa,iowa1246,NA
Otoe,otoo1241,No first cousins
Ponca,ponc1241,No first cousins
Shawnee,shaw1249,No first/second cousins
Caddo,cadd1256,No first/second cousins
Kickapoo,kick1244,No first/second cousins
Ho Chunk,hoch1243,Cross-cousin
Omaha,omah1248,No first/second cousins
Myaamia,miam1252,No first cousins
Wichita,wich1260,No first cousins
Pawnee,pawn1254,Only second cousins
Fox,mesk1242,No first/second cousins
Hasinai,cadd1256,No first/second cousins
Menominee,meno1252,No first cousins
Huron,wyan1247,No first/second cousins
Seneca,sene1264,NA
Yuchi,yuch1247,NA
Choctaw,choc1276,No first/second cousins
Abenaki,peno1243,NA
Chickasaw,chic1270,No first/second cousins
Chitimacha,chit1248,NA
Seminole,mika1239,Some second only
Muscogee,cree1270,No first/second cousins
Penobscot,peno1243,No first cousins
Cherokee,cher1273,Only second cousins
Delaware,unam1242,NA
Natchez,natc1249,No first/second cousins
Timucua,timu1245,NA
Catawba,cata1286,Any first cousins
Chiricahua,mesc1238,No first/second cousins
Isleta,sout2961,No first/second cousins
San Ildefonso,sani1273,No first/second cousins
Santa Ana,sant1426,No first cousins
Acoma,acom1246,No first cousins
Laguna,acom1246,No first cousins
Mescalero,mesc1238,No first/second cousins
Jicarilla,jica1244,No first cousins
Western Apache,west2615,No first/second cousins
Hopi,hopi1249,No first/second cousins
Cocopa,coco1261,No first/second cousins
Hano,ariz1237,No first/second cousins
Kamia,kumi1248,No first/second cousins
Mojave,moha1256,No first/second cousins
Quechan,quec1382,No first/second cousins
Kewyipaya,yava1252,No first cousins
Lipan Apache,lipa1241,No first cousins
Sia,ziaa1251,No first cousins
Santa Clara,sant1421,No first cousins
Kewa,sant1425,No first cousins
Navajo,nava1243,No first/second cousins
Zuni,zuni1245,No first cousins
Maricopa,mari1440,No first/second cousins
Taos,taos1236,No first/second cousins
Cochiti,coch1273,No first/second cousins
Jemez,jeme1245,No first/second cousins
Picuris,picu1248,No first cousins
Tarahumara,cent2131,Only second cousins
Tohono O'odham,toho1246,No first/second cousins
Huichol,huic1243,Any first cousins
Seri,seri1257,No first cousins
Chichimeca,chic1272,No first cousins
Pima,akim1239,No first/second cousins
Yaqui,yaqu1251,No first/second cousins
Opata,opat1246,NA
Tepehuán,nort2959,NA
Chinantec,ojit1237,No first/second cousins
Zapotec,yala1267,No first cousins
Huastec,huas1242,NA
Mixtec,juxt1235,NA
Otomí,mezq1235,NA
Tequistlatec,high1242,No first cousins
Aztec,clas1250,No first cousins
Sierra Popoluca,high1276,No first cousins
Totonac,papa1238,No first cousins
Mazateco,huau1238,No first/second cousins
Huave,sanm1287,No first cousins
Mixe,isth1238,NA
Tarasco,pure1242,Any first cousins
Tlaxcalans,cent2132,No first cousins
Guna,sanb1242,Only second cousins
Lacandon,laca1243,NA
Kaqchikel,kaqc1270,NA
Lenca,lenc1242,NA
K'iche',kich1262,No first cousins
Ngäbe,ngab1239,NA
Jakaltek,popt1235,NA
Tolupan,toll1241,NA
Poqomam,poqo1253,No first cousins
Tzeltal,tzel1254,Cross-cousin
Ch'orti',chor1273,Only second cousins
Emberá,nort2972,Only second cousins
Bribri,brib1243,Cross-cousin
Yucatec Maya,yuca1254,Maternal only
Garifuna,gari1256,Cross-cousin
Mam,mamm1241,No first/second cousins
Miskito,misk1235,Cross-cousin
Callinago,isla1278,Cross-cousin
Cágaba,cogu1240,Only second cousins
Barí (Motilon),yukp1241,Cross-cousin
Cariña,taba1267,Any first cousins
Paraujano,para1316,No first cousins
Wayuu,wayu1243,Trilateral
Yupa,yukp1241,Cross-cousin
Taíno,tain1254,NA
Haitians,hait1244,No first cousins
Warao,wara1303,Any first cousins
Lokono,araw1276,Cross-cousin
Camaracoto,cama1252,Cross-cousin
Macushi,macu1259,Cross-cousin
Panare,enap1235,Cross-cousin
Rucuyen,waya1269,NA
Taulípang,taul1252,NA
Ye'kuana,maqu1238,Cross-cousin
Piapoco,piap1246,Cross-cousin
Ndyuka,ndyu1242,Only second cousins
Pumé,pume1238,Cross-cousin
Barama River Carib,mura1272,Cross-cousin
Guahibo,guah1255,Cross-cousin
Wapishana,wapi1253,Cross-cousin
Saramaccan,sara1340,Trilateral
Yabarana,yaba1248,Cross-cousin
Piaroa,piar1243,Cross-cousin
Curripaco,curr1243,No first cousins
Munduruku,mund1330,Cross-cousin
Tapirapé,tapi1254,No first cousins
Palikur,pali1279,NA
Guaica,yano1262,NA
Sateré Mawé,sate1243,NA
Shiriana,nina1238,Cross-cousin
Wai-wai,waiw1244,Cross-cousin
Sanema,sanu1240,No first cousins
Yanomami,yano1261,Cross-cousin
Sirionó,siri1273,Matrilateral cross only
Cocama,coca1259,NA
Chácobo,chac1251,Cross-cousin
Tucano,tuca1252,Cross-cousin
Ticuna,ticu1245,Cross-cousin
Shuar,shua1257,Cross-cousin
Yagua,yagu1244,No first cousins
Cubeo,cube1242,Cross-cousin
Witoto,muru1274,Cross-cousin
Camba,chiq1248,No first cousins
Amahuaca,amah1246,Cross-cousin
Shipibo-Conibo,ship1254,NA
Inca,cusc1236,Any first cousins
Aymara,cent2142,No first cousins
Chachi,chac1249,No first cousins
U'wa,cent2150,No first cousins
Páez,paez1247,NA
Muisca,chib1270,NA
Asháninka,ajyi1238,Any first cousins
Piro,yine1238,Cross-cousin
Uru,uruu1244,NA
Yahgan,yama1264,No first/second cousins
Mapuche,mapu1245,Matrilateral cross only
Ona,onaa1245,No first/second cousins
Tehuelche,tehu1242,Any first cousins
Alacaluf,qawa1238,Any first cousins
Wichí,wich1264,No first cousins
Terena,tere1279,No first cousins
Abipón,abip1241,No first/second cousins
Kadiwéu,kadi1248,No first cousins
Choroti,iyow1239,No first cousins
Chamacoco,cham1315,NA
Guaraní,east2555,Any first cousins
Toba,toba1269,Only second cousins
Lengua,nort2971,NA
Bororo,boro1282,Cross-cousin
Kuikuru,kuik1246,Cross-cousin
Trumai,trum1247,Cross-cousin
Bacairi,baka1277,Cross-cousin
Nambikwara,sout2994,Cross-cousin
Kamayurá,kama1373,Cross-cousin
Guató,guat1253,NA
Paresi,pare1272,NA
Umotina,umot1240,Only second cousins
Aweti,awet1244,NA
Carajá,kara1500,Any first cousins
Cayua,mbya1239,NA
Shavante,xava1240,No first cousins
Sherente,xere1240,Patrilateral cross only
Aweikoma,xokl1240,Any first cousins
Canela,cane1242,No first cousins
Aimoré,kren1239,Any first cousins
Tenetehara,temb1276,No first cousins
Apinaye,apin1244,Some second only
Tupinambá,tupi1273,Cross-cousin
Kayapo,kaya1330,No first cousins
