language,glottocode,family,prop,n_kintypes
Karok,karo1304,NA,0.46875,32
Kosraean,kosr1238,Austronesian,0.46875,32
Gupapuyngu,gupa1247,Pama-Nyungan,0.5,36
Tehuelche,tehu1242,NA,0.3125,48
Ninam,nina1238,NA,0.21739130434782608,46
Central Tarahumara,cent2131,Uto-Aztecan,0.65625,32
Tzeltal,tzel1254,NA,0.3720930232558139,43
Zulu,zulu1248,Atlantic-Congo,0.3333333333333333,48
Assamese,assa1263,Indo-European,0.55,40
Irish,iris1253,Indo-European,0.4375,48
Sindhi,sind1272,Indo-European,0.6875,48
Frisian,fris1239,Indo-European,0.3333333333333333,48
Nivaclé,niva1238,NA,0.32608695652173914,46
Bo-Ung,boun1245,Nuclear Trans New Guinea,0.42857142857142855,14
Selkup,selk1253,Uralic,0.34375,32
Chihuahua Pima Bajo,chih1238,Uto-Aztecan,1,5
Nama (Papua New Guinea),nama1266,NA,0.2916666666666667,48
Motu,motu1246,Austronesian,0.34375,32
Grass Koiari,gras1249,Koiarian,0.2553191489361702,47
Mali,mali1284,NA,0.5625,16
Mungiki,mung1270,Austronesian,0.4166666666666667,12
Tahitian,tahi1242,Austronesian,0.225,40
North Efate,nort2836,Austronesian,0.4666666666666667,30
Kwasio,kwas1243,Atlantic-Congo,0.3125,48
Galela,gale1259,North Halmahera,0.375,48
Bilua,bilu1245,Bilua,0.28125,32
Teiwa,teiw1235,NA,0.3181818181818182,44
Avestan,aves1237,Indo-European,0.325,40
Kodava,koda1255,Dravidian,0.6428571428571429,28
Punu,punu1239,Atlantic-Congo,0.24,25
Choctaw,choc1276,NA,0.53125,32
Meadow Mari,gras1239,Uralic,0.8125,32
Sira,sira1266,Atlantic-Congo,0.4,10
Usarufa,usar1243,Nuclear Trans New Guinea,0.4444444444444444,36
Lubuagan Kalinga,lubu1243,Austronesian,0.375,24
Paakantyi,darl1243,Pama-Nyungan,0.6071428571428571,28
Parakanã,para1312,Tupian,0.5333333333333333,30
Cahuilla,cahu1264,Uto-Aztecan,0.5319148936170213,47
Mescalero-Chiricahua Apache,mesc1238,NA,0.2708333333333333,48
Nyakyusa-Ngonde,nyak1260,Atlantic-Congo,0.43478260869565216,46
Yuwaalaraay-Gamilaraay,gami1243,Pama-Nyungan,0.4871794871794872,39
Korafe,kora1295,Nuclear Trans New Guinea,0.2916666666666667,48
Wagaya,waga1260,Pama-Nyungan,0.45,40
Cebuano,cebu1242,Austronesian,0.2708333333333333,48
