language,glottocode,family,prop,n_kintypes
simulation_0,na,na,0.3541666666666667,48
simulation_1,na,na,0.2708333333333333,48
simulation_2,na,na,0.3541666666666667,48
simulation_3,na,na,0.3541666666666667,48
simulation_4,na,na,0.3125,48
simulation_5,na,na,0.3125,48
simulation_6,na,na,0.3958333333333333,48
simulation_7,na,na,0.4166666666666667,48
simulation_8,na,na,0.3125,48
simulation_9,na,na,0.2708333333333333,48
simulation_10,na,na,0.3125,48
simulation_11,na,na,0.2708333333333333,48
simulation_12,na,na,0.2916666666666667,48
simulation_13,na,na,0.3125,48
simulation_14,na,na,0.3541666666666667,48
simulation_15,na,na,0.2916666666666667,48
simulation_16,na,na,0.375,48
simulation_17,na,na,0.3333333333333333,48
simulation_18,na,na,0.25,48
simulation_19,na,na,0.3541666666666667,48
simulation_20,na,na,0.2708333333333333,48
simulation_21,na,na,0.2916666666666667,48
simulation_22,na,na,0.3958333333333333,48
simulation_23,na,na,0.4166666666666667,48
simulation_24,na,na,0.3333333333333333,48
simulation_25,na,na,0.2708333333333333,48
simulation_26,na,na,0.3125,48
simulation_27,na,na,0.3333333333333333,48
simulation_28,na,na,0.3125,48
simulation_29,na,na,0.3958333333333333,48
simulation_30,na,na,0.2916666666666667,48
simulation_31,na,na,0.3125,48
simulation_32,na,na,0.2708333333333333,48
simulation_33,na,na,0.2916666666666667,48
simulation_34,na,na,0.2708333333333333,48
simulation_35,na,na,0.375,48
simulation_36,na,na,0.3125,48
simulation_37,na,na,0.3125,48
simulation_38,na,na,0.3541666666666667,48
simulation_39,na,na,0.3541666666666667,48
simulation_40,na,na,0.2916666666666667,48
simulation_41,na,na,0.3333333333333333,48
simulation_42,na,na,0.2916666666666667,48
simulation_43,na,na,0.4375,48
simulation_44,na,na,0.3333333333333333,48
simulation_45,na,na,0.25,48
simulation_46,na,na,0.3333333333333333,48
simulation_47,na,na,0.3333333333333333,48
simulation_48,na,na,0.3333333333333333,48
simulation_49,na,na,0.3958333333333333,48
simulation_50,na,na,0.2916666666666667,48
simulation_51,na,na,0.3541666666666667,48
simulation_52,na,na,0.3125,48
simulation_53,na,na,0.3333333333333333,48
simulation_54,na,na,0.3333333333333333,48
simulation_55,na,na,0.3333333333333333,48
simulation_56,na,na,0.2916666666666667,48
simulation_57,na,na,0.3125,48
simulation_58,na,na,0.3541666666666667,48
simulation_59,na,na,0.3125,48
simulation_60,na,na,0.2708333333333333,48
simulation_61,na,na,0.3125,48
simulation_62,na,na,0.2708333333333333,48
simulation_63,na,na,0.3333333333333333,48
simulation_64,na,na,0.3541666666666667,48
simulation_65,na,na,0.4166666666666667,48
simulation_66,na,na,0.3541666666666667,48
simulation_67,na,na,0.2916666666666667,48
simulation_68,na,na,0.3125,48
simulation_69,na,na,0.3958333333333333,48
simulation_70,na,na,0.3125,48
simulation_71,na,na,0.3541666666666667,48
simulation_72,na,na,0.3333333333333333,48
simulation_73,na,na,0.375,48
simulation_74,na,na,0.3333333333333333,48
simulation_75,na,na,0.2708333333333333,48
simulation_76,na,na,0.4375,48
simulation_77,na,na,0.4166666666666667,48
simulation_78,na,na,0.3125,48
simulation_79,na,na,0.3125,48
simulation_80,na,na,0.3541666666666667,48
simulation_81,na,na,0.3125,48
simulation_82,na,na,0.2708333333333333,48
simulation_83,na,na,0.375,48
simulation_84,na,na,0.375,48
simulation_85,na,na,0.3125,48
simulation_86,na,na,0.3125,48
simulation_87,na,na,0.375,48
simulation_88,na,na,0.3333333333333333,48
simulation_89,na,na,0.3541666666666667,48
simulation_90,na,na,0.2916666666666667,48
simulation_91,na,na,0.3333333333333333,48
simulation_92,na,na,0.3125,48
simulation_93,na,na,0.3541666666666667,48
simulation_94,na,na,0.3541666666666667,48
simulation_95,na,na,0.2708333333333333,48
simulation_96,na,na,0.3333333333333333,48
simulation_97,na,na,0.375,48
simulation_98,na,na,0.3541666666666667,48
simulation_99,na,na,0.3125,48
simulation_100,na,na,0.2916666666666667,48
simulation_101,na,na,0.3333333333333333,48
simulation_102,na,na,0.3958333333333333,48
simulation_103,na,na,0.3125,48
simulation_104,na,na,0.2708333333333333,48
simulation_105,na,na,0.3333333333333333,48
simulation_106,na,na,0.3125,48
simulation_107,na,na,0.2916666666666667,48
simulation_108,na,na,0.3333333333333333,48
simulation_109,na,na,0.2916666666666667,48
simulation_110,na,na,0.3333333333333333,48
simulation_111,na,na,0.3333333333333333,48
simulation_112,na,na,0.375,48
simulation_113,na,na,0.3125,48
simulation_114,na,na,0.3125,48
simulation_115,na,na,0.2916666666666667,48
simulation_116,na,na,0.3541666666666667,48
simulation_117,na,na,0.3541666666666667,48
simulation_118,na,na,0.375,48
simulation_119,na,na,0.3125,48
simulation_120,na,na,0.2916666666666667,48
simulation_121,na,na,0.2916666666666667,48
simulation_122,na,na,0.3541666666666667,48
simulation_123,na,na,0.2916666666666667,48
simulation_124,na,na,0.2916666666666667,48
simulation_125,na,na,0.3333333333333333,48
simulation_126,na,na,0.3541666666666667,48
simulation_127,na,na,0.3125,48
simulation_128,na,na,0.2916666666666667,48
simulation_129,na,na,0.2916666666666667,48
simulation_130,na,na,0.3541666666666667,48
simulation_131,na,na,0.2708333333333333,48
simulation_132,na,na,0.2916666666666667,48
simulation_133,na,na,0.3125,48
simulation_134,na,na,0.3125,48
simulation_135,na,na,0.3125,48
simulation_136,na,na,0.3541666666666667,48
simulation_137,na,na,0.2916666666666667,48
simulation_138,na,na,0.3541666666666667,48
simulation_139,na,na,0.3333333333333333,48
simulation_140,na,na,0.3125,48
simulation_141,na,na,0.3125,48
simulation_142,na,na,0.25,48
simulation_143,na,na,0.3125,48
simulation_144,na,na,0.3125,48
simulation_145,na,na,0.3541666666666667,48
simulation_146,na,na,0.3333333333333333,48
simulation_147,na,na,0.3125,48
simulation_148,na,na,0.2708333333333333,48
simulation_149,na,na,0.2916666666666667,48
simulation_150,na,na,0.3333333333333333,48
simulation_151,na,na,0.3333333333333333,48
simulation_152,na,na,0.25,48
simulation_153,na,na,0.3125,48
simulation_154,na,na,0.3333333333333333,48
simulation_155,na,na,0.375,48
simulation_156,na,na,0.2916666666666667,48
simulation_157,na,na,0.375,48
simulation_158,na,na,0.3125,48
simulation_159,na,na,0.3125,48
simulation_160,na,na,0.2916666666666667,48
simulation_161,na,na,0.2916666666666667,48
simulation_162,na,na,0.3125,48
simulation_163,na,na,0.2916666666666667,48
simulation_164,na,na,0.2708333333333333,48
simulation_165,na,na,0.3125,48
simulation_166,na,na,0.3125,48
simulation_167,na,na,0.2708333333333333,48
simulation_168,na,na,0.3333333333333333,48
simulation_169,na,na,0.3333333333333333,48
simulation_170,na,na,0.3958333333333333,48
simulation_171,na,na,0.3958333333333333,48
simulation_172,na,na,0.375,48
simulation_173,na,na,0.3541666666666667,48
simulation_174,na,na,0.3958333333333333,48
simulation_175,na,na,0.3333333333333333,48
simulation_176,na,na,0.3541666666666667,48
simulation_177,na,na,0.375,48
simulation_178,na,na,0.3541666666666667,48
simulation_179,na,na,0.375,48
simulation_180,na,na,0.375,48
simulation_181,na,na,0.3541666666666667,48
simulation_182,na,na,0.2708333333333333,48
simulation_183,na,na,0.2916666666666667,48
simulation_184,na,na,0.375,48
simulation_185,na,na,0.2916666666666667,48
simulation_186,na,na,0.3958333333333333,48
simulation_187,na,na,0.3125,48
simulation_188,na,na,0.375,48
simulation_189,na,na,0.3958333333333333,48
simulation_190,na,na,0.375,48
simulation_191,na,na,0.2916666666666667,48
simulation_192,na,na,0.375,48
simulation_193,na,na,0.2916666666666667,48
simulation_194,na,na,0.3333333333333333,48
simulation_195,na,na,0.3333333333333333,48
simulation_196,na,na,0.25,48
simulation_197,na,na,0.3333333333333333,48
simulation_198,na,na,0.3333333333333333,48
