language,code,gender,speaker_gender,side,generation,age,lineal,result,simulation
Wersing,wers1238,0.026636764454673716,0.0,0.0,0.8184180259498177,0.15494520959550853,0.0,0.6776572118665551,n
Cocopa,coco1261,0.06589357098798276,0.0,0.032795538717112785,0.6153911698587895,0.1985682284141886,0.08735149202192613,0.4973702136946895,n
Dhuwal,dhuw1249,0.021748642426108192,0.0,0.08254139240469627,0.6748960692357105,0.0,0.22081389593348494,0.6175371234310145,n
Rapanui,rapa1244,0.17388732072025667,0.0,0.0,0.7821606346198119,0.013291715681310257,0.030660328978621216,0.8209443235450675,n
Cinta Larga,cint1239,0.3956261253361245,0.11089147358273829,0.0,0.4934824010811372,0.0,0.0,0.25540577071688514,n
Kerewe,kere1283,0.2433621921185859,0.0,0.05903499949344073,0.5716148784144763,0.0,0.12598792997349703,0.5586118666385652,n
Suki,suki1245,0.16529324531187464,0.0,0.06927119676687045,0.6053435864574146,0.16009197146384016,0.0,0.3128311436765864,n
Kaiwá,kaiw1246,0.12823003876349698,0.08959508950049569,0.17622224744351375,0.6059526242924936,0.0,0.0,0.3899149817517321,n
Malapandaram,mala1468,0.2552450406645039,0.0,0.06510142650800317,0.5612129691274177,0.044297071134679025,0.0741434925653963,0.4294838278432601,n
Sie,siee1239,0.07237522312492817,0.026315403062347704,0.054852737851071344,0.5824712245820165,0.0,0.26398541137963627,0.3960585609030672,n
Ngoni,ngon1269,0.0,0.0,0.007655138097235214,0.9661136664801857,0.0,0.02623119542257907,0.9179928971562508,n
Paluai,balu1257,0.07726691489363904,0.0,0.02966626657863709,0.8194645773690612,0.03494249783360198,0.03865974332506072,0.49991804496604075,n
Anuta,anut1237,0.18426682175166065,0.06332676488101019,0.03105508849322915,0.5857788023538838,0.0,0.13557252252021618,0.4096692511412272,n
Barí,bari1297,0.04237343074762665,0.0,0.015118953178377019,0.6608257413557619,0.0,0.2816818747182344,0.7261395307753027,n
Kiai,fort1240,0.024287842912055473,0.0,0.008117234406747874,0.8473368036267499,0.0,0.12025811905444678,0.6203213136729496,n
Maskelynes,mask1242,0.09207810133084258,0.0,0.137466564117513,0.7271796437323642,0.0,0.0432756908192802,0.6836300368319677,n
Binongan Itneg,bino1237,0.054794718279540584,0.0,0.0,0.7978998647739847,0.0,0.14730541694647484,0.7556897998871591,n
Old High German (ca. 750-1050),oldh1241,0.17469871198739462,0.0,0.015023905622722211,0.623290294146064,0.18698708824381918,0.0,0.8240412707698296,n
Xibe,xibe1242,0.33807094550816774,0.0,0.043562523637184034,0.315112262812493,0.0,0.3032542680421553,0.4096251697496969,n
Ganda,gand1255,0.08085541237569914,0.0,0.15324646362882496,0.6401077809299888,0.0,0.12579034306548695,0.49485922368831703,n
Eastern Yiddish,east2295,0.055327400053411156,0.0,0.006106543219961019,0.632491192103572,0.0,0.30607486462305594,0.7354532523951376,n
Lala-Bisa,lala1264,0.16037138239992163,0.0,0.15359883444119718,0.6594361532513664,0.0,0.026593629907514814,0.4407144211781066,n
Fipa,fipa1238,0.07014952183106013,0.0,0.06169053733684226,0.8014571383873615,0.0,0.06670280244473616,0.5882735221709446,n
Zinza,zinz1238,0.168762813014541,0.0,0.0,0.7917474427439829,0.0,0.039489744241475944,0.6631962482135136,n
Selk'nam,onaa1245,0.06169505816158709,0.0,0.00535395861788738,0.7618806600264029,0.0,0.17107032319412263,0.7013057649428349,n
Comanche,coma1245,0.13086512488960844,0.06297074541541652,0.17176254322655915,0.5253152031310926,0.0,0.1090863833373233,0.4555745206318629,n
Jurúna,juru1256,0.1772649950555777,0.12390026614712835,0.0851641893227264,0.6136705494745675,0.0,0.0,0.3020715628298596,n
Sindhi,sind1272,0.17727582625705762,0.0,0.29302963405147886,0.3770227172104424,0.0,0.15267182248102107,0.46253571248642866,n
Highland Puebla Nahuatl,high1278,0.04079304404913905,0.0,0.004857117906562169,0.654658839756011,0.0,0.2996909982882879,0.8476970549502557,n
West Futuna,west2515,0.018713542622268275,0.010329259063158791,0.038942334288869195,0.9320148640257037,0.0,0.0,0.31948212137664667,n
Hunza,hunz1248,0.044382712301591035,0.0,0.02785282313842761,0.6872329367110972,0.240531527848884,0.0,0.7631621937260908,n
Tamambo,malo1243,0.21678962103004623,0.0,0.19086790199077336,0.5584761504868478,0.0,0.03386632649233259,0.4395124501550825,n
East Ambae,east2443,0.1535020775909644,0.0,0.10894284650867854,0.7375550759003571,0.0,0.0,0.5727816885762256,n
Macushi,macu1259,0.06865621900180238,0.0,0.00806710187229753,0.6372671301215981,0.0,0.28600954900430203,0.6702415282053636,n
Yuracaré,yura1255,0.22185134671288134,0.0703801066814643,0.0,0.47428218384992504,0.0,0.2334863627557293,0.2729049189992528,n
Carolinian,caro1242,0.10389698704128572,0.0,0.0,0.7792200112684473,0.1168830016902671,0.0,0.9898267954640747,n
Maybrat-Karon,maib1239,0.04726181259528398,0.0,0.2015617154839117,0.7511764719208044,0.0,0.0,0.35370227339730975,n
Casiguran-Nagtipunan Agta,casi1235,0.031231542450662696,0.0,0.0,0.786879841817172,0.0015513177941751243,0.18033729793799025,0.7029396169551159,n
Daakie,port1286,0.12274136264393373,0.00783678935892982,0.189520268111697,0.6102942027664464,0.0,0.06960737711899316,0.3660303132379231,n
Kuot,kuot1243,0.09185140955120338,0.0,0.1040750160882392,0.7005834588788962,0.0,0.10349011548166133,0.41567155090427277,n
Idi,nucl1597,0.03498387046544657,0.0,0.28894591350590776,0.5399994299070895,0.06565874376094885,0.07041204236060745,0.3567045595170316,n
Laiwui,laiw1239,0.07807406085047985,0.0,0.0,0.815305866080987,0.1066200730685332,0.0,0.6373911299010813,n
Māngarongaro,penr1237,0.20567944041850478,0.03487865382698345,0.0,0.6463874323239254,0.0,0.11305447343058632,0.5850624312062958,n
Kazym-Berezover-Suryskarer Khanty,khan1273,0.09398932910880885,0.0,0.011051810810925171,0.7363436786973331,0.0,0.15861518138293276,0.6247115368956313,n
Western Keres,west2632,0.15737864373090135,0.0,0.09629720411352657,0.6712025370195563,0.0,0.07512161513601578,0.5902866712733937,n
Odia,oriy1255,0.15856894838674399,0.0,0.10421150237598101,0.5297385509554011,0.0,0.20748099828187389,0.6507580688072442,n
Tocantins Asurini,toca1235,0.04009745556109475,0.02169074612171267,0.13321888727283349,0.7528726365687264,0.0,0.05212027447563273,0.4551549754980719,n
Au,auuu1241,0.08881745808670415,0.0,0.16323831637748248,0.7479442255358134,0.0,0.0,0.5851680175796217,n
Waia (Bungku),waia1242,0.12775074877359585,0.0,0.0,0.7662889366768298,0.05604864901250333,0.04991166553707105,0.5200412490267434,n
Southern Cook Island Maori,raro1241,0.08881514221538916,0.037780493485917624,0.0,0.7726707014547616,0.0,0.10073366284393159,0.7252720455164419,n
Sonsorol,sons1242,0.006873563901706774,0.0,0.025823249675590583,0.5530500817680959,0.0,0.4142531046546067,0.8004827964707033,n
Batanga,bata1285,0.1127630296591611,0.0,0.03240161521909908,0.34972731925571054,0.12498360914280128,0.380124426723228,0.6168740500465595,n
Yanomám,yano1262,0.11923791952509828,0.0,0.10750225411942765,0.7732598263554741,0.0,0.0,0.8175146210169991,n
Bunganditj,bung1264,0.06485697468842827,0.0,0.09217248004495215,0.5371838726802177,0.0,0.30578667258640185,0.5723287154200296,n
Indonesian Bajau,indo1317,0.0048836684688178976,0.0,0.0,0.667869183114416,0.025528660265155337,0.30171848815161073,0.7643013555957847,n
Malgana,malg1242,0.08396101929720481,0.0,0.0,0.7160403609403312,0.19999861976246391,0.0,0.39986974048226237,n
Bandjalangic,band1339,0.07948770050220015,0.0,0.0195869393053212,0.6499572891625826,0.0,0.25096807102989604,0.6278458832480516,n
Cahuilla,cahu1264,0.0732145948910238,0.0,0.022543623910129068,0.6273193570963415,0.027637278096260813,0.24928514600624496,0.4117592611703321,n
Frisian,fris1239,0.374344422966137,0.0,0.0,0.3541911942227249,0.0,0.27146438281113816,0.5636470726606063,n
Icelandic,icel1247,0.07765215242534958,0.0,0.04151250903213382,0.6942476711059252,0.0,0.18658766743659144,0.7066757443483656,n
Ga'dang,gada1258,0.020737596780442777,0.0,0.0,0.7177798891587925,0.0,0.2614825140607647,0.7452002684554686,n
Tahitian,tahi1242,0.14638768532690044,0.01728376494658714,0.0,0.775485965598954,0.0,0.060842584127558316,0.7505271597589784,n
Northern Tepehuan,nort2959,0.22175698452213768,0.0,0.15457801609540944,0.40914718878215955,0.02370484480599907,0.19081296579429427,0.4328484274046583,n
Prai,phai1238,0.12106953997945256,0.0,0.0,0.7784209100938011,0.0,0.1005095499267463,0.6854468322823751,n
Tohono O'odham,toho1245,0.0465654292612628,0.0,0.2144703343643844,0.5685329816684777,0.0,0.1704312547058752,0.616627941175076,n
Andi,andi1255,0.06172216308544165,0.0,0.010529604357101515,0.7180420750466897,0.0,0.20970615751076707,0.6589884618855639,n
Eastern Pahari,east1436,0.11525688805264295,0.0,0.045406178013508436,0.7151840043202408,0.0,0.12415292961360783,0.7081289567157991,n
Spanish,stan1288,0.1653586761262571,0.0,0.0,0.6048046608579921,0.0,0.22983666301575073,0.8155588995107399,n
Sateré-Mawé,sate1243,0.2393671699966308,0.0,0.2093315315020982,0.39903317534446714,0.0,0.1522681231568039,0.33372728250787315,n
Bau-Jagoi Bidayuh,baub1235,0.24603061045813707,0.0,0.0,0.20520212484891687,0.548767264692946,0.0,0.7508236297027431,n
Mono-Alu,mono1273,0.09179482939128687,0.0,0.11374971478877308,0.6736357252572028,0.0,0.12081973056273719,0.5779751966501975,n
Agob-Ende-Kawam,agob1244,0.0,0.0,0.22221380706029087,0.7033778496414227,0.0010723866894314345,0.07333595660885496,0.3442942819822333,n
Watam,wata1253,0.15153701098680616,0.004819994486508797,0.04285086595853951,0.8007921285681455,0.0,0.0,0.6169793686545553,n
Oroko,orok1266,0.2552970571994114,0.0,0.16631416711209102,0.40042300539294196,0.04449144504366022,0.13347432525189531,1.0,n
Waorani,waor1240,0.05184738682191097,0.0,0.024983147417615814,0.6720765106148678,0.0,0.2510929551456052,0.6740080948580042,n
Njebi,njeb1242,0.1584566833344374,0.20511661003543208,0.24830671904225726,0.3881199875878733,0.0,0.0,0.32375915252045073,n
Jingulu,djin1251,0.5233560178350352,0.0,0.1866735822532671,0.2899703999116977,0.0,0.0,0.7310268515380127,n
Takuu,taku1257,0.014005270077212147,0.0,0.05828813200032163,0.7168282738630349,0.0,0.2108783240594312,0.6961130642138036,n
Djambarrpuyngu,djam1256,0.067603163494424,0.0,0.22207063794644818,0.47478788501595454,0.006009607812692658,0.22952870573048076,0.4479059962625025,n
Phende,phen1239,0.018802573652284386,0.0,0.00247595997594166,0.739941980489408,0.001791931582190469,0.23698755430017548,0.7926857384699662,n
Mudburra,mudb1240,0.010566163438246911,0.0,0.1650427725983296,0.6658103029282135,0.000331533071343926,0.15824922796386598,0.4918899099022281,n
Cherokee,cher1273,0.11233935155816101,0.0,0.05289216656161717,0.8347684818802218,0.0,0.0,0.548290894146465,n
North Efate,nort2836,0.09321687475162395,0.0,0.2557727555171691,0.6424865827547788,0.0,0.008523786976428303,0.5674110212318104,n
Ossetic,osse1245,0.3775749178982418,0.0,0.0,0.4208288567857122,0.0,0.20159622531604596,0.6427393856336625,n
Portuguese,port1283,0.14867394286817937,0.0,3.785323729557645e-05,0.638848179758845,0.0,0.2124400241356801,0.8788919186209944,n
West Coast Bajau,west2560,0.030719215025416198,0.0,0.0,0.7465040774581286,0.003155295352057988,0.2196214121643971,0.7930248521739802,n
Albanian,alba1267,0.16674831872873855,0.0,0.02239196942124905,0.6350445755727998,0.0,0.1758151362772126,0.62008670984417,n
Mota,mota1237,0.23176010793484633,0.0,0.18054867554802648,0.4973866614477363,0.0,0.09030455506939085,0.3263943962315786,n
Woleaian,wole1240,0.2450596233589042,0.0,0.0,0.654723781908818,0.0,0.10021659473227781,0.6146579872114335,n
Waru,waru1266,0.12173780520748782,0.0,0.0,0.7785457377318065,0.09971645706070567,0.0,0.5791784707867534,n
Miami,miam1252,0.17773018421747316,0.0,0.12270835438102837,0.6995614614014984,0.0,0.0,0.3691431173988786,n
Hunzib,hunz1247,0.0367795914367564,0.0,0.014403906320735283,0.7392356314144183,0.0,0.20958087082809007,0.7290867409010924,n
Warrnambool,warr1257,0.11722267066673152,0.0,0.2923454657613567,0.5224569095021246,0.0,0.0679749540697872,0.33657916382182984,n
Lower Grand Valley Dani,lowe1415,0.08585677172467784,0.010108492507325956,0.38513922151167634,0.5188955142563199,0.0,0.0,0.3976013371054652,n
Siwai,siwa1245,0.06761507214891456,0.0,0.15223345321691642,0.7801514746341691,0.0,0.0,0.39609697924625237,n
Copper Inuit,copp1244,0.2795296366114642,0.0,0.0,0.5528483996844139,0.0,0.1676219637041219,0.6149464852711083,n
Cheke Holo,chek1238,0.062345322412782136,0.0,0.16422772735519905,0.7655792999800117,0.0,0.007847650252007085,0.4856565926159407,n
Uma Juman,umaj1240,0.03746556391732168,0.0,0.0,0.8267834858256502,0.0,0.135750950257028,0.9082868480480657,n
Lamogai,lamo1244,0.0,0.0,0.15039381524530257,0.667233641815446,0.08199340154327976,0.10037914139597177,0.5418302139824936,n
Bannoni,bann1247,0.0010731401710134536,0.0,0.0013635015222660508,0.8144711994296107,0.0,0.18309215887710986,0.8154846467465449,n
Hidatsa,hida1246,0.2740191211619624,0.0,0.1584620198077836,0.5675188590302541,0.0,0.0,0.40395993486404747,n
Belarusian,bela1254,0.14411822514922273,0.0,0.0,0.6593906175987331,0.0,0.1964911572520443,0.8107040334553346,n
Mbyá Guaraní,mbya1239,0.02162550165894895,0.0206294285477054,0.05402304101784779,0.9037220287754979,0.0,0.0,0.4097982257377276,n
Midob,mido1240,0.21162083830458006,0.0,0.1420158471147818,0.34995239392715477,0.0014852193514786009,0.29492570130200485,0.5377494459545825,n
Chavacano,chav1241,0.18768068410084332,0.0,0.0,0.5452250420849913,0.0016234904547912392,0.265470783359374,0.8271913057705693,n
Epena,epen1239,0.06004286817540906,0.0,0.013266106797505556,0.5216053908259339,0.40508563420115146,0.0,0.8319123896035827,n
Wambayan,wamb1258,0.3571746660132641,0.0,0.15044899882305232,0.4544228886996801,0.0,0.037953446464003567,0.524385971236638,n
Hiw,hiww1237,0.026392605688403015,0.10582690067188336,0.04999395968282362,0.81778653395689,0.0,0.0,0.646200565695531,n
Jaru,jaru1254,0.17075867273547352,0.013821833843281308,0.17576353276257073,0.5948029974708071,0.0,0.04485296318786744,0.245888673651671,n
Veps,veps1250,0.38036204312108074,0.0,0.0,0.6196379568789193,0.0,0.0,0.5688616549437773,n
Weda,weda1240,0.24815971291176023,0.0,0.0,0.6167730707203972,0.0,0.13506721636784252,0.6714509253978783,n
Kalkutung,kalk1246,0.16268288907544207,0.0,0.10367416221556774,0.6898345414974952,0.0,0.04380840721149499,0.4191879829392858,n
Wirangu,wira1265,0.21161816911210674,0.0,0.005540570759617729,0.6299857904265836,0.0,0.1528554697016919,0.4687035761941457,n
Baffin Inuktitut,baff1241,0.07939319834543482,0.0,0.12847527813522433,0.6056401061956271,0.0,0.1864914173237136,0.41205079603313854,n
Tlingit,tlin1245,0.10102427660779356,0.0,0.08436575572582107,0.6356183592913965,0.0,0.1789916083749888,0.47641833609379747,n
Magam,maga1262,0.1921426040625683,0.0,0.13566220161208742,0.6721951943253444,0.0,0.0,0.510370629964832,n
Totoli,toto1304,0.012284443957508332,0.0,0.0,0.6718540316685586,0.028987087461775612,0.2868744369121573,0.7286667460090965,n
Motu,motu1246,0.059774678455287916,0.0,0.13580221288490354,0.7949612359649071,0.0,0.009461872694901457,0.424642426415735,n
Angaité,anga1316,0.29914195885331857,0.0,0.024452068311539874,0.4505272179864264,0.0,0.2258787548487151,0.4763807786099625,n
Dehu,dehu1237,0.033959902621140466,0.0,0.0,0.9660400973788597,0.0,0.0,0.781821620298245,n
Ngarluma,ngar1287,0.1172299965830466,0.0,0.284219493219899,0.5021097218077353,0.0,0.0964407883893192,0.36374209051949974,n
Ngamini-Yarluyandi-Karangura,ngam1265,0.007945521222191857,0.0,0.03815905962080388,0.559835128360294,0.021437161628472187,0.3726231291682381,0.48002600097181825,n
Karadjeri,kara1476,0.03443513182066699,0.0,0.16839375388100083,0.4602561593757299,0.0,0.3369149549226023,0.37521548989853765,n
Omaha-Ponca,omah1247,0.13233360819321122,0.0,0.10893176003993313,0.7587346317668556,0.0,0.0,0.4335518515422649,n
Hittite,hitt1242,0.032681465325583095,0.0,0.003131790025470554,0.45807523503026243,0.0,0.5061115096186839,0.7291115726422902,n
Bamun,bamu1253,0.0,0.0,0.12340115975769853,0.3043686692790676,0.47614997702169637,0.0960801939415375,0.9669498584083114,n
Umbundu,umbu1257,0.0806353597192041,0.0,0.0,0.7777017495399337,0.0,0.1416628907408623,0.7220867897195881,n
Tsogo,tsog1243,0.1083240188918054,0.0,0.4310265313774954,0.46064944973069905,0.0,0.0,0.6607389453906001,n
Kiowa Apache,kiow1264,0.112471471197191,0.0,0.3615024902466658,0.3145085689727267,0.0,0.2115174695834164,0.3559746235445056,n
Sa,saaa1241,0.18868246430519192,0.0,0.24915512797049497,0.562162407724313,0.0,0.0,0.3620017927209548,n
Bilua,bilu1245,0.07375680511806433,0.0,0.0652000627696536,0.8173100880210625,0.043733044091219586,0.0,0.7412739430216222,n
Car Nicobarese,carn1240,0.1572820282699284,0.0,0.16521706439699563,0.6151355465957734,0.062365360737302575,0.0,0.52971193094145,n
Toda,toda1252,0.03429701842781022,0.0,0.016616124411809936,0.6241172371248829,0.02127232106347151,0.3036972989720255,0.6749183439308281,n
Western Apache,west2615,0.09593141813595349,0.0,0.3764545989405801,0.41587068872403377,0.0,0.11174329419943262,0.22167863015938852,n
Meskwaki,mesk1242,0.15958333520370474,0.0,0.14990419467931923,0.6905124701169759,0.0,0.0,0.4694722180960612,n
Ganggalida,gang1267,0.09328810906865008,0.0,0.20491235807025324,0.7017995328610968,0.0,0.0,0.317629030023833,n
Umbu-Ungu,umbu1258,0.10066756129693726,0.0,0.0,0.8993324387030628,0.0,0.0,0.46845187245064546,n
Yaqui,yaqu1251,0.07011428618962516,0.0,0.19341611353739604,0.3897629442803039,0.2983041532101823,0.04840250278249264,0.2820687699124235,n
Kumaoni,kuma1273,0.1713282476730539,0.0,0.028574154714171077,0.5236285467583535,0.2764690508544215,0.0,0.558569133437723,n
Elamite,elam1244,0.029371501202107863,0.0,0.0,0.44912933442452124,0.0,0.521499164373371,0.81552561807284,n
Rennell-Bellona,renn1242,0.10921156144640898,0.05570384611122511,0.03556853969633349,0.7421312001384515,0.0,0.05738485260758091,0.4052257962224839,n
Western Shoshoni,west2622,0.15,0.0,0.05,0.25,0.35,0.2,,n
Yele,yele1255,0.20083988318707272,0.0,0.15189744658426768,0.6472626702286597,0.0,0.0,0.21845426213407793,n
Tetun Dili,tetu1246,0.04660060818751978,0.0,0.0038335641826088363,0.8444388976337737,0.003625801915742891,0.10150112808035479,0.6334765658469829,n
Riuk Bekati',beka1241,0.00036052217999620994,0.0,0.0051079203602522535,0.6471490435434846,0.10208280930060272,0.2452997046156642,0.7504414460803525,n
Archi,arch1244,0.050695747254673774,0.0,0.011991910270572784,0.7380273387662796,0.0,0.19928500370847396,0.7677526142509374,n
Abui,abui1241,0.012852464312227864,0.0,0.04272904074209162,0.9335480246262586,0.010870470319422074,0.0,0.7279550887865023,n
Bininj Kun-Wok,gunw1252,0.04071384724726705,0.0,0.2637012272932714,0.6955849254594615,0.0,0.0,0.5721947653398789,n
Neme,neme1244,0.024681959682040986,0.0,0.31472334117227946,0.49271338584495983,0.0,0.16788131330071976,0.34650951118933515,n
Amis,amis1246,0.07850851319981542,0.0,0.014714222676456466,0.424576309760141,0.43865530261382624,0.04354565174976083,0.8087987934474542,n
Nuu-chah-nulth,nuuc1236,0.050632623516741464,0.0,0.0,0.6790928800028221,0.0,0.27027449648043633,0.7744141606586513,n
Yorta Yorta,yort1237,0.16498470850347743,0.0,0.14221284062812126,0.545934296668699,0.14686815419970245,0.0,0.5346722917846491,n
Ifugaw,ifug1247,0.0,0.0,0.00014735951695912973,0.9293350000723776,0.0,0.07051764041066315,0.809219664818589,n
Akkadian,akka1240,0.0682880386204525,0.2833161975429995,0.0,0.42220099554476914,0.014625418181911386,0.21156935010986747,0.49521655496394323,n
Ojibwa,ojib1241,0.15634281218576576,0.0,0.06421251790581496,0.6800395131348893,0.0,0.09940515677352992,0.39273253010384784,n
Lipan Apache,lipa1241,0.2920293115401832,0.0,0.09440992240945933,0.4937049641621257,0.0,0.11985580188823176,0.4286814301471634,n
Páez,paez1247,0.021291749180502546,0.0,0.016915101381955157,0.9292682588385635,0.0,0.032524890598978895,0.878072114429509,n
Pitjantjatjara,pitj1243,0.16134454317005012,0.0,0.04873509751434578,0.6669292634853341,0.022739091374285526,0.10025200445598438,0.3966301090470796,n
Djinang,djin1253,0.04425665175628939,0.0,0.4266836263089455,0.4191306064285458,0.0,0.10992911550621925,0.4264260340102597,n
Sunwadia,mari1426,0.018955958499658233,0.0,0.16551959010231448,0.8155244513980273,0.0,0.0,0.3688149519443401,n
Seki,seki1238,0.0751356329579205,0.00845185652019042,0.5090293109456558,0.4073831995762333,0.0,0.0,0.6613119353230239,n
English,stan1293,0.07259293852423442,0.0,0.0,0.731233431977228,0.0,0.1961736294985376,0.6657839301266621,n
Taiap,taia1239,0.09245146262030177,0.0,0.0,0.8713941500291081,0.0,0.03615438735059014,0.6727219078531907,n
Mundurukú,mund1330,0.24957815176548018,0.19339718349716847,0.0,0.40252730638525136,0.08279629116201237,0.07170106719008763,0.36990840675430436,n
Walloon,wall1255,0.06834912897942892,0.0,0.0,0.6168195898193277,0.0,0.3148312812012434,0.7591091832370477,n
Sibe,sibe1248,0.15832761902085388,0.0,0.14018878142385113,0.7014835995552949,0.0,0.0,0.40306806943530576,n
Doutai,dout1240,0.09600331463321493,0.014660855471703283,0.07410750617491303,0.6636243608759238,0.14080008603137378,0.01080387681287121,0.4526309201687505,n
Jingpho,jing1260,0.02538637301946892,0.16996790400914796,0.1779812253369068,0.3808380079939962,0.24582648964048012,0.0,0.3591562669435332,n
Gumatj,guma1253,0.11722050330987949,0.0,0.3282723737144551,0.5279435535525123,0.005558562836063807,0.021005006587089325,0.4918943315871702,n
Uripiv-Wala-Rano-Atchin,urip1239,0.07591094412307951,0.0022635288878288667,0.0720319389209794,0.6776541373248244,0.0,0.17213945074328785,0.44334483299849364,n
Shipibo-Conibo,ship1254,0.09736844347806484,0.0,0.029429484412425027,0.6453293655224873,0.0,0.2278727065870229,0.703968778958164,n
Southeastern Tepehuan,sout2976,0.016500094038269315,0.0,0.027019390506987564,0.7335843492717755,0.0,0.22289616618296765,0.6067493995915816,n
Ahin-Kayapa Kalanguya,ahin1234,0.005394461473343089,0.0,0.0,0.6681304881181277,0.01071412656431523,0.31576092384421395,0.8325125429044341,n
North Slavey,nort2942,0.1482282860237695,0.0,0.019485677912300266,0.6749866180917136,0.0,0.15729941797221664,0.5880632587472943,n
Pendau,pend1242,0.009837485266271654,0.0,0.0,0.7473680131852017,0.0058494341335604445,0.23694506741496618,0.761881440552612,n
Eastern Armenian,nucl1235,0.061593157041200455,0.0,0.0,0.6976838413822444,0.0,0.24072300157655516,0.7521824452374843,n
Dandami Maria,dand1238,0.18730130836426712,0.0,0.024227045375218543,0.5580196552689042,0.004322463657969383,0.22612952733364075,0.4922519291837745,n
Kinshasa Lingala,ling1263,0.009863256042735602,0.0,0.01172234681175493,0.6620504051465987,0.012288576532411458,0.30407541546649924,0.6648964469300562,n
Nengone,neng1238,0.0454077607206686,0.0,0.051633066535323575,0.7476059499383947,0.0,0.15535322280561317,0.5349763894821469,n
Pitta Pitta,pitt1247,0.16446090958335885,0.0,0.07059394279678997,0.7518515241190691,0.0,0.01309362350078214,0.38537226191963403,n
Hinuq,hinu1240,0.05514874488493033,0.0,0.00782141881139973,0.7224940732389936,0.0,0.21453576306467637,0.7497088197340234,n
Modern Greek,mode1248,0.17879388689297826,0.0,0.0,0.7091719868812996,0.0,0.11203412622572209,0.8713560845299027,n
Cayubaba,cayu1262,0.03623297077223598,0.0,0.005193276528773935,0.5796570651262848,0.0,0.3789166875727053,0.764999712634169,n
North Marquesan,nort2845,0.26975131021855464,0.0725260170843419,0.01754719777139773,0.5501296968969864,0.0,0.09004577802871944,0.44784741970923925,n
Hano,hano1246,0.08207587767188118,0.07689259780549229,0.13795759164238106,0.7030739328802456,0.0,0.0,0.3001405687303904,n
Woods Cree,wood1236,0.07120295234194722,0.0,0.07211607143672684,0.7958477000768696,0.0,0.060833276144456376,0.3646133464289373,n
East Uvean,wall1257,0.14381545249445538,0.014357580667538465,0.1293211173676949,0.7125058494703114,0.0,0.0,0.4588981460697949,n
Whitesands,whit1269,0.0027981793241011375,0.0,0.0,0.8581139655314429,0.0,0.1390878551444561,0.3747678915631139,n
