language,code,gender,speaker_gender,side,generation,age,lineal,result,simulation
Nsong,song1299,0.02548693755319627,0.0,0.00647895512076254,0.7012404876548705,0.0007545023202378712,0.2660391173509327,0.5918996305563547,n
Huichol,huic1243,0.04131969020818156,0.0,0.09507614524081838,0.20948928818790394,0.4932040587960282,0.16091081756706793,0.7237992641309259,n
Fore,fore1270,0.03623235302493746,0.0,0.051967802213994975,0.9117998447610675,0.0,0.0,0.5073722543501968,n
Sanskrit,sans1269,0.1743335749018132,0.0,0.1875486131959119,0.3967292443593363,0.0,0.24138856754293853,0.3556568198724337,n
Äiwoo,ayiw1239,0.4562696213873715,0.0,0.031235529166635443,0.432464867916222,0.0,0.08002998152977114,0.4307640128636779,n
Parakanã,para1312,0.11288581280672844,0.16645464270675833,0.06326357682043768,0.5793802573865405,0.0,0.07801571027953512,0.4520610298260377,n
Sangu (Gabon),sang1333,0.47895050161309916,1.4020127151107672e-08,0.5210494843667737,0.0,0.0,0.0,0.6597587548712427,n
Edopi,edop1238,0.02641441513995551,0.020000332557971262,0.0500350212570196,0.8641735161842754,0.03937671486077818,0.0,0.47722835391330554,n
Lake Miwok,lake1258,0.0,0.5405400438583603,0.4054059856484239,0.0,0.0,0.05405397049321583,0.8498365855982184,n
Tzeltal,tzel1254,0.155179435361298,0.04824091504286233,0.0,0.41876251149141375,0.0,0.377817138104426,0.728416732768516,n
Meriam,meri1244,0.09901599619372088,0.0,0.015691673543595335,0.8487037447887285,0.0,0.036588585473955194,0.5746664796095069,n
Russian,russ1263,0.11921705465027287,0.0,0.02148147464065535,0.6266692767358949,0.0,0.2326321939731769,0.7334649202550014,n
Pilagá,pila1245,0.04500250319525051,0.0,0.0,0.7948589093974026,0.003532025295905475,0.15660656211144158,0.7893135267379735,n
Satawalese,sata1237,0.0802464689894827,0.0,0.0,0.6749484001860542,0.0,0.24480513082446315,0.6784173650432288,n
Central Tarahumara,cent2131,0.1329944003963274,0.0,0.1402880497419328,0.5947059745053305,0.01557972629551288,0.11643184906089642,0.42711616566721927,n
Gela,gela1263,0.0021738116368984236,0.0,0.0,0.8110122851087807,0.0004067516718995606,0.18640715158242133,0.8559080014790256,n
Iban,iban1264,0.1490057943928672,0.0,0.0,0.6933104168608369,0.0,0.1576837887462959,0.7114725014606567,n
Kutenai,kute1249,0.12552668104938514,0.0,0.12086143255661254,0.6216802789528276,0.0,0.1319316074411749,0.2636211402221041,n
Mosetén-Chimané,mose1249,0.3381362714384634,0.0,0.08329665045506449,0.4590468454108432,0.00640116227544429,0.11311907042018457,0.37663134291921374,n
Puinave,puin1248,0.10800310052885201,0.0,0.029453259152713313,0.7712714158876409,0.0,0.0912722244307938,0.579247804190429,n
Emae,emae1237,0.0353818377676593,0.0,0.020576705547519877,0.8620928225944761,0.0,0.08194863409034471,0.9122262635399336,n
Tokharian B,tokh1243,0.29771963900548204,0.0,0.0,0.6687510413887061,0.0,0.03352931960581172,0.5878231266172899,n
