glottocode,family,language,generation,gender,lineal,gcr,seniority,speaker_gender,result
abui1241,NA,Abui,0.9335480246262586,0.01285246431222786,0,0.04272904074209162,0.01087047031942207,0,0.7279550887865023
ache1246,Tupian,Aché,0.7419183861959787,0.05644561133921245,0.15673344683826476,0.0094757319887773,0,0.03542682363776681,0.7032455304941254
achi1257,Austronesian,Acehnese,0.5539500929684713,0.21668252017814257,0.08086287544234533,0,0.1485045114110407,0,0.5975217869656011
achu1249,Chicham,Achuar,0.658717124281217,0.1909810617089614,0,0.01855838915357829,0.1317434248562434,0,0.7468107819640644
adan1251,NA,Adang,0.9038505610099103,0.01632830555627888,0,0.07982113343381085,0,0,0.5676646379569568
adny1235,Pama-Nyungan,Adnyamathanha,0.4167126075113447,0.049753879669454,0.42614451955925015,0.0993194385961905,0.00806955466376065,0,0.3429894784571904
afri1274,Indo-European,Afrikaans,0.34065952765522367,0.38299051972432374,0.2763499526204525,0,0,0,0.5741013825649183
aghu1253,Nakh-Daghestanian,Aghul,0.7334153236829907,0.04644565150147563,0.21697027625229132,0,0.0031687485632423,0,0.70057345730662135
agob1244,Pahoturi,Agob-Ende-Kawam,0.7033778496414227,0,0.07333595660885496,0.22221380706029087,0.00107238668943143,0,0.3442942819822333
agua1253,NA,Aguaruna,0.7013936420783229,0.04519420568922819,0.23620269341679231,0.0172094588156564,0,0,0.7520059271923416
ahin1234,Austronesian,Ahin-Kayapa Kalanguya,0.6681304881181277,0.00539446147334308,0.31576092384421395,0,0.01071412656431523,0,0.8325125429044341
akhv1239,Nakh-Daghestanian,Akhvakh,0.6846501959521982,0.0596732984092729,0.24719394528628624,0.00575782268415814,0.00272473766808458,0,0.7405723532170475
akka1240,Afro-Asiatic,Akkadian,0.42220099554476914,0.0682880386204525,0.2115693501098675,0,0.01462541818191138,0.2833161975429995,0.4952165549639432
akla1241,Austronesian,Aklanon,0.6488855678693259,0.11433636977494546,0.23677806235572857,0,0,0,0.770068403681167
alam1246,Sepik,Alamblak,0.7762867064457522,0.10932688015506706,0,0.11438641339918068,0,0,0.42076905634325346
alan1249,Austronesian,Alangan,0.6800605073203663,0.08933770332231211,0.2297824469080902,0,8.1934244923146e-4,0,0.6207090929535932
alba1267,Indo-European,Albanian,0.6350445755727998,0.16674831872873855,0.1758151362772126,0.02239196942124905,0,0,0.62008670984417
algo1255,Algic,Algonquin,0.6548337888445555,0.1886980930357484,0,0.15646811811969616,0,0,0.3675572301937483
alya1239,Pama-Nyungan,Alyawarr,0.3769037744684436,0.05531373277945577,0.13156407190755964,0.4362184208445411,0,0,0.4622316311128646
aman1265,Border,Amanab,0.6123261549172163,0.17052110799306897,0.03795166340997078,0,0.08919560959323299,0.09000546408651085,0.27941163288597387
amha1245,Afro-Asiatic,Amharic,0.4368208750570814,0.03819420133422173,0.5067948209437011,0.01819010266499584,0,0,0.7157061659436508
amis1246,Austronesian,Amis,0.424576309760141,0.07850851319981542,0.04354565174976083,0.01471422267645646,0.43865530261382624,0,0.8087987934474542
ampi1237,Austronesian,Ampibabo,0.7085327811408074,0.02813034568705335,0.2561794810288578,0,0.00715739214328137,0,0.7839354222422696
anam1249,Tupian,Anambé,0.3663234876739864,0.31768283007602743,0.15105988580383822,0.16493379644614803,0,0,0.3881141576206703
anci1242,Indo-European,Ancient Greek,0.5346540372714937,0.1464407718120478,0.31890519091645847,0,0,0,0.7530629470879524
ancu1238,Nakh-Daghestanian,Ancux,0.6533098050312108,0.04499858280286524,0.2884063889903517,0.01292642151838309,3.5880165718918e-4,0,0.6787651809885753
anda1281,Nakh-Daghestanian,Andalal-Gxdatl,0.7180417577280747,0.06172455157441239,0.20970500052138333,0.01052869017612961,0,0,0.6589884618930808
andi1255,Nakh-Daghestanian,Andi,0.7180420750466897,0.06172216308544165,0.20970615751076707,0.01052960435710151,0,0,0.6589884618855639
anei1239,Austronesian,Aneityum,0.6641907782240722,0.07525524593893158,0.23023374990909645,0.02391756048477477,0,0.00640266544312492,0.5407111265618549
anga1316,NA,Angaité,0.4505272179864264,0.29914195885331857,0.2258787548487151,0.02445206831153987,0,0,0.4763807786099625
aniw1237,Austronesian,Aniwa,0.6791614990240877,0.1936805770425536,0.00287195322066125,0.12428597071269742,0,0,0.4301320127019496
anut1237,Austronesian,Anuta,0.5857788023538838,0.18426682175166065,0.13557252252021618,0.03105508849322915,0,0.06332676488101019,0.4096692511412272
arab1267,Pama-Nyungan,Arabana,0.5631219921798317,0.09666961374159788,0.1848326813783388,0.15537571270023165,0,0,0.4279272307667503
arab1267,Pama-Nyungan,Arabana,0.5631219921798317,0.09666961374159788,0.1848326813783388,0.15537571270023165,0,0,0.4279272307667503
arak1252,Austronesian,Araki,0.5972957658714516,0.2220524583477899,0,0.1806517757807585,0,0,0.3437959742594029
araw1273,Tupian,Araweté,0.7167215091920969,0.16098634226500927,0.0025619035665663,0.07774992040664405,0,0.04198032456968353,0.4378998530183811
arch1244,Nakh-Daghestanian,Archi,0.7380273387662796,0.05069574725467377,0.19928500370847396,0.01199191027057278,0,0,0.7677526142509374
area1240,Austronesian,'Are'are,0.5049771751922436,0.06265718553572076,0.1870202606736241,0.2453453785984115,0,0,0.3830758146949381
arik1262,NA,Arikara,0.7908729108213436,0.15684672572630334,0.0293740825221664,0.02290628093018674,0,0,0.4289105252924425
aros1241,Austronesian,Arosi,0.6400723951003771,0.07365394411208626,0.14786628536580135,0.1384073754217354,0,0,0.5584061756523577
aser1237,Austronesian,Asera,0.77338790792929,0.12788789428220504,0,0,0.09872419778850496,0,0.6081774203050285
assa1263,Indo-European,Assamese,0.6026949351895206,0.207422791319068,0.1030244129564194,0.08685786053499209,0,0,0.518889867024362
assi1247,NA,Assiniboine,0.8275663499979687,0.09228691489046496,0,0.08014673511156634,0,0,0.4643794069362134
asut1235,Atlantic-Congo,Asu (Tanzania),0.6085453641689618,0.2691268912281998,0.04805269216365672,0.05011523522351037,0.02415981721567131,0,0.616539678309872
atam1239,Pama-Nyungan,Atampaya,0.29609266205241397,0.07942288709624926,0.11556742053111284,0.1621067411581244,0.3468102891620995,0,0.4839831606843552
atay1247,Austronesian,Atayal,0.3124314465461633,0.00762706149584064,0,0,0.679941491957996,0,0.6660728897116923
atch1238,Austronesian,Atchin,0.7653168258521419,0.11365283726413164,0.03715457835885648,0.08387575852487011,0,0,0.5881175799538043
atsu1245,NA,Atsugewi,0.6387940457961826,0.01756005184019457,0.1997343760017191,0.0161451142182121,0,0.1277664121436916,0.765652375647354
atta1244,Austronesian,Atta,0.7164061704686827,0.09636560775566257,0.1872282217756548,0,0,0,0.6785012338068651
aust1271,NA,Auslan,0.7190866295301606,0.04570645487659065,0.23520691559324877,0,0,0,0.6678902198966735
auuu1241,Nuclear Torricelli,Au,0.7479442255358134,0.08881745808670415,0,0.16323831637748248,0,0,0.5851680175796217
avac1239,Tupian,Avá-Canoeiro,0.3865601850499221,0.19883024091742685,0,0.41460957403265103,0,0,0.17436952594624355
avar1256,Nakh-Daghestanian,Avar,0.7451815690867627,0.03472110466330508,0.20294462291442272,0.01623491705499709,9.1778628051252e-4,0,0.739888004919639
avat1244,Atlantic-Congo,Avatime,0.5602730069583114,0.2293407381967109,0,0.20506961292051637,0.00531664192446127,0,0.5011522602750906
aves1237,Indo-European,Avestan,0.6958228305717116,0.01635298904844084,0.2878241803798476,0,0,0,0.7544042481355193
awet1244,Tupian,Awetí,0.4839612160914968,0.06467442048897964,0.4041921698978137,0.02263090681060233,0,0.02454128671110748,0.5181009922989501
awia1234,Arafundi,Awiakay,0.7358465263361874,0.19434656489603463,0.0253943322734007,0.00427510183350648,0.00955708346238345,0.03058039119848728,0.3947968116669145
ayiw1239,Austronesian,Äiwoo,0.432464867916222,0.4562696213873715,0.08002998152977114,0.03123552916663544,0,0,0.4307640128636779
ayor1240,NA,Ayoreo,0.6662661396473372,0.1257887031974331,0.19804059927796283,0.00990455787726698,0,0,0.766950581621995
baca1243,Austronesian,Bacanese Malay,0.632647252032162,0.02020619084629503,0.34645246272178454,0,6.9409439975848e-4,0,0.7278123143558064
badi1246,Pama-Nyungan,Badimaya,0.6454111236201358,0.1183445515490851,0.2353883429628552,0,8.5598186792393e-4,0,0.6358622096765246
baff1241,NA,Baffin Inuktitut,0.6056401061956271,0.07939319834543482,0.1864914173237136,0.12847527813522433,0,0,0.41205079603313854
bafi1243,Atlantic-Congo,Bafia,0.4504897350375635,0.0813803425335593,0,0.0304882881586212,0.437641634270256,0,0.7566145810857179
bagv1239,Nakh-Daghestanian,Bagvalal,0.6685008336246486,0.0449985471767679,0.26683332356471967,0.01830565135008277,0.00136164428378089,0,0.7097602582086604
baho1237,Austronesian,Bahonsuai,0.6510067368017121,0.21840245922222673,0.03421275456925166,0,0.09637804940680972,0,0.45914842122305055
bala1310,Austronesian,Balangao,0.7685666598666431,0.06484110951630194,0.13656838485098746,0,0.03002384576606752,0,0.626652494059284
bala1314,Austronesian,Balaesang,0.8173742421403225,0.04744110629900298,0.0980584738936362,0,0.0371261776670382,0,0.7925859728785483
bali1274,Atlantic-Congo,Bali (Democratic Republic of Congo),0.19457949667317495,0.344682597156105,0.4169568808250403,0,0,0.04378102534567977,0.9399180527781406
bali1275,Atlantic-Congo,Bali,0.1859298061649124,0.36180962825054674,0.4522605655845407,0,0,0,0.967090125596094
bali1278,Austronesian,Balinese,0.642778670220302,0.03448667411173754,0.29638236617325303,0,0.02635228949470744,0,0.6563176508986638
balo1260,Indo-European,Balochic,0.6357411581312589,0.05435047086713206,0.20666051446016465,0.10324785654144462,0,0,0.7332465560758439
balu1257,Austronesian,Paluai,0.8194645773690612,0.07726691489363904,0.03865974332506072,0.02966626657863709,0.03494249783360198,0,0.4999180449660407
bamu1253,Atlantic-Congo,Bamun,0.3043686692790676,0,0.0960801939415375,0.12340115975769853,0.4761499770216964,0,0.9669498584083114
band1339,Pama-Nyungan,Bandjalangic,0.6499572891625826,0.07948770050220015,0.25096807102989604,0.0195869393053212,0,0,0.6278458832480516
banj1239,Austronesian,Banjar,0.7172211036312506,0.00370822553412355,0.2598657364012204,0.00932416819759353,0.00988076623581194,0,0.8184618382392936
bann1247,Austronesian,Bannoni,0.8144711994296107,0.00107314017101345,0.18309215887710983,0.00136350152226605,0,0,0.8154846467465449
bann1248,Uto-Aztecan,Bannock,0.613326738016116,0.23063223620203768,0,0.13878602269082713,0,0.01725500309101911,0.35824168920118044
bard1254,NA,Bardic,0.46186696892566326,0.14418739368294503,0,0.39394563739139166,0,0,0.4498110592777352
bari1288,Austronesian,Bario,0.8144646680092755,0.00107315858006675,0.18309224725966364,0.00136992615099414,0,0,0.8154846467634299
bari1297,NA,Barí,0.6608257413557619,0.04237343074762665,0.2816818747182344,0.01511895317837701,0,0,0.7261395307753027
baro1253,Austronesian,Barok,0.5756526554971977,0.1402422539729408,0.2565854506879994,0.02751963984186222,0,0,0.6261627510404246
baru1267,Angan,Baruya,0.551238845333371,0.3549851237592823,0,0.09265892470848786,0.00111710619885896,0,0.4344163748162718
basq1248,NA,Basque,0.7473224470470748,0.04004393079009438,0.20614866034415755,0.00648496181867333,0,0,0.7549804815390002
bata1285,Atlantic-Congo,Batanga,0.34972731925571054,0.1127630296591611,0.380124426723228,0.03240161521909908,0.12498360914280128,0,0.6168740500465595
bata1289,Austronesian,Batak Toba,0.5318111031699886,0.1573644228146443,0,0.01591636643609711,0.2949081075792701,0,0.554612654430658
batl1238,Nakh-Daghestanian,Batlux,0.6724659262607544,0.06718736763725491,0.25798498996821,0,0.00236171613378067,0,0.7068260705730226
baub1235,Austronesian,Bau-Jagoi Bidayuh,0.20520212484891687,0.24603061045813707,0,0,0.548767264692946,0,0.7508236297027431
baur1253,Arawakan,Baure,0.3589362004291993,0.04063208286819839,0.6004317167026023,0,0,0,0.8760313731189753
bayu1240,Pama-Nyungan,Bayungu,0.6714403261949968,0.0650656671919325,0.16246887486291076,0.10102513175015984,0,0,0.5873380848088503
beka1241,Austronesian,Riuk Bekati',0.6471490435434846,3.605221799962e-4,0.2452997046156642,0.00510792036025225,0.10208280930060272,0,0.7504414460803525
bela1254,Indo-European,Belarusian,0.6593906175987331,0.1441182251492227,0.1964911572520443,0,0,0,0.8107040334553346
bemb1257,Atlantic-Congo,Bemba (Zambia),0.7383704598588953,0.0360297396008108,0.16441931450551978,0.0073128434680251,0.05386764256674901,0,0.6030213191643887
bena1262,Atlantic-Congo,Bena (Tanzania),0.8401527239880777,0.02390420601248136,0.11660241358013028,0.01498739675777011,0.00435325966154045,0,0.5986533904701147
bend1258,Atlantic-Congo,Bende,0.8261396425163117,0.02583132337570755,0.10457315943844304,0.04345587466953782,0,0,0.6098168728437902
beng1280,Indo-European,Bengali,0.5566455264571795,0.08130617485001546,0.2445257640636136,0.11310393441107568,0.00441860021811596,0,0.6423848669465352
beng1280,Indo-European,Bengali,0.5566455264571795,0.08130617485001546,0.2445257640636136,0.11310393441107568,0.00441860021811596,0,0.6423848669465352
bera1259,Atlantic-Congo,Bera,0.6356596279648817,0.0187916709823893,0.3233838404834982,0.00739315723427705,0.01477170333495365,0,0.6767079801326406
beri1254,Tor-Orya,Berik,0.811971473242067,0.09131494021983266,0.02075438372192932,0.03406500798777909,0.04189419482839195,0,0.6424278336224756
bezh1248,Nakh-Daghestanian,Bezhta,0.692113692300439,0.09974458010355428,0.19272400932962408,0.01541771826638266,0,0,0.6357858872459596
biak1248,Austronesian,Biak,0.8633392581430136,0.11013430510648498,0,0.0187383195273023,0.00778811722319913,0,0.4717548151967837
bier1244,Austronesian,Bierebo,0.9073215017006632,0.06248851091803589,0,0.03018998738130103,0,0,0.7066512510319114
bign1238,Austronesian,Big Nambas,0.6201467272348636,0.06956422606501796,0.16267843933596587,0.1434167104208401,0,0.00419389694331237,0.4976876347874288
