language,glottocode,family,correlation
Araweté,araw1273,Tupian,0.24340061504577212
Margany,marg1253,Pama-Nyungan,0.26750449621730726
Ma'anyan,maan1238,Austronesian,0.3590997865481729
Phende,phen1239,Atlantic-Congo,0.40887853255168105
Classical Nahuatl,clas1250,Uto-Aztecan,0.28905896664074454
Vao,vaoo1237,Austronesian,0.26893341637263835
Gumatj,guma1253,Pama-Nyungan,0.29690579660684574
Western Mari,west2392,Uralic,0.3418907734067906
Serbian-Croatian-Bosnian,sout1528,Indo-European,0.3396789037006185
Muna,muna1247,Austronesian,0.34726385437503726
Bardic,bard1254,,0.2810468274764784
Southern Cook Island Maori,raro1241,Austronesian,0.38214786518371685
Numbami,numb1247,Austronesian,0.28081899889173545
Southeast Ambrym,sout2859,Austronesian,0.08605145334942066
Wangkajunga,wang1288,Pama-Nyungan,0.40373850346342927
Madak linkage,mada1284,Austronesian,0.18781938781130053
Bengali,beng1280,Indo-European,0.41567719679303117
Kinshasa Lingala,ling1263,Atlantic-Congo,0.3616543007390814
Tolowa-Chetco,tolo1259,,0.27781369512815257
Eudeve,eude1234,Uto-Aztecan,0.2519447751495246
Modern Ossetic,osse1243,Indo-European,0.4135320838203492
Amis,amis1246,Austronesian,0.42659792305296973
Yurok,yuro1248,Algic,0.4084129093573874
Yaqui,yaqu1251,Uto-Aztecan,0.17932662526551305
Waimiri-Atroari,waim1253,Cariban,0.22304219402285072
Winnebago-Chiwere,winn1245,,0.1711009145271783
Shoshoni,shos1248,Uto-Aztecan,0.2980982101712111
Mori Atas,mori1269,Austronesian,0.3690461330764191
Narrinyeri,narr1259,Pama-Nyungan,0.5441024208992856
Emae,emae1237,Austronesian,0.3419816908063434
Ute,utee1244,Uto-Aztecan,0.1610669615356654
Neve'ei,vinm1237,Austronesian,0.19967145909157624
Aniwa,aniw1237,Austronesian,0.2222021176091802
Sangtam Naga,sang1321,Sino-Tibetan,0.33746109198268154
Talise,tali1259,Austronesian,0.2680607421229968
Kashaya,kash1280,,0.2520636677874918
Sawai,sawa1247,Austronesian,0.3815353414015107
Tuamotuan,tuam1242,Austronesian,0.336342422040131
Tonga (Tonga Islands),tong1325,Austronesian,0.2555846169503192
Nen,nenn1238,,0.20023050055338712
Mapudungun,mapu1245,,0.3401598864053108
Chihuahua Pima Bajo,chih1238,Uto-Aztecan,0.382331591081436
Tetun Dili,tetu1246,Austronesian,0.30532991594866354
Idi,nucl1597,,0.21673202219165177
Mbala,mbal1257,Atlantic-Congo,0.3204128583903114
Gela,gela1263,Austronesian,0.47526775218714856
Muruwari,muru1266,Pama-Nyungan,0.22830660059782795
Shina (Nakh-Daghestan),shin1265,Nakh-Daghestanian,0.3739643580506875
Farafi,butm1237,Austronesian,0.37389861751759734
Lewo,lewo1242,Austronesian,0.24631201102547326
Bali,bali1275,Atlantic-Congo,0.6895219506741047
Sangu (Gabon),sang1333,Atlantic-Congo,0.33719158459075493
Dehong,deho1238,Tai-Kadai,0.22354753601329314
Watut,watu1246,Austronesian,0.15322989073837545
Yugambal,yuga1244,Pama-Nyungan,0.2550105469315761
Oto,otoo1241,,0.24945932190264494
Manange,mana1288,Sino-Tibetan,0.41532510191627536
Kosraean,kosr1238,Austronesian,0.36420383297790626
Murriny Patha,murr1258,,0.23965751453155765
Wangganguru,wang1290,Pama-Nyungan,0.3240020918945633
Baure,baur1253,Arawakan,0.5605193375212072
Chirag,chir1284,Nakh-Daghestanian,0.4257254380402005
Pintupi-Luritja,pint1250,Pama-Nyungan,0.2847915512881745
Kaiwá,kaiw1246,Tupian,0.23438632615079014
Sinhala,sinh1246,Indo-European,0.2754449397086214
Cree,cree1272,Algic,0.19273200272542718
Osage,osag1243,,0.15474733018593495
Tungag,tung1290,Austronesian,0.23911917094067223
Danish,dani1285,Indo-European,0.39443812704063846
Meadow Mari,gras1239,Uralic,0.3001757018719851
Ems-Weser Frisian,sate1242,Indo-European,0.35797967126167307
Tajik,taji1245,Indo-European,0.3593585373928898
Makonde,mako1251,Atlantic-Congo,0.3516672846278509
Xibe,xibe1242,,0.29577596825643077
Minigir,mini1251,Austronesian,0.38012915557785726
Kemtuik,kemt1242,Nimboranic,0.1493829376629333
Selk'nam,onaa1245,,0.35797928646016464
Munggava,mung1271,Austronesian,0.20524755111209242
Panamint,pana1305,Uto-Aztecan,0.41175278434399964
Tulambatu,tula1253,Austronesian,0.34469756798845685
Ida'an,idaa1241,Austronesian,0.3429142683702165
Karruwali,karr1236,Pama-Nyungan,0.5887689287098588
Lipan Apache,lipa1241,,0.28523366254235505
Jingulu,djin1251,,0.4654224826258196
Old Aramaic-Sam'alian,olda1245,Afro-Asiatic,0.4307222493800026
Parakanã,para1312,Tupian,0.2907698420392816
Choctaw,choc1276,,0.2733967177201255
Balangao,bala1310,Austronesian,0.3241875256009976
Paluai,balu1257,Austronesian,0.2381458813008541
Tamil,tami1289,Dravidian,0.2736322741754985
Erzya,erzy1239,Uralic,0.34962673390619275
Ingrian,ingr1248,Uralic,0.4255819871372806
Roviana,rovi1238,Austronesian,0.30950426931507236
Wangkumara,wong1246,Pama-Nyungan,0.4066783609542869
Old Prussian,prus1238,Indo-European,0.5285570285479374
Kuot,kuot1243,,0.21496934751092578
Binongan Itneg,bino1237,Austronesian,0.38208127680004833
Nama (Papua New Guinea),nama1266,,0.16588438907491115
Taumako,taum1237,Austronesian,0.2336684156796443
Malua Bay,malu1245,Austronesian,0.2225601936732395
Maguindanao,magu1243,Austronesian,0.3415017250353027
Mbuun,mpuo1241,Atlantic-Congo,0.3112770988113785
Shipibo-Conibo,ship1254,Pano-Tacanan,0.4101862723400372
Toda,toda1252,Dravidian,0.4015902162412781
Lenakel,lena1238,Austronesian,0.3072364142852786
Auslan,aust1271,,0.3520627937110504
Bannock,bann1248,Uto-Aztecan,0.20755349294510447
Mungaka,mung1266,Atlantic-Congo,0.28477147898158106
Yulparija,yulp1239,Pama-Nyungan,0.29380118706944525
Warlpiri,warl1254,Pama-Nyungan,0.24803639837114025
South Slavey,sout2959,,0.35565517760724885
Kashmiri,kash1277,Indo-European,0.42091260955462406
Ngamini-Yarluyandi-Karangura,ngam1265,Pama-Nyungan,0.2749366803598266
Kosarek Yale,kosa1249,Nuclear Trans New Guinea,0.37710746781331494
Fipa,fipa1238,Atlantic-Congo,0.27600223710446836
North Tanna,nort2847,Austronesian,0.22417649088712832
Alyawarr,alya1239,Pama-Nyungan,0.2994356138024288
Lauje,lauj1238,Austronesian,0.3895480733073362
Eastern Bolivian Guaraní,east2555,Tupian,0.40084714324719256
Mayo,mayo1264,Uto-Aztecan,0.4612925959256803
Termanu,term1237,Austronesian,0.2130151472563539
Buli,buli1256,Austronesian,0.3851674404946378
Marind,nucl1622,,0.27936301601876384
Wanman,wanm1242,Pama-Nyungan,0.4515903779500645
Tuscarora,tusc1257,,0.27624410518371884
Cherokee,cher1273,,0.25817496936865647
Arabana,arab1267,Pama-Nyungan,0.26411849619240646
Udmurt,udmu1245,Uralic,0.34147174404315583
Ngoni,ngon1269,Atlantic-Congo,0.4241667719260562
Urak Lawoi',urak1238,Austronesian,0.38531691760626463
Māori,maor1246,Austronesian,0.31402594740595524
Bierebo,bier1244,Austronesian,0.2814963639561362
Tubar,tuba1279,Uto-Aztecan,0.446776661081022
Common Delaware,comm1246,Algic,0.2819356363680213
Dobu,dobu1241,Austronesian,0.34641795122983376
Seneca,sene1264,,0.3423770066237194
West Futuna,west2515,Austronesian,0.10519296054887756
Ga'dang,gada1258,Austronesian,0.3877573088541464
Mocoví,moco1246,,0.348685388992796
Omaha-Ponca,omah1247,,0.20037042884119916
Ngiyambaa,wang1291,Pama-Nyungan,0.47707566688210334
North Northern Paiute,nort1551,Uto-Aztecan,0.21354054164050598
Paraguayan Guaraní,para1311,Tupian,0.35298417581386654
Ampibabo,ampi1237,Austronesian,0.41516072776713075
Onondaga,onon1246,,0.32057073236920697
Highland Puebla Nahuatl,high1278,Uto-Aztecan,0.54174867396735
Dhuwal,dhuw1249,Pama-Nyungan,0.3429550915956849
Muduapa,mudu1242,Austronesian,0.31577343507015826
Latin,lati1261,Indo-European,0.42059505133717584
Dakota,dako1258,,0.23166124972252894
Dehu,dehu1237,Austronesian,0.3239007643254798
Māngarongaro,penr1237,Austronesian,0.3381885766932579
Shi,shii1238,Atlantic-Congo,0.25932748218057355
Yorta Yorta,yort1237,Pama-Nyungan,0.2850627847620144
Yinhawangka,yinh1234,Pama-Nyungan,0.3832506995566078
Sogeram,soge1235,Nuclear Trans New Guinea,0.19624259539939937
Vili,vili1238,Atlantic-Congo,0.4900980294098034
Tsaangi,tsaa1242,Atlantic-Congo,0.4900980294098035
Mouk,mouk1240,Austronesian,0.1793338277777609
Paicî,paic1239,Austronesian,0.25847763397493095
Sikaiana,sika1261,Austronesian,0.19051128255221406
Meta',meta1238,Atlantic-Congo,0.49297319554410063
Sateré-Mawé,sate1243,Tupian,0.2763608562741421
Kikuyu,kiku1240,Atlantic-Congo,0.3823942626685068
Southern-Coastal Tsimshian,nucl1649,,0.4746539250671897
Umbundu,umbu1257,Atlantic-Congo,0.3495834745282666
Atchin,atch1238,Austronesian,0.30463492466958914
Ngulu,ngul1246,Atlantic-Congo,0.25160204590547053
Yabem,yabe1254,Austronesian,0.25756824106743115
Iwam,iwam1256,Sepik,0.2894015376471264
Gigatl,giga1238,Nakh-Daghestanian,0.39077442530869094
Avar,avar1256,Nakh-Daghestanian,0.384238652478748
Quechan,quec1382,,0.20591846529822166
Langi,lang1320,Atlantic-Congo,0.3208872292716901
Icelandic,icel1247,Indo-European,0.3906335181905316
Lunda,lund1266,Atlantic-Congo,0.28068361320014484
Czech,czec1258,Indo-European,0.4404648567041123
Batlux,batl1238,Nakh-Daghestanian,0.39265516205114476
Central Sama,cent2092,Austronesian,0.4147303542589424
