language,glottocode,family,correlation
Chipaya,chip1262,,0.2621962759956345
Miami,miam1252,Algic,0.1785755498578313
Western Keres,west2632,,0.3211003916469493
Niuafo'ou,niua1240,Austronesian,0.2084954091831545
Bali (Democratic Republic of Congo),bali1274,Atlantic-Congo,0.7224714262200101
Assamese,assa1263,Indo-European,0.31972859107245905
Sakata,saka1287,Atlantic-Congo,0.46599988425250327
Cebuano,cebu1242,Austronesian,0.37476144987057175
Bulgarian,bulg1262,Indo-European,0.42775579089528615
Icari,icar1234,Nakh-Daghestanian,0.41211967443254144
Yandruwandha,yand1253,Pama-Nyungan,0.19811664443224672
Mundurukú,mund1330,Tupian,0.29456759423548207
Maybrat-Karon,maib1239,Maybrat-Karon,0.15213880225912702
Sunwadia,mari1426,Austronesian,0.15953561906293198
Waiwai,waiw1244,Cariban,0.40829729257864755
Midob,mido1240,,0.4110424663734716
Northern Paiute,nort2954,Uto-Aztecan,0.41010371505045934
Northern Yukian,yuki1243,,0.3159341543227967
Western Armenian,homs1234,Indo-European,0.38751898182285105
Yámana,yama1264,,0.41098338797654327
Baruya,baru1267,Angan,0.26468292858216813
Kuvi,kuvi1243,Dravidian,0.1566227535566218
Mahasu Pahari,maha1287,Indo-European,0.3483475013807362
Mosetén-Chimané,mose1249,,0.25867678630409363
Pinji,pinj1243,Atlantic-Congo,0.2412874577798766
Soga,soga1242,Atlantic-Congo,0.35651032310990743
Awetí,awet1244,Tupian,0.33294558122010165
Wiwirano,wiwi1237,Austronesian,0.27107924946557016
Uripiv-Wala-Rano-Atchin,urip1239,Austronesian,0.24737792164001546
Maithili,mait1250,Indo-European,0.4458500478690193
Waorani,waor1240,,0.3771125536113854
Tenetehara,temb1276,Tupian,0.2059584561988094
Ketengban,kete1254,Nuclear Trans New Guinea,0.3745244919639578
Dondo,dond1249,Austronesian,0.42158917511995025
Duma,duma1253,Atlantic-Congo,0.58252425474977
Slave,slav1253,,0.2589258747925397
Flinders Island,flin1247,Pama-Nyungan,0.5820048501268026
Skolt Saami,skol1241,Uralic,0.25542686462425973
Wulguru,wulg1239,Pama-Nyungan,0.32654296664616234
Kyaka,kyak1244,Nuclear Trans New Guinea,0.23214756347714954
Patani,pata1260,Austronesian,0.4053853460043394
Dadibi,dadi1250,Teberan,0.11393729213644502
Gothic,goth1244,Indo-European,0.5193525395285736
Balaesang,bala1314,Austronesian,0.4036340760119972
Carolinian,caro1242,Austronesian,0.3700747106388689
Western Shoshoni,west2622,Uto-Aztecan,
Oceanic,ocea1241,Austronesian,0.2525588427068908
South Marquesan,sout2866,Austronesian,0.4394873624967358
Yansi,yans1239,Atlantic-Congo,0.4945183844237539
Atampaya,atam1239,Pama-Nyungan,0.332495031024178
Dieri,dier1241,Pama-Nyungan,0.14824581395819791
Kickapoo,kick1244,Algic,0.24363493749626164
Cupeño,cupe1243,Uto-Aztecan,0.22761336856306236
Yakan,yaka1277,Austronesian,0.3799870978192521
Brulé,brul1239,,0.2345041511783268
Kartujarra,kart1247,Pama-Nyungan,0.2841220811361473
Polci,polc1243,Afro-Asiatic,0.41380891966705097
Ute-Southern Paiute,utes1238,Uto-Aztecan,0.28099973112996945
Yele,yele1255,Yele,0.10547912730915174
Fordata,ford1242,Austronesian,0.43765335218359996
Chibcha,chib1270,,0.30679572492834184
Satawalese,sata1237,Austronesian,0.4041778100603448
Onobasulu,onob1238,Bosavi,0.178768826628435
Cubeo,cube1242,,0.25946477247428673
Old High German (ca. 750-1050),oldh1241,Indo-European,0.33649284610872715
Odia,oriy1255,Indo-European,0.4336863077297157
Tokharian B,tokh1243,Indo-European,0.3033370209769529
Wolio,woli1241,Austronesian,0.47924821021521974
'Are'are,area1240,Austronesian,0.24883523339370023
Huli,huli1244,Nuclear Trans New Guinea,0.25934378766979566
Kadar,kada1242,Dravidian,0.3164521252354557
Binja,binj1250,Atlantic-Congo,0.8660254037844386
Seki,seki1238,Atlantic-Congo,0.45383890882775996
Monumbo,nucl1458,Bogia,0.2852352552572127
Malapandaram,mala1468,Dravidian,0.26219989057092175
Pashto,pash1269,Indo-European,0.34844141139378715
Chuukese,chuu1238,Austronesian,0.24717566191325419
Ngadjunmaya,ngad1258,Pama-Nyungan,0.34967352636388394
Wayampi,waya1270,Tupian,0.26245201505533966
Tukang Besi South,tuka1249,Austronesian,0.23891804583350706
Kuuku-Ya'u,kuuk1238,Pama-Nyungan,0.24136800806152134
Thayore,thay1249,Pama-Nyungan,0.2917310823532149
Basque,basq1248,,0.3872598071669223
Jingpho,jing1260,Sino-Tibetan,0.220863614530021
Nanggu,nang1262,Austronesian,0.519520886637484
Tongva,tong1329,Uto-Aztecan,0.46045235442715093
Oroko,orok1266,Atlantic-Congo,0.8660254037844388
Southern Tepehuan,sout2975,Uto-Aztecan,0.4279192327259903
Nimboran,nucl1633,Nimboranic,0.24238338546076837
Wiradhuri,wira1262,Pama-Nyungan,0.4252641175945829
Komo (Democratic Republic of Congo),komo1260,Atlantic-Congo,0.29321058916174314
Mele-Fila,mele1250,Austronesian,0.3558375877373384
Central Cagayan Agta,cent2084,Austronesian,0.39358690173619315
Iraya,iray1237,Austronesian,0.37438838882185754
Ibanag,iban1267,Austronesian,0.4258730680039734
Hewa,hewa1241,Sepik,0.21668098999055602
Ahin-Kayapa Kalanguya,ahin1234,Austronesian,0.4507430771778239
Korowai,koro1312,Nuclear Trans New Guinea,0.31942565467944095
Rahambuu,raha1237,Austronesian,0.27107924946557016
Andalal-Gxdatl,anda1281,Nakh-Daghestanian,0.3532445525589557
Luiseno-Juaneño,luis1253,Uto-Aztecan,0.23474809002052097
Luba-Katanga,luba1250,Atlantic-Congo,0.2674313251756427
Eastern Mari,east2328,Uralic,0.35306303087919666
Buin,buin1247,,0.28682636938625083
Breton,bret1244,Indo-European,0.4645922033059956
Abui,abui1241,,0.30408592412004676
Routa,rout1237,Austronesian,0.36249040391116394
Godoberi,ghod1238,Nakh-Daghestanian,0.3847630949617688
Ojibwa,ojib1241,Algic,0.21939147767473766
Chamorro,cham1312,Austronesian,0.5229961312729778
Pendau,pend1242,Austronesian,0.38558898025156363
Central Subanen,cent2089,Austronesian,0.31848006653104355
Modole,modo1249,North Halmahera,0.3815856385725093
Church Slavic,chur1257,Indo-European,0.47206536303149993
Veps,veps1250,Uralic,0.21722911579087872
Ndumu,ndum1239,Atlantic-Congo,0.6326577550463062
Northwest Maidu,nort2951,,0.1380844330192911
Kalaallisut,kala1399,,0.1953880854700349
Huasteca Nahuatl,huas1257,Uto-Aztecan,0.764176753473676
Talaandig-Binukid,binu1244,Austronesian,0.43862623333237893
Madurese,nucl1460,Austronesian,0.36008753332514
Tundra Nenets,nene1249,Uralic,0.34144588371065154
Acehnese,achi1257,Austronesian,0.37199904740783957
Central Melanau,cent2101,Austronesian,0.3652574360697591
Kadai,kada1286,Austronesian,0.3147051621789311
Kwere,kwer1261,Atlantic-Congo,0.2940444634239071
Aché,ache1246,Tupian,0.373911101436192
Wapishana,wapi1253,Arawakan,0.3467524245848572
Cayuga,cayu1261,,0.3490718260149068
Ekonda Mongo,ekon1238,Atlantic-Congo,0.2828211670369793
Takuu,taku1257,Austronesian,0.37304325618453477
Kodi-Gaura,kodi1247,Austronesian,0.5097574379218426
Middle English,midd1317,Indo-European,0.313046316383394
Negerhollands,nege1244,Indo-European,0.5078724729714739
Northern Tepehuan,nort2959,Uto-Aztecan,0.2975695134576987
Tuyuca,tuyu1244,,0.34565769673187885
Welsh,wels1247,Indo-European,0.4294632835271896
Pilagá,pila1245,,0.38736664390459624
Telefol,tele1256,Nuclear Trans New Guinea,0.1933319774679853
Chenchu,chen1255,Dravidian,0.2681798270189114
Bayungu,bayu1240,Pama-Nyungan,0.3312964912394301
S'gaw Karen,sgaw1245,Sino-Tibetan,0.3458419141971741
Suzhou,suzh1234,Sino-Tibetan,0.294222710901394
Chemehuevi,chem1251,Uto-Aztecan,0.4389434334850096
Northern Pomo,nort2966,,0.34124388686275886
Tetum,tetu1245,Austronesian,0.3227147344627575
North Ambrym,nort2839,Austronesian,0.22130006189798973
Bario,bari1288,Austronesian,0.39045783661693545
Cusco Quechua,cusc1236,,0.3900914333263687
Budukh,budu1248,Nakh-Daghestanian,0.38226135566620334
Bacanese Malay,baca1243,Austronesian,0.41078772469166114
Car Nicobarese,carn1240,Austroasiatic,0.30797065215624925
Iyojwa'ja Chorote,iyoj1235,,0.5190454208280771
Ngarinman,ngar1235,Pama-Nyungan,0.23247393939021102
Kiramang,kira1248,,0.39128793241583903
Woleaian,wole1240,Austronesian,0.35061491179603904
Tomadino,toma1248,Austronesian,0.31142775812157164
Dampelas,damp1237,Austronesian,0.40003522973395533
Kalkutung,kalk1246,Pama-Nyungan,0.2253066837538648
Rade,rade1240,Austronesian,0.2648981273495973
Kansa,kans1243,,0.22890018215216365
Nuclear Miami,nucl1653,Algic,0.18154506019628974
Buru (Indonesia),buru1303,Austronesian,0.25324514603725157
East Kewa,east2516,Nuclear Trans New Guinea,0.2037121729415642
Eyak,eyak1241,,0.32120739474960347
Setaman,seta1246,Nuclear Trans New Guinea,0.20504806197202158
Kankanaey,kank1243,Austronesian,0.430820006325907
Bemba (Zambia),bemb1257,Atlantic-Congo,0.29044962831722165
Kómnjo,komn1238,,0.18039293196575787
Taje,taje1237,Austronesian,0.38558898025156363
Barí,bari1297,,0.4030220929611924
Bukat,buka1261,Austronesian,0.2990525291905584
Cornish,corn1251,Indo-European,0.37867542686879774
Wiyot,wiyo1248,Algic,0.40931184309730556
Momu-Fas,fass1245,Baibai-Fas,0.1286378835062476
Port Sandwich,port1285,Austronesian,0.2452316565326511
Bagvalal,bagv1239,Nakh-Daghestanian,0.39793718828264124
Rakahanga-Manihiki,raka1237,Austronesian,0.315910645035001
Laurentian,laur1250,,0.3962980647843073
Afrikaans,afri1274,Indo-European,0.3971959934643997
Jaru,jaru1254,Pama-Nyungan,0.15177977800624337
Northern Gondi,nort2702,Dravidian,0.3278045321486946
Oneida,onei1249,,0.28082612699632437
Warázu,paus1244,Tupian,0.31701987644051394
Pukapuka,puka1242,Austronesian,0.2804375127555211
Vurës,vure1239,Austronesian,0.23861618098319107
Javanese,java1254,Austronesian,0.4222173663373955
Mungiki,mung1270,Austronesian,0.44308516330095954
Lower Grand Valley Dani,lowe1415,Nuclear Trans New Guinea,0.22916201375455486
Tagalog,taga1270,Austronesian,0.38022587065402585
Jicarilla Apache,jica1244,,0.1801299237847665
Zabana,zaba1237,Austronesian,0.3983039200100811
Hunzib,hunz1247,Nakh-Daghestanian,0.3795071136280682
Gwich'in,gwic1235,,0.16370458059703857
Tesuque,tesu1245,,0.21367022831461366
Eastern Panjabi,panj1256,Indo-European,0.38880226277337304
Sukuma,suku1261,Atlantic-Congo,0.2695584531314015
Wersing,wers1238,,0.29315193515645255
Bininj Kun-Wok,gunw1252,,0.291424620943606
Asera,aser1237,Austronesian,0.2856428917921424
Fijian,fiji1243,Austronesian,0.18928891186518032
Imbongu,imbo1238,Nuclear Trans New Guinea,0.33348742130064724
Bushoong,bush1247,Atlantic-Congo,0.2845505164564299
Njebi,njeb1242,Atlantic-Congo,0.22644272278126903
Menominee,meno1252,Algic,0.231613545453267
Bahonsuai,baho1237,Austronesian,0.26387286812283284
Naasioi,naas1242,South Bougainville,0.23758793702055314
Saaroa,saar1237,Austronesian,0.4509931008796167
Merei,mere1242,Austronesian,0.23821819246387468
Bandjalangic,band1339,Pama-Nyungan,0.3557635851642086
Kaonde,kaon1241,Atlantic-Congo,0.28288305120921897
Mashco Piro,mash1270,Arawakan,0.4562809295353426
Old-Middle Welsh,oldw1239,Indo-European,0.3719710702093919
Malacca-Batavia Portuguese Creole,mala1533,Indo-European,0.5023465601596004
Chavacano,chav1241,Indo-European,0.5486233677276411
Kamano,kama1370,Nuclear Trans New Guinea,0.3304281117267918
Woiwurrung-Thagungwurrung,woiw1237,Pama-Nyungan,0.19880545339698555
Lamogai,lamo1244,Austronesian,0.1658149551580877
Seke (Vanuatu),seke1241,Austronesian,0.3389114806547656
Mbere,mber1257,Atlantic-Congo,0.1968820003731318
Western Pantar,lamm1241,,0.2041904514593867
Central Tarahumara,cent2131,Uto-Aztecan,0.2736361509362606
Teguima,opat1246,Uto-Aztecan,0.3553961166511101
Korafe,kora1295,Nuclear Trans New Guinea,0.2473378373069819
Southern Paiute,sout2969,Uto-Aztecan,0.3742923285527652
Nyamal,nyam1271,Pama-Nyungan,0.2885987218597812
Samoan,samo1305,Austronesian,0.242605295490845
Sa'a,saaa1240,Austronesian,0.3505675913065474
Hittite,hitt1242,Indo-European,0.47539143399319667
Pitjantjatjara,pitj1243,Pama-Nyungan,0.21549621367182986
Siona-Tetete,sion1247,,0.359454378763075
Western Tawbuid,west2559,Austronesian,0.4278663424073202
Sira,sira1266,Atlantic-Congo,0.33719158459075493
Temi,temi1247,Atlantic-Congo,0.3231044785232412
Kilmeri,kilm1241,Border,0.22214074326542269
Walloon,wall1255,Indo-European,0.43130661305277446
Spokane,spok1245,Salishan,0.22071899002195328
Hinuq,hinu1240,Nakh-Daghestanian,0.39832307251870214
Dharumbal,dhar1248,Pama-Nyungan,0.2898952999815375
Prakaa,prak1243,Sino-Tibetan,0.36231979832319605
Letemboi-Repanbitip,lete1241,Austronesian,0.29392196248305846
Norwegian Bokmål,norw1259,Indo-European,0.3166391332381564
Tanala,tana1285,Austronesian,0.362101670771615
Western Dani,west2594,Nuclear Trans New Guinea,0.2291288427982022
Wambayan,wamb1258,,0.35909739306003324
Eastern Yiddish,east2295,Indo-European,0.42218190899497093
Kalamang,kara1499,,0.30317555777254457
Kunzakh,kunz1243,Nakh-Daghestanian,0.3665399708474055
Foi,foii1241,East Kutubu,0.21067560231707233
Malgana,malg1242,Pama-Nyungan,0.1477034164708457
Teko,emer1243,Tupian,0.3194751518374721
Mota,mota1237,Austronesian,0.2148434652168562
Rejang,reja1240,Austronesian,0.4420859188427204
Kélé,kele1257,Atlantic-Congo,0.0038474730839942422
Malayalam,mala1464,Dravidian,0.23587858566471623
Mescalero-Chiricahua Apache,mesc1238,,0.31571313866878314
German,stan1295,Indo-European,0.38189269570786255
Indonesian,indo1316,Austronesian,0.3731279947425386
Huron-Wyandot,wyan1247,,0.27603676304796954
Slovenian,slov1268,Indo-European,0.425459554835657
Hunza,hunz1248,Isolate,0.2352210727586954
Pwo,pwoo1239,Sino-Tibetan,0.3935598460841325
Suruí,suru1262,Tupian,0.40496208119170896
Lalomerui,lalo1239,Austronesian,0.3269883234088773
Bannoni,bann1247,Austronesian,0.39045783661693545
Nage,nage1237,Austronesian,0.24319158192912194
Mangaia,mang1402,Austronesian,0.37773194723153736
Romanian,roma1327,Indo-European,0.37895737039840854
Algonquin,algo1255,Algic,0.17959892654593446
Old Norse,oldn1244,Indo-European,0.33040122003918604
Tabasco Chontal,taba1266,,0.27603458214036825
Forest Enets,fore1265,Uralic,0.2415867924356423
Mangole,mang1408,Austronesian,0.34681558590076006
Taliabu,tali1262,Austronesian,0.289498010784901
Tocantins Asurini,toca1235,Tupian,0.22648304793228685
Yombe,yomb1244,Atlantic-Congo,0.40095443957513366
Neverver,ling1265,Austronesian,0.35506875359390655
Koya,koya1251,Dravidian,0.3583509305726641
Slaveyic,hare1243,,0.25675680943349855
Tadyawan,tady1237,Austronesian,0.3973859853566336
Pangasinan,pang1290,Austronesian,0.5218116825139066
Komi-Zyrian,komi1268,Uralic,0.3836566288711306
North Slavey,nort2942,,0.33227086259873445
Nyangumarta,nyan1301,Pama-Nyungan,0.28062074931866116
Ninam,nina1238,,0.34652370444260994
Hiw,hiww1237,Austronesian,0.31478219551868025
Rapanui,rapa1244,Austronesian,0.4301055834237947
Livonian,livv1244,Uralic,0.1631498498212061
Atayal,atay1247,Austronesian,0.19217165983870868
Slovak,slov1269,Indo-European,0.4543096872471919
Kerewe,kere1283,Atlantic-Congo,0.34862980784091624
Nambo,namb1293,,0.22515996070903838
Lisu,lisu1250,Sino-Tibetan,0.35843923659995924
Asu (Tanzania),asut1235,Atlantic-Congo,0.3696107142014583
Manggarai,mang1405,Austronesian,0.26097468165148785
Kuku-Yalanji,kuku1273,Pama-Nyungan,0.21296922877037194
Padoe,pado1242,Austronesian,0.2541892493294731
Shila,shil1264,Atlantic-Congo,0.4018175762949386
Creek,cree1270,,0.18595867694366294
Northern Tosk Albanian,tosk1239,Indo-European,0.38233726852253974
Dakaka,daka1243,Austronesian,0.10164858159169726
Tombulu,tomb1243,Austronesian,0.39824027141744245
Aghul,aghu1253,Nakh-Daghestanian,0.3660652569807362
MokshaMordvin,moks1248,Uralic,0.2739931233087308
Gogo,gogo1263,Atlantic-Congo,0.19118749188697756
Tonsea,tons1240,Austronesian,0.4186962382056474
Belarusian,bela1254,Indo-European,0.4632069789281661
Bihari,biha1245,Indo-European,0.40363023500428746
North Efate,nort2836,Austronesian,0.3131120137669158
Nogai,noga1249,Turkic,0.36273938226955854
Yami,yami1254,Austronesian,0.4527653776857381
Yao,yaoo1241,Atlantic-Congo,-0.024220589578477475
Sika,sika1262,Austronesian,0.42885421453479877
Andi,andi1255,Nakh-Daghestanian,0.3532445525589557
Hopi,hopi1249,Uto-Aztecan,0.33914958792012584
Old English (ca. 450-1100),olde1238,Indo-European,0.3432173065171756
Colloquial Malay,mala1479,Austronesian,0.3775286562011069
Digo,digo1243,Atlantic-Congo,0.2727157031417551
Shawnee,shaw1249,Algic,0.1406771157800341
Puinave,puin1248,,0.30239791522150694
Minangkabau,mina1268,Austronesian,0.2864273047971053
Yawa,nucl1454,Yawa-Saweru,0.1849086547411326
Kaure-Narau,kaur1271,Kaure-Narau,0.18295869104994938
Nalik,nali1244,Austronesian,0.31642142318069305
Kiowa Apache,kiow1264,,0.24705565823338574
Avatime,avat1244,Atlantic-Congo,0.31459263687552425
Crow,crow1244,,0.2620308293186805
Hehe,hehe1240,Atlantic-Congo,0.32734527224432836
Kota (Gabon),kota1274,Atlantic-Congo,0.17807866306455994
Italian,ital1282,Indo-European,0.40082751530355354
Limilngan-Wulna,limi1242,,0.33474587019515073
Pawnee,pawn1254,,0.29906801446756415
Ancux,ancu1238,Nakh-Daghestanian,0.3838693165142173
Tooro,toor1238,Atlantic-Congo,0.36758009877408526
Kariyarra,kari1304,Pama-Nyungan,0.13603707652946773
Hawaiian,hawa1245,Austronesian,0.39755986362779644
Olal,olal1237,Austronesian,0.17005315220652858
Cha'palaa,chac1249,,0.35825984467266736
Potawatomi,pota1247,Algic,0.17063425395242088
North Azerbaijani,nort2697,Turkic,0.36779070771917377
Gimi (Eastern Highlands),gimi1243,Nuclear Trans New Guinea,0.2838434724234851
Gros Ventre,gros1243,Algic,0.20991798741104817
Kunza,kunz1244,,0.5403791757911479
Futuna-Aniwa,futu1245,Austronesian,0.31453897891125177
Vaeakau-Taumako,pile1238,Austronesian,0.2337342504037224
Mono (USA),mono1275,Uto-Aztecan,0.2455534819616537
Dupaninan Agta,dupa1235,Austronesian,0.3641621198401196
Tidore,tido1248,,0.3083240965144879
Tonga (Nyasa),tong1321,Atlantic-Congo,0.30346153385666413
Warrongo,waru1264,Pama-Nyungan,0.22345452548254657
Kumaoni,kuma1273,Indo-European,0.28158913827081355
Sumbwa,sumb1240,Atlantic-Congo,0.28312757751911444
Nsong,song1299,Atlantic-Congo,0.3131191371896515
Maquiritari,maqu1238,Cariban,0.3637515399713388
Sie,siee1239,Austronesian,0.24613545287998506
Northeast Maidu,nort2952,,0.2342261108792935
Koroni,koro1311,Austronesian,0.347254032411082
Nunamiut,nort2944,Eskimo-Aleut,0.3195396546965304
Yamdena,yamd1240,Austronesian,
Yanyuwa,yany1243,Pama-Nyungan,0.29207440591092265
Turung,turu1249,Tai-Kadai,0.2623903840271603
Maklew,makl1246,,0.1569620130697891
Nganasan,ngan1291,Uralic,0.23244861444560327
Warlmanpa,warl1255,Pama-Nyungan,0.28788549344227576
Loloda-Laba,lolo1264,North Halmahera,0.22293973212841053
Standard Lebanese Arabic,stan1323,Afro-Asiatic,0.4274472468967904
Chimariko,chim1301,,0.33796098839985966
Gunya,guny1241,Pama-Nyungan,0.3360031651601705
Northern Ojibwa,nort2961,Algic,0.2100841978085833
Ritarungo,rita1239,Pama-Nyungan,0.30333698277843696
Moselle Franconian,luxe1241,Indo-European,0.4236987322120047
Shona,shon1251,Atlantic-Congo,0.8728715609439694
Kapingamarangi,kapi1249,Austronesian,0.3428149238543826
Tokharian A,tokh1242,Indo-European,0.21357524511230386
Western Apache,west2615,,0.13732086558917678
Keyagana,keya1238,Nuclear Trans New Guinea,0.3381814911781154
Serrano,serr1255,Uto-Aztecan,0.2070121929481605
Boano (Sulawesi),boan1243,Austronesian,0.4330306465342092
Prai,phai1238,Austroasiatic,0.3449104773743775
Nhanda,nhan1238,Pama-Nyungan,0.3349584361185898
Bo-Ung,boun1245,Nuclear Trans New Guinea,0.3527385577116756
Chickasaw,chic1270,,0.2848793011294269
Mudburra,mudb1240,Pama-Nyungan,0.2629687282660742
Venda,vend1245,Atlantic-Congo,0.3141934731856457
Bezhta,bezh1248,Nakh-Daghestanian,0.3528481058590576
Burmish,burm1266,Sino-Tibetan,0.26489069783899366
Itonama,iton1250,,0.4701941039212879
Xârâcùù,xara1244,Austronesian,0.27613745385073435
Maragus,mara1399,Austronesian,0.2764449910775316
Jurúna,juru1256,Tupian,0.17990012938930128
Emau,emau1237,Austronesian,0.2561816818016185
Kalam,kala1397,Nuclear Trans New Guinea,0.30245330072795673
Upper Michigan-Wisconsin Chippewa,uppe1274,Algic,0.2057151472059582
Waimaha,waim1255,,0.2861245460152405
Early Irish,oldi1245,Indo-European,0.2889931148449704
Luangiua,onto1237,Austronesian,0.16152743959709864
Ignaciano,igna1246,Arawakan,0.4500536865937232
Suku,suku1259,Atlantic-Congo,0.3748488264821537
Dogrib,dogr1252,,0.2485369029383514
Giryama,giry1241,Atlantic-Congo,0.22475931041790084
Biri,biri1256,Pama-Nyungan,0.25645451776816697
Luburua,lubu1242,Austronesian,0.4407148517056384
Zulu,zulu1248,Atlantic-Congo,0.21425153883779058
Munsee,muns1251,Algic,0.20330999544334483
Mi'kmaq,mikm1235,Algic,0.21533559014567044
"!Kung, Southeastern Ju, or Ju'hoan",juho1239,Kxa,0.2933003942504385
Hindi,hind1269,Indo-European,0.4155912292481759
Bera,bera1259,Atlantic-Congo,0.37848600846455
Archi,arch1244,Nakh-Daghestanian,0.4021218896611435
Sonsorol,sons1242,Austronesian,0.5105484039130468
Wuvulu-Aua,wuvu1239,Austronesian,0.252687265735747
Puelche,puel1244,,0.3694467739799454
Gurindji,guri1247,Pama-Nyungan,0.29768715996933515
Brooke's Point Palawano,broo1239,Austronesian,0.46511864393517915
Elamite,elam1244,,0.5418307977739416
Gondi,gond1265,Dravidian,0.37667937323384515
Waurá,waur1244,Arawakan,0.38575274626552025
Yalic,yali1257,Nuclear Trans New Guinea,0.3331837249362196
Konawe,kona1243,Austronesian,0.27107924946557016
Lardil,lard1243,,0.2066475389121184
Birhor,birh1242,Austroasiatic,0.20848661450195188
Fang (Equatorial Guinea),fang1246,Atlantic-Congo,0.3149797560429475
Marra,mara1385,Other,0.23698893916839386
Sa,saaa1241,Austronesian,0.22705174451298415
Bukusu,buku1249,Atlantic-Congo,0.2992750147157477
Páez,paez1247,,0.41120146761758836
Ket,kett1243,,0.4709576259810704
Big Nambas,bign1238,Austronesian,0.2988982256859778
Hungarian,hung1274,Uralic,0.3932721996531552
Kannada,nucl1305,Dravidian,0.13316605124349024
Batak Toba,bata1289,Austronesian,0.3181039540398868
Pima Bajo,pima1248,Uto-Aztecan,0.3667945011931082
Maskelynes,mask1242,Austronesian,0.34431661352589216
Southwest Tanna,sout2869,Austronesian,0.3420069618876858
Tigak,tiga1245,Austronesian,0.16765818286532178
Modern Greek,mode1248,Indo-European,0.47741736730395484
Dhuwal-Dhuwala,dhuw1248,Pama-Nyungan,0.27419900498418326
Erave,erav1244,Nuclear Trans New Guinea,0.2526952167176758
Southern Kiwai,sout2949,Kiwaian,0.34386350567776336
Kui (India),kuii1252,Dravidian,0.24294940849563784
Klon,kelo1247,Timor-Alor-Pantar,0.2476043244328702
/Gwi,gwii1239,,0.25433763435371637
Nese,nese1235,Austronesian,0.3630208753175342
Bit,bitt1240,Austroasiatic,0.34396660341856067
Cayubaba,cayu1262,,0.48265330159226777
Wayuu,wayu1243,Arawakan,0.34345947521438935
Torete,tore1237,Austronesian,0.3260092458501308
Albanian,alba1267,Indo-European,0.3680894185949716
Nyawaygi,nyaw1247,Pama-Nyungan,0.415316409128285
Ossetic,osse1245,Indo-European,0.38251542886725964
Luvale,luva1239,Atlantic-Congo,0.28198827060164694
Kawi,kawi1241,Austronesian,0.5003393639083434
Maba (Indonesia),maba1278,Austronesian,0.4410390157780345
Mangareva,mang1401,Austronesian,0.30806083922454897
Savosavo,savo1255,Savosavo,0.32548175132440765
Myene,myen1241,Atlantic-Congo,0.3444951946390129
Rotuman,rotu1241,Austronesian,0.4090829907152467
Lithuanian,lith1251,Indo-European,0.3977828324119439
Maca,maca1260,,0.5573871274047035
Pumé,pume1238,,0.3641258060082434
Seri,seri1257,,0.39255420104634176
Hid,hidd1238,Nakh-Daghestanian,0.38740666267290186
Fe'fe',fefe1239,Atlantic-Congo,0.460366110235573
Arikara,arik1262,,0.21631574339987172
Akkadian,akka1240,Afro-Asiatic,0.3883038104568534
Tohono O'odham,toho1245,Uto-Aztecan,0.3930917405743855
Touo,touo1238,Touo,0.29561058482814684
Mongo,mong1338,Atlantic-Congo,0.306623369777559
Siwai,siwa1245,South Bougainville,0.1867377461108686
Iloko,ilok1237,Austronesian,0.400571049235426
Barok,baro1253,Austronesian,0.361632733991142
Moronene,moro1287,Austronesian,0.36921897163717887
North Saami,nort2671,Uralic,0.24585696498876858
Kazym-Berezover-Suryskarer Khanty,khan1273,Uralic,0.3304859629071002
Uma Juman,umaj1240,Austronesian,0.43214248666800215
Yuwaalaraay-Gamilaraay,gami1243,Pama-Nyungan,0.2820583146152773
Mattole-Bear River,matt1238,,0.5163004090036842
Galibi Carib,gali1262,Cariban,0.20493048293005792
Kiai,fort1240,Austronesian,0.277119906155137
Ha,haaa1252,Atlantic-Congo,0.19081968014444112
Djinang,djin1253,Pama-Nyungan,0.26017366693106064
Budza,budz1238,Atlantic-Congo,0.4378890177113125
Mekeo,meke1243,Austronesian,0.37533450517239547
Whitesands,whit1269,Austronesian,0.18440392754466464
Russian,russ1263,Indo-European,0.4334687309292612
Turkish,nucl1301,Turkic,0.3849796856772634
Wajarri,waja1257,Pama-Nyungan,0.3040307303268063
Lakota,lako1247,,0.23361150733617683
Pirriya,pirr1240,Pama-Nyungan,0.3131520495613838
Tsonga,tson1249,Atlantic-Congo,0.12931683049789305
Epena,epen1239,,0.29292094863670415
Kodeoha,kode1237,Austronesian,0.35970648733268107
Lonwolwol,lonw1238,Austronesian,0.237886259340534
Nivaclé,niva1238,,0.4215922345181413
Merlav,merl1237,Austronesian,0.2640172927224348
Mandan,mand1446,,0.2745662377968387
Nyoro,nyor1246,Atlantic-Congo,0.2187255374136432
Mekongga,meko1237,Austronesian,0.26978464810883473
Pohnpeian,pohn1238,Austronesian,0.3299369902751392
Kamang,kama1365,,0.2385677973077166
Rundi,rund1242,Atlantic-Congo,0.21897910015160685
Matukar,matu1261,Austronesian,0.33539033442105726
Taiap,taia1239,Taiap,0.3093014618836379
Eastern Pahari,east1436,Indo-European,0.39148130714973844
Jehai,jeha1242,Austroasiatic,0.2822948258967666
Toba,toba1269,,0.3784510820555662
Wichí Lhamtés Güisnay,wich1264,,0.40039562751342644
Amharic,amha1245,Afro-Asiatic,0.42049318708078753
Avava,katb1237,Austronesian,0.1942835933207014
Rotokas,roto1249,,0.2971249310716471
