glottocode,language,estimated_number_of_speakers,family,prop,n_kintypes,log_pop
nort2951,Northwest Maidu,3,NA,0.4390243902439024,41,1.584962500721156
nort2972,Northern Emberá,72000,NA,0.3541666666666667,48,16.1357092861044
norw1259,Norwegian Bokmål,10501500,Indo-European,0.3125,48,23.324092076674514
nucl1235,Eastern Armenian,3000000,Indo-European,0.375,48,21.516531070045332
nucl1301,Turkish,76290000,Turkic,0.3541666666666667,48,26.184990626960712
nucl1417,Igbo,28000000,Atlantic-Congo,0.3863636363636363,44,24.73892349138178
nucl1454,Yawa,10000,Yawa-Saweru,0.25,48,13.287712379549449
nucl1460,Madurese,17000000,Austronesian,0.2708333333333333,48,24.019031410574513
nucl1594,Mairasi,3300,Mairasic,0.16666666666666666,48,11.688250309133178
nucl1633,Nimboran,2000,Nimboranic,0.2708333333333333,48,10.965784284662087
nucl1643,Japanese,119000000,NA,0.3333333333333333,48,26.82638633263212
numb1247,Numbami,200,Austronesian,0.3541666666666667,48,7.643856189774724
nyak1260,Nyakyusa-Ngonde,1400000,Atlantic-Congo,0.43478260869565216,46,20.416995396494414
nyor1246,Nyoro,670000,Atlantic-Congo,0.375,48,19.35380157000722
onob1238,Onobasulu,1000,Bosavi,0.16666666666666666,48,9.965784284662087
onto1237,Luangiua,2400,Austronesian,0.16666666666666666,48,11.228818690495881
oriy1255,Odia,35000000,Indo-European,0.6808510638297872,47,25.06085158626914
paic1239,Paicî,7300,Austronesian,0.375,48,12.833680748654741
paiw1248,Paiwan,66000,Austronesian,0.10416666666666669,48,16.01017840402054
pamp1243,Pampanga,2500000,Austronesian,0.2916666666666667,48,21.253496664211536
panj1256,Eastern Panjabi,200000000,Indo-European,0.6666666666666666,48,27.575424759098897
para1311,Paraguayan Guaraní,4800000,Tupian,0.44680851063829785,47,22.194602975157967
pata1260,Patani,11000,Austronesian,0.3125,48,13.425215903299383
pend1242,Pendau,3900,Austronesian,0.25,48,11.929258408636972
phen1239,Phende,420000,Atlantic-Congo,0.25,48,18.68002980232821
pila1245,Pilagá,4000,NA,0.2916666666666667,48,11.965784284662087
poli1260,Polish,37000000,Indo-European,0.5416666666666666,48,25.141021934953123
port1283,Portuguese,225751001,Indo-European,0.3181818181818182,44,27.750157143857233
puka1242,Pukapuka,2400,Austronesian,0.25,48,11.228818690495881
raro1241,Southern Cook Island Maori,21700,Austronesian,0.2727272727272727,44,14.405407422219204
rata1245,Ratagnon,310,Austronesian,0.25,48,8.276124405274238
reja1240,Rejang,1200000,Austronesian,0.25,44,20.194602975157967
renn1242,Rennell-Bellona,4400,Austronesian,0.26666666666666666,45,12.103287808412022
roma1327,Romanian,21100000,Indo-European,0.3125,48,24.330739663143998
roto1249,Rotokas,4300,NA,0.3541666666666667,48,12.070120944476823
rotu1241,Rotuman,2500,Austronesian,0.3333333333333333,48,11.287712379549449
rovi1238,Roviana,9600,Austronesian,0.25,48,13.228818690495881
rund1242,Rundi,7500000,Atlantic-Congo,0.4565217391304347,46,22.838459164932694
russ1263,Russian,170200000,Indo-European,0.375,48,27.342655796122774
saba1263,Brunei-Sabah Malay,3000000,Austronesian,0.25,48,21.516531070045332
