Name,Glottocode,Value,settlement_type,Settlement_Type
Senufo,ceba1235,Villages/towns,Large settlements,Large settlements
Dyan,dyan1251,Dispersed homesteads,Small settlements,Small settlements
Dorosie,dogo1295,Dispersed homesteads,Small settlements,Small settlements
Kulango,boun1243,Villages/towns,Large settlements,Large settlements
Lowiili,sout2790,Dispersed homesteads,Small settlements,Small settlements
Awuna,angl1262,Hamlets,Small settlements,Small settlements
Builsa,buli1254,Hamlets,Small settlements,Small settlements
Dagara,sout2789,Dispersed homesteads,Small settlements,Small settlements
Tallensi,taln1239,Dispersed homesteads,Small settlements,Small settlements
Isala,tumu1242,Villages/towns,Large settlements,Large settlements
Kusasi,kusa1250,Dispersed homesteads,Small settlements,Small settlements
Nunuma,sout2795,Dispersed homesteads,Small settlements,Small settlements
Vagala,vagl1239,Villages/towns,Large settlements,Large settlements
Dagomba,dagb1246,Villages/towns,Large settlements,Large settlements
Gurma,gour1243,Villages/towns,Large settlements,Large settlements
Manprusi,mamp1244,Villages/towns,Large settlements,Large settlements
Mossi (Ouagadougou),moss1236,Dispersed homesteads,Small settlements,Small settlements
Basari,ntch1242,Villages/towns,Large settlements,Large settlements
Kabre,kabi1261,Hamlets,Small settlements,Small settlements
Birifor,sout2790,Dispersed homesteads,Small settlements,Small settlements
Moba,moba1244,Hamlets,Small settlements,Small settlements
Somba,dita1238,Villages/towns,Large settlements,Large settlements
Tem,temm1241,Villages/towns,Large settlements,Large settlements
Bisa,biss1248,Villages/towns,Large settlements,Large settlements
Yalunka,yalu1240,Complex permanent,Large settlements,Large settlements
Futajalonke,pula1262,Complex permanent,Large settlements,Large settlements
Bozo,tiey1235,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Coniagui,wame1240,Villages/towns,Large settlements,Large settlements
Malinke,kita1249,Villages/towns,Large settlements,Large settlements
Katab,kata1265,Villages/towns,Large settlements,Large settlements
Chawai,atsa1241,Villages/towns,Large settlements,Large settlements
Basa,basa1282,Hamlets,Small settlements,Small settlements
Basakomo,basa1282,Hamlets,Small settlements,Small settlements
Dakakari,clel1238,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kamuku,cind1241,Dispersed homesteads,Small settlements,Small settlements
Reshe,resh1242,Villages/towns,Large settlements,Large settlements
Angas,ngas1240,Dispersed homesteads,Small settlements,Small settlements
Birom,bero1242,Dispersed homesteads,Small settlements,Small settlements
Burmawa,bogh1241,Dispersed homesteads,Small settlements,Small settlements
Adara,kada1284,Villages/towns,Large settlements,Large settlements
Jukun,juku1254,Villages/towns,Large settlements,Large settlements
Kagoro,kago1246,Villages/towns,Large settlements,Large settlements
Kurama,kura1249,Villages/towns,Large settlements,Large settlements
Yergum,taro1263,NA,NA,NA
Jibu,jibu1239,NA,NA,NA
Kentu,etky1238,NA,NA,NA
Tigon,tigo1236,Villages/towns,Large settlements,Large settlements
Ndoro,ndoo1241,Villages/towns,Large settlements,Large settlements
Zuande,bita1251,Villages/towns,Large settlements,Large settlements
Chamba,samb1305,Villages/towns,Large settlements,Large settlements
Daka,samb1311,Villages/towns,Large settlements,Large settlements
Tiv,tivv1240,Dispersed homesteads,Small settlements,Small settlements
Longuda,long1389,Hamlets,Small settlements,Small settlements
Mumuye,nucl1240,Villages/towns,Large settlements,Large settlements
Vere,momj1237,Villages/towns,Large settlements,Large settlements
Yungur,bena1260,Hamlets,Small settlements,Small settlements
Bata,bata1314,Hamlets,Small settlements,Small settlements
Bura,bura1292,Hamlets,Small settlements,Small settlements
Gude,gude1246,Villages/towns,Large settlements,Large settlements
Hwana,hwan1240,Hamlets,Small settlements,Small settlements
Kapsiki,psik1239,Villages/towns,Large settlements,Large settlements
Podokwo,park1239,Villages/towns,Large settlements,Large settlements
