Name,Glottocode,Value,settlement_type,Settlement_Type
Midobi,mido1240,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Gimma,nort3133,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Habbaniya,nort3133,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Hemat,bath1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Messiria Humr,tama1331,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Shuwa,char1283,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Fur,furr1244,Villages/towns,Large settlements,Large settlements
Kanembu,kane1243,Villages/towns,Large settlements,Large settlements
Kanuri,cent2050,Complex permanent,Large settlements,Large settlements
Wolof,nucl1347,Villages/towns,Large settlements,Large settlements
Zerma,zarm1239,Villages/towns,Large settlements,Large settlements
Djafun,adam1253,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Liptako,west2454,Villages/towns,Large settlements,Large settlements
Tukulor,pula1263,Villages/towns,Large settlements,Large settlements
Wodaabe Fulani,boro1274,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tazarawa Hausa,arew1238,Villages/towns,Large settlements,Large settlements
Zazzagawa Hausa,haus1257,Villages/towns,Large settlements,Large settlements
Bachama,baca1246,Villages/towns,Large settlements,Large settlements
Dera,dera1248,Villages/towns,Large settlements,Large settlements
Ngizim,ngiz1242,NA,NA,NA
Songhai,koyr1242,Villages/towns,Large settlements,Large settlements
Hasania,khar1296,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Buduma,budu1265,Dispersed homesteads,Small settlements,Small settlements
Tera,tera1251,Villages/towns,Large settlements,Large settlements
Bolewa,nucl1695,Villages/towns,Large settlements,Large settlements
Bororo Fulani,boro1274,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Hausa Kanawa,kano1249,Villages/towns,Large settlements,Large settlements
Regeibat,hass1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Asben,taya1257,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Azjer,ghat1242,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ifora,tadh1242,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Udalan Tuareg,timb1263,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Daza,daza1242,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Drawa,susi1238,NA,NA,NA
Chaambra,algi1247,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Delim,hass1238,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kunta,hass1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Trarza,hass1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Teda,teda1241,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Zenaga,zena1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Siwans,siwi1239,Complex permanent,Large settlements,Large settlements
Mzab,tumz1238,Villages/towns,Large settlements,Large settlements
Kel Antessar,timb1263,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kababish,nort3133,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Barabish,hass1238,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Aulliminden,ioul1238,NA,NA,NA
Tuareg Ahaggar,hogg1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Barabra,kenu1236,Villages/towns,Large settlements,Large settlements
Zekara,tari1263,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Guanche,guan1277,Villages/towns,Large settlements,Large settlements
Algerians,algi1247,Villages/towns,Large settlements,Large settlements
Hamama,sout3114,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Hamyan,oran1236,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Jebala,jebl1238,Villages/towns,Large settlements,Large settlements
Moroccans,sout3117,Villages/towns,Large settlements,Large settlements
Nail,cons1245,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Saadi,said1239,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Sahel,sahi1245,Villages/towns,Large settlements,Large settlements
Egyptians,egyp1253,Villages/towns,Large settlements,Large settlements
Sanusi,liby1240,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tunisians,tuni1260,Villages/towns,Large settlements,Large settlements
Riffians,tari1263,Villages/towns,Large settlements,Large settlements
Kabyle,kaby1243,Villages/towns,Large settlements,Large settlements
Shluh,susi1238,Hamlets,Small settlements,Small settlements
Ancient Egyptians,egyp1246,Villages/towns,Large settlements,Large settlements
Beraber,cent2194,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Shawiya,tach1249,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Tekna,hass1238,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Gheg,gheg1238,Dispersed homesteads,Small settlements,Small settlements
Portuguese,gali1257,NA,NA,NA
Ancient Romans,lati1261,Villages/towns,Large settlements,Large settlements
French Basques,labo1236,Dispersed homesteads,Small settlements,Small settlements
Neapolitans,neap1235,Complex permanent,Large settlements,Large settlements
Spaniards,stan1288,Villages/towns,Large settlements,Large settlements
Greeks,mode1248,Villages/towns,Large settlements,Large settlements
Spanish Basques,west1508,Complex permanent,Large settlements,Large settlements
New Englanders,stan1293,Complex permanent,Large settlements,Large settlements
Boers,afri1274,Dispersed homesteads,Small settlements,Small settlements
Tristan da Cunha,stan1293,Villages/towns,Large settlements,Large settlements
Brazilians,braz1246,Villages/towns,Large settlements,Large settlements
French Canadians,queb1247,Villages/towns,Large settlements,Large settlements
Dutch,dutc1256,Villages/towns,Large settlements,Large settlements
Icelanders,icel1247,Villages/towns,Large settlements,Large settlements
Irish,iris1253,Dispersed homesteads,Small settlements,Small settlements
Sami,nort2671,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Walloons,wall1255,Villages/towns,Large settlements,Large settlements
Serbs,serb1264,Complex permanent,Large settlements,Large settlements
Romanians,baya1255,NA,NA,NA
Russians,russ1263,Villages/towns,Large settlements,Large settlements
Bashkir,bash1264,Villages/towns,Large settlements,Large settlements
Besermyan,nort2676,Villages/towns,Large settlements,Large settlements
Chuvash,chuv1255,Villages/towns,Large settlements,Large settlements
Erzya Mordvins,erzy1239,Villages/towns,Large settlements,Large settlements
Estonians,esto1258,Dispersed homesteads,Small settlements,Small settlements
Gagauz,gaga1249,Villages/towns,Large settlements,Large settlements
Ingrians,ingr1248,Villages/towns,Large settlements,Large settlements
Karelians,livv1243,Villages/towns,Large settlements,Large settlements
Hutsuls,sout2604,Dispersed homesteads,Small settlements,Small settlements
Kazan tatar,midd1325,Villages/towns,Large settlements,Large settlements
Latvians,latv1249,Dispersed homesteads,Small settlements,Small settlements
Lithuanian Karaim,kara1464,Complex permanent,Large settlements,Large settlements
Lithuanian Tatar,west2405,Complex permanent,Large settlements,Large settlements
Livs,livv1244,Villages/towns,Large settlements,Large settlements
Moldovans,mold1248,Villages/towns,Large settlements,Large settlements
Udmurt,sout2681,Villages/towns,Large settlements,Large settlements
Veps,veps1250,Villages/towns,Large settlements,Large settlements
Votes,voti1245,Villages/towns,Large settlements,Large settlements
Czechs,czec1258,Villages/towns,Large settlements,Large settlements
Mari,east2328,Hamlets,Small settlements,Small settlements
Bulgarians,bulg1262,Villages/towns,Large settlements,Large settlements
Byelorussians,bela1254,Villages/towns,Large settlements,Large settlements
Ukrainians,east2270,Villages/towns,Large settlements,Large settlements
Magyar,hung1274,Villages/towns,Large settlements,Large settlements
Lithuanians,lith1251,Villages/towns,Large settlements,Large settlements
Kalmyk,kalm1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Armenians,nucl1235,Villages/towns,Large settlements,Large settlements
Kurd,cent1972,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Abkhaz,abkh1244,Dispersed homesteads,Small settlements,Small settlements
Khevsur,xevs1238,Villages/towns,Large settlements,Large settlements
Kumyk,kumy1244,Villages/towns,Large settlements,Large settlements
Cherkess,kaba1278,Hamlets,Small settlements,Small settlements
Turks,nucl1301,Villages/towns,Large settlements,Large settlements
Ossetians,digo1242,Villages/towns,Large settlements,Large settlements
Chechen,chec1245,Villages/towns,Large settlements,Large settlements
Georgians,imer1248,Villages/towns,Large settlements,Large settlements
Svan,svan1243,Villages/towns,Large settlements,Large settlements
Syrians,nort3142,Villages/towns,Large settlements,Large settlements
Madan,meso1252,Villages/towns,Large settlements,Large settlements
Rwala,east2690,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Hebrews,anci1244,Villages/towns,Large settlements,Large settlements
Babylonians,akka1240,Villages/towns,Large settlements,Large settlements
Mutair,sout3119,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Jordanians,sout3123,Villages/towns,Large settlements,Large settlements
Lebanese,nort3139,Villages/towns,Large settlements,Large settlements
Druze,sunn1238,Villages/towns,Large settlements,Large settlements
Yemeni,sana1295,Villages/towns,Large settlements,Large settlements
Sindhi,sind1272,Villages/towns,Large settlements,Large settlements
Marri,east2304,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ghilzai,ghil1238,Villages/towns,Large settlements,Large settlements
Qashqui,qash1240,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Punjabi,west2386,Complex permanent,Large settlements,Large settlements
Yusufzai,yusu1238,Villages/towns,Large settlements,Large settlements
Hazara,haza1239,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kohistani,indu1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Nuristani,kamv1242,Villages/towns,Large settlements,Large settlements
Basseri,bass1257,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Moghol,mogh1245,Hamlets,Small settlements,Small settlements
Bakhtiari,bakh1245,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Iranians,tehr1242,Villages/towns,Large settlements,Large settlements
Kazakh,kaza1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tu,tuuu1240,Hamlets,Small settlements,Small settlements
Khalka,halh1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Dagur,daur1238,NA,NA,NA
Turkmen,turk1304,Villages/towns,Large settlements,Large settlements
Buryat,russ1264,NA,NA,NA
Chahar,peri1253,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Uzbek,nort2690,NA,NA,NA
Nivkh,gily1242,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ob Ostyak,khan1273,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Selkup,selk1253,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nganasan,ngan1291,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Itelmen,itel1242,Villages/towns,Large settlements,Large settlements
Ungazikmit,cent2128,Villages/towns,Large settlements,Large settlements
Mansi,mans1258,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Evenk,even1259,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Negidal,negi1245,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ulch,ulch1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Orok,orok1265,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yakut,yaku1245,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Oroch,oroc1248,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Udihe,udih1248,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Chukchi,chuk1273,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yurak-Samoyeds,nene1249,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Koryak,kory1246,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Yukaghir,nort2745,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ainu,ainu1240,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Ket,kett1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nanai,nana1257,Villages/towns,Large settlements,Large settlements
Koreans,kore1280,Villages/towns,Large settlements,Large settlements
Shantung,mand1415,Villages/towns,Large settlements,Large settlements
Ishigakians,yaey1239,NA,NA,NA
Man,kimm1245,NA,NA,NA
Miyakans,miya1259,NA,NA,NA
Kiangsu,wuch1236,Villages/towns,Large settlements,Large settlements
Cantonese,yuec1235,NA,NA,NA
Lolo,sich1238,Villages/towns,Large settlements,Large settlements
Manchu,manc1252,Villages/towns,Large settlements,Large settlements
Miao,horn1235,Hamlets,Small settlements,Small settlements
Japanese,nucl1643,Complex permanent,Large settlements,Large settlements
Min Chinese,chao1239,Villages/towns,Large settlements,Large settlements
Okinawans,cent2126,Villages/towns,Large settlements,Large settlements
Minchia,cent2004,Villages/towns,Large settlements,Large settlements
Li,hlai1239,Villages/towns,Large settlements,Large settlements
Adi,bori1243,Villages/towns,Large settlements,Large settlements
Burusho,buru1296,Villages/towns,Large settlements,Large settlements
Lepcha,lepc1244,Dispersed homesteads,Small settlements,Small settlements
Central Tibetans,dbus1238,Villages/towns,Large settlements,Large settlements
Shina,shin1264,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Sherpa,sher1255,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kachari,kach1279,NA,NA,NA
Magar,west2418,Hamlets,Small settlements,Small settlements
Santal,sant1410,Villages/towns,Large settlements,Large settlements
Bihari,mait1250,NA,NA,NA
Uttar Pradesh,bhoj1244,Complex permanent,Large settlements,Large settlements
Bengali,beng1280,Villages/towns,Large settlements,Large settlements
Indo-Iranian,sans1269,NA,NA,NA
Ho,hooo1248,NA,NA,NA
Bhil,bhil1251,Dispersed homesteads,Small settlements,Small settlements
Kurukh,kuru1302,Villages/towns,Large settlements,Large settlements
Pahari,garh1243,Villages/towns,Large settlements,Large settlements
Kashmiri,kash1277,Villages/towns,Large settlements,Large settlements
Gujarati,guja1252,Villages/towns,Large settlements,Large settlements
Chenchu,chen1255,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Telugu,telu1262,Villages/towns,Large settlements,Large settlements
Koya,koya1251,NA,NA,NA
Khond,kuii1252,NA,NA,NA
Muria Gond,west2408,Villages/towns,Large settlements,Large settlements
Reddi,mukh1238,Villages/towns,Large settlements,Large settlements
Tamil,tami1289,Villages/towns,Large settlements,Large settlements
Madia,mari1414,Villages/towns,Large settlements,Large settlements
Toda,toda1252,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kodavas,koda1255,Hamlets,Small settlements,Small settlements
Kerala,mala1464,Dispersed homesteads,Small settlements,Small settlements
Hill Bhuiya,oriy1255,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Kol,mund1320,Villages/towns,Large settlements,Large settlements
Baiga,chha1249,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Andamanese,akab1249,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Betsileo,bets1235,NA,NA,NA
Merina,meri1243,Villages/towns,Large settlements,Large settlements
Tanala,tana1285,Villages/towns,Large settlements,Large settlements
Vedda,vedd1240,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nicobarese,carn1240,Hamlets,Small settlements,Small settlements
Sinhalese,sinh1246,Villages/towns,Large settlements,Large settlements
Antandroy,tand1256,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Sakalava,saka1291,Hamlets,Small settlements,Small settlements
Antaisaka,tesa1236,Villages/towns,Large settlements,Large settlements
Garo,garo1247,Villages/towns,Large settlements,Large settlements
Chakma,chak1266,Villages/towns,Large settlements,Large settlements
Aimol,aimo1244,Villages/towns,Large settlements,Large settlements
Thado,thad1238,Villages/towns,Large settlements,Large settlements
Angami,anga1288,Villages/towns,Large settlements,Large settlements
Ao,aona1235,Villages/towns,Large settlements,Large settlements
Rengma,sout2732,NA,NA,NA
Sema,sumi1235,Villages/towns,Large settlements,Large settlements
Karbi,karb1241,NA,NA,NA
Palaung,shwe1236,Villages/towns,Large settlements,Large settlements
Chin,asho1236,Villages/towns,Large settlements,Large settlements
Lhota,loth1237,Villages/towns,Large settlements,Large settlements
Kuki,lush1249,NA,NA,NA
Burmese,nucl1310,Villages/towns,Large settlements,Large settlements
Maras,mara1382,Villages/towns,Large settlements,Large settlements
Kachin,kach1280,Villages/towns,Large settlements,Large settlements
Purum,puru1266,Villages/towns,Large settlements,Large settlements
Karen,pwow1235,Villages/towns,Large settlements,Large settlements
Khasi,khas1269,Villages/towns,Large settlements,Large settlements
Mogh,rakh1245,Villages/towns,Large settlements,Large settlements
Lamet,lame1256,Villages/towns,Large settlements,Large settlements
Rade,rade1240,Hamlets,Small settlements,Small settlements
Cham,east2563,Hamlets,Small settlements,Small settlements
Lawa,west2396,Villages/towns,Large settlements,Large settlements
Muong,muon1246,Dispersed homesteads,Small settlements,Small settlements
Senoi,sema1266,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Ancient Khmer,oldk1249,Villages/towns,Large settlements,Large settlements
Negri Sembilan,nege1240,Dispersed homesteads,Small settlements,Small settlements
Mnong Gar,east2333,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Semang,kens1248,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Annamese,viet1252,Villages/towns,Large settlements,Large settlements
Khmer,cent1989,Villages/towns,Large settlements,Large settlements
Moken,moke1242,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Akha,akha1245,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Malays,mala1479,Villages/towns,Large settlements,Large settlements
Thai,thai1261,Villages/towns,Large settlements,Large settlements
Atayal,atay1247,Villages/towns,Large settlements,Large settlements
Bunun,bunu1267,Dispersed homesteads,Small settlements,Small settlements
Puyuma,puyu1239,Villages/towns,Large settlements,Large settlements
Sugbuanon,cebu1242,Villages/towns,Large settlements,Large settlements
Badjau Tawi-Tawi,sout2918,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tao,yami1254,Villages/towns,Large settlements,Large settlements
Manobo,agus1235,Dispersed homesteads,Small settlements,Small settlements
Kalinga,lubu1243,Hamlets,Small settlements,Small settlements
Bilaan,koro1310,NA,NA,NA
Bisayan,akla1241,NA,NA,NA
Sagada,nort2877,Villages/towns,Large settlements,Large settlements
Ifugao,tuwa1243,Hamlets,Small settlements,Small settlements
Subanun,cent2089,Dispersed homesteads,Small settlements,Small settlements
Hanunoo,hanu1241,Hamlets,Small settlements,Small settlements
Paiwan,paiw1248,Villages/towns,Large settlements,Large settlements
Tagbanua,tagb1258,Villages/towns,Large settlements,Large settlements
Bontok,cent2292,Villages/towns,Large settlements,Large settlements
Ami,amis1246,Villages/towns,Large settlements,Large settlements
Iban,iban1264,Villages/towns,Large settlements,Large settlements
Javanese,java1254,Complex permanent,Large settlements,Large settlements
Balinese,bali1278,Villages/towns,Large settlements,Large settlements
Toba Batak,bata1289,Villages/towns,Large settlements,Large settlements
Kadazan-Dusun,cent2100,Villages/towns,Large settlements,Large settlements
Minangkabau,mina1268,Villages/towns,Large settlements,Large settlements
Mentaweians,ment1249,Villages/towns,Large settlements,Large settlements
Anak Dalam,kubu1239,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Punan,puna1275,NA,NA,NA
Macassarese,maka1311,Dispersed homesteads,Small settlements,Small settlements
Tobelorese,tobe1252,Villages/towns,Large settlements,Large settlements
Ambonese,ambo1250,Villages/towns,Large settlements,Large settlements
Sumbawanese,sumb1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kodi,kodi1247,NA,NA,NA
Alorese,abui1241,Complex permanent,Large settlements,Large settlements
Belu,tetu1245,Hamlets,Small settlements,Small settlements
Rotinese,term1237,NA,NA,NA
Toradja,pamo1252,Villages/towns,Large settlements,Large settlements
Tanimbarese,sela1259,Villages/towns,Large settlements,Large settlements
Ili-Mandiri,lama1277,Villages/towns,Large settlements,Large settlements
Kei,keii1239,Villages/towns,Large settlements,Large settlements
Sumbanese,kamb1299,Complex permanent,Large settlements,Large settlements
Northern Aranda,east2379,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Walbiri,warl1254,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Gidjingali,gunn1248,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yir Yoront,jirj1239,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Anindilyagwa,anin1240,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
"Yolngu, Dhuwal",dhuw1249,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tiwi,tiwi1244,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Diyari,dier1241,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kariyarra,kari1304,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wikmunkan,wikm1247,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Murriny Patha,murr1258,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tasmanians (northwestern),port1278,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ngiyambaa,wang1291,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Mee,ekar1243,Villages/towns,Large settlements,Large settlements
Motu,motu1246,Villages/towns,Large settlements,Large settlements
Kakoli,umbu1258,Dispersed homesteads,Small settlements,Small settlements
Kwoma,kwom1262,Hamlets,Small settlements,Small settlements
Kiwai,sout2949,Villages/towns,Large settlements,Large settlements
Miriam,meri1244,Villages/towns,Large settlements,Large settlements
Abelam,ambu1247,Villages/towns,Large settlements,Large settlements
Kutubu,foii1241,Villages/towns,Large settlements,Large settlements
Siane,sian1257,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Kimam,kima1246,Dispersed homesteads,Small settlements,Small settlements
Marind-Amin,nucl1622,Hamlets,Small settlements,Small settlements
Wantoat,want1252,Villages/towns,Large settlements,Large settlements
Koita,koit1244,Villages/towns,Large settlements,Large settlements
Mailu,mail1248,Villages/towns,Large settlements,Large settlements
Mekeo,meke1243,Villages/towns,Large settlements,Large settlements
Muju,sout2940,Dispersed homesteads,Small settlements,Small settlements
Koiari,gras1249,Villages/towns,Large settlements,Large settlements
Mafulu,fuyu1242,Hamlets,Small settlements,Small settlements
Ngarawapum,adze1240,Villages/towns,Large settlements,Large settlements
Banaro,bana1292,Hamlets,Small settlements,Small settlements
Busama,buga1250,Villages/towns,Large settlements,Large settlements
Manam,mana1295,Hamlets,Small settlements,Small settlements
Arapesh,buki1249,Hamlets,Small settlements,Small settlements
Mimika,kamo1255,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Fore,fore1270,Hamlets,Small settlements,Small settlements
Sio,sioo1240,Villages/towns,Large settlements,Large settlements
Soromadja,nucl1595,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Bgu,bong1287,NA,NA,NA
Iatmul,iatm1242,Villages/towns,Large settlements,Large settlements
Samarokena,sama1240,NA,NA,NA
Star Mountain,ngal1298,NA,NA,NA
Dani,midg1235,Hamlets,Small settlements,Small settlements
Elema,orok1267,Villages/towns,Large settlements,Large settlements
Wogeo,woge1237,Villages/towns,Large settlements,Large settlements
Keraki,namb1293,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Waropen,waro1242,Villages/towns,Large settlements,Large settlements
Enga,enga1252,Dispersed homesteads,Small settlements,Small settlements
Purari,pura1257,Villages/towns,Large settlements,Large settlements
Orokaiva,orok1269,Villages/towns,Large settlements,Large settlements
Palauans,pala1344,Villages/towns,Large settlements,Large settlements
Nomoians,mort1237,NA,NA,NA
Kosraeans,kosr1238,Dispersed homesteads,Small settlements,Small settlements
Bikinians,rali1241,Villages/towns,Large settlements,Large settlements
Nauruans,naur1243,Dispersed homesteads,Small settlements,Small settlements
Makin,bana1287,Complex permanent,Large settlements,Large settlements
Carolinians,caro1242,Hamlets,Small settlements,Small settlements
Lamotrek,lamo1243,Dispersed homesteads,Small settlements,Small settlements
Marshallese - Jaluit atoll,rali1241,Dispersed homesteads,Small settlements,Small settlements
Trukese,chuu1238,Hamlets,Small settlements,Small settlements
Majuro,rata1243,Hamlets,Small settlements,Small settlements
Ifaluk,nucl1479,Villages/towns,Large settlements,Large settlements
Ponapeans,pohn1238,Dispersed homesteads,Small settlements,Small settlements
Yapese,yape1248,Dispersed homesteads,Small settlements,Small settlements
Gilbert Onotoa,nuii1237,Villages/towns,Large settlements,Large settlements
Chamorro,cham1312,Villages/towns,Large settlements,Large settlements
Ulithians,ulit1238,Villages/towns,Large settlements,Large settlements
Siuai,siwa1245,Hamlets,Small settlements,Small settlements
Usiai,lele1270,Villages/towns,Large settlements,Large settlements
Rossel Islanders,yele1255,Villages/towns,Large settlements,Large settlements
Choiseulese,vagh1249,Hamlets,Small settlements,Small settlements
Aua,wuvu1239,Villages/towns,Large settlements,Large settlements
Dahuni,suau1242,Hamlets,Small settlements,Small settlements
Bakovi,bola1250,NA,NA,NA
Bwaidoga,bwai1242,NA,NA,NA
Kombe,mudu1242,NA,NA,NA
Kwaio,kwai1243,NA,NA,NA
Molima,moli1248,NA,NA,NA
Trobriands,kili1267,Villages/towns,Large settlements,Large settlements
Kaoka,long1395,Hamlets,Small settlements,Small settlements
Tangu,tang1348,Dispersed homesteads,Small settlements,Small settlements
Kurtatchi,tinp1237,Hamlets,Small settlements,Small settlements
Lesu,nots1237,Hamlets,Small settlements,Small settlements
Dobuans,dobu1241,Villages/towns,Large settlements,Large settlements
Ulawans,saaa1240,Hamlets,Small settlements,Small settlements
Lakalai,naka1262,Hamlets,Small settlements,Small settlements
Simboese,simb1256,NA,NA,NA
Manus,tita1241,Villages/towns,Large settlements,Large settlements
Mota,mota1237,Villages/towns,Large settlements,Large settlements
Tannese,sout2869,Villages/towns,Large settlements,Large settlements
Epi,lame1260,NA,NA,NA
Eromangans,siee1239,NA,NA,NA
Ranon,nort2839,NA,NA,NA
Mbau Fijians,bauu1243,Villages/towns,Large settlements,Large settlements
Seniang,sout2857,Villages/towns,Large settlements,Large settlements
Bunlap,saaa1241,Villages/towns,Large settlements,Large settlements
Lau,laua1243,Villages/towns,Large settlements,Large settlements
Ajie,ajie1238,Villages/towns,Large settlements,Large settlements
Rotumans,rotu1241,Villages/towns,Large settlements,Large settlements
Lifu,dehu1237,Villages/towns,Large settlements,Large settlements
Vanua Levu,nort2843,Villages/towns,Large settlements,Large settlements
Santa Cruz Islanders,natu1246,Villages/towns,Large settlements,Large settlements
American Samoans,samo1305,Villages/towns,Large settlements,Large settlements
Rennell Islanders,renn1242,Hamlets,Small settlements,Small settlements
Tongans,tong1325,Villages/towns,Large settlements,Large settlements
Uveans,wall1257,Villages/towns,Large settlements,Large settlements
Upolu Samoans,samo1305,Villages/towns,Large settlements,Large settlements
Tikopia,tiko1237,Hamlets,Small settlements,Small settlements
Pukapukans,puka1242,Villages/towns,Large settlements,Large settlements
Ellice,tuva1244,Villages/towns,Large settlements,Large settlements
Ontong Java,onto1237,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Tokelau,toke1240,Villages/towns,Large settlements,Large settlements
Kapingamarangi,kapi1249,Villages/towns,Large settlements,Large settlements
Futunans,east2447,Villages/towns,Large settlements,Large settlements
Niueans,niue1239,Villages/towns,Large settlements,Large settlements
Mangaians,raro1241,Dispersed homesteads,Small settlements,Small settlements
Tongarevans,penr1237,Dispersed homesteads,Small settlements,Small settlements
Māori,maor1246,Villages/towns,Large settlements,Large settlements
Marquesans,nort2845,Dispersed homesteads,Small settlements,Small settlements
Manihikians,raka1237,Villages/towns,Large settlements,Large settlements
Raroians,tuam1242,Dispersed homesteads,Small settlements,Small settlements
Hawaiians,hawa1245,Villages/towns,Large settlements,Large settlements
