Name,Glottocode,Value,Subsistence_Type
Sundi,koon1244,Extensive agriculture,Agriculture
Teke,teke1278,Extensive agriculture,Agriculture
Pende,phen1239,Extensive agriculture,Agriculture
Yaka,yaka1269,Extensive agriculture,Agriculture
Bunda,mpuo1241,Extensive agriculture,Agriculture
Dzing,ding1239,Extensive agriculture,Agriculture
Lele,lele1265,Extensive agriculture,Agriculture
Sakata,saka1287,Extensive agriculture,Agriculture
Songo,song1299,Extensive agriculture,Agriculture
Yanzi,yans1239,Extensive agriculture,Agriculture
Luchazi,luch1239,Extensive agriculture,Agriculture
Luimbe,luim1238,Fishing,Hunting and gathering
Luwa,sond1250,"Agriculture, type unknown",Agriculture
Bemba,town1238,Extensive agriculture,Agriculture
Plateau Tonga,tong1318,Extensive agriculture,Agriculture
Buye,buyu1239,Extensive agriculture,Agriculture
Kaonde,kaon1241,Extensive agriculture,Agriculture
Lala,lala1264,Extensive agriculture,Agriculture
Luapula,luun1238,Extensive agriculture,Agriculture
Shila,luba1250,"Agriculture, type unknown",Agriculture
Tumbuka,tumb1250,Extensive agriculture,Agriculture
Kunda,kund1255,Extensive agriculture,Agriculture
Nyanja,nucl1395,Extensive agriculture,Agriculture
Nyasa,mwer1247,"Agriculture, type unknown",Agriculture
Kuba,bush1247,Extensive agriculture,Agriculture
Sena,nucl1396,Extensive agriculture,Agriculture
Makonde,mako1251,Extensive agriculture,Agriculture
Makua,makh1264,"Agriculture, type unknown",Agriculture
Mambwe,mamb1296,Extensive agriculture,Agriculture
Lamba,lamb1271,Extensive agriculture,Agriculture
Ndembu,lund1266,Extensive agriculture,Agriculture
Yao,yaoo1241,Extensive agriculture,Agriculture
Yombe,yomb1244,Extensive agriculture,Agriculture
Ngoni,ngon1269,Extensive agriculture,Agriculture
Bajuni,baju1245,Two or more sources,NA
Shambaa,sham1280,Intensive agriculture,Agriculture
Bena,bena1262,Intensive agriculture,Agriculture
Gusii,gusi1247,Extensive agriculture,Agriculture
Kiga,chig1238,Extensive agriculture,Agriculture
Luguru,lugu1238,Extensive agriculture,Agriculture
Iwa,nyam1275,Extensive agriculture,Agriculture
Ngonde,ngon1268,Intensive agriculture,Agriculture
Safwa,safw1238,Extensive agriculture,Agriculture
Bende,bend1258,Extensive agriculture,Agriculture
Fipa,fipa1238,Extensive agriculture,Agriculture
Nyoro,nyor1246,Intensive agriculture,Agriculture
Nyamwezi,nyam1276,Extensive agriculture,Agriculture
Pimbwe,pimb1238,Extensive agriculture,Agriculture
Sukuma,suku1261,Intensive agriculture,Agriculture
Sangu,sang1330,Pastoralism,Hunting and gathering
Gogo,gogo1263,Extensive agriculture,Agriculture
Rangi,lang1320,Extensive agriculture,Agriculture
Turu,nyat1246,Two or more sources,NA
Kwere,kwer1261,Extensive agriculture,Agriculture
Zigula,zigu1242,Extensive agriculture,Agriculture
Hadimu,pemb1239,Extensive agriculture,Agriculture
Chagga,moch1256,Intensive agriculture,Agriculture
Digo,digo1243,Extensive agriculture,Agriculture
Duruma,duru1249,"Agriculture, type unknown",Agriculture
Giriama,giry1241,Extensive agriculture,Agriculture
Pokomo,poko1261,Intensive agriculture,Agriculture
Kamba,kamb1297,Intensive agriculture,Agriculture
Meru,meru1245,Extensive agriculture,Agriculture
Pare,asut1235,Intensive agriculture,Agriculture
Teita,tait1250,Intensive agriculture,Agriculture
