Name,Glottocode,Value,Subsistence_Type
Dutch,dutc1256,Intensive agriculture,Agriculture
Icelanders,icel1247,Pastoralism,Hunting and gathering
Irish,iris1253,Intensive agriculture,Agriculture
Sami,nort2671,Pastoralism,Hunting and gathering
Walloons,wall1255,Intensive agriculture,Agriculture
Serbs,serb1264,Intensive agriculture,Agriculture
Romanians,baya1255,"Agriculture, type unknown",Agriculture
Russians,russ1263,Intensive agriculture,Agriculture
Bashkir,bash1264,Two or more sources,NA
Besermyan,nort2676,Intensive agriculture,Agriculture
Chuvash,chuv1255,Intensive agriculture,Agriculture
Erzya Mordvins,erzy1239,Intensive agriculture,Agriculture
Estonians,esto1258,Intensive agriculture,Agriculture
Gagauz,gaga1249,Intensive agriculture,Agriculture
Ingrians,ingr1248,Intensive agriculture,Agriculture
Karelians,livv1243,Two or more sources,NA
Hutsuls,sout2604,Two or more sources,NA
Kazan tatar,midd1325,Intensive agriculture,Agriculture
Latvians,latv1249,Intensive agriculture,Agriculture
Lithuanian Karaim,kara1464,Extensive agriculture,Agriculture
Lithuanian Tatar,west2405,Extensive agriculture,Agriculture
Livs,livv1244,Fishing,Hunting and gathering
Moldovans,mold1248,Intensive agriculture,Agriculture
Udmurt,sout2681,Intensive agriculture,Agriculture
Veps,veps1250,Intensive agriculture,Agriculture
Votes,voti1245,Intensive agriculture,Agriculture
Czechs,czec1258,Intensive agriculture,Agriculture
Mari,east2328,Intensive agriculture,Agriculture
Bulgarians,bulg1262,Intensive agriculture,Agriculture
Byelorussians,bela1254,Intensive agriculture,Agriculture
Ukrainians,east2270,Intensive agriculture,Agriculture
Magyar,hung1274,Intensive agriculture,Agriculture
Lithuanians,lith1251,Intensive agriculture,Agriculture
Kalmyk,kalm1243,Pastoralism,Hunting and gathering
Armenians,nucl1235,Intensive agriculture,Agriculture
Kurd,cent1972,Intensive agriculture,Agriculture
Abkhaz,abkh1244,Pastoralism,Hunting and gathering
Khevsur,xevs1238,Intensive agriculture,Agriculture
Kumyk,kumy1244,Intensive agriculture,Agriculture
Cherkess,kaba1278,Intensive agriculture,Agriculture
Turks,nucl1301,Intensive agriculture,Agriculture
Ossetians,digo1242,Pastoralism,Hunting and gathering
Chechen,chec1245,Two or more sources,NA
Georgians,imer1248,Intensive agriculture,Agriculture
Svan,svan1243,Two or more sources,NA
Syrians,nort3142,Intensive agriculture,Agriculture
Madan,meso1252,Two or more sources,NA
Rwala,east2690,Pastoralism,Hunting and gathering
Hebrews,anci1244,Intensive agriculture,Agriculture
Babylonians,akka1240,Intensive agriculture,Agriculture
Mutair,sout3119,Pastoralism,Hunting and gathering
Jordanians,sout3123,Intensive agriculture,Agriculture
Lebanese,nort3139,Intensive agriculture,Agriculture
Druze,sunn1238,Intensive agriculture,Agriculture
Yemeni,sana1295,Intensive agriculture,Agriculture
Sindhi,sind1272,Intensive agriculture,Agriculture
Marri,east2304,Pastoralism,Hunting and gathering
Ghilzai,ghil1238,Intensive agriculture,Agriculture
Qashqui,qash1240,Pastoralism,Hunting and gathering
Punjabi,west2386,Intensive agriculture,Agriculture
Yusufzai,yusu1238,Intensive agriculture,Agriculture
Hazara,haza1239,Two or more sources,NA
Kohistani,indu1241,Two or more sources,NA
Nuristani,kamv1242,Intensive agriculture,Agriculture
Basseri,bass1257,Pastoralism,Hunting and gathering
Moghol,mogh1245,Intensive agriculture,Agriculture
Bakhtiari,bakh1245,Pastoralism,Hunting and gathering
Iranians,tehr1242,Intensive agriculture,Agriculture
Kazakh,kaza1248,Pastoralism,Hunting and gathering
Tu,tuuu1240,Intensive agriculture,Agriculture
Khalka,halh1238,Pastoralism,Hunting and gathering
Dagur,daur1238,"Agriculture, type unknown",Agriculture
Turkmen,turk1304,Intensive agriculture,Agriculture
Buryat,russ1264,Pastoralism,Hunting and gathering
Chahar,peri1253,Pastoralism,Hunting and gathering
Uzbek,nort2690,Pastoralism,Hunting and gathering
Nivkh,gily1242,Fishing,Hunting and gathering
Ob Ostyak,khan1273,Fishing,Hunting and gathering
Selkup,selk1253,Two or more sources,NA
Nganasan,ngan1291,Hunting,Hunting and gathering
Itelmen,itel1242,Fishing,Hunting and gathering
Ungazikmit,cent2128,Fishing,Hunting and gathering
Mansi,mans1258,Fishing,Hunting and gathering
Evenk,even1259,Hunting,Hunting and gathering
Negidal,negi1245,Fishing,Hunting and gathering
Ulch,ulch1241,Fishing,Hunting and gathering
Orok,orok1265,Fishing,Hunting and gathering
Yakut,yaku1245,Pastoralism,Hunting and gathering
Oroch,oroc1248,Fishing,Hunting and gathering
Udihe,udih1248,Two or more sources,NA
Chukchi,chuk1273,Pastoralism,Hunting and gathering
Yurak-Samoyeds,nene1249,Pastoralism,Hunting and gathering
Koryak,kory1246,Fishing,Hunting and gathering
Yukaghir,nort2745,Hunting,Hunting and gathering
Ainu,ainu1240,Fishing,Hunting and gathering
Ket,kett1243,Fishing,Hunting and gathering
Nanai,nana1257,Fishing,Hunting and gathering
Koreans,kore1280,Intensive agriculture,Agriculture
Shantung,mand1415,Intensive agriculture,Agriculture
Ishigakians,yaey1239,"Agriculture, type unknown",Agriculture
Man,kimm1245,"Agriculture, type unknown",Agriculture
Miyakans,miya1259,"Agriculture, type unknown",Agriculture
Kiangsu,wuch1236,Intensive agriculture,Agriculture
Cantonese,yuec1235,"Agriculture, type unknown",Agriculture
Lolo,sich1238,Intensive agriculture,Agriculture
Manchu,manc1252,Intensive agriculture,Agriculture
Miao,horn1235,Intensive agriculture,Agriculture
Japanese,nucl1643,Intensive agriculture,Agriculture
Min Chinese,chao1239,Intensive agriculture,Agriculture
Okinawans,cent2126,Intensive agriculture,Agriculture
Minchia,cent2004,Intensive agriculture,Agriculture
Li,hlai1239,Intensive agriculture,Agriculture
Adi,bori1243,Extensive agriculture,Agriculture
Burusho,buru1296,Intensive agriculture,Agriculture
Lepcha,lepc1244,Intensive agriculture,Agriculture
Central Tibetans,dbus1238,Intensive agriculture,Agriculture
Shina,shin1264,Intensive agriculture,Agriculture
Sherpa,sher1255,Two or more sources,NA
Kachari,kach1279,"Agriculture, type unknown",Agriculture
Magar,west2418,Intensive agriculture,Agriculture
Santal,sant1410,Intensive agriculture,Agriculture
Bihari,mait1250,"Agriculture, type unknown",Agriculture
Uttar Pradesh,bhoj1244,Intensive agriculture,Agriculture
Bengali,beng1280,Intensive agriculture,Agriculture
Indo-Iranian,sans1269,"Agriculture, type unknown",Agriculture
Ho,hooo1248,"Agriculture, type unknown",Agriculture
Bhil,bhil1251,Intensive agriculture,Agriculture
Kurukh,kuru1302,Intensive agriculture,Agriculture
Pahari,garh1243,Intensive agriculture,Agriculture
Kashmiri,kash1277,Intensive agriculture,Agriculture
Gujarati,guja1252,Intensive agriculture,Agriculture
Chenchu,chen1255,Gathering,Hunting and gathering
Telugu,telu1262,Intensive agriculture,Agriculture
Koya,koya1251,"Agriculture, type unknown",Agriculture
Khond,kuii1252,"Agriculture, type unknown",Agriculture
Muria Gond,west2408,Extensive agriculture,Agriculture
Reddi,mukh1238,Extensive agriculture,Agriculture
Tamil,tami1289,Intensive agriculture,Agriculture
Madia,mari1414,Extensive agriculture,Agriculture
Toda,toda1252,Pastoralism,Hunting and gathering
Kodavas,koda1255,Intensive agriculture,Agriculture
Kerala,mala1464,Intensive agriculture,Agriculture
Hill Bhuiya,oriy1255,Extensive agriculture,Agriculture
Kol,mund1320,Intensive agriculture,Agriculture
Baiga,chha1249,Extensive agriculture,Agriculture
Andamanese,akab1249,Two or more sources,NA
Betsileo,bets1235,"Agriculture, type unknown",Agriculture
Merina,meri1243,Intensive agriculture,Agriculture
Tanala,tana1285,Intensive agriculture,Agriculture
Vedda,vedd1240,Gathering,Hunting and gathering
Nicobarese,carn1240,Extensive agriculture,Agriculture
Sinhalese,sinh1246,Intensive agriculture,Agriculture
Antandroy,tand1256,Pastoralism,Hunting and gathering
Sakalava,saka1291,Pastoralism,Hunting and gathering
Antaisaka,tesa1236,Intensive agriculture,Agriculture
Garo,garo1247,Extensive agriculture,Agriculture
Chakma,chak1266,Extensive agriculture,Agriculture
Aimol,aimo1244,Extensive agriculture,Agriculture
Thado,thad1238,Extensive agriculture,Agriculture
Angami,anga1288,Intensive agriculture,Agriculture
Ao,aona1235,Extensive agriculture,Agriculture
Rengma,sout2732,"Agriculture, type unknown",Agriculture
Sema,sumi1235,Extensive agriculture,Agriculture
Karbi,karb1241,"Agriculture, type unknown",Agriculture
Palaung,shwe1236,Extensive agriculture,Agriculture
Chin,asho1236,Extensive agriculture,Agriculture
Lhota,loth1237,Extensive agriculture,Agriculture
Kuki,lush1249,"Agriculture, type unknown",Agriculture
Burmese,nucl1310,Intensive agriculture,Agriculture
Maras,mara1382,Extensive agriculture,Agriculture
Kachin,kach1280,Extensive agriculture,Agriculture
Purum,puru1266,Extensive agriculture,Agriculture
Karen,pwow1235,Intensive agriculture,Agriculture
Khasi,khas1269,Extensive agriculture,Agriculture
Mogh,rakh1245,Extensive agriculture,Agriculture
Lamet,lame1256,Extensive agriculture,Agriculture
Rade,rade1240,Extensive agriculture,Agriculture
Cham,east2563,Intensive agriculture,Agriculture
Lawa,west2396,Extensive agriculture,Agriculture
Muong,muon1246,Intensive agriculture,Agriculture
Senoi,sema1266,Extensive agriculture,Agriculture
Ancient Khmer,oldk1249,Intensive agriculture,Agriculture
Negri Sembilan,nege1240,Intensive agriculture,Agriculture
Mnong Gar,east2333,Extensive agriculture,Agriculture
Semang,kens1248,Gathering,Hunting and gathering
Annamese,viet1252,Intensive agriculture,Agriculture
Khmer,cent1989,Intensive agriculture,Agriculture
Moken,moke1242,Fishing,Hunting and gathering
Akha,akha1245,Extensive agriculture,Agriculture
Malays,mala1479,Intensive agriculture,Agriculture
Thai,thai1261,Intensive agriculture,Agriculture
Atayal,atay1247,Extensive agriculture,Agriculture
Bunun,bunu1267,Extensive agriculture,Agriculture
Puyuma,puyu1239,Intensive agriculture,Agriculture
Sugbuanon,cebu1242,Intensive agriculture,Agriculture
Badjau Tawi-Tawi,sout2918,Fishing,Hunting and gathering
Tao,yami1254,Extensive agriculture,Agriculture
Manobo,agus1235,Extensive agriculture,Agriculture
Kalinga,lubu1243,Intensive agriculture,Agriculture
Bilaan,koro1310,"Agriculture, type unknown",Agriculture
Bisayan,akla1241,"Agriculture, type unknown",Agriculture
Sagada,nort2877,Intensive agriculture,Agriculture
Ifugao,tuwa1243,Intensive agriculture,Agriculture
Subanun,cent2089,Extensive agriculture,Agriculture
Hanunoo,hanu1241,Extensive agriculture,Agriculture
Paiwan,paiw1248,Extensive agriculture,Agriculture
Tagbanua,tagb1258,Extensive agriculture,Agriculture
Bontok,cent2292,Intensive agriculture,Agriculture
Ami,amis1246,Intensive agriculture,Agriculture
Iban,iban1264,Extensive agriculture,Agriculture
Javanese,java1254,Intensive agriculture,Agriculture
Balinese,bali1278,Intensive agriculture,Agriculture
Toba Batak,bata1289,Intensive agriculture,Agriculture
Kadazan-Dusun,cent2100,Extensive agriculture,Agriculture
Minangkabau,mina1268,Intensive agriculture,Agriculture
Mentaweians,ment1249,Extensive agriculture,Agriculture
Anak Dalam,kubu1239,Two or more sources,NA
Punan,puna1275,"Agriculture, type unknown",Agriculture
Macassarese,maka1311,Intensive agriculture,Agriculture
Tobelorese,tobe1252,Extensive agriculture,Agriculture
Ambonese,ambo1250,Extensive agriculture,Agriculture
Sumbawanese,sumb1241,Extensive agriculture,Agriculture
Kodi,kodi1247,"Agriculture, type unknown",Agriculture
Alorese,abui1241,Extensive agriculture,Agriculture
Belu,tetu1245,Extensive agriculture,Agriculture
Rotinese,term1237,"Agriculture, type unknown",Agriculture
Toradja,pamo1252,Extensive agriculture,Agriculture
Tanimbarese,sela1259,Extensive agriculture,Agriculture
Ili-Mandiri,lama1277,Extensive agriculture,Agriculture
Kei,keii1239,Extensive agriculture,Agriculture
Sumbanese,kamb1299,Intensive agriculture,Agriculture
Northern Aranda,east2379,Gathering,Hunting and gathering
Walbiri,warl1254,Gathering,Hunting and gathering
Gidjingali,gunn1248,Gathering,Hunting and gathering
Yir Yoront,jirj1239,Gathering,Hunting and gathering
Anindilyagwa,anin1240,Fishing,Hunting and gathering
"Yolngu, Dhuwal",dhuw1249,Gathering,Hunting and gathering
Tiwi,tiwi1244,Gathering,Hunting and gathering
Diyari,dier1241,Gathering,Hunting and gathering
Kariyarra,kari1304,Hunting,Hunting and gathering
Wikmunkan,wikm1247,Two or more sources,NA
Murriny Patha,murr1258,Gathering,Hunting and gathering
Tasmanians (northwestern),port1278,Two or more sources,NA
Ngiyambaa,wang1291,Fishing,Hunting and gathering
Mee,ekar1243,Extensive agriculture,Agriculture
Motu,motu1246,Extensive agriculture,Agriculture
Kakoli,umbu1258,Intensive agriculture,Agriculture
Kwoma,kwom1262,Extensive agriculture,Agriculture
Kiwai,sout2949,Extensive agriculture,Agriculture
Miriam,meri1244,Extensive agriculture,Agriculture
Abelam,ambu1247,Extensive agriculture,Agriculture
Kutubu,foii1241,Two or more sources,NA
Siane,sian1257,Extensive agriculture,Agriculture
Kimam,kima1246,Intensive agriculture,Agriculture
Marind-Amin,nucl1622,Extensive agriculture,Agriculture
Wantoat,want1252,Extensive agriculture,Agriculture
Koita,koit1244,Extensive agriculture,Agriculture
Mailu,mail1248,Extensive agriculture,Agriculture
Mekeo,meke1243,Extensive agriculture,Agriculture
Muju,sout2940,Extensive agriculture,Agriculture
Koiari,gras1249,Extensive agriculture,Agriculture
Mafulu,fuyu1242,Extensive agriculture,Agriculture
Ngarawapum,adze1240,Extensive agriculture,Agriculture
Banaro,bana1292,Extensive agriculture,Agriculture
Busama,buga1250,Extensive agriculture,Agriculture
Manam,mana1295,Extensive agriculture,Agriculture
Arapesh,buki1249,Extensive agriculture,Agriculture
Mimika,kamo1255,Two or more sources,NA
Fore,fore1270,Extensive agriculture,Agriculture
Sio,sioo1240,Extensive agriculture,Agriculture
Soromadja,nucl1595,Gathering,Hunting and gathering
Bgu,bong1287,Gathering,Hunting and gathering
Iatmul,iatm1242,Extensive agriculture,Agriculture
Samarokena,sama1240,Gathering,Hunting and gathering
Star Mountain,ngal1298,"Agriculture, type unknown",Agriculture
Dani,midg1235,Extensive agriculture,Agriculture
Elema,orok1267,Two or more sources,NA
Wogeo,woge1237,Extensive agriculture,Agriculture
Keraki,namb1293,Extensive agriculture,Agriculture
Waropen,waro1242,Two or more sources,NA
Enga,enga1252,Extensive agriculture,Agriculture
Purari,pura1257,Gathering,Hunting and gathering
Orokaiva,orok1269,Extensive agriculture,Agriculture
Palauans,pala1344,Extensive agriculture,Agriculture
Nomoians,mort1237,"Agriculture, type unknown",Agriculture
Kosraeans,kosr1238,Extensive agriculture,Agriculture
Bikinians,rali1241,Extensive agriculture,Agriculture
Nauruans,naur1243,Extensive agriculture,Agriculture
Makin,bana1287,Two or more sources,NA
Carolinians,caro1242,Two or more sources,NA
Lamotrek,lamo1243,Extensive agriculture,Agriculture
Marshallese - Jaluit atoll,rali1241,Fishing,Hunting and gathering
Trukese,chuu1238,Two or more sources,NA
Majuro,rata1243,Extensive agriculture,Agriculture
Ifaluk,nucl1479,Extensive agriculture,Agriculture
Ponapeans,pohn1238,Extensive agriculture,Agriculture
Yapese,yape1248,Extensive agriculture,Agriculture
Gilbert Onotoa,nuii1237,Fishing,Hunting and gathering
Chamorro,cham1312,Extensive agriculture,Agriculture
Ulithians,ulit1238,Extensive agriculture,Agriculture
Siuai,siwa1245,Extensive agriculture,Agriculture
Usiai,lele1270,Extensive agriculture,Agriculture
Rossel Islanders,yele1255,Two or more sources,NA
Choiseulese,vagh1249,Extensive agriculture,Agriculture
Aua,wuvu1239,Fishing,Hunting and gathering
Dahuni,suau1242,Extensive agriculture,Agriculture
Bakovi,bola1250,"Agriculture, type unknown",Agriculture
Bwaidoga,bwai1242,"Agriculture, type unknown",Agriculture
Kombe,mudu1242,Fishing,Hunting and gathering
Kwaio,kwai1243,"Agriculture, type unknown",Agriculture
Molima,moli1248,"Agriculture, type unknown",Agriculture
Trobriands,kili1267,Extensive agriculture,Agriculture
Kaoka,long1395,Extensive agriculture,Agriculture
Tangu,tang1348,Extensive agriculture,Agriculture
Kurtatchi,tinp1237,Extensive agriculture,Agriculture
Lesu,nots1237,Two or more sources,NA
Dobuans,dobu1241,Extensive agriculture,Agriculture
Ulawans,saaa1240,Extensive agriculture,Agriculture
Lakalai,naka1262,Extensive agriculture,Agriculture
Simboese,simb1256,"Agriculture, type unknown",Agriculture
Manus,tita1241,Fishing,Hunting and gathering
Mota,mota1237,Extensive agriculture,Agriculture
Tannese,sout2869,Extensive agriculture,Agriculture
Epi,lame1260,"Agriculture, type unknown",Agriculture
Eromangans,siee1239,"Agriculture, type unknown",Agriculture
Ranon,nort2839,"Agriculture, type unknown",Agriculture
Mbau Fijians,bauu1243,Fishing,Hunting and gathering
Seniang,sout2857,Extensive agriculture,Agriculture
Bunlap,saaa1241,Extensive agriculture,Agriculture
Lau,laua1243,Extensive agriculture,Agriculture
Ajie,ajie1238,Intensive agriculture,Agriculture
Rotumans,rotu1241,Extensive agriculture,Agriculture
Lifu,dehu1237,Extensive agriculture,Agriculture
Vanua Levu,nort2843,Extensive agriculture,Agriculture
Santa Cruz Islanders,natu1246,Extensive agriculture,Agriculture
American Samoans,samo1305,Extensive agriculture,Agriculture
Rennell Islanders,renn1242,Extensive agriculture,Agriculture
Tongans,tong1325,Extensive agriculture,Agriculture
Uveans,wall1257,Extensive agriculture,Agriculture
Upolu Samoans,samo1305,Extensive agriculture,Agriculture
Tikopia,tiko1237,Two or more sources,NA
Pukapukans,puka1242,Extensive agriculture,Agriculture
Ellice,tuva1244,Fishing,Hunting and gathering
Ontong Java,onto1237,Two or more sources,NA
Tokelau,toke1240,Fishing,Hunting and gathering
Kapingamarangi,kapi1249,Extensive agriculture,Agriculture
Futunans,east2447,Extensive agriculture,Agriculture
Niueans,niue1239,Two or more sources,NA
Mangaians,raro1241,Extensive agriculture,Agriculture
Tongarevans,penr1237,Fishing,Hunting and gathering
Māori,maor1246,Extensive agriculture,Agriculture
Marquesans,nort2845,Extensive agriculture,Agriculture
Manihikians,raka1237,Two or more sources,NA
Raroians,tuam1242,Fishing,Hunting and gathering
Hawaiians,hawa1245,Intensive agriculture,Agriculture
Mangarevans,mang1401,Fishing,Hunting and gathering
Tahitians,tahi1242,Extensive agriculture,Agriculture
Easter Islanders,rapa1244,Extensive agriculture,Agriculture
Nabesna,uppe1437,Hunting,Hunting and gathering
Chugach,chug1254,Fishing,Hunting and gathering
Sivokakmeit,cent2128,Fishing,Hunting and gathering
Nunamiut,nort2944,Hunting,Hunting and gathering
Nunatsiarmiut,baff1240,Fishing,Hunting and gathering
Inughuit (Northern Greenland),pola1254,Fishing,Hunting and gathering
Tlicho,dogr1252,Fishing,Hunting and gathering
Délįne,nort2942,Fishing,Hunting and gathering
DeneTha,sout2959,Hunting,Hunting and gathering
Dakelh,carr1249,Two or more sources,NA
Tareumiut,nort2944,Fishing,Hunting and gathering
Kutchin,gwic1235,Fishing,Hunting and gathering
Caribou Inuit,cari1277,Hunting,Hunting and gathering
Iglulik Inuit,west2618,Two or more sources,NA
Labrador Inuit,labr1244,Fishing,Hunting and gathering
Tasiilaq,tunu1234,Fishing,Hunting and gathering
Kalaallit (West Greenland),kala1399,Fishing,Hunting and gathering
Dena'ina,tana1289,Fishing,Hunting and gathering
Tahltan,tahl1239,Hunting,Hunting and gathering
Sekani,seka1250,Hunting,Hunting and gathering
Beaver,beav1236,Hunting,Hunting and gathering
Copper Inuit,copp1244,Fishing,Hunting and gathering
Dene,chip1261,Hunting,Hunting and gathering
Eastern Cree,sout2978,Hunting,Hunting and gathering
Montagnais,mont1268,Hunting,Hunting and gathering
Northern Saulteaux,alba1270,Two or more sources,NA
Pekangekum,lacs1238,Two or more sources,NA
Nipigon,cent2136,Hunting,Hunting and gathering
Minnesota Ojibwa,redl1238,Fishing,Hunting and gathering
Rainy River Ojibwe,rain1239,Hunting,Hunting and gathering
Katikitegon,uppe1274,Fishing,Hunting and gathering
Eastern Ojibwa,east2542,Fishing,Hunting and gathering
Kaska,kask1239,Fishing,Hunting and gathering
Ottawa,otta1242,Hunting,Hunting and gathering
Mi'kmaq,mikm1235,Hunting,Hunting and gathering
Potawatomi,pota1247,Hunting,Hunting and gathering
Netsilik,nets1241,Fishing,Hunting and gathering
Nunavimmiut,queb1248,Hunting,Hunting and gathering
Mistissini Cree,sout2978,Hunting,Hunting and gathering
Naskapi,nask1242,Hunting,Hunting and gathering
Nunivak,kusk1241,Fishing,Hunting and gathering
Attawapiskat Cree,swam1239,Fishing,Hunting and gathering
Deg Xit'an,dege1248,Fishing,Hunting and gathering
Aleut,east2533,Fishing,Hunting and gathering
Haida,nort2938,Fishing,Hunting and gathering
Alkatcho,sout2958,Fishing,Hunting and gathering
Nuu chah nulth,nuuc1236,Fishing,Hunting and gathering
Klahoose,slia1241,Fishing,Hunting and gathering
Squamish,squa1248,Fishing,Hunting and gathering
Comox,isla1276,Fishing,Hunting and gathering
Lummi,lumm1243,Fishing,Hunting and gathering
Klallam,clal1241,Fishing,Hunting and gathering
Puyallup,sout2965,Fishing,Hunting and gathering
Quileute,quil1240,Fishing,Hunting and gathering
Lower Chinook,chin1286,Fishing,Hunting and gathering
Twana,twan1247,Fishing,Hunting and gathering
Tillamook,till1254,Fishing,Hunting and gathering
Coos,coos1249,Fishing,Hunting and gathering
Tlingit,tlin1245,Fishing,Hunting and gathering
Heiltsuk,bell1263,Fishing,Hunting and gathering
Makah,maka1318,Fishing,Hunting and gathering
Quinault,quin1251,Fishing,Hunting and gathering
Cowichan,cowi1241,Fishing,Hunting and gathering
Stó:lō,chil1281,Fishing,Hunting and gathering
Alsea,alse1251,Fishing,Hunting and gathering
Siuslaw,sius1254,Fishing,Hunting and gathering
Kwakwaka'wakw,kwak1269,Fishing,Hunting and gathering
Takelma,take1257,Gathering,Hunting and gathering
Tututni,tutu1242,Fishing,Hunting and gathering
Shasta,shas1239,Gathering,Hunting and gathering
Chimariko,chim1301,Gathering,Hunting and gathering
Karuk,karo1304,Fishing,Hunting and gathering
Hupa,hupa1239,Fishing,Hunting and gathering
Wiyot,wiyo1248,Fishing,Hunting and gathering
Lassik,wail1244,Fishing,Hunting and gathering
Mattole-Bear River,matt1238,Hunting,Hunting and gathering
Sinkyone,wail1244,Gathering,Hunting and gathering
Yurok,yuro1248,Fishing,Hunting and gathering
Eyak,eyak1241,Fishing,Hunting and gathering
Tolowa,tolo1259,Two or more sources,NA
Tsimshian,nucl1649,Fishing,Hunting and gathering
Haisla,hais1244,Fishing,Hunting and gathering
Nuxalk,bell1243,Fishing,Hunting and gathering
Nomlaki,noml1242,Gathering,Hunting and gathering
Achumawi,achu1247,Hunting,Hunting and gathering
Yana,yana1271,Gathering,Hunting and gathering
Maidu,nort2952,Gathering,Hunting and gathering
Nisenan,nise1244,Gathering,Hunting and gathering
Wintu,nucl1651,Fishing,Hunting and gathering
Coast Yuki,yuki1243,Two or more sources,NA
Huchnom,yuki1243,Gathering,Hunting and gathering
Northern Pomo,nort2966,Gathering,Hunting and gathering
Eastern Pomo,east2545,Gathering,Hunting and gathering
Southern Pomo,sout2984,Gathering,Hunting and gathering
Tübalulabal,tuba1278,Gathering,Hunting and gathering
Wappo,wapp1239,Gathering,Hunting and gathering
Lake Miwok,lake1258,Gathering,Hunting and gathering
Patwin,patw1250,Gathering,Hunting and gathering
Western Mono,mono1275,Gathering,Hunting and gathering
Southern Valley Yokuts,vall1251,Gathering,Hunting and gathering
Wukchumni,tule1245,Gathering,Hunting and gathering
Salinan,sali1253,Gathering,Hunting and gathering
Kawaiisu,kawa1283,Gathering,Hunting and gathering
Chumash,cruz1243,Fishing,Hunting and gathering
Tongva,tong1329,Two or more sources,NA
Northern Foothill Yokuts,nort2937,Gathering,Hunting and gathering
Serrano,serr1255,Gathering,Hunting and gathering
Cahuilla (Desert),cahu1264,Gathering,Hunting and gathering
Cupeño,cupe1243,Gathering,Hunting and gathering
Luiseño,luis1253,Gathering,Hunting and gathering
Kiliwa,kili1268,Gathering,Hunting and gathering
Atsugewi,atsu1245,Gathering,Hunting and gathering
Central Sierra Miwok,cent2140,Gathering,Hunting and gathering
Kumeyaay,kumi1248,Gathering,Hunting and gathering
Yuki,yuki1243,Gathering,Hunting and gathering
Klamath,klam1254,Fishing,Hunting and gathering
Modoc,klam1254,Gathering,Hunting and gathering
Tenino,teni1238,Fishing,Hunting and gathering
Nlaka'pamux,thom1243,Fishing,Hunting and gathering
Shuswap,shus1248,Fishing,Hunting and gathering
Bitterroot Salish,kali1309,Hunting,Hunting and gathering
Kalispel,kali1309,Hunting,Hunting and gathering
Coeur d’Alene,coeu1236,Hunting,Hunting and gathering
Sinkaitk,sout2963,Fishing,Hunting and gathering
Wenatchi,wena1241,Fishing,Hunting and gathering
Klikitat,nucl1237,Fishing,Hunting and gathering
Wishram,wasc1239,Fishing,Hunting and gathering
Umatilla,umat1237,Fishing,Hunting and gathering
Southern Ute,utee1244,Hunting,Hunting and gathering
Nez Perce,nezp1238,Fishing,Hunting and gathering
Tagotoka,nort1551,Gathering,Hunting and gathering
Wadadokado,nort1551,Gathering,Hunting and gathering
Atsakudokwa,nort1551,Gathering,Hunting and gathering
Kidutokado,nort1551,Hunting,Hunting and gathering
Sawakudokwa,nort1551,Gathering,Hunting and gathering
Wadatkuht,sout2967,Gathering,Hunting and gathering
Kuyuidokado,sout2967,Gathering,Hunting and gathering
Toedokado,sout2967,Gathering,Hunting and gathering
Tunava (Deep Springs and Fish Lake),mono1275,Gathering,Hunting and gathering
Havasupai,hava1249,Intensive agriculture,Agriculture
Eastern Mono,mono1275,Gathering,Hunting and gathering
Koso,pana1305,Gathering,Hunting and gathering
Tümpisa Shoshone (Saline and Panamint),pana1305,Gathering,Hunting and gathering
Beatty,pana1305,Gathering,Hunting and gathering
Lida Shoshoni,west2622,Gathering,Hunting and gathering
Mahaguaduka,west2622,Gathering,Hunting and gathering
Wiyambituka,west2622,Gathering,Hunting and gathering
Railroad Valley Shoshoni,west2622,Gathering,Hunting and gathering
Ely Shoshoni,west2622,Gathering,Hunting and gathering
Spring Valley Shoshoni,west2622,Gathering,Hunting and gathering
Sanpoil,sanp1257,Fishing,Hunting and gathering
Tubaduka,west2622,Gathering,Hunting and gathering
Wadaduka,west2622,Gathering,Hunting and gathering
Elko Shoshoni,west2622,Gathering,Hunting and gathering
White Knife Shoshoni,west2622,Gathering,Hunting and gathering
Yahanduka,west2622,Fishing,Hunting and gathering
Bohogue,nort2955,Hunting,Hunting and gathering
Agaiduka,nort2955,Fishing,Hunting and gathering
Tukudika,nort2955,Hunting,Hunting and gathering
Gosiute,gosi1242,Gathering,Hunting and gathering
Antarianunts,utee1244,Gathering,Hunting and gathering
Hukundika,nort2955,Gathering,Hunting and gathering
Panguitch,utee1244,Gathering,Hunting and gathering
Moapa,sout2969,Gathering,Hunting and gathering
Shivwits,sout2969,Gathering,Hunting and gathering
Southern Paiute (Kaibab),sout2969,Gathering,Hunting and gathering
Chemehuevi,chem1251,Gathering,Hunting and gathering
Southern Paiute (Las Vegas),sout2969,Gathering,Hunting and gathering
San Juan,sout2969,Gathering,Hunting and gathering
Pahvant,utee1244,Hunting,Hunting and gathering
Uintah Ute,utee1244,Hunting,Hunting and gathering
Moanunts,utee1244,Hunting,Hunting and gathering
Washo,wash1253,Gathering,Hunting and gathering
Moache,utee1244,Hunting,Hunting and gathering
Taviwatsiu,utee1244,Hunting,Hunting and gathering
Uncompahgre Ute,utee1244,Hunting,Hunting and gathering
Bannock,bann1248,Hunting,Hunting and gathering
Wind River Eastern Shoshone,nort2955,Hunting,Hunting and gathering
Hualapai,wala1270,Gathering,Hunting and gathering
