Name,Glottocode,Family_Size
Yavapai,yava1252,NA
Koso,pana1305,NA
Hualapai,wala1270,1.98
Kawaiisu,kawa1283,NA
Palawan Batak,bata1301,4.88
Cholanaikkan,jenn1240,2.84
Tümpisa Shoshone (Saline),pana1305,NA
Antarianunts,utee1244,NA
Eastern Mono,mono1275,3.54
Kawich Mountain Shoshoni,west2622,NA
Southern Paiute (Kaibab and Las Vegas),sout2969,NA
Mono Lake Northern Paiute,sout2967,NA
Tunava (Deep Springs),mono1275,NA
Agaiduka,nort2955,3.43
Kuyuidokado,sout2967,NA
Timponogas,utee1244,NA
Nayaka,jenn1240,NA
Toedokado,sout2967,NA
Tunava (Fish Lake),mono1275,3
Wadatkuht,sout2967,NA
Hukundika,nort2955,NA
Gosiute,gosi1242,NA
Spring Valley Shoshoni,west2622,NA
White Knife Shoshoni,west2622,2.28
Railroad Valley Shoshoni,west2622,NA
Mahaguaduka,west2622,NA
North Fork Mono,mono1275,NA
Ainu,ainu1240,NA
Tubaduka,west2622,3.65
Southern Ute,utee1244,NA
Bear Creek Northern Paiute,nort1551,NA
Antelope Valley Shoshoni,west2622,2.86
Washo,wash1253,NA
Kidutokado,nort1551,NA
Wind River Eastern Shoshone,nort2955,NA
Wadaduka,west2622,NA
Bohogue,nort2955,5.23
Orogens,oroq1238,NA
Uintah Ute,utee1244,2.08
Wadadokado,nort1551,NA
Tukudika,nort2955,NA
Wiyambituka,west2622,NA
Uncompahgre Ute,utee1244,NA
Ket,kett1243,NA
Lipan Apache,lipa1241,NA
Comanche,coma1245,NA
Chiricahua,mesc1238,NA
Kiowa,kiow1266,NA
Kiowa Apache,kiow1264,NA
Cheyenne,chey1247,5.91
Arapaho,arap1274,NA
Crow,crow1244,NA
Teton,lako1247,NA
Nivkh,gily1242,5.54
Kutenai,kute1249,NA
Bannock,bann1248,NA
Gros Ventre,gros1243,NA
Bungi,west1510,NA
Piegan,pieg1239,NA
Blackfoot,pieg1239,NA
Assiniboine,assi1247,NA
Plains Cree,plai1258,NA
Kainai,bloo1239,NA
Yukaghir,nort2745,3.01
Sarcee,sars1236,NA
Squamish,squa1248,NA
Alsea,alse1251,NA
Nganasan,ngan1291,NA
Puyallup,sout2965,5.6
Twana,twan1247,NA
Chehalis,lowe1427,NA
Nuu chah nulth,nuuc1236,NA
Lower Chinook,chin1286,NA
Coos,coos1249,NA
Lillooet,lill1248,NA
Lummi,lumm1243,NA
Quinault,quin1251,NA
Stó:lō,chil1281,NA
Ungazikmit,cent2128,3.18
Cowichan,cowi1241,NA
Tillamook,till1254,NA
Comox,isla1276,NA
Heiltsuk,bell1263,NA
Quileute,quil1240,NA
Klallam,clal1241,NA
Makah,maka1318,NA
Haisla,hais1244,NA
Kwakwaka'wakw,kwak1269,NA
Tsimshian,nucl1649,NA
Haida,nort2938,NA
Nuxalk,bell1243,NA
South Tlingit,tlin1245,NA
Gitxsan,gitx1241,NA
Koniag,koni1262,NA
Eyak,eyak1241,NA
Kuskowagmut,kusk1241,NA
Chugach,chug1254,NA
Aleut,east2533,NA
Nunivak,kusk1241,NA
Anak Dalam,kubu1239,NA
Tenino,teni1238,NA
Umatilla,umat1237,NA
Wenatchi,wena1241,NA
Klikitat,nucl1237,NA
Wishram,wasc1239,NA
Coeur d’Alene,coeu1236,5.87
Sinkaitk,sout2963,5.46
Syilx,sout2963,NA
Sanpoil,sanp1257,NA
Nez Perce,nezp1238,NA
Nlaka'pamux,thom1243,NA
Kalispel,kali1309,6.08
