Language_ID,Parameter_ID,Value,Form,Name,Glottocode,Family
p_achineseachi1257,fyB,adun,adun,Acehnese,achi1257,Austronesian
p_achineseachi1257,meZ,poda,poda,Acehnese,achi1257,Austronesian
p_achineseachi1257,myZ,adoe,adoe,Acehnese,achi1257,Austronesian
p_achineseachi1257,feZ,poda,poda,Acehnese,achi1257,Austronesian
p_achineseachi1257,fyZ,adoe,adoe,Acehnese,achi1257,Austronesian
p_achineseachi1257,mF,ayah,ayah,Acehnese,achi1257,Austronesian
p_achineseachi1257,mM,bunda,bunda,Acehnese,achi1257,Austronesian
p_achineseachi1257,fF,ayah,ayah,Acehnese,achi1257,Austronesian
p_achineseachi1257,fM,bunda,bunda,Acehnese,achi1257,Austronesian
p_achineseachi1257,mS,aneuk agam,aneuk agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,fS,aneuk agam,aneuk agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,mD,aneuk inong,aneuk inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,fD,aneuk inong,aneuk inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,mSS,cucoe agam,cucoe agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,mSD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,mDS,cucoe agam,cucoe agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,mDD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,fSS,cucoe agam,cucoe agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,fSD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,fDS,cucoe agam,cucoe agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,fDD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFF,"abusyi, abuchik",abusyi,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFF,"abusyi, abuchik",abuchik,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFM,mucut,mucut,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMF,"abusyi, abuchik",abusyi,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMF,"abusyi, abuchik",abuchik,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMM,mucut,mucut,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFF,"abusyi, abuchik",abusyi,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFF,"abusyi, abuchik",abuchik,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFM,mucut,mucut,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMF,"abusyi, abuchik",abusyi,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMF,"abusyi, abuchik",abuchik,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMM,mucut,mucut,Acehnese,achi1257,Austronesian
p_achineseachi1257,meBS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,myBS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,meZS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,myZS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,meBD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,myBD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,meZD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,myZD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,feBS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,fyBS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,feZS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,fyZS,aneuk keumuen agam,aneuk keumuen agam,Acehnese,achi1257,Austronesian
p_achineseachi1257,feBD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,fyBD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,feZD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,fyZD,cucoe inong,cucoe inong,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFeB,"ayah tuha, ayah teungoh",ayah tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFeB,"ayah tuha, ayah teungoh",ayah teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFyB,ayah cut,ayah cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFeZ,"nya'tuha, nya'teungoh",nya'tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFeZ,"nya'tuha, nya'teungoh",nya'teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,mFyZ,nya'cut,nya'cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMeB,"ayah tuha, ayah teungoh",ayah tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMeB,"ayah tuha, ayah teungoh",ayah teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMyB,ayah cut,ayah cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMeZ,"nya'tuha, nya'teungoh",nya'tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMeZ,"nya'tuha, nya'teungoh",nya'teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,mMyZ,nya'cut,nya'cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFeB,"ayah tuha, ayah teungoh",ayah tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFeB,"ayah tuha, ayah teungoh",ayah teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFyB,ayah cut,ayah cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFeZ,"nya'tuha, nya'teungoh",nya'tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFeZ,"nya'tuha, nya'teungoh",nya'teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,fFyZ,nya'cut,nya'cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMeB,"ayah tuha, ayah teungoh",ayah tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMeB,"ayah tuha, ayah teungoh",ayah teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMyB,ayah cut,ayah cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMeZ,"nya'tuha, nya'teungoh",nya'tuha,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMeZ,"nya'tuha, nya'teungoh",nya'teungoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,fMyZ,nya'cut,nya'cut,Acehnese,achi1257,Austronesian
p_achineseachi1257,mW,peurumoh,peurumoh,Acehnese,achi1257,Austronesian
p_achineseachi1257,fH,lakoe,lakoe,Acehnese,achi1257,Austronesian
p_achineseachi1257,mWF,ayah tuan,ayah tuan,Acehnese,achi1257,Austronesian
p_achineseachi1257,mWM,bunda tuan,bunda tuan,Acehnese,achi1257,Austronesian
p_achineseachi1257,mWB,parui,parui,Acehnese,achi1257,Austronesian
p_achineseachi1257,mWZ,ipah,ipah,Acehnese,achi1257,Austronesian
p_achineseachi1257,fHF,ayah tuan,ayah tuan,Acehnese,achi1257,Austronesian
p_achineseachi1257,fHM,bunda tuan,bunda tuan,Acehnese,achi1257,Austronesian
p_achineseachi1257,fHB,ipah,ipah,Acehnese,achi1257,Austronesian
p_achineseachi1257,fHZ,bisan,bisan,Acehnese,achi1257,Austronesian
p_achineseachi1257,mBW,"teumuda, peuromoh adoe",teumuda,Acehnese,achi1257,Austronesian
p_achineseachi1257,mBW,"teumuda, peuromoh adoe",peuromoh adoe,Acehnese,achi1257,Austronesian
p_achineseachi1257,fBW,"teumuda, peuromoh adoe",teumuda,Acehnese,achi1257,Austronesian
p_achineseachi1257,fBW,"teumuda, peuromoh adoe",peuromoh adoe,Acehnese,achi1257,Austronesian
p_achineseachi1257,mZH,"po lem, lakoe adun",po lem,Acehnese,achi1257,Austronesian
p_achineseachi1257,mZH,"po lem, lakoe adun",lakoe adun,Acehnese,achi1257,Austronesian
p_achineseachi1257,fZH,"po lem, lakoe adun",po lem,Acehnese,achi1257,Austronesian
p_achineseachi1257,fZH,"po lem, lakoe adun",lakoe adun,Acehnese,achi1257,Austronesian
p_adangadan1251,meB,"-matu, -uding",-matu,Adang,adan1251,NA
p_adangadan1251,meB,"-matu, -uding",-uding,Adang,adan1251,NA
p_adangadan1251,myB,"-di', -uding",-di',Adang,adan1251,NA
p_adangadan1251,myB,"-di', -uding",-uding,Adang,adan1251,NA
p_adangadan1251,feB,"-matu, -uding",-matu,Adang,adan1251,NA
p_adangadan1251,feB,"-matu, -uding",-uding,Adang,adan1251,NA
p_adangadan1251,fyB,"-di', -uding",-di',Adang,adan1251,NA
p_adangadan1251,fyB,"-di', -uding",-uding,Adang,adan1251,NA
p_adangadan1251,meZ,"-matu, -uding",-matu,Adang,adan1251,NA
p_adangadan1251,meZ,"-matu, -uding",-uding,Adang,adan1251,NA
p_adangadan1251,myZ,"-di', -uding",-di',Adang,adan1251,NA
p_adangadan1251,myZ,"-di', -uding",-uding,Adang,adan1251,NA
p_adangadan1251,feZ,"-matu, -uding",-matu,Adang,adan1251,NA
p_adangadan1251,feZ,"-matu, -uding",-uding,Adang,adan1251,NA
