language,glottocode,family,prop,n_kintypes,data_type
Momu-Fas,fass1245,Baibai-Fas,0.2708333333333333,48,veridical
Portuguese,port1283,Indo-European,0.3181818181818182,44,veridical
Netsilik,nets1241,Eskimo-Aleut,0.3541666666666667,48,veridical
Sanskrit,sans1269,Indo-European,0.6458333333333334,48,veridical
Puelche,puel1244,NA,0.375,48,veridical
Xibe,xibe1242,NA,0.5416666666666666,48,veridical
Myene,myen1241,Atlantic-Congo,0.425531914893617,47,veridical
Awiakay,awia1234,Arafundi,0.375,48,veridical
Aguaruna,agua1253,NA,0.3333333333333333,48,veridical
Masaaba,masa1299,Atlantic-Congo,0.4318181818181818,44,veridical
Uma Juman,umaj1240,Austronesian,0.2708333333333333,48,veridical
Nimboran,nucl1633,Nimboranic,0.2708333333333333,48,veridical
Lipan Apache,lipa1241,NA,0.2916666666666667,48,veridical
Tuvalu,tuva1244,Austronesian,0.3333333333333333,48,veridical
Jamaican Creole English,jama1262,Indo-European,0.3958333333333333,48,veridical
Roviana,rovi1238,Austronesian,0.25,48,veridical
Chokwe,chok1245,Atlantic-Congo,0.30952380952380953,42,veridical
Latvian,latv1249,Indo-European,0.4583333333333333,48,veridical
Kala Lagaw Ya,kala1377,Pama-Nyungan,0.20833333333333337,48,veridical
Western Pantar,lamm1241,NA,0.4090909090909091,44,veridical
Brunei-Sabah Malay,saba1263,Austronesian,0.25,48,veridical
Mouk,mouk1240,Austronesian,0.3333333333333333,42,veridical
Herero,here1253,Atlantic-Congo,0.3720930232558139,43,veridical
Inxokvari,inxo1238,Nakh-Daghestanian,0.3958333333333333,48,veridical
Yabem,yabe1254,Austronesian,0.375,48,veridical
Hausa,haus1257,Afro-Asiatic,0.3541666666666667,48,veridical
Ancient Greek,anci1242,Indo-European,0.375,48,veridical
Kwamera,kwam1252,Austronesian,0.2916666666666667,48,veridical
Luba-Lulua,luba1249,Atlantic-Congo,0.29545454545454547,44,veridical
Nogai,noga1249,Turkic,0.3333333333333333,48,veridical
Yámana,yama1264,NA,0.3333333333333333,48,veridical
Ende (Papua New Guinea),ende1235,NA,0.3541666666666667,48,veridical
Kalkutung,kalk1246,Pama-Nyungan,0.3333333333333333,48,veridical
Tikopia,tiko1237,Austronesian,0.22916666666666663,48,veridical
Italian,ital1282,Indo-European,0.2708333333333333,48,veridical
Itbayat,ivat1242,Austronesian,0.22916666666666663,48,veridical
Araweté,araw1273,Tupian,0.40425531914893614,47,veridical
Karadjeri,kara1476,Pama-Nyungan,0.3333333333333333,42,veridical
Jicarilla Apache,jica1244,NA,0.3333333333333333,48,veridical
Chipewyan,chip1261,NA,0.3541666666666667,48,veridical
Icari,icar1234,Nakh-Daghestanian,0.3333333333333333,48,veridical
Wirangu,wira1265,Pama-Nyungan,0.4090909090909091,44,veridical
Dieri,dier1241,Pama-Nyungan,0.4130434782608696,46,veridical
Kyaka,kyak1244,Nuclear Trans New Guinea,0.25,48,veridical
Yaka (Central African Republic),yaka1272,Atlantic-Congo,0.24444444444444444,45,veridical
Ahin-Kayapa Kalanguya,ahin1234,Austronesian,0.25,48,veridical
Eastern Yiddish,east2295,Indo-European,0.375,48,veridical
Macedonian,mace1250,Indo-European,0.4375,48,veridical
Ayoreo,ayor1240,NA,0.3958333333333333,48,veridical
Ngaanyatjarra,ngaa1240,Pama-Nyungan,0.3333333333333333,48,veridical
Eastern Panjabi,panj1256,Indo-European,0.6666666666666666,48,veridical
Bila,bila1255,Atlantic-Congo,0.4166666666666667,48,veridical
