language,glottocode,family,prop,n_kintypes,data_type
Pilagá,pila1245,NA,0.2916666666666667,48,veridical
Duna,duna1248,NA,0.22916666666666663,48,veridical
Bera,bera1259,Atlantic-Congo,0.3863636363636363,44,veridical
Turkish,nucl1301,Turkic,0.3541666666666667,48,veridical
Tadyawan,tady1237,Austronesian,0.25,48,veridical
Odia,oriy1255,Indo-European,0.6808510638297872,47,veridical
Central Sama,cent2092,Austronesian,0.20833333333333337,48,veridical
Ga'dang,gada1258,Austronesian,0.1875,48,veridical
Northern Kurdish,nort2641,Indo-European,0.5208333333333334,48,veridical
Amanab,aman1265,Border,0.375,48,veridical
Welsh,wels1247,Indo-European,0.3333333333333333,48,veridical
Meru,meru1245,Atlantic-Congo,0.4545454545454546,44,veridical
West Coast Bajau,west2560,Austronesian,0.25,48,veridical
Minigir,mini1251,Austronesian,0.16666666666666666,48,veridical
Akhvakh,akhv1239,Nakh-Daghestanian,0.3958333333333333,48,veridical
East Kewa,east2516,Nuclear Trans New Guinea,0.2708333333333333,48,veridical
Norwegian Bokmål,norw1259,Indo-European,0.3125,48,veridical
Selk'nam,onaa1245,NA,0.3541666666666667,48,veridical
Takia,taki1248,Austronesian,0.1875,48,veridical
Madurese,nucl1460,Austronesian,0.2708333333333333,48,veridical
Ma'anyan,maan1238,Austronesian,0.25,48,veridical
Neverver,ling1265,Austronesian,0.4090909090909091,44,veridical
Mori Bawah,mori1268,Austronesian,0.20833333333333337,48,veridical
Sawai,sawa1247,Austronesian,0.2916666666666667,48,veridical
Northern Tosk Albanian,tosk1239,Indo-European,0.3333333333333333,48,veridical
Cubeo,cube1242,NA,0.36585365853658536,41,veridical
Romanian,roma1327,Indo-European,0.3125,48,veridical
Bit,bitt1240,Austroasiatic,0.3191489361702128,47,veridical
Totoli,toto1304,Austronesian,0.2916666666666667,48,veridical
Teguima,opat1246,Uto-Aztecan,0.5116279069767442,43,veridical
Central Kurdish,cent1972,Indo-European,0.375,48,veridical
English,stan1293,Indo-European,0.3125,48,veridical
Kankanaey,kank1243,Austronesian,0.2272727272727273,44,veridical
Emau,emau1237,Austronesian,0.2727272727272727,44,veridical
Pashto,pash1269,Indo-European,0.4791666666666667,48,veridical
Tooro,toor1238,Atlantic-Congo,0.3636363636363637,44,veridical
Fang (Equatorial Guinea),fang1246,Atlantic-Congo,0.3333333333333333,42,veridical
Paraguayan Guaraní,para1311,Tupian,0.44680851063829785,47,veridical
Mairasi,nucl1594,Mairasic,0.16666666666666666,48,veridical
Thao,thao1240,Austronesian,0.21428571428571427,42,veridical
Galibi Carib,gali1262,Cariban,0.3902439024390244,41,veridical
Puluwatese,pulu1242,Austronesian,0.21739130434782608,46,veridical
