random_id,block,system,true_value,simulated_mean,simulated_sd,z
1mxy428t9t,5,0,1.26827,1.26827,0.0,
1mxy428t9t,4,1,0.33333,1.48759659,0.2631390454377151,-4.386527237263292
1mxy428t9t,7,2,1.57123,1.4445645999999996,0.2615313212730742,0.48432210483785376
1mxy428t9t,8,3,1.6666699999999999,1.4670180400000001,0.2995051154654263,0.6666061769587598
1mxy428t9t,1,4,1.1880000000000002,1.45999414,0.27065643739889206,-1.0049424377781797
1mxy428t9t,2,5,1.45843,1.4476725799999999,0.3108255362082459,0.034609189872973616
1mxy428t9t,3,6,1.45843,1.61364955,0.2172002923853867,-0.7146378501396686
1mxy428t9t,6,7,1.54086,1.3366603200000002,0.20749343573977846,0.9841259761879428
qe6qdpy4b2,1,0,0.33333,1.6627655999999997,0.47450928624489525,-2.8017061805485404
qe6qdpy4b2,5,1,0.33333,1.47182208,0.28336135291968373,-4.017810009266491
qe6qdpy4b2,6,2,1.12581,1.32834952,0.20746022563125113,-0.9762812094883313
qe6qdpy4b2,2,3,1.6666699999999999,1.48022413,0.26428166846007894,0.7054816593462038
qe6qdpy4b2,3,4,1.27043,1.22908474,0.04085205833409619,1.0120728718702556
qe6qdpy4b2,4,5,1.54086,1.34745136,0.2070396578410773,0.9341622857030584
qe6qdpy4b2,7,6,1.12582,1.3296046400000001,0.20748637903648126,-0.9821591226678531
qe6qdpy4b2,8,7,1.12582,1.3374904,0.20747849184876963,-1.0202040612204077
zmpvzne4pl,8,0,2.211,1.8891593499999997,0.42267807374534755,0.7614320921550823
zmpvzne4pl,4,1,1.33334,1.6118962799999996,0.3210992228563651,-0.8675084216089932
zmpvzne4pl,2,2,1.72957,1.5873719099999999,0.22609276264235412,0.6289369387066002
zmpvzne4pl,5,3,1.6666699999999999,1.4543643400000001,0.3217759094621044,0.6597935201392167
zmpvzne4pl,7,4,1.48952,1.2885855999999998,0.28373843930042325,0.7081677071863011
zmpvzne4pl,3,5,1.12582,1.33500016,0.2075133592537463,-1.0080322575483711
zmpvzne4pl,6,6,1.27043,1.24313886,0.038537679313892244,0.7081677071863005
zmpvzne4pl,1,7,1.12582,1.3383204800000001,0.207460225631251,-1.0242950394631687
llelh1mjm8,1,0,0.33333,1.6642643999999998,0.47267124052203563,-2.815771906346717
llelh1mjm8,8,1,1.6666699999999999,1.47796245,0.28980735316671574,0.6511482470613618
llelh1mjm8,7,2,0.33333,1.46963559,0.3049058558211893,-3.7267424298547467
llelh1mjm8,5,3,1.6666699999999999,1.46835138,0.29741578426084847,0.6668059682604621
llelh1mjm8,6,4,1.12582,1.3387355200000002,0.20744984638203415,-1.0263469639206217
llelh1mjm8,4,5,1.12582,1.3416408000000002,0.20735391754042162,-1.0408329997330674
llelh1mjm8,3,6,1.12582,1.3354152000000001,0.20750962374058696,-1.0100505037878165
llelh1mjm8,2,7,1.12582,1.3312648,0.20750962374058693,-0.9900495037128098
n82s617h3t,7,0,0.33333,1.6492763999999995,0.49053596875972305,-2.682670555896755
n82s617h3t,2,1,0.33333,1.46060297,0.3097196451468312,-3.639656016865139
n82s617h3t,4,2,1.6666699999999999,1.46311927,0.31036076296846393,0.6558520092975892
n82s617h3t,8,3,2.0,1.6056005799999997,0.32198884424908825,1.2248853556395132
n82s617h3t,1,4,1.52278,1.4388839800000002,0.05981354527997478,1.402625769920509
n82s617h3t,5,5,1.3962400000000001,1.6060893200000002,0.28420253147207825,-0.7383794891377203
n82s617h3t,3,6,1.12582,1.3345851200000003,0.20751626460638106,-1.0060181084889324
n82s617h3t,6,7,1.27043,1.24395596,0.038240279999999974,0.6923076923076893
uf9y22kc7h,2,0,2.06363,2.3174988,0.2646248081294723,-0.9593537423588437
uf9y22kc7h,8,1,2.06291,1.66340743,0.2947937747119079,1.3551933733689616
uf9y22kc7h,6,2,1.70752,1.6168377500000002,0.17871950070050416,0.5073998620439517
uf9y22kc7h,3,3,2.06291,1.6777130399999998,0.3240475352230879,1.1887051069060426
uf9y22kc7h,7,4,1.85539,1.61118982,0.2832424796159072,0.8621594484384871
uf9y22kc7h,1,5,1.1880000000000002,1.4653903999999998,0.27059795257880276,-1.0251016216363231
uf9y22kc7h,5,6,1.52206,1.6901771199999998,0.16654008377716645,-1.0094694093281678
uf9y22kc7h,4,7,1.59256,1.34180362,0.3713936019460965,0.6751768977334033
wh08dqfy5x,7,0,2.25019,1.8897781,0.35327432393168634,1.0202040612204066
wh08dqfy5x,3,1,1.57123,1.4372313399999999,0.26716269536333914,0.5015620156764886
wh08dqfy5x,8,2,1.57123,1.4625644199999999,0.24624131920955827,0.4412970997264784
wh08dqfy5x,2,3,1.57123,1.4352313599999997,0.2686433011644816,0.506242438990625
wh08dqfy5x,4,4,1.12582,1.32835952,0.207460225631251,-0.976281209488332
wh08dqfy5x,5,5,1.12582,1.3387355200000002,0.20744984638203415,-1.0263469639206217
wh08dqfy5x,1,6,1.12582,1.3341700799999998,0.2075183398333592,-1.0040080320963847
wh08dqfy5x,6,7,1.54086,1.3316798400000003,0.20751335925374634,1.008032257548369
ccehyx1t6d,5,0,0.66666,1.47309548,0.32266773243751784,-2.499275257268435
ccehyx1t6d,3,1,0.33333,1.46855388,0.30700915382598215,-3.6976874006938028
ccehyx1t6d,7,2,1.6666699999999999,1.45952126,0.31175913275798733,0.6644512324866051
ccehyx1t6d,6,3,1.12581,1.3449511200000002,0.20719435313238055,-1.0576597126659462
ccehyx1t6d,2,4,1.12582,1.34122576,0.20737011643248496,-1.038750248617096
ccehyx1t6d,8,5,1.54086,1.3296046400000001,0.20748637903648126,1.0181649560854105
ccehyx1t6d,1,6,0.88792,1.2741471999999998,0.2884143434369379,-1.3391400559259938
ccehyx1t6d,4,7,1.12582,1.33832048,0.207460225631251,-1.0242950394631676
96dcxvnjng,1,0,2.25019,1.91027211,0.3530897927468987,0.9626953171191198
96dcxvnjng,8,1,1.41504,1.49179911,0.2666728751435134,-0.287839961070998
96dcxvnjng,4,2,1.12581,1.33083976,0.20750505802206945,-0.9880711436836097
96dcxvnjng,5,3,1.6666699999999999,1.46850176,0.2925634253957633,0.6773513802414945
96dcxvnjng,7,4,1.1618300000000001,1.16183,2.220446049250313e-16,1.0
96dcxvnjng,3,5,1.12582,1.3362452800000002,0.20749966204339124,-1.0140993866100714
96dcxvnjng,6,6,1.54086,1.3208888,0.20714612721110665,1.0619131671036401
96dcxvnjng,2,7,1.12582,1.3403956799999999,0.2074000187553935,-1.0345981706639538
sspwqxgdcc,4,0,0.33333,1.6462787999999995,0.4939768314592902,-2.6579157490470333
sspwqxgdcc,8,1,0.33333,1.46485462,0.30374944858329467,-3.7251906967321173
sspwqxgdcc,2,2,0.33333,1.44100488,0.33338616376986246,-3.3224980529324886
sspwqxgdcc,3,3,0.33333,1.4807534500000001,0.2724620487385307,-4.211314769570458
sspwqxgdcc,1,4,0.33333,1.16328584,0.3568174301688391,-2.325995788959303
sspwqxgdcc,6,5,0.33333,1.1652525599999999,0.35494256262759805,-2.3438230508096156
sspwqxgdcc,5,6,0.33333,1.15148552,0.36764515125420816,-2.2253945610567474
sspwqxgdcc,7,7,0.33333,1.14853544,0.3702438548751436,-2.201806807232249
3fs5m6cp2b,6,0,1.3333300000000001,1.9219300000000006,0.22551062059246782,-2.6100766272276403
3fs5m6cp2b,7,1,0.33333,1.4649067400000002,0.31768753571107006,-3.561917333228789
3fs5m6cp2b,2,2,1.6666699999999999,1.4806782600000001,0.27507964572023935,0.6761377764356891
3fs5m6cp2b,3,3,1.6666699999999999,1.4703383600000002,0.290539955065582,0.6757474714817893
3fs5m6cp2b,4,4,0.33333,1.1416519199999997,0.37614773281081143,-2.1489480049758964
3fs5m6cp2b,1,5,0.33333,1.15738568,0.3623197893360747,-2.27438772116208
3fs5m6cp2b,8,6,1.0,1.3792579000000005,0.17406811905857436,-2.1787901314219362
3fs5m6cp2b,5,7,0.33333,1.15050216,0.3685160460258608,-2.2174669700614733
9r62k0regr,2,0,1.3333300000000001,2.3083601,0.38906696243164873,-2.506072717935522
9r62k0regr,3,1,1.8333300000000001,1.6533471199999998,0.22415062442497372,0.8029550685469673
9r62k0regr,8,2,1.0,1.7273351199999998,0.34686959589734245,-2.09685463529429
9r62k0regr,6,3,1.8333300000000001,1.5951875699999998,0.25017314171028654,0.9519104583807866
9r62k0regr,1,4,1.12582,1.3379054400000003,0.20746977408192832,-1.0222474138148396
9r62k0regr,7,5,1.45843,1.4550825799999998,0.30594567259489647,0.010941223556485564
9r62k0regr,4,6,1.46747,1.4493773699999997,0.09811503894604083,0.18440220983809197
9r62k0regr,5,7,1.85539,1.6931842899999998,0.16647951254642693,0.9743283573993239
kbnum3y523,6,0,0.33333,1.6507751999999996,0.48879956092140675,-2.6952667418861065
kbnum3y523,2,1,0.33333,1.47162257,0.2981942224069659,-3.8172857971959453
kbnum3y523,1,2,1.6666699999999999,1.4715965100000001,0.29084243770350965,0.6707187972302082
kbnum3y523,7,3,1.6666699999999999,1.47690381,0.2742267252187209,0.6920047265584489
kbnum3y523,8,4,0.33333,1.15050216,0.3685160460258608,-2.2174669700614733
kbnum3y523,4,5,0.33333,1.1652525599999999,0.35494256262759805,-2.3438230508096156
kbnum3y523,5,6,0.33333,1.1672192799999999,0.35304678313487237,-2.3619795444544076
kbnum3y523,3,7,0.88792,1.2861792,0.28457396988368416,-1.3994927229738658
xxzu4htn68,7,0,1.3333300000000001,2.3211660399999996,0.39291968152679546,-2.514091521609444
xxzu4htn68,6,1,1.0,1.72333512,0.34882196313074326,-2.073651307698432
xxzu4htn68,1,2,1.0,1.7300016300000003,0.3651316447324761,-1.9992833832160901
