x,y,z,system,system_type,system_group,data_type
mzd,mzd,1,1,1,1,ppt
mzd,mzs,0.6666666666666666,1,1,1,ppt
mzd,mbd,0.8333333333333334,1,1,1,ppt
mzd,mbs,0.8333333333333334,1,1,1,ppt
mzd,z,0.16666666666666666,1,1,1,ppt
mzd,b,0,1,1,1,ppt
mzd,fzd,0.8333333333333334,1,1,1,ppt
mzd,fzs,0.5,1,1,1,ppt
mzd,fbd,0.6666666666666666,1,1,1,ppt
mzd,fbs,0.6666666666666666,1,1,1,ppt
mzs,mzd,0.6666666666666666,1,1,1,ppt
mzs,mzs,1,1,1,1,ppt
mzs,mbd,0.6666666666666666,1,1,1,ppt
mzs,mbs,0.8333333333333334,1,1,1,ppt
mzs,z,0.16666666666666666,1,1,1,ppt
mzs,b,0,1,1,1,ppt
mzs,fzd,0.5,1,1,1,ppt
mzs,fzs,0.6666666666666666,1,1,1,ppt
mzs,fbd,0.5,1,1,1,ppt
mzs,fbs,0.6666666666666666,1,1,1,ppt
mbd,mzd,0.8333333333333334,1,1,1,ppt
mbd,mzs,0.6666666666666666,1,1,1,ppt
mbd,mbd,1,1,1,1,ppt
mbd,mbs,0.6666666666666666,1,1,1,ppt
mbd,z,0.3333333333333333,1,1,1,ppt
mbd,b,0,1,1,1,ppt
mbd,fzd,0.6666666666666666,1,1,1,ppt
mbd,fzs,0.5,1,1,1,ppt
mbd,fbd,0.8333333333333334,1,1,1,ppt
mbd,fbs,0.5,1,1,1,ppt
mbs,mzd,0.8333333333333334,1,1,1,ppt
mbs,mzs,0.8333333333333334,1,1,1,ppt
mbs,mbd,0.6666666666666666,1,1,1,ppt
mbs,mbs,1,1,1,1,ppt
mbs,z,0.16666666666666666,1,1,1,ppt
mbs,b,0,1,1,1,ppt
mbs,fzd,0.6666666666666666,1,1,1,ppt
mbs,fzs,0.6666666666666666,1,1,1,ppt
mbs,fbd,0.5,1,1,1,ppt
mbs,fbs,0.8333333333333334,1,1,1,ppt
z,mzd,0.16666666666666666,1,1,1,ppt
z,mzs,0.16666666666666666,1,1,1,ppt
z,mbd,0.3333333333333333,1,1,1,ppt
z,mbs,0.16666666666666666,1,1,1,ppt
z,z,1,1,1,1,ppt
z,b,0.5,1,1,1,ppt
z,fzd,0,1,1,1,ppt
z,fzs,0,1,1,1,ppt
z,fbd,0.16666666666666666,1,1,1,ppt
z,fbs,0,1,1,1,ppt
b,mzd,0,1,1,1,ppt
b,mzs,0,1,1,1,ppt
b,mbd,0,1,1,1,ppt
b,mbs,0,1,1,1,ppt
b,z,0.5,1,1,1,ppt
b,b,1,1,1,1,ppt
b,fzd,0.16666666666666666,1,1,1,ppt
b,fzs,0.3333333333333333,1,1,1,ppt
b,fbd,0.16666666666666666,1,1,1,ppt
b,fbs,0.16666666666666666,1,1,1,ppt
fzd,mzd,0.8333333333333334,1,1,1,ppt
fzd,mzs,0.5,1,1,1,ppt
fzd,mbd,0.6666666666666666,1,1,1,ppt
fzd,mbs,0.6666666666666666,1,1,1,ppt
fzd,z,0,1,1,1,ppt
fzd,b,0.16666666666666666,1,1,1,ppt
fzd,fzd,1,1,1,1,ppt
fzd,fzs,0.6666666666666666,1,1,1,ppt
fzd,fbd,0.8333333333333334,1,1,1,ppt
fzd,fbs,0.8333333333333334,1,1,1,ppt
fzs,mzd,0.5,1,1,1,ppt
fzs,mzs,0.6666666666666666,1,1,1,ppt
fzs,mbd,0.5,1,1,1,ppt
fzs,mbs,0.6666666666666666,1,1,1,ppt
fzs,z,0,1,1,1,ppt
fzs,b,0.3333333333333333,1,1,1,ppt
fzs,fzd,0.6666666666666666,1,1,1,ppt
fzs,fzs,1,1,1,1,ppt
fzs,fbd,0.6666666666666666,1,1,1,ppt
fzs,fbs,0.8333333333333334,1,1,1,ppt
fbd,mzd,0.6666666666666666,1,1,1,ppt
fbd,mzs,0.5,1,1,1,ppt
fbd,mbd,0.8333333333333334,1,1,1,ppt
fbd,mbs,0.5,1,1,1,ppt
fbd,z,0.16666666666666666,1,1,1,ppt
fbd,b,0.16666666666666666,1,1,1,ppt
fbd,fzd,0.8333333333333334,1,1,1,ppt
fbd,fzs,0.6666666666666666,1,1,1,ppt
fbd,fbd,1,1,1,1,ppt
fbd,fbs,0.6666666666666666,1,1,1,ppt
fbs,mzd,0.6666666666666666,1,1,1,ppt
fbs,mzs,0.6666666666666666,1,1,1,ppt
fbs,mbd,0.5,1,1,1,ppt
fbs,mbs,0.8333333333333334,1,1,1,ppt
fbs,z,0,1,1,1,ppt
fbs,b,0.16666666666666666,1,1,1,ppt
fbs,fzd,0.8333333333333334,1,1,1,ppt
fbs,fzs,0.8333333333333334,1,1,1,ppt
fbs,fbd,0.6666666666666666,1,1,1,ppt
fbs,fbs,1,1,1,1,ppt
mzd,mzd,1,2,2x2 side,2x2,ppt
mzd,mzs,0.5,2,2x2 side,2x2,ppt
mzd,mbd,1,2,2x2 side,2x2,ppt
mzd,mbs,0.5,2,2x2 side,2x2,ppt
mzd,z,0,2,2x2 side,2x2,ppt
mzd,b,0,2,2x2 side,2x2,ppt
mzd,fzd,0.5,2,2x2 side,2x2,ppt
mzd,fzs,0,2,2x2 side,2x2,ppt
mzd,fbd,0.5,2,2x2 side,2x2,ppt
mzd,fbs,0,2,2x2 side,2x2,ppt
mzs,mzd,0.5,2,2x2 side,2x2,ppt
mzs,mzs,1,2,2x2 side,2x2,ppt
mzs,mbd,0.5,2,2x2 side,2x2,ppt
mzs,mbs,1,2,2x2 side,2x2,ppt
mzs,z,0,2,2x2 side,2x2,ppt
mzs,b,0,2,2x2 side,2x2,ppt
mzs,fzd,0,2,2x2 side,2x2,ppt
mzs,fzs,0.5,2,2x2 side,2x2,ppt
mzs,fbd,0,2,2x2 side,2x2,ppt
mzs,fbs,0.5,2,2x2 side,2x2,ppt
mbd,mzd,1,2,2x2 side,2x2,ppt
mbd,mzs,0.5,2,2x2 side,2x2,ppt
mbd,mbd,1,2,2x2 side,2x2,ppt
mbd,mbs,0.5,2,2x2 side,2x2,ppt
mbd,z,0,2,2x2 side,2x2,ppt
mbd,b,0,2,2x2 side,2x2,ppt
mbd,fzd,0.5,2,2x2 side,2x2,ppt
mbd,fzs,0,2,2x2 side,2x2,ppt
mbd,fbd,0.5,2,2x2 side,2x2,ppt
mbd,fbs,0,2,2x2 side,2x2,ppt
mbs,mzd,0.5,2,2x2 side,2x2,ppt
mbs,mzs,1,2,2x2 side,2x2,ppt
mbs,mbd,0.5,2,2x2 side,2x2,ppt
mbs,mbs,1,2,2x2 side,2x2,ppt
mbs,z,0,2,2x2 side,2x2,ppt
mbs,b,0,2,2x2 side,2x2,ppt
mbs,fzd,0,2,2x2 side,2x2,ppt
mbs,fzs,0.5,2,2x2 side,2x2,ppt
mbs,fbd,0,2,2x2 side,2x2,ppt
mbs,fbs,0.5,2,2x2 side,2x2,ppt
z,mzd,0,2,2x2 side,2x2,ppt
z,mzs,0,2,2x2 side,2x2,ppt
z,mbd,0,2,2x2 side,2x2,ppt
z,mbs,0,2,2x2 side,2x2,ppt
z,z,0,2,2x2 side,2x2,ppt
z,b,0,2,2x2 side,2x2,ppt
z,fzd,0,2,2x2 side,2x2,ppt
z,fzs,0,2,2x2 side,2x2,ppt
z,fbd,0,2,2x2 side,2x2,ppt
z,fbs,0,2,2x2 side,2x2,ppt
b,mzd,0,2,2x2 side,2x2,ppt
