x,y,z,system,system_type,system_group,data_type
mzs,mbd,1,10,2x2 side,2x2,perfect
mzs,mbs,1,10,2x2 side,2x2,perfect
mzs,z,0,10,2x2 side,2x2,perfect
mzs,b,0,10,2x2 side,2x2,perfect
mzs,fzd,0,10,2x2 side,2x2,perfect
mzs,fzs,0,10,2x2 side,2x2,perfect
mzs,fbd,0,10,2x2 side,2x2,perfect
mzs,fbs,0,10,2x2 side,2x2,perfect
mbd,mzd,1,10,2x2 side,2x2,perfect
mbd,mzs,1,10,2x2 side,2x2,perfect
mbd,mbd,1,10,2x2 side,2x2,perfect
mbd,mbs,1,10,2x2 side,2x2,perfect
mbd,z,0,10,2x2 side,2x2,perfect
mbd,b,0,10,2x2 side,2x2,perfect
mbd,fzd,0,10,2x2 side,2x2,perfect
mbd,fzs,0,10,2x2 side,2x2,perfect
mbd,fbd,0,10,2x2 side,2x2,perfect
mbd,fbs,0,10,2x2 side,2x2,perfect
mbs,mzd,1,10,2x2 side,2x2,perfect
mbs,mzs,1,10,2x2 side,2x2,perfect
mbs,mbd,1,10,2x2 side,2x2,perfect
mbs,mbs,1,10,2x2 side,2x2,perfect
mbs,z,0,10,2x2 side,2x2,perfect
mbs,b,0,10,2x2 side,2x2,perfect
mbs,fzd,0,10,2x2 side,2x2,perfect
mbs,fzs,0,10,2x2 side,2x2,perfect
mbs,fbd,0,10,2x2 side,2x2,perfect
mbs,fbs,0,10,2x2 side,2x2,perfect
z,mzd,0,10,2x2 side,2x2,perfect
z,mzs,0,10,2x2 side,2x2,perfect
z,mbd,0,10,2x2 side,2x2,perfect
z,mbs,0,10,2x2 side,2x2,perfect
z,z,0,10,2x2 side,2x2,perfect
z,b,0,10,2x2 side,2x2,perfect
z,fzd,0,10,2x2 side,2x2,perfect
z,fzs,0,10,2x2 side,2x2,perfect
z,fbd,0,10,2x2 side,2x2,perfect
z,fbs,0,10,2x2 side,2x2,perfect
b,mzd,0,10,2x2 side,2x2,perfect
b,mzs,0,10,2x2 side,2x2,perfect
b,mbd,0,10,2x2 side,2x2,perfect
b,mbs,0,10,2x2 side,2x2,perfect
b,z,0,10,2x2 side,2x2,perfect
b,b,0,10,2x2 side,2x2,perfect
b,fzd,0,10,2x2 side,2x2,perfect
b,fzs,0,10,2x2 side,2x2,perfect
b,fbd,0,10,2x2 side,2x2,perfect
b,fbs,0,10,2x2 side,2x2,perfect
fzd,mzd,0,10,2x2 side,2x2,perfect
fzd,mzs,0,10,2x2 side,2x2,perfect
fzd,mbd,0,10,2x2 side,2x2,perfect
fzd,mbs,0,10,2x2 side,2x2,perfect
fzd,z,0,10,2x2 side,2x2,perfect
fzd,b,0,10,2x2 side,2x2,perfect
fzd,fzd,1,10,2x2 side,2x2,perfect
fzd,fzs,1,10,2x2 side,2x2,perfect
fzd,fbd,1,10,2x2 side,2x2,perfect
fzd,fbs,1,10,2x2 side,2x2,perfect
fzs,mzd,0,10,2x2 side,2x2,perfect
fzs,mzs,0,10,2x2 side,2x2,perfect
fzs,mbd,0,10,2x2 side,2x2,perfect
fzs,mbs,0,10,2x2 side,2x2,perfect
fzs,z,0,10,2x2 side,2x2,perfect
