language,family,code,true_value,simulated_mean,sd,z
Pima Bajo,Uto-Aztecan,pima1248,0.9791666666666666,0.9791666666666664,2.220446049250313e-16,1.0
Kiramang,,kira1248,0.7875,0.7874999999999998,2.2589696723613666e-16,0.9829463743659809
Central Melanau,Austronesian,cent2101,0.8947099673202614,0.8907008442265796,0.005050634102979251,0.7937860894173576
Anuta,Austronesian,anut1237,0.6305555555555555,0.6100421957671958,0.024830971372568383,0.8261199081007995
Shasta,,shas1239,0.7252164502164503,0.7420204004329005,0.009256885286095728,-1.8152920444731575
Atayal,Austronesian,atay1247,0.8333333333333333,0.8333333333333335,2.220446049250313e-16,-1.0
Northern Paiute,Uto-Aztecan,nort2954,0.701388888888889,0.7013888888888892,3.0797434617380487e-16,-0.7209840939145001
Carolinian,Austronesian,caro1242,,,,
Sanga (Democratic Republic of Congo),Atlantic-Congo,sang1331,0.7595238095238095,0.7728727891156463,0.013662395607199115,-0.9770599516824721
Tenetehara,Tupian,temb1276,0.5847222222222221,0.5847222222222221,0.0,
Emae,Austronesian,emae1237,0.5,0.5,0.0,
Kamang,,kama1365,0.7402988215488215,0.7715223747895624,0.015497036253178375,-2.01480804010748
Komba,Nuclear Trans New Guinea,komb1273,0.8138888888888888,0.9106361111111112,0.014958342102545657,-6.467777081108319
Kyaka,Nuclear Trans New Guinea,kyak1244,0.65625,0.6562564897486772,0.011351882480433645,-0.0005716892055934871
Indonesian,Austronesian,indo1316,0.9166666666666666,0.9409263888888888,0.008428554471461595,-2.8782779187538776
Tokelau,Austronesian,toke1240,0.5431783192652759,0.5921842802728673,0.009436348484583012,-5.193318272174527
Dehu,Austronesian,dehu1237,0.75,0.75,0.0,
Kashaya,,kash1280,0.6316964285714285,0.5976210317460317,0.020760939470883474,1.6413224879917623
Torete,Austronesian,tore1237,0.7083333333333334,0.7083333333333334,0.0,
Cruzeño,,cruz1243,0.791958041958042,0.7919580419580416,3.2953244754398605e-16,1.0107256807938136
Lakota,,lako1247,0.8112980769230769,0.8112980769230768,1.2511578073120693e-16,0.8873565094161139
Taiap,Taiap,taia1239,0.78125,0.78125,0.0,
Brulé,,brul1239,0.7723595848595849,0.7723595848595848,8.04433006106855e-17,1.3801311186847083
Sikaiana,Austronesian,sika1261,0.6777777777777777,0.6777340277777778,0.015742414261187308,0.0027791162952535827
Tolaki,Austronesian,tola1247,0.826388888888889,0.7880138888888889,0.014543304853071837,2.6386712227856846
Mudburra,Pama-Nyungan,mudb1240,0.8258928571428571,0.717317150297619,0.025783787081050745,4.211006959681014
Kikuyu,Atlantic-Congo,kiku1240,0.7787698412698413,0.7999092643467645,0.006839051334475643,-3.0909876301643466
Adnyamathanha,Pama-Nyungan,adny1235,0.7538690476190475,0.7418199404761905,0.018713349714945603,0.6438776235359867
Kilmeri,Border,kilm1241,0.7989583333333333,0.7989583333333332,1.1102230246251565e-16,1.0
Tiv,Atlantic-Congo,tivv1240,0.8265625000000001,0.7700212239583334,0.01828177714649449,3.092766944296136
Nyoro,Atlantic-Congo,nyor1246,0.8388888888888889,0.8083207589285715,0.017645557688190466,1.7323413915546337
Tohono O'odham,Uto-Aztecan,toho1245,0.875,0.875,0.0,
Yamdena,Austronesian,yamd1240,,,,
Auslan,,aust1271,0.36309523809523814,0.4089348672161172,0.00812814379811354,-5.639618375294737
Zuni,,zuni1245,0.9330357142857143,0.933035714285714,3.3306690738754696e-16,1.0
Arabana,Pama-Nyungan,arab1267,0.8392113095238096,0.8352897321428572,0.011570775062725467,0.33892088988796987
Kanum,,kanu1280,,,,
MokshaMordvin,Uralic,moks1248,0.9005952380952381,0.9005952380952384,3.135471101974448e-16,-1.0622547507384466
Kankanaey,Austronesian,kank1243,0.8333333333333334,0.8306440972222222,0.003939709706607574,0.6825975291024224
Tausug,Austronesian,taus1251,0.7782738095238096,0.7825576636904764,0.002485547144434167,-1.7235054970731538
Kamano,Nuclear Trans New Guinea,kama1370,0.8144345238095239,0.7819922619047619,0.0171838559422893,1.8879500627633798
Kannada,Dravidian,nucl1305,0.32337454212454214,0.32337454212454203,7.437251374183974e-17,1.4927867417241518
Navajo,,nava1243,0.8846638655462185,0.9231868697478992,0.013378042002165458,-2.879569685567228
Guarayu,Tupian,guar1292,0.7852891156462585,0.7836866496598641,0.015682250494733273,0.10218341984350553
Dakota,,dako1258,0.7574540043290043,0.7574540043290041,2.220446049250313e-16,1.0
Ninam,,nina1238,0.5571428571428572,0.557600892857143,0.005124395730304736,-0.0893833611594595
Huli,Nuclear Trans New Guinea,huli1244,0.7316468253968255,0.7059000496031747,0.01361007250275726,1.8917442055091755
Ganda,Atlantic-Congo,gand1255,0.7693452380952381,0.777094961734694,0.03961116804063523,-0.19564491588598779
Páez,,paez1247,0.8787878787878788,0.8787878787878788,0.0,
Lonwolwol,Austronesian,lonw1238,0.7375,0.7375000000000002,1.1102230246251565e-16,-1.0
Old Rapa,Austronesian,rapa1245,0.7529761904761905,0.7529761904761904,1.1102230246251565e-16,1.0
Jehai,Austroasiatic,jeha1242,,,,
Mori Bawah,Austronesian,mori1268,0.888888888888889,0.8599763888888888,0.011166486230576492,2.5892209422898698
Ottawa,Algic,otta1242,0.5982142857142857,0.5982142857142858,1.1102230246251565e-16,-1.0
Tokharian B,Indo-European,tokh1243,0.5416666666666666,0.5416666666666667,1.1102230246251565e-16,-1.0
Kazym Khanty,Uralic,nort2672,0.85,0.8098835714285713,0.04062539830887941,0.9874716369897242
Ponca,,ponc1241,0.6918019480519481,0.691801948051948,1.4304223057953898e-16,0.7761505257063328
Vurës,Austronesian,vure1239,0.4955357142857143,0.4955357142857144,1.1102230246251565e-16,-1.0
Yawa,Yawa-Saweru,nucl1454,0.733531746031746,0.7299363095238095,0.00857007783255919,0.4195337053155807
Lauan,Austronesian,laua1243,0.8466269841269841,0.8482918154761906,0.011729710014107355,-0.14193286510955322
Parakanã,Tupian,para1312,0.5260416666666666,0.5440679563492062,0.021022655332379712,-0.8574696867514632
Yurok,Algic,yuro1248,0.7270833333333333,0.7315210069444444,0.008179612059977318,-0.5425286160971603
Osage,,osag1243,0.7835227272727272,0.783522727272727,2.6887117062362655e-16,0.8258401390153339
Paliyan,Dravidian,pali1274,0.6259920634920635,0.6990620783730159,0.02348247801555112,-3.11168245670505
Tamambo,Austronesian,malo1243,0.7821180555555556,0.7821180555555556,0.0,
Ngadjunmaya,Pama-Nyungan,ngad1258,0.8638392857142857,0.8638392857142859,2.4578341890295973e-16,-0.9034157223303131
Sateré-Mawé,Tupian,sate1243,0.678125,0.7612125000000001,0.07157734489406081,-1.1608072375829959
Creek,,cree1270,0.46481643356643354,0.46481643356643343,1.518714489757095e-16,0.7310281373576194
Buhid,Austronesian,buhi1245,0.8068452380952381,0.7788904761904762,0.007201158341478267,3.8819812840031607
Mblafe,,mbla1238,0.6388888888888888,0.6388888888888892,2.6633785257013446e-16,-1.250542888190633
Merei,Austronesian,mere1242,,,,
Iau,Lakes Plain,iauu1242,0.8819444444444443,0.8821972222222221,0.014803228136849235,-0.01707585503924892
Gayo,Austronesian,gayo1244,0.8,0.8000000000000002,1.1102230246251565e-16,-1.0
Binongan Itneg,Austronesian,bino1237,0.9,0.9000000000000002,2.220446049250313e-16,-1.0
Mala,,mala1494,0.7656850961538462,0.765685096153846,2.220446049250313e-16,1.0
Idi,,nucl1597,0.9583333333333334,0.9583333333333336,2.220446049250313e-16,-1.0
Kwere,Atlantic-Congo,kwer1261,0.7820512820512822,0.7131615384615384,0.019265150633419326,3.5758736020594863
Thayore,Pama-Nyungan,thay1249,0.7494562728937729,0.7740708371489622,0.024808121135026458,-0.9921978420379481
Classical Nahuatl,Uto-Aztecan,clas1250,0.6527777777777778,0.6527777777777778,1.0928790940955857e-16,0.0
Old High German (ca. 750-1050),Indo-European,oldh1241,,,,
