language,language_family,code,true_value,simulated_mean,simulated_sd,z
Ratagnon,Austronesian,rata1245,1.3333300000000001,2.63209583,0.13090993178483862,-9.921064141524646
Pilagá,,pila1245,2.10161,2.29253566,0.07762360826426705,-2.459633921551286
Sindhi,Indo-European,sind1272,1.83333,4.13596887,0.21797643255274893,-10.56370564025437
Tongva,Uto-Aztecan,tong1329,2.7157799999999996,2.8923876799999997,0.32159263903550034,-0.5491658034514418
Tanala,Austronesian,tana1285,3.0514099999999997,3.86770784,0.2239177727937968,-3.6455250059660034
Hupa-Chilula,,hupa1239,3.0,3.0,0.0,
Chemehuevi,Uto-Aztecan,chem1251,1.0,1.93845138,0.4653615890168586,-2.0166068754892508
Suku,Atlantic-Congo,suku1259,2.66667,3.2638483000000003,0.13015364079006778,-4.5882565894812215
Western Keres,,west2632,3.0,3.0,0.0,
Kodi-Gaura,Austronesian,kodi1247,2.25019,2.2501899999999995,4.440892098500626e-16,1.0
Manggarai,Austronesian,mang1405,2.75,2.75,0.0,
Talaandig-Binukid,Austronesian,binu1244,2.5,3.3219473400000004,0.11702743921544384,-7.023543756151248
Wipi,,wipi1242,2.5,2.5,0.0,
Irish,Indo-European,iris1253,2.0,3.14853485,0.13698218824714947,-8.384556157971145
Sonsorol,Austronesian,sons1242,1.53064,2.5850477499999998,0.2061911040007243,-5.113740261055568
Potawatomi,Algic,pota1247,2.75,2.75,0.0,
Paiwan,Austronesian,paiw1248,1.0,1.0,0.0,
Serbian Standard,Indo-European,serb1264,2.33333,3.5670889100000003,0.1732160836328772,-7.122657920236151
Forest Enets,Uralic,fore1265,3.25,3.25,0.0,
Creek,,cree1270,3.5,3.5,0.0,
Sake,Atlantic-Congo,sake1247,2.5,2.578,0.26346916328101855,-0.2960498262060534
Bo-Ung,Nuclear Trans New Guinea,boun1245,2.0,2.0,0.0,
Angaité,,anga1316,1.0,1.0,0.0,
Uab Meto,Austronesian,uabm1237,2.47289,3.3631569600000004,0.19264082449719322,-4.621382629168365
Shanghainese,Sino-Tibetan,shan1293,2.58641,2.5864100000000003,4.440892098500626e-16,-1.0
Tidore,,tido1248,3.0,3.0,0.0,
Rotokas,,roto1249,2.66667,3.9785798199999998,0.17173778620434002,-7.639028364084306
Central Tagbanwa,Austronesian,cent2090,1.0,2.1063654400000003,0.08223495386516845,-13.453712661090382
Dakaka,Austronesian,daka1243,2.19911,3.4942793699999997,0.1684887416657359,-7.686978709648628
Fe'fe',Atlantic-Congo,fefe1239,2.39418,2.9613947200000004,0.2747485037897779,-2.0644870205881127
Hausa,Afro-Asiatic,haus1257,2.66667,2.85676044,0.12923451922766768,-1.4708952463785994
Lau,Austronesian,lauu1247,2.5,2.5,0.0,
Mahasu Pahari,Indo-European,maha1287,2.5,2.5,0.0,
Tadyawan,Austronesian,tady1237,1.3333300000000001,2.6338253699999994,0.13201493799590674,-9.85112283308668
Yuracaré,,yura1255,3.5,3.5,0.0,
Paraguayan Guaraní,Tupian,para1311,3.15875,3.62956214,0.1973963541634455,-2.3851106166336002
Dondo,Austronesian,dond1249,2.0,3.15170217,0.13721699819188254,-8.393290810730855
Menui,Austronesian,menu1237,2.0,2.0,0.0,
Maybrat-Karon,Maybrat-Karon,maib1239,2.16667,3.6954784499999995,0.15114554807170968,-10.114809661973437
Gurindji,Pama-Nyungan,guri1247,1.75,2.9586699299999997,0.20783334496681494,-5.81557271376732
Ha,Atlantic-Congo,haaa1252,2.0,3.7225061400000006,0.20458769607017036,-8.419402403403614
Wersing,,wers1238,2.5,2.5,0.0,
East Uvean,Austronesian,wall1257,3.25,3.25,0.0,
Huichol,Uto-Aztecan,huic1243,1.0,1.0,0.0,
Warumungu,Pama-Nyungan,waru1265,2.0,2.96767609,0.2139731860776296,-4.522417540901253
Yabem,Austronesian,yabe1254,2.79248,4.10804933,0.2270355261937019,-5.794552738312788
Southern Paiute,Uto-Aztecan,sout2969,2.5,3.1283963800000003,0.31617396128254394,-1.9875019987444307
Giryama,Atlantic-Congo,giry1241,1.81818,3.97246441,0.2291441188057243,-9.401438802915433
Tooro,Atlantic-Congo,toor1238,2.0,4.20585509,0.24302486004520588,-9.076664377420817
Tucano,,tuca1252,2.25,4.03412217,0.19681918473103965,-9.064777767665614
Comanche,Uto-Aztecan,coma1245,3.6959500000000003,3.76561761,0.2146474196895642,-0.32456765658192954
Cupeño,Uto-Aztecan,cupe1243,2.13774,3.55401572,0.24425965682011758,-5.7982383928550325
Maca,,maca1260,-0.0,0.43,0.4950757517794625,-0.8685539504902852
Osage,,osag1243,3.15564,3.155639999999999,8.881784197001252e-16,1.0
Sinhala,Indo-European,sinh1246,2.75,3.5061134099999998,0.258789839782152,-2.921727571053378
Movima,,movi1243,2.5,2.5,0.0,
Tonga (Nyasa),Atlantic-Congo,tong1321,2.25019,1.7958264199999998,0.15515154814497856,2.928514638960794
Iyojwa'ja Chorote,,iyoj1235,2.5,1.718,0.2828002828852899,2.7652023259014795
Ngarluma,Pama-Nyungan,ngar1287,3.0,3.0,0.0,
Karruwali,Pama-Nyungan,karr1236,2.0,2.0,0.0,
Tundra Nenets,Uralic,nene1249,3.0,3.0,0.0,
North Northern Paiute,Uto-Aztecan,nort1551,3.0,3.0,0.0,
Seki,Atlantic-Congo,seki1238,2.5,2.6825,0.27375856150995537,-0.6666458173705863
Korafe,Nuclear Trans New Guinea,kora1295,2.5,3.74253181,0.1577766478583694,-7.875258011029475
Qawasqar,,qawa1238,1.5,2.2344456,0.22519610101917834,-3.2613601952968647
Yombe,Atlantic-Congo,yomb1244,2.0245100000000003,3.90347366,0.2528440305449278,-7.431315091562452
Shi,Atlantic-Congo,shii1238,2.54718,3.6164800500000003,0.2697267130962328,-3.9643832000373527
Kapingamarangi,Austronesian,kapi1249,1.0,1.0,0.0,
Western Farsi,Indo-European,west2369,1.6666599999999998,4.21177993,0.2221865557361541,-11.454878183639169
Kinshasa Lingala,Atlantic-Congo,ling1263,2.5,3.3297858500000004,0.13762402608075924,-6.029367644811329
Chenchu,Dravidian,chen1255,1.2,3.1120861,0.309837974227805,-6.171245163751811
Sunwadia,Austronesian,mari1426,1.8008000000000002,3.45958842,0.13137299432114502,-12.626555621812535
Yagwoia,Angan,yagw1240,3.0,3.0,0.0,
Tiv,Atlantic-Congo,tivv1240,2.0,2.21005528,0.22157720303930548,-0.9480004130331882
Marathi,Indo-European,mara1378,1.6666599999999998,4.20257335,0.23380196333323955,-10.846415974640664
Ulawa,Austronesian,ulaw1237,1.5,3.2958872,0.22012219993031146,-8.158591911985981
Brooke's Point Palawano,Austronesian,broo1239,2.0,1.3642028800000001,0.45588912543085036,1.3946310287597288
Mangei,Austronesian,mang1407,2.0,3.4871314700000005,0.23840112560250026,-6.2379381231596165
Yele,Yele,yele1255,2.33333,4.06466386,0.20325681958128833,-8.517961973264018
Patani,Austronesian,pata1260,2.33333,3.3663339299999997,0.13602410865230877,-7.594270899730437
