language,language_family,code,true_value,simulated_mean,simulated_sd,z
Anambé,Tupian,anam1249,1.0,1.0,0.0,
Warázu,Tupian,paus1244,1.34436,1.63613868,0.33134435368157034,-0.8805904695765725
Hittite,Indo-European,hitt1242,1.33334,1.7408739100000004,0.24355957023819022,-1.6732412099489693
Galibi Carib,Cariban,gali1262,1.71428,1.5615170899999997,0.3537618270388029,0.4318241775228176
Tsogo,Atlantic-Congo,tsog1243,2.0,2.0,0.0,
Hano,Austronesian,hano1246,1.25,1.5345,0.3214183411070376,-0.8851392830294548
Tokharian B,Indo-European,tokh1243,2.0,2.0,0.0,
Kuanua,Austronesian,kuan1248,1.25,1.7525,0.3629652187193699,-1.3844301714994702
Gothic,Indo-European,goth1244,2.0,1.38,0.485386443980464,1.2773327473170102
Nuclear Woleaian,Austronesian,nucl1479,2.0,1.8598721100000002,0.14285921837686183,0.9808809791352996
Portuguese,Indo-European,port1283,2.0,2.4277640700000003,0.39031001773120694,-1.0959597513958421
Waurá,Arawakan,waur1244,2.66667,2.11317623,0.2625589856403453,2.1080739958303254
Yakan,Austronesian,yaka1277,1.0,1.0,0.0,
Biri,Pama-Nyungan,biri1256,0.8,2.2522934400000003,0.4180781937180727,-3.4737364010411445
Udmurt,Uralic,udmu1245,1.0,1.0,0.0,
Martu Wangka,Pama-Nyungan,mart1256,1.8962400000000001,2.30267742,0.3136635142380184,-1.2957752545346466
Awetí,Tupian,awet1244,2.6016,2.52343864,0.03981213485044984,1.963254678343796
Ratagnon,Austronesian,rata1245,1.0,1.0,0.0,
Pilagá,,pila1245,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Sindhi,Indo-European,sind1272,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Tongva,Uto-Aztecan,tong1329,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Tanala,Austronesian,tana1285,1.9518399999999998,2.19234029,0.43654749030639944,-0.5509143800854301
Suku,Atlantic-Congo,suku1259,1.8,2.37899355,0.2087137256504649,-2.7741038505998725
Kodi-Gaura,Austronesian,kodi1247,2.0,2.0,0.0,
Talaandig-Binukid,Austronesian,binu1244,2.0,1.7497745599999999,0.40204119098720026,0.6223875702526375
Irish,Indo-European,iris1253,2.0,2.4364913899999996,0.13530582416055817,-3.2259615778404713
Sonsorol,Austronesian,sons1242,1.0,1.0,0.0,
Paiwan,Austronesian,paiw1248,1.0,1.0,0.0,
Serbian Standard,Indo-European,serb1264,2.33333,2.3710688,0.40311200591269924,-0.09361864555374481
Forest Enets,Uralic,fore1265,2.0,2.0,0.0,
