language,language_family,code,true_value,simulated_mean,simulated_sd,z
Uab Meto,Austronesian,uabm1237,1.10196,1.2353911199999998,0.5674716084199681,-0.23513267980316568
Rotokas,,roto1249,2.0,1.7125,0.38091173518283733,0.7547680300844507
Central Tagbanwa,Austronesian,cent2090,1.0,1.0,0.0,
Dakaka,Austronesian,daka1243,1.6666699999999999,1.3886686099999999,0.4169278707241431,0.6667853351160046
Achuar,Chicham,achu1249,2.0,1.812,0.39071217027371946,0.48117262348980233
Fe'fe',Atlantic-Congo,fefe1239,1.35184,1.6925431100000004,0.3283859806389851,-1.0375080852631047
Hausa,Afro-Asiatic,haus1257,2.33334,2.2554013800000003,0.2022902982352233,0.38528105737118823
Mahasu Pahari,Indo-European,maha1287,2.0,2.0,0.0,
Tadyawan,Austronesian,tady1237,1.0,1.0,0.0,
Paraguayan Guaraní,Tupian,para1311,2.33333,2.40615092,0.4072003302530017,-0.17883315554964005
Dondo,Austronesian,dond1249,1.0,1.0,0.0,
Maybrat-Karon,Maybrat-Karon,maib1239,2.0,1.738,0.3589651793698102,0.7298758070628474
Gurindji,Pama-Nyungan,guri1247,1.5,1.98047194,0.2857206975674609,-1.6816140520816023
Ha,Atlantic-Congo,haaa1252,1.7999999999999998,2.1500524999999997,0.36803496823854936,-0.951139240043914
Warumungu,Pama-Nyungan,waru1265,1.0,1.0,0.0,
Yabem,Austronesian,yabe1254,2.0,1.7145,0.37581877281477044,0.7596746640985769
Southern Paiute,Uto-Aztecan,sout2969,1.5,1.5,0.0,
Giryama,Atlantic-Congo,giry1241,1.0471300000000001,1.9856200300000002,0.31257194576337,-3.002476846436104
Tooro,Atlantic-Congo,toor1238,2.0,1.9212552799999998,0.26414646917254386,0.29811006085628633
Tucano,,tuca1252,1.75,1.6811418999999999,0.2687531457944074,0.25621318699903023
Comanche,Uto-Aztecan,coma1245,2.87592,2.2456153199999997,0.4040468203395463,1.559979309997576
Cupeño,Uto-Aztecan,cupe1243,1.0,1.71399822,0.45213800214495536,-1.5791599392503446
Sinhala,Indo-European,sinh1246,2.0,1.366,0.9306148505155074,0.681270022339317
Movima,,movi1243,2.0,2.0,0.0,
Tonga (Nyasa),Atlantic-Congo,tong1321,1.81128,1.4530739600000002,0.25767209396812535,1.3901623357177
Ngarluma,Pama-Nyungan,ngar1287,2.0,2.0,0.0,
Tundra Nenets,Uralic,nene1249,1.8449,1.7408764599999997,0.2894111743894288,0.35943166403114485
Qawasqar,,qawa1238,1.0,1.78702502,0.18183884226149155,-4.328145792240727
Yombe,Atlantic-Congo,yomb1244,1.4,1.94638976,0.346164589935976,-1.5784103166099577
Shi,Atlantic-Congo,shii1238,1.6666699999999999,1.4823453600000003,0.4340928072816578,0.4246203505519085
Kapingamarangi,Austronesian,kapi1249,1.0,1.0,0.0,
Western Farsi,Indo-European,west2369,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Kinshasa Lingala,Atlantic-Congo,ling1263,2.6016,2.5237339600000004,0.04002515199619363,1.9454277152377721
Chenchu,Dravidian,chen1255,0.66667,0.66667,0.0,
Sunwadia,Austronesian,mari1426,1.0,1.7245,0.36379905167550947,-1.9914840257643598
Tiv,Atlantic-Congo,tivv1240,1.5,1.7839938000000002,0.33860910786947246,-0.8387069142554622
Marathi,Indo-European,mara1378,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Ulawa,Austronesian,ulaw1237,1.0,2.15320283,0.5563278984207884,-2.0728833360209356
Yele,Yele,yele1255,1.25,1.538,0.334,-0.8622754491017964
Budza,Atlantic-Congo,budz1238,1.0,1.0,0.0,
Mangareva,Austronesian,mang1401,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Vlax Romani,Indo-European,vlax1238,2.0,2.0,0.0,
Vaeakau-Taumako,Austronesian,pile1238,2.5,1.9438113600000002,0.4623819599376153,1.2028770328216112
Avestan,Indo-European,aves1237,2.0,1.377,0.4846349141364044,1.285503751024945
Afrikaans,Indo-European,afri1274,2.0,2.40930063,0.39082475481563744,-1.0472740658228732
Lithuanian,Indo-European,lith1251,2.06291,2.36931464,0.36819902265306254,-0.832171247474253
Yami,Austronesian,yami1254,2.0,1.7866422400000002,0.32117867174235337,0.6642961652545644
Barok,Austronesian,baro1253,1.0,0.703,0.45693653826324726,0.6499808510145765
Old Prussian,Indo-European,prus1238,2.0,2.0,0.0,
Kunzakh,Nakh-Daghestanian,kunz1243,1.6666599999999998,2.2822993400000002,0.16408555725829257,-3.7519410622526754
Gumatj,Pama-Nyungan,guma1253,1.63944,2.20824159,0.35869395773412727,-1.5857573782204877
Bera,Atlantic-Congo,bera1259,1.8,2.3829189299999998,0.20388372328745408,-2.8590753621766405
Tenharim-Parintintin-Diahoi,Tupian,tenh1241,2.33334,2.50045499,0.40858499469265863,-0.4090091221428858
Javanese,Austronesian,java1254,1.0,1.0,0.0,
Ende (Papua New Guinea),,ende1235,1.5,1.5,0.0,
Bafia,Atlantic-Congo,bafi1243,1.0,1.0,0.0,
Samoan,Austronesian,samo1305,3.32193,2.4756923100000003,0.5293816635611437,1.5985398593282767
Bario,Austronesian,bari1288,-0.0,0.0,0.0,
Taje,Austronesian,taje1237,1.0,1.0,0.0,
Mono (USA),Uto-Aztecan,mono1275,2.0,2.0,0.0,
Judeo-Tat,Indo-European,jude1256,2.0,2.4414697999999997,0.1313333645573736,-3.361444378493338
Macedonian,Indo-European,mace1250,2.33333,2.3923507099999997,0.410011926426776,-0.1439487639161151
Myene,Atlantic-Congo,myen1241,2.7910399999999997,2.3184261999999998,0.3343264761513212,1.4136295917709127
Mbyá Guaraní,Tupian,mbya1239,2.58208,2.58208,0.0,
Takuu,Austronesian,taku1257,1.5,1.5,0.0,
Northern Kankanay,Austronesian,nort2877,1.0,1.0,0.0,
Tikopia,Austronesian,tiko1237,2.9183,2.4496420000000003,0.3444347375558975,1.3606583451065013
Ngarinman,Pama-Nyungan,ngar1235,1.5,1.98247199,0.283833857515519,-1.6998394561636125
Cinta Larga,Tupian,cint1239,1.6363599999999998,2.26702643,0.33986572007537785,-1.8556341306211361
Western Mari,Uralic,west2392,2.0,2.0,0.0,
Sakata,Atlantic-Congo,saka1287,1.0,1.0,0.0,
Malayalam,Dravidian,mala1464,2.0,2.0,0.0,
Bila,Atlantic-Congo,bila1255,1.3333300000000001,2.35904031,0.3866895395611367,-2.6525421690074764
Lengua,,leng1262,2.0,2.0,0.0,
Saaroa,Austronesian,saar1237,1.0,1.0,0.0,
Warlmanpa,Pama-Nyungan,warl1255,1.0,2.145267,0.5519809826870851,-2.074830539314514
German,Indo-European,stan1295,2.0,2.4196630699999995,0.38440772629810016,-1.0917134107615711
Grass Koiari,Koiarian,gras1249,2.0,2.0,0.0,
Norwegian Bokmål,Indo-European,norw1259,2.0,2.43020769,0.3835828308245351,-1.1215509543929323
Anuta,Austronesian,anut1237,3.0,2.176,0.5225169853698537,1.5769822284662136
Mbala,Atlantic-Congo,mbal1257,2.0,2.1047126499999997,0.14836176163377646,-0.7057927113219217
Niuean,Austronesian,niue1239,2.0,1.9012250899999998,0.12348934566832839,0.7998658464455141
Mota,Austronesian,mota1237,0.5,1.169,0.47057305490221174,-1.4216708607317576
Itbayat,Austronesian,ivat1242,1.0,1.0,0.0,
Nguna,Austronesian,ngun1274,1.0,1.0,0.0,
Uma Juman,Austronesian,umaj1240,1.0,1.0,0.0,
Ngadjunmaya,Pama-Nyungan,ngad1258,2.0,2.0,0.0,
Umpila,Pama-Nyungan,umpi1239,1.0,1.0,0.0,
Elamite,,elam1244,2.0,1.374,0.4838636171484688,1.2937529870279911
Sanapaná,,sana1298,2.0,2.0,0.0,
Umbundu,Atlantic-Congo,umbu1257,1.5,1.98587009,0.28108705265787665,-1.7285395588510926
Koya,Dravidian,koya1251,2.0,1.91816898,0.27126415542485455,0.30166543704175053
Tolowa-Chetco,,tolo1259,2.0,1.87,0.33630343441600474,0.38655567174253386
Pampanga,Austronesian,pamp1243,1.0,1.0,0.0,
Kunza,,kunz1244,2.0,2.0,0.0,
Rotuman,Austronesian,rotu1241,2.45915,2.3578427299999998,0.3027115025109668,0.3346660736696987
Indonesian,Austronesian,indo1316,1.0,1.0,0.0,
Northern Tosk Albanian,Indo-European,tosk1239,2.0,2.4270806599999997,0.14367390493810764,-2.9725694459545666
Maquiritari,Cariban,maqu1238,2.35098,2.02056623,0.13866741685229123,2.382778719761955
Eastern Armenian,Indo-European,nucl1235,2.0,2.44094099,0.13068891897219095,-3.3739738109994395
Sateré-Mawé,Tupian,sate1243,2.0,1.9327493299999996,0.4333585652930505,0.15518481780675875
Gujarati,Indo-European,guja1252,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Mbuun,Atlantic-Congo,mpuo1241,2.0,2.4356920399999997,0.13650743647229768,-3.1917091937215996
Bukat,Austronesian,buka1261,1.0,1.0,0.0,
Bilibil,Austronesian,bilb1241,1.5,1.925,0.4437059837324713,-0.9578414886923188
Southwestern Alaya-Athima,Pama-Nyungan,kunj1248,-0.0,0.0,0.0,
Kuot,,kuot1243,1.33334,0.9013378400000001,0.62400312,0.6923076923076922
"!Kung, Southeastern Ju, or Ju'hoan",Kxa,juho1239,2.0,2.0,0.0,
Bontok,Austronesian,bont1247,1.0,1.0,0.0,
Bihari,Indo-European,biha1245,1.0,1.0,0.0,
Djambarrpuyngu,Pama-Nyungan,djam1256,0.33333,1.4937128200000003,0.42725790755800835,-2.7158837776278166
Yalarnnga,Pama-Nyungan,yala1262,1.0,1.0,0.0,
Gogo,Atlantic-Congo,gogo1263,1.25,2.12643894,0.45933495015693765,-1.9080606422405988
Kazakh,Turkic,kaza1248,1.0,1.0,0.0,
Mafea,Austronesian,mafe1237,1.71428,1.4834251399999998,0.3572134458280936,0.64626587463647
Wapishana,Arawakan,wapi1253,2.0,2.43801671,0.13325688887436885,-3.28700987768783
Nganasan,Uralic,ngan1291,1.43872,1.5112755199999999,0.06023372019666061,-1.20456647477707
Selkup,Uralic,selk1253,2.0,2.0,0.0,
Wulguru,Pama-Nyungan,wulg1239,1.6666599999999998,2.2701459,0.1701000448183069,-3.547829165151699
Gupapuyngu,Pama-Nyungan,gupa1247,1.3413499999999998,2.11708622,0.33869972677655286,-2.290336125696875
Mattole-Bear River,,matt1238,1.0,1.0,0.0,
Kei,Austronesian,keii1239,1.0,1.0,0.0,
Hewa,Sepik,hewa1241,1.5,1.9515,0.43577258977590594,-1.0360908661836252
Yámana,,yama1264,1.3333300000000001,2.11612724,0.1030316573426944,-7.597638048239211
Dhuwal,Pama-Nyungan,dhuw1249,2.0,2.4413422700000003,0.13060439830245799,-3.3792297635943718
Paakantyi,Pama-Nyungan,darl1243,1.5,1.9964838999999999,0.27851589498445156,-1.7826052621797999
Mapudungun,,mapu1245,1.66667,2.58498233,0.2614766464334264,-3.512024276454104
Thao,Austronesian,thao1240,-0.0,0.0,0.0,
Kulisusu,Austronesian,kuli1254,-0.0,0.0,0.0,
Kikuyu,Atlantic-Congo,kiku1240,0.66666,2.26968678,0.34794220799758047,-4.607163900078334
Kumaoni,Indo-European,kuma1273,2.0,1.28511272,0.674368748840426,1.060083643005767
Gunya,Pama-Nyungan,guny1241,2.0,2.0,0.0,
Djinang,Pama-Nyungan,djin1253,1.75,2.0547379599999998,0.279822834280261,-1.0890389298779835
Fang (Equatorial Guinea),Atlantic-Congo,fang1246,2.9183,2.4454903100000003,0.3376658950853697,1.4002293298837967
Pashto,Indo-European,pash1269,2.16666,2.0074529999999995,0.2729825425795575,0.5832131186689395
Skolt Saami,Uralic,skol1241,2.0,1.96302736,0.4884392532846131,0.07569547236707441
Kariyarra,Pama-Nyungan,kari1304,2.0,1.748,0.3521306575690336,0.7156434538807418
Northern Mansi,Uralic,mans1258,2.0,2.43732413,0.13308922325734376,-3.285946970735429
Maranao,Austronesian,mara1404,1.0,1.0,0.0,
Komba,Nuclear Trans New Guinea,komb1273,1.0,2.143,0.5590626083007162,-2.044493734743189
Arosi,Austronesian,aros1241,-0.0,0.0,0.0,
Negerhollands,Indo-European,nege1244,2.0,1.367,0.4819865143341668,1.3133147529541331
Tagalog,Austronesian,taga1270,1.0,1.0,0.0,
Western Apache,,west2615,2.06327,2.26130651,0.3430735223862662,-0.5772421859388802
Palauan,Austronesian,pala1344,1.0,1.23234928,0.333260942748894,-0.6971992519839653
Munggava,Austronesian,mung1271,1.0,1.20321688,0.5299611205330685,-0.3834562048544082
Nogai,Turkic,noga1249,1.6666599999999998,2.26307884,0.1836140017369438,-3.248220911030874
Aguaruna,,agua1253,2.33333,2.0917317299999993,0.3206323934955842,0.7535054938337916
Waiwai,Cariban,waiw1244,2.29357,2.11096396,0.13957510299662473,1.308299518177077
Cebuano,Austronesian,cebu1242,1.0,1.0,0.0,
Cocama-Cocamilla,Tupian,coca1259,2.45915,2.42493502,0.4185199368128113,0.08175233003369047
Bukusu,Atlantic-Congo,buku1249,3.12581,2.42632031,0.33799568374996136,2.0695225520023524
Talise,Austronesian,tali1259,2.5,1.93812264,0.4678793089020184,1.2009023466298792
Romanian,Indo-European,roma1327,2.0,2.4292504200000002,0.39857338561627964,-1.0769670918601033
Dhuwal-Dhuwala,Pama-Nyungan,dhuw1248,0.33333,1.37066852,0.4210399762756615,-2.4637530364120064
Madurese,Austronesian,nucl1460,-0.0,0.0,0.0,
Wangkajunga,Pama-Nyungan,wang1288,1.5,1.5,0.0,
Northern Pomo,,nort2966,1.0,1.0,0.0,
Nyangumarta,Pama-Nyungan,nyan1301,1.0,2.1771936199999997,0.531722162444538,-2.2139261876690886
Wanman,Pama-Nyungan,wanm1242,1.45915,1.5753100799999997,0.12641870837179756,-0.9188519760728203
Andi,Nakh-Daghestanian,andi1255,2.0,2.4283624099999996,0.14060496187792196,-3.0465668087298265
Jicarilla Apache,,jica1244,2.33334,2.2637538100000003,0.33537928328473704,0.20748505786781468
Kuku-Yalanji,Pama-Nyungan,kuku1273,0.66667,2.49623553,0.4256284400477946,-4.298503948172624
Panamint,Uto-Aztecan,pana1305,3.0,2.143,0.5353045861936923,1.6009577016586722
Yaka (Central African Republic),Atlantic-Congo,yaka1272,2.55184,1.8619031900000003,0.29007300763691185,2.3784936613736996
Maskelynes,Austronesian,mask1242,-0.0,0.0,0.0,
Iraya,Austronesian,iray1237,1.0,1.0,0.0,
Assamese,Indo-European,assa1263,1.5,1.4831867999999997,0.3157579892350469,0.05324710877698407
Ili'uun,Austronesian,iliu1237,1.0,2.146,0.535428800121921,-2.1403406012882527
Southwest Tanna,Austronesian,sout2869,1.5,1.2257169600000002,0.3384739122549305,0.8103520834817436
Torres Strait Creole,Indo-European,torr1261,3.0,2.147,0.5285744980605855,1.613774412367183
Marind,,nucl1622,1.4398,1.8573960399999998,0.18428392130926238,-2.2660470703746136
Ekonda Mongo,Atlantic-Congo,ekon1238,2.24644,2.2464400000000007,4.440892098500626e-16,-1.0
Meta',Atlantic-Congo,meta1238,2.0,2.0,0.0,
Toda,Dravidian,toda1252,1.8,2.3796477800000004,0.20792166373533963,-2.787818111814579
Trinitario,Arawakan,trin1274,1.0,1.0,0.0,
Moselle Franconian,Indo-European,luxe1241,1.3333300000000001,2.10391818,0.1354476026568488,-5.689197629818926
Makonde,Atlantic-Congo,mako1251,1.93494,2.0211053000000003,0.04442510941922372,-1.9395630337539382
Urdu,Indo-European,urdu1245,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Ninam,,nina1238,2.0,2.0,0.0,
Atayal,Austronesian,atay1247,1.0,1.0,0.0,
Bulgarian,Indo-European,bulg1262,2.66667,2.3567581200000003,0.384266599148385,0.8065022582936664
Dadibi,Teberan,dadi1250,1.5,1.945,0.43985793160974146,-1.011690293662411
Telugu,Dravidian,telu1262,2.33333,2.0994277899999996,0.3209987420517656,0.7286701764154593
Wangkumara,Pama-Nyungan,wong1246,1.0,1.0,0.0,
Central Cagayan Agta,Austronesian,cent2084,1.0,1.0,0.0,
Umbu-Ungu,Nuclear Trans New Guinea,umbu1258,1.5,1.9235,0.4164105546212775,-1.0170251337293077
Páez,,paez1247,2.58208,2.58208,0.0,
Kaurna,Pama-Nyungan,kaur1267,1.6,2.23550083,0.4268076118885546,-1.4889632056654554
Ancux,Nakh-Daghestanian,ancu1238,2.0,2.4344027,0.13533894870845567,-3.2097389860459264
Alangan,Austronesian,alan1249,1.0,1.0,0.0,
Sie,Austronesian,siee1239,1.0,1.0,0.0,
Chibcha,,chib1270,2.0,2.0,0.0,
Langi,Atlantic-Congo,lang1320,1.97012,2.3230124300000004,0.193565341872958,-1.8231178504652592
Northern Kurdish,Indo-European,nort2641,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Nhanda,Pama-Nyungan,nhan1238,0.75,1.93650431,0.431617443153221,-2.7489721020816105
Woiwurrung-Thagungwurrung,Pama-Nyungan,woiw1237,2.0,2.0,0.0,
Western Bukidnon Manobo,Austronesian,west2555,2.0,1.7962647999999999,0.29548553631093355,0.6894929699219309
Western Pantar,,lamm1241,1.5,1.9465,0.4351870287589005,-1.0259956535776413
Fijian,Austronesian,fiji1243,1.5,1.9385,0.42716243982822266,-1.0265415661927966
Nehan,Austronesian,neha1247,0.81128,0.39752719999999997,0.40555886388557705,1.020204061220407
Cimbala-Cizali,Atlantic-Congo,sans1272,0.93872,1.7733962699999997,0.3223454187215743,-2.5893846213491587
Aklanon,Austronesian,akla1241,2.0,1.76275504,0.3702761221804593,0.6407244372197872
Pohnpeian,Austronesian,pohn1238,-0.0,1.324,0.946057080730333,-1.3994927229738658
Estonian,Uralic,esto1258,2.0,1.901,0.298662016332844,0.33147837550815096
Kukatja,Pama-Nyungan,kuka1246,2.66667,2.0962137199999997,0.2582634681819354,2.208815222748184
Southern Cook Island Maori,Austronesian,raro1241,1.0,0.88086776,0.18286559470108749,0.6514743256911385
Gela,Austronesian,gela1263,-0.0,0.0,0.0,
Rejang,Austronesian,reja1240,-0.0,0.0,0.0,
Russian,Indo-European,russ1263,2.0,2.41260054,0.3810681625293675,-1.082747341738901
French,Indo-European,stan1290,2.0,2.41201124,0.395329057097075,-1.0421982209590746
Kashmiri,Indo-European,kash1277,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Yindjibarndi,Pama-Nyungan,yind1247,2.0,1.8784317999999998,0.40609353236509443,0.2993600988717681
Rennell-Bellona,Austronesian,renn1242,1.94554,2.1591934900000003,0.3971013367143454,-0.5380326638227656
Fipa,Atlantic-Congo,fipa1238,1.6,2.1726947,0.3577375228344239,-1.600879593122993
Kartujarra,Pama-Nyungan,kart1247,1.68872,1.82903652,0.3494092315779444,-0.4015821773406664
Bagvalal,Nakh-Daghestanian,bagv1239,2.0,2.4377971099999995,0.13515669639624925,-3.239181791751377
Netsilik,Eskimo-Aleut,nets1241,3.1492500000000003,2.425041200000001,0.4184064129818759,1.7308740438243952
Central Kurdish,Indo-European,cent1972,0.66666,2.26034141,0.3479212549565086,-4.580580770206798
Paliyan,Dravidian,pali1274,2.0,1.356,0.9344859549506348,0.6891489343293767
Northern Haida,,nort2938,2.0,2.0,0.0,
Takia,Austronesian,taki1248,3.0,2.168,0.5383084617577546,1.5455822434654762
Danish,Indo-European,dani1285,2.0,2.43844379,0.12752152666328886,-3.4381943305750906
Avava,Austronesian,katb1237,0.5,1.154,0.4756931784249171,-1.3748357757945577
Mortlockese,Austronesian,mort1237,2.0,1.7855880000000002,0.35010484077773046,0.6124222662094599
Bit,Austroasiatic,bitt1240,2.25423,2.2542300000000006,4.440892098500626e-16,-1.0
Dutch,Indo-European,dutc1256,2.0,2.40399082,0.4022969245412244,-1.0042105602987332
Kui (India),Dravidian,kuii1252,1.8,1.7330356800000002,0.2607157771131959,0.2568479772933946
South Tuvaluan,Austronesian,sout2865,1.68872,1.8666553000000001,0.4142791114288892,-0.42950584543421433
Amharic,Afro-Asiatic,amha1245,0.66666,2.4142822500000003,0.38917219215462645,-4.490614399565405
Suruí,Tupian,suru1262,2.0,2.0,0.0,
Cocopa,,coco1261,1.0,1.0,0.0,
North Azerbaijani,Turkic,nort2697,2.0,2.4291134,0.13891850517638027,-3.0889577990719714
Ahin-Kayapa Kalanguya,Austronesian,ahin1234,1.0,1.0,0.0,
Dari,Indo-European,dari1249,1.3333300000000001,1.33333,2.220446049250313e-16,1.0
Nyulnyul,,nyul1247,1.0,1.0,0.0,
Mungaka,Atlantic-Congo,mung1266,1.0,1.0,0.0,
Serbian-Croatian-Bosnian,Indo-European,sout1528,1.7924799999999999,2.14060704,0.33671528564862985,-1.0338914057001816
Andalal-Gxdatl,Nakh-Daghestanian,anda1281,2.0,2.43777803,0.13046501782784184,-3.3555204091389483
Swedish,Indo-European,swed1254,2.0,2.43480398,0.13527673015474462,-3.2141816223871067
Classical Nahuatl,Uto-Aztecan,clas1250,2.0,2.0,0.0,
Albanian,Indo-European,alba1267,2.66667,2.36274068,0.38620095644254643,0.7869719505607032
Ukrainian,Indo-European,ukra1253,2.1265400000000003,1.96998515,0.29936286262924716,0.5229601582006824
Slovenian,Indo-European,slov1268,2.0,2.40969564,0.39466336380666295,-1.03808885640751
Barí,,bari1297,2.0,2.4317938399999997,0.13501333911304614,-3.198156884620566
Breton,Indo-European,bret1244,2.0,2.3965091000000003,0.39427736206329417,-1.0056603248155744
Digo,Atlantic-Congo,digo1243,1.3333300000000001,2.3541499700000004,0.3907832664568675,-2.612240742177922
Boano (Sulawesi),Austronesian,boan1243,-0.0,0.0,0.0,
South Slavey,,sout2959,1.5,1.5,0.0,
Bayungu,Pama-Nyungan,bayu1240,1.0,1.7367327200000005,0.38213320781921273,-1.927947388305883
Wirangu,Pama-Nyungan,wira1265,1.7999999999999998,2.21684547,0.43448785089986014,-0.9593949960549618
Nsong,Atlantic-Congo,song1299,1.4,2.0937328299999995,0.26960757616597325,-2.573120681048408
Dampelas,Austronesian,damp1237,1.0,1.0,0.0,
Eastern Yiddish,Indo-European,east2295,2.0,2.43346976,0.13494126487602814,-3.2122846958506934
Roviana,Austronesian,rovi1238,1.0,1.0,0.0,
Tomini,Austronesian,tomi1243,1.0,1.0,0.0,
Pitta Pitta,Pama-Nyungan,pitt1247,2.0,2.4908545600000007,0.35667450594793904,-1.3761974904694951
Tocantins Asurini,Tupian,toca1235,0.9727600000000001,1.8756204100000002,0.3110061083087146,-2.903031117008776
Murriny Patha,,murr1258,1.5,1.9385,0.41468994441630724,-1.057416525055138
Balochic,Indo-European,balo1260,1.0576,2.0376700000000003,0.3299144976950845,-2.970678787525749
Cornish,Indo-European,corn1251,1.6,1.6000000000000003,2.220446049250313e-16,-1.0
Northwest Maidu,,nort2951,1.4285700000000001,1.2542838500000002,0.2980077302800676,0.5848376813453994
Puyuma,Austronesian,puyu1239,1.0,1.0,0.0,
Sosva Mansi,Uralic,nort2677,1.0,1.62835134,0.39183199404694397,-1.6036243837830138
Savosavo,Savosavo,savo1255,2.5,1.95825496,0.43850144308109,1.235446424516823
Phende,Atlantic-Congo,phen1239,1.6666599999999998,2.26996684,0.17829328099851213,-3.3837889830802697
Touo,Touo,touo1238,1.25,1.5225,0.33465467275984656,-0.8142722100747425
Njebi,Atlantic-Congo,njeb1242,0.66667,0.66667,0.0,
Yanyuwa,Pama-Nyungan,yany1243,1.0,1.0,0.0,
Hunza,Isolate,hunz1248,2.0,1.57,0.49507575177946245,0.8685539504902852
Wambayan,,wamb1258,1.0,1.137,0.4870636508712182,-0.2812774054375563
Hawaiian,Austronesian,hawa1245,2.9183,2.4275659000000003,0.4281811690588343,1.1460898691053139
Ampibabo,Austronesian,ampi1237,1.0,1.0,0.0,
Tonga (Tonga Islands),Austronesian,tong1325,2.9183,2.4774996500000004,0.3212853473860542,1.3719902061712665
Latin,Indo-European,lati1261,2.66667,2.33826132,0.3876740989592387,0.8471256678783945
Southeastern Tepehuan,Uto-Aztecan,sout2976,2.58208,2.58208,0.0,
Tahitian,Austronesian,tahi1242,1.0,1.0,0.0,
Southern-Coastal Tsimshian,,nucl1649,2.0,1.373,0.483602109176542,1.2965203999371095
Pukapuka,Austronesian,puka1242,2.0,1.78652944,0.3261829060200525,0.654450481800774
Kiai,Austronesian,fort1240,-0.0,0.0,0.0,
Yamdena,Austronesian,yamd1240,2.0,1.73,0.4439594576084622,0.6081636405595374
Avar,Nakh-Daghestanian,avar1256,2.0,2.43516749,0.13278260109893872,-3.277293006752811
Tajik,Indo-European,taji1245,2.0,2.0,0.0,
Māngarongaro,Austronesian,penr1237,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Wangganguru,Pama-Nyungan,wang1290,1.5,2.055039,0.5421155418165023,-1.0238389368808611
Hid,Nakh-Daghestanian,hidd1238,2.0,2.43877724,0.13377062720486282,-3.280071635816098
Hoti,,yuwa1244,2.0,2.0,0.0,
Godoberi,Nakh-Daghestanian,ghod1238,2.0,2.43918743,0.13438446767203077,-3.2681413083530595
Ems-Weser Frisian,Indo-European,sate1242,2.0,2.45613163,0.36785491216734223,-1.2399769988459453
Central Melanau,Austronesian,cent2101,1.0,1.0,0.0,
Zigula,Atlantic-Congo,zigu1242,0.5,1.2935965999999999,0.5607367217763074,-1.4152748860214408
Kiowa Apache,,kiow1264,2.0,2.0,0.0,
