language,family,code,true_value,simulated_mean,sd,z
Pawnee,,pawn1254,0.9161616161616162,0.9286635101010101,0.010478698657656804,-1.1930769600153337
Hawaiian,Austronesian,hawa1245,0.9349537037037038,0.9233142255892257,0.010246996391139315,1.135891696472427
Chenchu,Dravidian,chen1255,0.9023809523809524,0.9109911309523809,0.016745923286235222,-0.5141656523952857
Kodeoha,Austronesian,kode1237,1.0,0.983703125,0.011515434191092189,1.4152201931392654
Tuscarora,,tusc1257,0.9154761904761906,0.919082142857143,0.010410017197386687,-0.34639254792563035
Elamite,,elam1244,0.94375,0.9054,0.01904342579401674,2.013818333676559
Murriny Patha,,murr1258,0.9125,0.9331090277777778,0.01311799252602351,-1.5710504284015712
Daakie,Austronesian,port1286,0.90189594356261,0.924847442680776,0.014430005698739628,-1.5905398512885296
Paluai,Austronesian,balu1257,0.9604166666666667,0.9448003472222222,0.01497659397094301,1.0427150174961468
Japanese,,nucl1643,0.9569444444444445,0.9395875000000001,0.013877564202497658,1.250719808690958
Mattole-Bear River,,matt1238,0.861111111111111,0.9131770833333333,0.04787978842035794,-1.0874311257416571
Komi-Zyrian,Uralic,komi1268,0.9276620370370372,0.9246923611111111,0.010620129332118724,0.27962709615454995
Sake,Atlantic-Congo,sake1247,0.90625,0.905796875,0.019740497862500202,0.022954081662794716
Tenetehara,Tupian,temb1276,0.8937499999999999,0.9046236111111111,0.012130396772107888,-0.8963936889610646
Hopi,Uto-Aztecan,hopi1249,0.9569444444444445,0.9485347222222221,0.016013110405574273,0.525177308419411
Wirangu,Pama-Nyungan,wira1265,0.9321428571428573,0.932850505952381,0.014399766673455678,-0.049143074715796965
Tetela,Atlantic-Congo,tete1250,0.9172619047619045,0.9115046356421356,0.009082429390691251,0.633890875680207
Malua Bay,Austronesian,malu1245,0.9085531655844156,0.9433579748376624,0.015933483531094344,-2.1843816630132946
Miani,Nuclear Trans New Guinea,mian1254,0.9331845238095238,0.9295848214285716,0.01383155818242568,0.2602528459538249
Aklanon,Austronesian,akla1241,0.9161044973544973,0.9361520502645502,0.013982686443968103,-1.4337411476963404
Letemboi-Repanbitip,Austronesian,lete1241,0.9071969696969697,0.920371212121212,0.010474026644981368,-1.2578011180212814
Lakota,,lako1247,0.8678170787545788,0.8914155792124542,0.014932017052196192,-1.5803960292427148
Odia,Indo-European,oriy1255,0.916087219827629,0.9169475594950659,0.00804656114753194,-0.10692016771671613
Ifugaw,Austronesian,ifug1247,0.8958333333333334,0.8851041666666667,0.018701035603380066,0.5737204556055423
Roviana,Austronesian,rovi1238,0.9145171957671957,0.9097621770930594,0.008792542792193946,0.540801311579379
Western Panjabi,Indo-European,west2386,0.9496001683501684,0.9352202861952862,0.012368643585523925,1.1626078523042067
Ende (Papua New Guinea),,ende1235,0.9451554232804232,0.9378663359788358,0.013165838127719116,0.5536364058920854
Kannada,Dravidian,nucl1305,0.9156364468864469,0.918438553113553,0.01568283509290572,-0.17867344842347752
Eipomek,Nuclear Trans New Guinea,eipo1242,0.9423710317460319,0.9405537896825397,0.012720498937932987,0.14285933848656884
Polci,Afro-Asiatic,polc1243,0.9510416666666667,0.9359916666666667,0.015815704138476848,0.9515858331837395
Larevat,Austronesian,lare1249,0.9503968253968254,0.9244022321428571,0.01625389487378646,1.5992839535274181
