language,language_family,code,simulation,predictive_structure
Bario,Austronesian,bari1288,N,1.25019
Jingulu,,djin1251,N,3.0
Taje,Austronesian,taje1237,N,1.3333300000000001
Mono (USA),Uto-Aztecan,mono1275,N,2.9487699999999997
Satawalese,Austronesian,sata1237,N,2.0
Torete,Austronesian,tore1237,N,2.0
Judeo-Tat,Indo-European,jude1256,N,2.33334
Yalic,Nuclear Trans New Guinea,yali1257,N,2.0
Macedonian,Indo-European,mace1250,N,2.66666
Loniu,Austronesian,loni1238,N,2.0
Myene,Atlantic-Congo,myen1241,N,2.46387
Mbyá Guaraní,Tupian,mbya1239,N,2.68873
Solu-Khumbu Sherpa,Sino-Tibetan,sher1255,N,2.0
Takuu,Austronesian,taku1257,N,1.67549
Mangaia,Austronesian,mang1402,N,3.0
Northern Kankanay,Austronesian,nort2877,N,3.0
Minangkabau,Austronesian,mina1268,N,2.25019
Tikopia,Austronesian,tiko1237,N,2.9183
Ngarinman,Pama-Nyungan,ngar1235,N,1.75
Cinta Larga,Tupian,cint1239,N,2.6
Western Mari,Uralic,west2392,N,3.0
Gayo,Austronesian,gayo1244,N,2.5
Ute-Southern Paiute,Uto-Aztecan,utes1238,N,3.75
Sakata,Atlantic-Congo,saka1287,N,1.18872
Malayalam,Dravidian,mala1464,N,3.0
Bila,Atlantic-Congo,bila1255,N,2.0
Wogeo,Austronesian,woge1237,N,2.5
Oceanic,Austronesian,ocea1241,N,3.0
Lengua,,leng1262,N,2.52193
Kosraean,Austronesian,kosr1238,N,3.0
Nimboran,Nimboranic,nucl1633,N,2.9474
Saaroa,Austronesian,saar1237,N,1.6666699999999999
Mandan,,mand1446,N,2.90564
Vurës,Austronesian,vure1239,N,2.5
Warlmanpa,Pama-Nyungan,warl1255,N,1.75
German,Indo-European,stan1295,N,2.0
Korowai,Nuclear Trans New Guinea,koro1312,N,3.0
Grass Koiari,Koiarian,gras1249,N,2.2912
Norwegian Bokmål,Indo-European,norw1259,N,2.0
Yerukula,Dravidian,yeru1240,N,2.58641
Anuta,Austronesian,anut1237,N,3.33333
Mala,,mala1494,N,3.5
Mbala,Atlantic-Congo,mbal1257,N,2.33333
Southern Tepehuan,Uto-Aztecan,sout2975,N,2.0
Niuean,Austronesian,niue1239,N,2.6272599999999997
Mota,Austronesian,mota1237,N,1.5
Tuscarora,,tusc1257,N,2.5
Itbayat,Austronesian,ivat1242,N,1.3333300000000001
Kuuku-Ya'u,Pama-Nyungan,kuuk1238,N,2.10784
Nguna,Austronesian,ngun1274,N,1.55098
Uma Juman,Austronesian,umaj1240,N,2.58641
Riuk Bekati',Austronesian,beka1241,N,2.0
Ngadjunmaya,Pama-Nyungan,ngad1258,N,3.0
Umpila,Pama-Nyungan,umpi1239,N,1.87418
Hiw,Austronesian,hiww1237,N,2.0
Blood,Algic,bloo1239,N,3.0
Elamite,,elam1244,N,2.0
Kilmeri,Border,kilm1241,N,3.5
Sanapaná,,sana1298,N,1.8
Umbundu,Atlantic-Congo,umbu1257,N,2.0
Binongan Itneg,Austronesian,bino1237,N,1.0
Bindal-Mount Elliot,Pama-Nyungan,bind1236,N,2.0
Kansa,,kans1243,N,3.75
Paluai,Austronesian,balu1257,N,2.33333
Koya,Dravidian,koya1251,N,2.34175
Iau,Lakes Plain,iauu1242,N,3.45915
Tolowa-Chetco,,tolo1259,N,3.0
Pampanga,Austronesian,pamp1243,N,1.3333300000000001
Kunza,,kunz1244,N,1.9183
Rotuman,Austronesian,rotu1241,N,3.2931999999999997
Indonesian,Austronesian,indo1316,N,1.3333300000000001
Northern Tosk Albanian,Indo-European,tosk1239,N,2.16667
Nuclear Miami,Algic,nucl1653,N,2.5
Maquiritari,Cariban,maqu1238,N,2.55011
Eastern Armenian,Indo-European,nucl1235,N,2.33334
Dzongkha,Sino-Tibetan,dzon1239,N,3.0
Sateré-Mawé,Tupian,sate1243,N,2.25
Gujarati,Indo-European,guja1252,N,1.83333
Kayardild-Yangkaal,,kaya1318,N,3.25
Mbuun,Atlantic-Congo,mpuo1241,N,2.0
Bukat,Austronesian,buka1261,N,1.0
Bilibil,Austronesian,bilb1241,N,1.6666699999999999
Southwestern Alaya-Athima,Pama-Nyungan,kunj1248,N,2.8
Kuot,,kuot1243,N,1.61371
"!Kung, Southeastern Ju, or Ju'hoan",Kxa,juho1239,N,2.5
Warrnambool,Pama-Nyungan,warr1257,N,3.0
Bontok,Austronesian,bont1247,N,1.79176
Bihari,Indo-European,biha1245,N,2.0
Djambarrpuyngu,Pama-Nyungan,djam1256,N,1.25
Yalarnnga,Pama-Nyungan,yala1262,N,1.5
Gogo,Atlantic-Congo,gogo1263,N,2.0677399999999997
Miami,Algic,miam1252,N,2.75
Kazakh,Turkic,kaza1248,N,2.9183
Mafea,Austronesian,mafe1237,N,2.0834
Wapishana,Arawakan,wapi1253,N,2.16667
Nganasan,Uralic,ngan1291,N,2.5
Selkup,Uralic,selk1253,N,3.0
Wulguru,Pama-Nyungan,wulg1239,N,1.83333
Asera,Austronesian,aser1237,N,2.0
Gupapuyngu,Pama-Nyungan,gupa1247,N,2.07317
Mattole-Bear River,,matt1238,N,1.0
Kei,Austronesian,keii1239,N,2.0
Hewa,Sepik,hewa1241,N,1.6666699999999999
Yámana,,yama1264,N,1.6666699999999999
Central Subanen,Austronesian,cent2089,N,1.0
Dhuwal,Pama-Nyungan,dhuw1249,N,2.1871
Paakantyi,Pama-Nyungan,darl1243,N,2.25
Mapudungun,,mapu1245,N,2.0
Thao,Austronesian,thao1240,N,1.58641
Kulisusu,Austronesian,kuli1254,N,0.66666
Yawa,Yawa-Saweru,nucl1454,N,3.33333
Alamblak,Sepik,alam1246,N,3.5
Konawe,Austronesian,kona1243,N,2.0
Kikuyu,Atlantic-Congo,kiku1240,N,0.83333
Kumaoni,Indo-European,kuma1273,N,3.0
Gunya,Pama-Nyungan,guny1241,N,3.0
Djinang,Pama-Nyungan,djin1253,N,2.0
Zabana,Austronesian,zaba1237,N,2.0
Fang (Equatorial Guinea),Atlantic-Congo,fang1246,N,4.0
Pashto,Indo-European,pash1269,N,2.5
Taliabu,Austronesian,tali1262,N,2.5
