language,language_family,code,simulation,predictive_structure
Bunganditj,Pama-Nyungan,bung1264,N,1.45987
Eastern Pahari,Indo-European,east1436,N,3.0
Shila,Atlantic-Congo,shil1264,N,1.77043
Wik-Mungkan,Pama-Nyungan,wikm1247,N,1.8
Kiput,Austronesian,kipu1237,N,1.3333300000000001
East Futuna,Austronesian,east2447,N,2.66667
Tuvalu,Austronesian,tuva1244,N,3.0
Äiwoo,Austronesian,ayiw1239,N,3.5
Mosetén-Chimané,,mose1249,N,3.0
Brulé,,brul1239,N,3.75
Cheyenne,Algic,chey1247,N,2.5
Muduapa,Austronesian,mudu1242,N,2.0
Yadhaykenu,Pama-Nyungan,yadh1237,N,3.0
Western Panjabi,Indo-European,west2386,N,2.33334
Polish,Indo-European,poli1260,N,1.3333300000000001
Mori Atas,Austronesian,mori1269,N,2.0
Tulambatu,Austronesian,tula1253,N,2.0
Kuvi,Dravidian,kuvi1243,N,3.16667
Mono-Alu,Austronesian,mono1273,N,1.0
Lubuagan Kalinga,Austronesian,lubu1243,N,2.0
Adang,,adan1251,N,1.8360500000000002
Czech,Indo-European,czec1258,N,2.0
Waropen,Austronesian,waro1242,N,2.58641
Polci,Afro-Asiatic,polc1243,N,2.43494
Telefol,Nuclear Trans New Guinea,tele1256,N,1.6666699999999999
Icelandic,Indo-European,icel1247,N,2.0
Lamogai,Austronesian,lamo1244,N,2.5
Ma'anyan,Austronesian,maan1238,N,1.3333300000000001
Asu (Tanzania),Atlantic-Congo,asut1235,N,3.6666600000000003
Kwamera,Austronesian,kwam1252,N,2.5
Neme,,neme1244,N,2.0
Yucatec Maya,,yuca1254,N,2.25084
Sikaiana,Austronesian,sika1261,N,2.45915
Luba-Lulua,Atlantic-Congo,luba1249,N,1.8336999999999999
Laiwui,Austronesian,laiw1239,N,2.0
Yugambal,Pama-Nyungan,yuga1244,N,2.3831100000000003
Bannoni,Austronesian,bann1247,N,1.25019
Middle English,Indo-European,midd1317,N,1.6666699999999999
Bierebo,Austronesian,bier1244,N,2.5
Pagu,,pagu1249,N,1.5
Nalik,Austronesian,nali1244,N,1.9216099999999998
Warta Thuntai,,gunt1241,N,1.0
Northern Paiute,Uto-Aztecan,nort2954,N,2.58641
Tesuque,,tesu1245,N,2.5
Brunei-Sabah Malay,Austronesian,saba1263,N,1.5
Adnyamathanha,Pama-Nyungan,adny1235,N,1.84436
Budukh,Nakh-Daghestanian,budu1248,N,2.7107799999999997
Lenakel,Austronesian,lena1238,N,3.0
Karitiâna,Tupian,kari1311,N,2.68872
Narrinyeri,Pama-Nyungan,narr1259,N,2.50282
Gane,Austronesian,gane1237,N,1.6666599999999998
Igbo,Atlantic-Congo,nucl1417,N,1.8
Mi'kmaq,Algic,mikm1235,N,3.25
Totoli,Austronesian,toto1304,N,2.0
Cahuilla,Uto-Aztecan,cahu1264,N,2.28859
Berik,Tor-Orya,beri1254,N,2.0
Sangu (Tanzania),Atlantic-Congo,sang1330,N,1.75
Yorta Yorta,Pama-Nyungan,yort1237,N,3.0
Ibanag,Austronesian,iban1267,N,1.0
Oneida,,onei1249,N,3.25
Northern Emberá,,nort2972,N,1.6666699999999999
Kalaallisut,,kala1399,N,4.0
Sika,Austronesian,sika1262,N,2.0
Edopi,Lakes Plain,edop1238,N,3.2592300000000005
Emau,Austronesian,emau1237,N,1.95098
Hunzib,Nakh-Daghestanian,hunz1247,N,1.6666699999999999
Ket,,kett1243,N,1.9777200000000001
Kwere,Atlantic-Congo,kwer1261,N,1.8930500000000001
To'abaita,Austronesian,toab1237,N,0.33333
Pacoh,Austroasiatic,paco1243,N,2.5
Bahonsuai,Austronesian,baho1237,N,2.0
Lalomerui,Austronesian,lalo1239,N,2.0
Gusii,Atlantic-Congo,gusi1247,N,1.33334
Seri,,seri1257,N,2.0
Yau (Morobe Province),Nuclear Trans New Guinea,yaum1237,N,1.75
Iwam,Sepik,iwam1256,N,3.0
Pima Bajo,Uto-Aztecan,pima1248,N,1.9183
Bilua,Bilua,bilu1245,N,2.0
West Futuna,Austronesian,west2515,N,2.5833399999999997
Yandruwandha,Pama-Nyungan,yand1253,N,1.84436
Kayabí,Tupian,kaya1329,N,2.5
Ding,Atlantic-Congo,ding1239,N,2.16667
Waimiri-Atroari,Cariban,waim1253,N,2.5
Wiradhuri,Pama-Nyungan,wira1262,N,1.6666699999999999
Japanesic,,japa1256,N,3.0
Eyak,,eyak1241,N,2.37878
Whitesands,Austronesian,whit1269,N,2.29321
Waia (Bungku),Austronesian,waia1242,N,2.0
Eipomek,Nuclear Trans New Guinea,eipo1242,N,1.80999
Southeast Babar,Austronesian,sout2883,N,2.0
Bali (Democratic Republic of Congo),Atlantic-Congo,bali1274,N,1.0
Pinji,Atlantic-Congo,pinj1243,N,1.15713
Matukar,Austronesian,matu1261,N,1.5
Arikara,,arik1262,N,2.75
Agob-Ende-Kawam,Pahoturi,agob1244,N,2.0
Dieri,Pama-Nyungan,dier1241,N,1.6708699999999999
Yelmek,,yelm1242,N,2.0
Hiligaynon,Austronesian,hili1240,N,1.0
Bali,Atlantic-Congo,bali1275,N,1.0
Wuvulu-Aua,Austronesian,wuvu1239,N,2.95915
Lamba,Atlantic-Congo,lamb1271,N,1.75184
Bengali,Indo-European,beng1280,N,1.6666599999999998
Bezhta,Nakh-Daghestanian,bezh1248,N,3.0
Kómnjo,,komn1238,N,1.92257
South Efate,Austronesian,sout2856,N,3.75
Mundurukú,Tupian,mund1330,N,3.41543
Yuwaalaraay-Gamilaraay,Pama-Nyungan,gami1243,N,2.09436
Padoe,Austronesian,pado1242,N,2.0
Farafi,Austronesian,butm1237,N,2.4
Taumako,Austronesian,taum1237,N,3.29176
Yansi,Atlantic-Congo,yans1239,N,2.4
Old Russian,Indo-European,oldr1238,N,2.0
Modern Greek,Indo-European,mode1248,N,2.0
Dehu,Austronesian,dehu1237,N,1.37878
Panare,Cariban,enap1235,N,2.3966000000000003
Mairasi,Mairasic,nucl1594,N,2.9183
Nese,Austronesian,nese1235,N,2.0
Termanu,Austronesian,term1237,N,2.15185
Kilivila,Austronesian,kili1267,N,2.5
Kadar,Dravidian,kada1242,N,3.0
Siona-Tetete,,sion1247,N,1.3333300000000001
Daakie,Austronesian,port1286,N,2.22222
Sibe,South Bougainville,sibe1248,N,3.0
Woleaian,Austronesian,wole1240,N,1.0
Bende,Atlantic-Congo,bend1258,N,2.04276
Paicî,Austronesian,paic1239,N,2.1686
Mbere,Atlantic-Congo,mber1257,N,2.22222
Old Aramaic-Sam'alian,Afro-Asiatic,olda1245,N,2.0
Lardil,,lard1243,N,2.24097
Kaure-Narau,Kaure-Narau,kaur1271,N,3.0
Vao,Austronesian,vaoo1237,N,2.5
Aghul,Nakh-Daghestanian,aghu1253,N,1.5
Belarusian,Indo-European,bela1254,N,2.0
Pumé,,pume1238,N,2.7107799999999997
Tajio,Austronesian,taji1246,N,1.3333300000000001
Shina (Nakh-Daghestan),Nakh-Daghestanian,shin1265,N,2.33334
Church Slavic,Indo-European,chur1257,N,2.0
Wawonii,Austronesian,wawo1239,N,1.3333300000000001
Mali,,mali1284,N,2.5
Routa,Austronesian,rout1237,N,2.0
Minigir,Austronesian,mini1251,N,1.5
Western Low Navarrese,,west1508,N,2.5
Tokelau,Austronesian,toke1240,N,2.2510000000000003
Lower Grand Valley Dani,Nuclear Trans New Guinea,lowe1415,N,2.75
Guajá,Tupian,guaj1256,N,2.90172
Hanunoo,Austronesian,hanu1241,N,1.3333300000000001
Yaka-Pelende-Lonzo,Atlantic-Congo,yaka1269,N,1.45282
Dakota,,dako1258,N,3.75
Central Aymara,,cent2142,N,3.0
Madak linkage,Austronesian,mada1284,N,2.0584000000000002
Bushoong,Atlantic-Congo,bush1247,N,2.33334
Luba-Katanga,Atlantic-Congo,luba1250,N,2.81128
Gondi,Dravidian,gond1265,N,2.5
Eudeve,Uto-Aztecan,eude1234,N,3.0
Xibe,,xibe1242,N,2.66666
Marshallese,Austronesian,mars1254,N,2.0
Unua,Austronesian,unua1237,N,1.4285700000000001
Atchin,Austronesian,atch1238,N,1.40073
Shipibo-Conibo,Pano-Tacanan,ship1254,N,2.7295800000000003
Tetela,Atlantic-Congo,tete1250,N,2.24012
Buin,,buin1247,N,2.0
Puinave,,puin1248,N,3.0
Cruzeño,,cruz1243,N,3.0
Wajarri,Pama-Nyungan,waja1257,N,2.0
Aniwa,Austronesian,aniw1237,N,2.125
Loloda-Laba,North Halmahera,lolo1264,N,3.0
Meriam,,meri1244,N,2.1265400000000003
Balaesang,Austronesian,bala1314,N,2.0
Cogui,,cogu1240,N,4.0
Chamalal,Nakh-Daghestanian,cham1309,N,2.33334
Tonsea,Austronesian,tons1240,N,1.6666699999999999
Erave,Nuclear Trans New Guinea,erav1244,N,1.75
Mongo,Atlantic-Congo,mong1338,N,2.70053
Muruwari,Pama-Nyungan,muru1266,N,2.28571
Niuafo'ou,Austronesian,niua1240,N,2.5
Biak,Austronesian,biak1248,N,2.5
Batanga,Atlantic-Congo,bata1285,N,1.6666599999999998
Eastern Bolivian Guaraní,Tupian,east2555,N,2.77043
Mokpwe,Atlantic-Congo,mokp1239,N,2.33333
Rundi,Atlantic-Congo,rund1242,N,1.26226
Wayuu,Arawakan,wayu1243,N,2.51665
Malua Bay,Austronesian,malu1245,N,1.875
Hindi,Indo-European,hind1269,N,1.83333
Kamba (Kenya),Atlantic-Congo,kamb1297,N,2.16666
Ngoni,Atlantic-Congo,ngon1269,N,-0.0
Malacca-Batavia Portuguese Creole,Indo-European,mala1533,N,2.0
Marra,Other,mara1385,N,2.9183
Japanese,,nucl1643,N,1.6666699999999999
Tiri-Mea,Austronesian,tiri1258,N,1.9371
Mwotlap,Austronesian,motl1237,N,3.25019
Seneca,,sene1264,N,3.0
Avatime,Atlantic-Congo,avat1244,N,3.0
Chuukese,Austronesian,chuu1238,N,2.5
Moronene,Austronesian,moro1287,N,0.66666
Idi,,nucl1597,N,2.0
Hopi,Uto-Aztecan,hopi1249,N,2.33333
Central Sama,Austronesian,cent2092,N,1.3333300000000001
Pangasinan,Austronesian,pang1290,N,1.0
Songoora,Atlantic-Congo,song1300,N,2.14884
Spokane,Salishan,spok1245,N,3.5
Karadjeri,Pama-Nyungan,kara1476,N,1.86166
Old English (ca. 450-1100),Indo-European,olde1238,N,1.38394
Mungiki,Austronesian,mung1270,N,1.0
Ute,Uto-Aztecan,utee1244,N,3.0
Tirax,Austronesian,maee1241,N,2.0
Kambera,Austronesian,kamb1299,N,2.98374
Abui,,abui1241,N,2.0
Motu,Austronesian,motu1246,N,2.5
Tzeltal,,tzel1254,N,2.55184
Movono,Austronesian,tang1347,N,3.0
Bininj Kun-Wok,,gunw1252,N,1.81128
Buli,Austronesian,buli1256,N,2.16667
Neve'ei,Austronesian,vinm1237,N,2.41345
Lelepa,Austronesian,lele1267,N,3.58208
Atsugewi,,atsu1245,N,2.0
Mocoví,,moco1246,N,2.10161
Ganda,Atlantic-Congo,gand1255,N,2.33963
Midob,,mido1240,N,1.0
Ketengban,Nuclear Trans New Guinea,kete1254,N,2.5
Slaveyic,,hare1243,N,3.0
Colloquial Malay,Austronesian,mala1479,N,1.93494
Lavatbura-Lamusong,Austronesian,lava1239,N,1.0
Meyah,,meya1236,N,3.0
Margany,Pama-Nyungan,marg1253,N,3.0
Tigak,Austronesian,tiga1245,N,2.0
Mescalero-Chiricahua Apache,,mesc1238,N,2.9266199999999998
Lala-Bisa,Atlantic-Congo,lala1264,N,1.0
Zinza,Atlantic-Congo,zinz1238,N,2.0
Nakanai,Austronesian,naka1262,N,3.9183
Batlux,Nakh-Daghestanian,batl1238,N,1.6666699999999999
Kamano,Nuclear Trans New Guinea,kama1370,N,1.75
Archi,Nakh-Daghestanian,arch1244,N,3.0
Bena (Tanzania),Atlantic-Congo,bena1262,N,1.8827800000000001
Erzya,Uralic,erzy1239,N,2.5
Ingush,Nakh-Daghestanian,ingu1240,N,2.33334
Plains Cree,Algic,plai1258,N,3.0
Watut,Austronesian,watu1246,N,3.16666
Amis,Austronesian,amis1246,N,2.0
Old Norse,Indo-European,oldn1244,N,1.5
Yulparija,Pama-Nyungan,yulp1239,N,2.25
Standard Lebanese Arabic,Afro-Asiatic,stan1323,N,2.0
Luvale,Atlantic-Congo,luva1239,N,1.53064
Inanwatan,,inan1242,N,3.0
Bwaidoga,Austronesian,bwai1243,N,1.81128
Nunamiut,Eskimo-Aleut,nort2944,N,2.16667
Kickapoo,Algic,kick1244,N,3.5
Frisian,Indo-European,fris1239,N,2.33333
I'saka,Sko,kris1246,N,2.0
Teiwa,,teiw1235,N,2.06924
Turkish,Turkic,nucl1301,N,2.16667
Itonama,,iton1250,N,2.0
Kalamang,,kara1499,N,2.96854
Aneityum,Austronesian,anei1239,N,2.7932
Rahambuu,Austronesian,raha1237,N,2.0
Dyirbal,Pama-Nyungan,dyir1250,N,3.0
Latvian,Indo-European,latv1249,N,2.83333
Fordata,Austronesian,ford1242,N,1.0
North Marquesan,Austronesian,nort2845,N,3.65433
Walloon,Indo-European,wall1255,N,2.27043
Winnebago-Chiwere,,winn1245,N,3.5
Blagar,,blag1240,N,1.8
Nivaclé,,niva1238,N,1.2
Sa,Austronesian,saaa1241,N,3.25
Ibaloi,Austronesian,ibal1244,N,1.0
Maba (Indonesia),Austronesian,maba1278,N,2.27043
Big Nambas,Austronesian,bign1238,N,2.42765
Herero,Atlantic-Congo,here1253,N,2.51285
Kumbainggar,Pama-Nyungan,kumb1268,N,1.77778
Wayampi,Tupian,waya1270,N,2.79727
Huron-Wyandot,,wyan1247,N,3.0
Algonquin,Algic,algo1255,N,2.5
Basque,,basq1248,N,2.0
Kagulu,Atlantic-Congo,kagu1239,N,1.93872
Banjar,Austronesian,banj1239,N,1.3333300000000001
Luburua,Austronesian,lubu1242,N,1.54086
Dandami Maria,Dravidian,dand1238,N,2.25
Toba,,toba1269,N,1.6666699999999999
Cha'palaa,,chac1249,N,3.0
Sundanese,Austronesian,sund1252,N,1.5
Bardic,,bard1254,N,2.5
Akhvakh,Nakh-Daghestanian,akhv1239,N,2.33334
West Kewa,Nuclear Trans New Guinea,west2599,N,1.75
Assiniboine,,assi1247,N,3.75
Kiramang,,kira1248,N,2.0
Menominee,Algic,meno1252,N,2.5
Ga'dang,Austronesian,gada1258,N,1.0
Burmese,Sino-Tibetan,nucl1310,N,3.5
Tok Pisin,Indo-European,tokp1240,N,1.6
Prakaa,Sino-Tibetan,prak1243,N,2.58641
Nuu-chah-nulth,,nuuc1236,N,1.9183
Zulu,Atlantic-Congo,zulu1248,N,2.22957
Baruya,Angan,baru1267,N,2.5
South Saami,Uralic,sout2674,N,2.0
Cayubaba,,cayu1262,N,2.5
Chipaya,,chip1262,N,2.5
Kamayurá,Tupian,kama1373,N,2.66666
Neverver,Austronesian,ling1265,N,2.7910399999999997
Dehong,Tai-Kadai,deho1238,N,2.0
Muna,Austronesian,muna1247,N,1.6666699999999999
English,Indo-European,stan1293,N,1.3333300000000001
Lozi,Atlantic-Congo,lozi1239,N,3.03363
North Tanna,Austronesian,nort2847,N,2.0
Colombian Sign Language,,colo1249,N,2.0
Epena,,epen1239,N,3.0
Temi,Atlantic-Congo,temi1247,N,1.9183
Puluwatese,Austronesian,pulu1242,N,2.12581
East Kewa,Nuclear Trans New Guinea,east2516,N,2.66667
Kannada,Dravidian,nucl1305,N,3.25
Oto,,otoo1241,N,3.75
Italian,Indo-European,ital1282,N,2.0
Kemtuik,Nimboranic,kemt1242,N,2.29664
Ancient Greek,Indo-European,anci1242,N,2.0
Avá-Canoeiro,Tupian,avac1239,N,2.5
Arabana,Pama-Nyungan,arab1267,N,2.25
Bamun,Atlantic-Congo,bamu1253,N,1.9183
Cree,Algic,cree1272,N,2.5
Chipewyan,,chip1261,N,1.6666699999999999
Marwari (India),Indo-European,marw1260,N,1.5555599999999998
Mouk,Austronesian,mouk1240,N,2.40631
/Gwi,,gwii1239,N,1.8371
Tausug,Austronesian,taus1251,N,1.3333300000000001
Ossetic,Indo-European,osse1245,N,2.0
Tubar,Uto-Aztecan,tuba1279,N,1.58641
Veps,Uralic,veps1250,N,2.0
Nahavaq,Austronesian,sout2857,N,3.0
Piegan,Algic,pieg1239,N,3.0
Ritarungo,Pama-Nyungan,rita1239,N,1.47548
Wiyot,Algic,wiyo1248,N,2.0
Pawnee,,pawn1254,N,2.75
Sirionó,Tupian,siri1273,N,1.26332
Kota (Gabon),Atlantic-Congo,kota1274,N,1.9161299999999999
Maguindanao,Austronesian,magu1243,N,1.85513
Chokwe,Atlantic-Congo,chok1245,N,2.33334
Catalan,Indo-European,stan1289,N,2.0
Punu,Atlantic-Congo,punu1239,N,-0.0
Nama (Papua New Guinea),,nama1266,N,3.10956
Alyawarr,Pama-Nyungan,alya1239,N,1.75
Hinuq,Nakh-Daghestanian,hinu1240,N,2.33334
Sumbwa,Atlantic-Congo,sumb1240,N,2.5
Dharumbal,Pama-Nyungan,dhar1248,N,3.0
Huarijio,Uto-Aztecan,huar1255,N,3.0
Macushi,Cariban,macu1259,N,2.15993
Peoria,Algic,peor1238,N,2.75
O'du,Austroasiatic,oduu1239,N,1.0
Futuna-Aniwa,Austronesian,futu1245,N,2.0
Teguima,Uto-Aztecan,opat1246,N,2.6880599999999997
Ngiyambaa,Pama-Nyungan,wang1291,N,1.6666699999999999
Sangtam Naga,Sino-Tibetan,sang1321,N,2.5
Mekongga,Austronesian,meko1237,N,2.0
Mele-Fila,Austronesian,mele1250,N,1.6666599999999998
Kombai,Nuclear Trans New Guinea,komb1274,N,2.5
Ojibwa,Algic,ojib1241,N,2.90564
Kamang,,kama1365,N,2.30378
Awiakay,Arafundi,awia1234,N,3.58333
Sanskrit,Indo-European,sans1269,N,1.83333
Kyaka,Nuclear Trans New Guinea,kyak1244,N,3.75019
Auslan,,aust1271,N,1.3333300000000001
Kodeoha,Austronesian,kode1237,N,2.0
Tomadino,Austronesian,toma1248,N,2.0
Tapirapé,Tupian,tapi1254,N,3.5
Yugumbir,Pama-Nyungan,yugu1249,N,2.0
Kwoma,,kwom1262,N,2.40884
Suundi,Atlantic-Congo,suun1239,N,2.55184
Warlpiri,Pama-Nyungan,warl1254,N,1.67499
Tasiko,Austronesian,tasi1237,N,3.0
Owa,Austronesian,owaa1237,N,2.0
Letemboi-Repanbitip,Austronesian,lete1241,N,3.0
Selk'nam,,onaa1245,N,2.7107799999999997
Spanish,Indo-European,stan1288,N,2.33333
Nyamal,Pama-Nyungan,nyam1271,N,2.25
North Ambrym,Austronesian,nort2839,N,1.77078
El Nayar Cora,Uto-Aztecan,elna1235,N,2.58641
Sawi,Nuclear Trans New Guinea,sawi1257,N,1.0
Wolio,Austronesian,woli1241,N,2.0
Luangiua,Austronesian,onto1237,N,3.18872
Welsh,Indo-European,wels1247,N,2.0
Yanomám,,yano1262,N,1.0
Duala,Atlantic-Congo,dual1243,N,1.6
Kala Lagaw Ya,Pama-Nyungan,kala1377,N,2.9183
Manange,Sino-Tibetan,mana1288,N,3.02893
Kutenai,,kute1249,N,3.5
Meskwaki,Algic,mesk1242,N,2.5
Cubeo,,cube1242,N,2.5
Sogeram,Nuclear Trans New Guinea,soge1235,N,1.82647
Kerewe,Atlantic-Congo,kere1283,N,1.0
Kom (Cameroon),Atlantic-Congo,komc1235,N,1.5
Siwai,South Bougainville,siwa1245,N,3.0
Bacanese Malay,Austronesian,baca1243,N,1.95011
Olal,Austronesian,olal1237,N,1.53064
Merlav,Austronesian,merl1237,N,1.53579
Lauje,Austronesian,lauj1238,N,1.3333300000000001
Degexit'an,,dege1248,N,2.0
Northeast Maidu,,nort2952,N,2.45915
Inxokvari,Nakh-Daghestanian,inxo1238,N,2.33334
Māori,Austronesian,maor1246,N,3.13521
Marquesan,Austronesian,marq1246,N,3.0
Pintupi-Luritja,Pama-Nyungan,pint1250,N,1.75
Old-Middle Welsh,Indo-European,oldw1239,N,1.6
Sardinian,Indo-European,sard1257,N,2.0
Western Armenian,Indo-European,homs1234,N,2.33334
Western Dani,Nuclear Trans New Guinea,west2594,N,3.25
Limilngan-Wulna,,limi1242,N,2.3
Buru (Indonesia),Austronesian,buru1303,N,3.0
Nyawaygi,Pama-Nyungan,nyaw1247,N,2.0
Ingrian,Uralic,ingr1248,N,1.6666599999999998
Lewo,Austronesian,lewo1242,N,3.0
Ayoreo,,ayor1240,N,3.3007999999999997
Meru,Atlantic-Congo,meru1245,N,2.33333
Wagaya,Pama-Nyungan,waga1260,N,2.0
Chavacano,Indo-European,chav1241,N,2.33333
Tupinambá,Tupian,tupi1273,N,2.3929400000000003
Doutai,Lakes Plain,dout1240,N,3.27042
Bunun,Austronesian,bunu1267,N,2.0
Tsonga,Atlantic-Congo,tson1249,N,1.76669
Tuyuca,,tuyu1244,N,2.0
Yurok,Algic,yuro1248,N,3.0
Maithili,Indo-European,mait1250,N,1.6666599999999998
Mohawk,,moha1258,N,3.25
Eel River Athabaskan,,wail1244,N,4.306089999999999
Dupaninan Agta,Austronesian,dupa1235,N,2.5
Bannock,Uto-Aztecan,bann1248,N,3.0
Nyoro,Atlantic-Congo,nyor1246,N,1.21854
Modern Ossetic,Indo-European,osse1243,N,1.0
Puelche,,puel1244,N,2.16667
Kumyk,Turkic,kumy1244,N,1.6666699999999999
Bandjalangic,Pama-Nyungan,band1339,N,2.5507999999999997
Kaiwá,Tupian,kaiw1246,N,4.0
Gimi (Eastern Highlands),Nuclear Trans New Guinea,gimi1243,N,2.62329
Koroni,Austronesian,koro1311,N,2.0
Suki,,suki1245,N,3.0
Tamil,Dravidian,tami1289,N,2.25
Bemba (Zambia),Atlantic-Congo,bemb1257,N,1.82213
Lonwolwol,Austronesian,lonw1238,N,2.5
Mudburra,Pama-Nyungan,mudb1240,N,1.75
Nengone,Austronesian,neng1238,N,2.7893100000000004
Ponca,,ponc1241,N,3.75
Waffa,Nuclear Trans New Guinea,waff1241,N,3.0
Casiguran-Nagtipunan Agta,Austronesian,casi1235,N,1.3333300000000001
Warrongo,Pama-Nyungan,waru1264,N,3.75
Lo-Toga,Austronesian,loto1240,N,3.09328
Araki,Austronesian,arak1252,N,3.18048
Ottawa,Algic,otta1242,N,2.5
Komi-Zyrian,Uralic,komi1268,N,2.33334
Bungku,Austronesian,bung1269,N,1.3333300000000001
Nepali,Indo-European,nepa1254,N,2.18182
Duungidjawu,Pama-Nyungan,duun1241,N,2.4000000000000004
Luguru,Atlantic-Congo,lugu1238,N,1.6
Malapandaram,Dravidian,mala1468,N,2.0
Akkadian,Afro-Asiatic,akka1240,N,3.25
Soga,Atlantic-Congo,soga1242,N,2.20752
Chamorro,Austronesian,cham1312,N,2.0
Nage,Austronesian,nage1237,N,3.0
Gwich'in,,gwic1235,N,3.25
Sa'a,Austronesian,saaa1240,N,1.0
Yidiñ,Pama-Nyungan,yidi1250,N,1.75
Southern Kiwai,Kiwaian,sout2949,N,3.0
South Marquesan,Austronesian,sout2866,N,2.5
Yaqui,Uto-Aztecan,yaqu1251,N,3.15564
Jamaican Creole English,Indo-European,jama1262,N,2.33334
Ngaanyatjarra,Pama-Nyungan,ngaa1240,N,3.98013
Shoshoni,Uto-Aztecan,shos1248,N,3.0
Iowa-Oto,,iowa1245,N,3.75
Moni,Nuclear Trans New Guinea,moni1261,N,3.0
Onobasulu,Bosavi,onob1238,N,3.1693800000000003
Huli,Nuclear Trans New Guinea,huli1244,N,2.66667
Luiseno-Juaneño,Uto-Aztecan,luis1253,N,1.6
Gilbertese,Austronesian,gilb1244,N,3.5
Pendau,Austronesian,pend1242,N,1.3333300000000001
Baure,Arawakan,baur1253,N,2.0
Teko,Tupian,emer1243,N,1.18872
Kriol (Roper River),Indo-European,krio1252,N,2.3414800000000002
Malgana,Pama-Nyungan,malg1242,N,3.0
Southeast Ambrym,Austronesian,sout2859,N,2.33333
Tehuelche,,tehu1242,N,1.33333
Tabasco Chontal,,taba1266,N,3.0
Pirriya,Pama-Nyungan,pirr1240,N,3.0
Tlingit,,tlin1245,N,2.5
Zuni,,zuni1245,N,2.0
Kabaena,Austronesian,kaba1285,N,2.0
Odia,Indo-European,oriy1255,N,1.65218
Nambo,,namb1293,N,2.5
Duna,,duna1248,N,2.0
Ifugaw,Austronesian,ifug1247,N,1.0
Tungag,Austronesian,tung1290,N,2.0
Badimaya,Pama-Nyungan,badi1246,N,3.0
Upper Michigan-Wisconsin Chippewa,Algic,uppe1274,N,2.75
Nanggu,Austronesian,nang1262,N,2.5
Kankanaey,Austronesian,kank1243,N,1.3333300000000001
Atampaya,Pama-Nyungan,atam1239,N,2.5
Guarayu,Tupian,guar1292,N,3.31433
Haya,Atlantic-Congo,haya1250,N,1.1666699999999999
Xârâcùù,Austronesian,xara1244,N,2.37878
Komo (Democratic Republic of Congo),Atlantic-Congo,komo1260,N,1.83333
Icari,Nakh-Daghestanian,icar1234,N,1.6666699999999999
Aché,Tupian,ache1246,N,2.6678699999999997
Meadow Mari,Uralic,gras1239,N,3.0
Prai,Austroasiatic,phai1238,N,1.2000000000000002
Hungarian,Uralic,hung1274,N,2.0
Yavitero,Arawakan,yavi1244,N,2.0
Western Tawbuid,Austronesian,west2559,N,1.3333300000000001
Karok,,karo1304,N,3.0
Indonesian Bajau,Austronesian,indo1317,N,2.27042
Laurentian,,laur1250,N,3.0
Bats,Nakh-Daghestanian,bats1242,N,2.0
Pitjantjatjara,Pama-Nyungan,pitj1243,N,2.8008100000000002
Lingua Geral Paulista,Tupian,tupi1274,N,4.2689900000000005
Buhid,Austronesian,buhi1245,N,1.3333300000000001
North Saami,Uralic,nort2671,N,1.0
Balinese,Austronesian,bali1278,N,2.83334
Uripiv-Wala-Rano-Atchin,Austronesian,urip1239,N,1.8857599999999999
Kodava,Dravidian,koda1255,N,2.5
Lahnda,Indo-European,lahn1241,N,0.8
Sanga (Democratic Republic of Congo),Atlantic-Congo,sang1331,N,2.37878
Serrano,Uto-Aztecan,serr1255,N,3.03179
Araweté,Tupian,araw1273,N,2.6927399999999997
Guugu Yimidhirr,Pama-Nyungan,gugu1255,N,2.8955200000000003
'Are'are,Austronesian,area1240,N,2.0
North Slavey,,nort2942,N,2.8872
Usarufa,Nuclear Trans New Guinea,usar1243,N,1.75
Cayuga,,cayu1261,N,3.0
Balangao,Austronesian,bala1310,N,2.0
Nen,,nenn1238,N,2.0
Cofán,,cofa1242,N,2.0
Waorani,,waor1240,N,2.15993
Rapanui,Austronesian,rapa1244,N,2.75
Chickasaw,,chic1270,N,3.25
Omaha-Ponca,,omah1247,N,4.0
Gigatl,Nakh-Daghestanian,giga1238,N,2.33334
Turung,Tai-Kadai,turu1249,N,3.0
Okanagan,Salishan,okan1243,N,3.5
Trumai,,trum1247,N,3.0
Keyagana,Nuclear Trans New Guinea,keya1238,N,1.75
Jurúna,Tupian,juru1256,N,2.4828
Ganggalida,,gang1267,N,3.0258000000000003
Lunda,Atlantic-Congo,lund1266,N,1.5
Tenetehara,Tupian,temb1276,N,3.5
Parakanã,Tupian,para1312,N,1.5
Kuman,Nuclear Trans New Guinea,kuma1280,N,3.0
Eastern Panjabi,Indo-European,panj1256,N,2.0
Hehe,Atlantic-Congo,hehe1240,N,2.0
Tokharian A,Indo-European,tokh1242,N,2.0
Iloko,Austronesian,ilok1237,N,1.3333300000000001
Chirag,Nakh-Daghestanian,chir1284,N,1.6666699999999999
Tukang Besi South,Austronesian,tuka1249,N,2.0
Karenic,Sino-Tibetan,kare1337,N,3.25
