language,language_family,code,data_length
Sawai,Austronesian,sawa1247,60
Mungaka,Atlantic-Congo,mung1266,28
Norwegian Bokmål,Indo-European,norw1259,60
Muruwari,Pama-Nyungan,muru1266,40
Taje,Austronesian,taje1237,60
Sika,Austronesian,sika1262,12
Maybrat-Karon,Maybrat-Karon,maib1239,60
Ende (Papua New Guinea),,ende1235,60
Breton,Indo-European,bret1244,60
Judeo-Tat,Indo-European,jude1256,60
Futuna-Aniwa,Austronesian,futu1245,40
Iyojwa'ja Chorote,,iyoj1235,40
Ding,Atlantic-Congo,ding1239,60
Mapudungun,,mapu1245,60
Mudburra,Pama-Nyungan,mudb1240,36
Kaurna,Pama-Nyungan,kaur1267,56
O'du,Austroasiatic,oduu1239,56
Fijian,Austronesian,fiji1243,60
Binja,Atlantic-Congo,binj1250,4
Gurindji,Pama-Nyungan,guri1247,40
Bwaidoga,Austronesian,bwai1243,8
Kom (Cameroon),Atlantic-Congo,komc1235,52
Sula,Austronesian,sula1245,20
Ili'uun,Austronesian,iliu1237,60
Toba,,toba1269,60
Brulé,,brul1239,28
Taliabu,Austronesian,tali1262,28
Akhvakh,Nakh-Daghestanian,akhv1239,60
Tiv,Atlantic-Congo,tivv1240,52
West Kewa,Nuclear Trans New Guinea,west2599,44
Gumatj,Pama-Nyungan,guma1253,48
Araki,Austronesian,arak1252,52
Maba (Indonesia),Austronesian,maba1278,60
Latvian,Indo-European,latv1249,60
Kuku-Yalanji,Pama-Nyungan,kuku1273,60
Western Bukidnon Manobo,Austronesian,west2555,60
Haya,Atlantic-Congo,haya1250,60
Dehong,Tai-Kadai,deho1238,24
Ignaciano,Arawakan,igna1246,44
Tübatulabal,Uto-Aztecan,tuba1278,14
Manggarai,Austronesian,mang1405,28
Seke (Vanuatu),Austronesian,seke1241,60
Degexit'an,,dege1248,12
Nambo,,namb1293,28
Zabana,Austronesian,zaba1237,20
Erave,Nuclear Trans New Guinea,erav1244,44
Uma Juman,Austronesian,umaj1240,60
'Are'are,Austronesian,area1240,48
Warlpiri,Pama-Nyungan,warl1254,60
Northwest Sahaptin,,yaki1237,28
Luburua,Austronesian,lubu1242,32
Tonga (Tonga Islands),Austronesian,tong1325,60
Eastern Mari,Uralic,east2328,28
Tok Pisin,Indo-European,tokp1240,56
Maragus,Austronesian,mara1399,20
Komi-Zyrian,Uralic,komi1268,60
Avatime,Atlantic-Congo,avat1244,28
Rejang,Austronesian,reja1240,52
Alangan,Austronesian,alan1249,60
