language,language_family,code,data_length
Shina (Nakh-Daghestan),Nakh-Daghestanian,shin1265,60
Yau (Morobe Province),Nuclear Trans New Guinea,yaum1237,26
Martu Wangka,Pama-Nyungan,mart1256,60
Southwest Tanna,Austronesian,sout2869,52
Taiap,Taiap,taia1239,20
Kalam,Nuclear Trans New Guinea,kala1397,60
Setaman,Nuclear Trans New Guinea,seta1246,28
North Tanna,Austronesian,nort2847,48
Yandruwandha,Pama-Nyungan,yand1253,44
Pwo,Sino-Tibetan,pwoo1239,28
Tahitian,Austronesian,tahi1242,44
Tomadino,Austronesian,toma1248,28
Suku,Atlantic-Congo,suku1259,60
Ibaloi,Austronesian,ibal1244,60
Kanum,,kanu1280,4
Buru (Indonesia),Austronesian,buru1303,28
Kashaya,,kash1280,60
Warrongo,Pama-Nyungan,waru1264,28
Bacanese Malay,Austronesian,baca1243,56
Letemboi-Repanbitip,Austronesian,lete1241,28
Waimaha,,waim1255,60
Luguru,Atlantic-Congo,lugu1238,56
Sosva Mansi,Uralic,nort2677,18
Monumbo,Bogia,nucl1458,28
Ket,,kett1243,58
Lo-Toga,Austronesian,loto1240,60
Vao,Austronesian,vaoo1237,28
Cruzeño,,cruz1243,12
Tokelau,Austronesian,toke1240,58
Kuman,Nuclear Trans New Guinea,kuma1280,28
Satawalese,Austronesian,sata1237,20
Lubuagan Kalinga,Austronesian,lubu1243,24
Old English (ca. 450-1100),Indo-European,olde1238,42
Kemtuik,Nimboranic,kemt1242,60
Mbyá Guaraní,Tupian,mbya1239,60
Hawaiian,Austronesian,hawa1245,60
Warrnambool,Pama-Nyungan,warr1257,28
Bera,Atlantic-Congo,bera1259,60
Yinhawangka,Pama-Nyungan,yinh1234,12
Teguima,Uto-Aztecan,opat1246,60
Warázu,Tupian,paus1244,44
Tundra Nenets,Uralic,nene1249,28
Adnyamathanha,Pama-Nyungan,adny1235,44
Magam,Austronesian,maga1262,28
Gwich'in,,gwic1235,28
Maithili,Indo-European,mait1250,60
Mbala,Atlantic-Congo,mbal1257,60
Vlax Romani,Indo-European,vlax1238,28
Nyawaygi,Pama-Nyungan,nyaw1247,20
Mangei,Austronesian,mang1407,44
Onondaga,,onon1246,28
Shanghainese,Sino-Tibetan,shan1293,24
Margany,Pama-Nyungan,marg1253,28
Mala,,mala1494,28
Narrinyeri,Pama-Nyungan,narr1259,26
Zuni,,zuni1245,24
Selk'nam,,onaa1245,60
Bengali,Indo-European,beng1280,60
North Azerbaijani,Turkic,nort2697,60
North Saami,Uralic,nort2671,60
Neme,,neme1244,17
Sougb,,mani1235,28
Tamambo,Austronesian,malo1243,28
Ute,Uto-Aztecan,utee1244,28
Kunza,,kunz1244,10
Tolowa-Chetco,,tolo1259,28
Colombian Sign Language,,colo1249,28
Macedonian,Indo-European,mace1250,60
Ulawa,Austronesian,ulaw1237,36
Atchin,Austronesian,atch1238,45
Matukar,Austronesian,matu1261,60
Ketengban,Nuclear Trans New Guinea,kete1254,28
To'abaita,Austronesian,toab1237,60
Navajo,,nava1243,48
Ngulu,Atlantic-Congo,ngul1246,54
Mono (USA),Uto-Aztecan,mono1275,27
Early Irish,Indo-European,oldi1245,36
Karruwali,Pama-Nyungan,karr1236,8
Sindhi,Indo-European,sind1272,60
Cofán,,cofa1242,40
Bila,Atlantic-Congo,bila1255,60
Comanche,Uto-Aztecan,coma1245,52
Iwam,Sepik,iwam1256,28
Mohawk,,moha1258,28
Songoora,Atlantic-Congo,song1300,27
Oneida,,onei1249,28
Central Kurdish,Indo-European,cent1972,60
Old Rapa,Austronesian,rapa1245,28
East Futuna,Austronesian,east2447,60
Sinitic,Sino-Tibetan,sini1245,28
Termanu,Austronesian,term1237,46
Xibe,,xibe1242,60
Maklew,,makl1246,12
Owa,Austronesian,owaa1237,28
Puluwatese,Austronesian,pulu1242,60
Kumaoni,Indo-European,kuma1273,20
Luba-Katanga,Atlantic-Congo,luba1250,28
Waorani,,waor1240,58
Ingrian,Uralic,ingr1248,60
Potawatomi,Algic,pota1247,28
Bukat,Austronesian,buka1261,60
Merei,Austronesian,mere1242,12
Puyuma,Austronesian,puyu1239,12
Nivaclé,,niva1238,56
Seri,,seri1257,56
Barí,,bari1297,60
English,Indo-European,stan1293,60
Temi,Atlantic-Congo,temi1247,9
Arikara,,arik1262,28
Nama (Papua New Guinea),,nama1266,60
Rahambuu,Austronesian,raha1237,28
Chenchu,Dravidian,chen1255,38
Casiguran-Nagtipunan Agta,Austronesian,casi1235,60
Takia,Austronesian,taki1248,60
Barok,Austronesian,baro1253,26
Bilibil,Austronesian,bilb1241,60
Munsee,Algic,muns1251,28
Sundanese,Austronesian,sund1252,60
Takuu,Austronesian,taku1257,56
Tombulu,Austronesian,tomb1243,60
Wappo,,wapp1239,36
Malua Bay,Austronesian,malu1245,44
Yanyuwa,Pama-Nyungan,yany1243,44
Aguaruna,,agua1253,60
Lenakel,Austronesian,lena1238,28
Atta,Austronesian,atta1244,28
Uab Meto,Austronesian,uabm1237,48
Tirax,Austronesian,maee1241,28
Bamun,Atlantic-Congo,bamu1253,10
Jurúna,Tupian,juru1256,44
Wiwirano,Austronesian,wiwi1237,28
Northeast Maidu,,nort2952,60
Chepang,Sino-Tibetan,chep1245,28
Lipan Apache,,lipa1241,60
Naman,Austronesian,litz1237,44
Paicî,Austronesian,paic1239,60
Lisu,Sino-Tibetan,lisu1250,28
Nyoro,Atlantic-Congo,nyor1246,60
Sateré-Mawé,Tupian,sate1243,22
Cayuga,,cayu1261,28
Wambayan,,wamb1258,52
Farafi,Austronesian,butm1237,32
Northern Haida,,nort2938,12
Jamaican Creole English,Indo-European,jama1262,60
Riantana,,rian1263,4
S'gaw Karen,Sino-Tibetan,sgaw1245,28
Nen,,nenn1238,28
Tiale,Austronesian,tial1239,12
Abui,,abui1241,28
Lengua,,leng1262,56
North Northern Paiute,Uto-Aztecan,nort1551,28
Bannoni,Austronesian,bann1247,60
Torres Strait Creole,Indo-European,torr1261,60
Manam,Austronesian,mana1295,28
Neverver,Austronesian,ling1265,60
Chamalal,Nakh-Daghestanian,cham1309,60
Fipa,Atlantic-Congo,fipa1238,52
Tanala,Austronesian,tana1285,58
Ratagnon,Austronesian,rata1245,60
Sawi,Nuclear Trans New Guinea,sawi1257,28
Jicarilla Apache,,jica1244,60
Yombe,Atlantic-Congo,yomb1244,52
Yabem,Austronesian,yabe1254,60
Yidiñ,Pama-Nyungan,yidi1250,44
Bunun,Austronesian,bunu1267,36
Itbayat,Austronesian,ivat1242,60
Mungiki,Austronesian,mung1270,14
Wangganguru,Pama-Nyungan,wang1290,36
Andalal-Gxdatl,Nakh-Daghestanian,anda1281,60
Dutch,Indo-European,dutc1256,60
Sangu (Gabon),Atlantic-Congo,sang1333,10
Nyakyusa-Ngonde,Atlantic-Congo,nyak1260,38
Yadhaykenu,Pama-Nyungan,yadh1237,28
Polci,Afro-Asiatic,polc1243,60
Trinitario,Arawakan,trin1274,12
Copper Inuit,Eskimo-Aleut,copp1244,44
Minigir,Austronesian,mini1251,60
Sanskrit,Indo-European,sans1269,60
Taumako,Austronesian,taum1237,60
Modern Ossetic,Indo-European,osse1243,60
Bardic,,bard1254,28
Zulu,Atlantic-Congo,zulu1248,60
Balochic,Indo-European,balo1260,54
Bemba (Zambia),Atlantic-Congo,bemb1257,42
Seneca,,sene1264,28
Kannada,Dravidian,nucl1305,28
Ifugaw,Austronesian,ifug1247,28
Gujarati,Indo-European,guja1252,60
Kiput,Austronesian,kipu1237,60
Yir-Yoront,Pama-Nyungan,yiry1245,28
Ma'anyan,Austronesian,maan1238,60
Middle English,Indo-European,midd1317,36
Kalamang,,kara1499,60
Nogai,Turkic,noga1249,60
Polish,Indo-European,poli1260,60
Shawnee,Algic,shaw1249,28
Aneityum,Austronesian,anei1239,60
Central Subanen,Austronesian,cent2089,20
Imbongu,Nuclear Trans New Guinea,imbo1238,28
Gupapuyngu,Pama-Nyungan,gupa1247,56
Neve'ei,Austronesian,vinm1237,52
Kankanaey,Austronesian,kank1243,60
Kerewe,Atlantic-Congo,kere1283,16
Sibe,South Bougainville,sibe1248,28
Kariyarra,Pama-Nyungan,kari1304,60
Hausa,Afro-Asiatic,haus1257,60
Awiakay,Arafundi,awia1234,60
Gondi,Dravidian,gond1265,12
Czech,Indo-European,czec1258,60
Archi,Nakh-Daghestanian,arch1244,60
Malgana,Pama-Nyungan,malg1242,16
Budukh,Nakh-Daghestanian,budu1248,60
Mocoví,,moco1246,60
Onobasulu,Bosavi,onob1238,60
Swedish,Indo-European,swed1254,60
Madurese,Austronesian,nucl1460,60
Marshallese,Austronesian,mars1254,28
Tucano,,tuca1252,60
Buhid,Austronesian,buhi1245,60
Ngarinman,Pama-Nyungan,ngar1235,44
Icari,Nakh-Daghestanian,icar1234,60
Latin,Indo-European,lati1261,60
Prai,Austroasiatic,phai1238,58
Mayo,Uto-Aztecan,mayo1264,25
Lamba,Atlantic-Congo,lamb1271,56
Wiradhuri,Pama-Nyungan,wira1262,60
Kilmeri,Border,kilm1241,28
Kómnjo,,komn1238,60
Turung,Tai-Kadai,turu1249,28
Avar,Nakh-Daghestanian,avar1256,60
Bende,Atlantic-Congo,bend1258,43
Araweté,Tupian,araw1273,55
Hano,Austronesian,hano1246,60
Kawaiisu,Uto-Aztecan,kawa1283,18
Kriol (Roper River),Indo-European,krio1252,28
Assiniboine,,assi1247,28
Sonsorol,Austronesian,sons1242,52
Mouk,Austronesian,mouk1240,60
Northern Paiute,Uto-Aztecan,nort2954,18
Tongva,Uto-Aztecan,tong1329,35
Inxokvari,Nakh-Daghestanian,inxo1238,60
Makonde,Atlantic-Congo,mako1251,60
Kamano,Nuclear Trans New Guinea,kama1370,20
Central Tarahumara,Uto-Aztecan,cent2131,40
Mattole-Bear River,,matt1238,6
Middle High German,Indo-European,midd1343,48
Yurok,Algic,yuro1248,60
Danish,Indo-European,dani1285,60
Kota (Gabon),Atlantic-Congo,kota1274,28
Hittite,Indo-European,hitt1242,48
Kaure-Narau,Kaure-Narau,kaur1271,28
Albanian,Indo-European,alba1267,60
Wogeo,Austronesian,woge1237,28
Ibanag,Austronesian,iban1267,60
Pagu,,pagu1249,44
Yalarnnga,Pama-Nyungan,yala1262,60
Shasta,,shas1239,56
Lardil,,lard1243,60
Nganasan,Uralic,ngan1291,28
Shona,Atlantic-Congo,shon1251,2
Tadyawan,Austronesian,tady1237,60
Seki,Atlantic-Congo,seki1238,18
Hopi,Uto-Aztecan,hopi1249,40
Iraya,Austronesian,iray1237,60
Kayardild-Yangkaal,,kaya1318,28
Menominee,Algic,meno1252,28
Masaaba,Atlantic-Congo,masa1299,52
Kartujarra,Pama-Nyungan,kart1247,52
Eudeve,Uto-Aztecan,eude1234,12
Tagalog,Austronesian,taga1270,58
Japanese,,nucl1643,60
Pima Bajo,Uto-Aztecan,pima1248,20
Cherokee,,cher1273,28
Ngadjunmaya,Pama-Nyungan,ngad1258,24
Mono-Alu,Austronesian,mono1273,16
Nyangumarta,Pama-Nyungan,nyan1301,44
Sakata,Atlantic-Congo,saka1287,46
Larevat,Austronesian,lare1249,44
Savosavo,Savosavo,savo1255,60
Berik,Tor-Orya,beri1254,28
Kutenai,,kute1249,24
Nguna,Austronesian,ngun1274,52
Kombai,Nuclear Trans New Guinea,komb1274,28
Suzhou,Sino-Tibetan,suzh1234,26
Highland Puebla Nahuatl,Uto-Aztecan,high1278,44
Umbu-Ungu,Nuclear Trans New Guinea,umbu1258,32
Nhanda,Pama-Nyungan,nhan1238,56
Kuot,,kuot1243,37
Irish,Indo-European,iris1253,60
Vili,Atlantic-Congo,vili1238,5
Wersing,,wers1238,28
Talise,Austronesian,tali1259,60
Woiwurrung-Thagungwurrung,Pama-Nyungan,woiw1237,20
Paama,Austronesian,paam1238,16
Korafe,Nuclear Trans New Guinea,kora1295,60
Lamogai,Austronesian,lamo1244,12
Roviana,Austronesian,rovi1238,60
Sumbwa,Atlantic-Congo,sumb1240,16
Chokwe,Atlantic-Congo,chok1245,60
Dakaka,Austronesian,daka1243,50
Assamese,Indo-European,assa1263,44
Rotuman,Austronesian,rotu1241,60
Routa,Austronesian,rout1237,28
Karok,,karo1304,28
Movono,Austronesian,tang1347,12
Pashto,Indo-European,pash1269,60
Pumé,,pume1238,60
Tonga (Nyasa),Atlantic-Congo,tong1321,40
Kimaama,Kolopom,kima1246,60
Namakura,Austronesian,nama1268,60
Paluai,Austronesian,balu1257,60
Chimariko,,chim1301,58
Lozi,Atlantic-Congo,lozi1239,44
Torete,Austronesian,tore1237,28
Chirag,Nakh-Daghestanian,chir1284,60
Nengone,Austronesian,neng1238,43
Japanesic,,japa1256,28
Boano (Sulawesi),Austronesian,boan1243,52
Oceanic,Austronesian,ocea1241,24
Southeast Babar,Austronesian,sout2883,12
Itonama,,iton1250,44
Meadow Mari,Uralic,gras1239,28
Shi,Atlantic-Congo,shii1238,48
Gros Ventre,Algic,gros1243,28
Mongolian,,mong1331,28
South Saami,Uralic,sout2674,16
Duna,,duna1248,60
Basque,,basq1248,60
Isirawa,Greater Kwerba,isir1237,60
Kala Lagaw Ya,Pama-Nyungan,kala1377,60
El Nayar Cora,Uto-Aztecan,elna1235,12
Cheyenne,Algic,chey1247,28
Kamba (Kenya),Atlantic-Congo,kamb1297,60
Pintupi-Luritja,Pama-Nyungan,pint1250,44
Njebi,Atlantic-Congo,njeb1242,20
Sinhala,Indo-European,sinh1246,44
Wagaya,Pama-Nyungan,waga1260,44
Miami,Algic,miam1252,28
Livonian,Uralic,livv1244,4
Lower Grand Valley Dani,Nuclear Trans New Guinea,lowe1415,28
Western Dani,Nuclear Trans New Guinea,west2594,28
Kambera,Austronesian,kamb1299,60
Andi,Nakh-Daghestanian,andi1255,60
Duungidjawu,Pama-Nyungan,duun1241,32
Landawe,Austronesian,land1259,28
Huasteca Nahuatl,Uto-Aztecan,huas1257,12
Netsilik,Eskimo-Aleut,nets1241,59
Pinji,Atlantic-Congo,pinj1243,22
Anuta,Austronesian,anut1237,60
Wuvulu-Aua,Austronesian,wuvu1239,60
Hungarian,Uralic,hung1274,60
Tungag,Austronesian,tung1290,16
Tukang Besi South,Austronesian,tuka1249,12
Kashmiri,Indo-European,kash1277,60
Ndumu,Atlantic-Congo,ndum1239,8
Finnish,Uralic,finn1318,4
"!Kung, Southeastern Ju, or Ju'hoan",Kxa,juho1239,12
Avá-Canoeiro,Tupian,avac1239,9
Tabla,Sentanic,tabl1243,60
Yorta Yorta,Pama-Nyungan,yort1237,20
Buli,Austronesian,buli1256,60
Chihuahua Pima Bajo,Uto-Aztecan,chih1238,6
Eipomek,Nuclear Trans New Guinea,eipo1242,52
Brooke's Point Palawano,Austronesian,broo1239,40
Lalomerui,Austronesian,lalo1239,28
Kapingamarangi,Austronesian,kapi1249,60
Woleaian,Austronesian,wole1240,16
Banjar,Austronesian,banj1239,60
Waurá,Arawakan,waur1244,60
Marind,,nucl1622,60
Wulguru,Pama-Nyungan,wulg1239,60
Kosraean,Austronesian,kosr1238,28
Lithuanian,Indo-European,lith1251,60
Pipil,Uto-Aztecan,pipi1250,10
Shila,Atlantic-Congo,shil1264,30
Yugambal,Pama-Nyungan,yuga1244,58
Tajik,Indo-European,taji1245,24
Ukrainian,Indo-European,ukra1253,52
Asu (Tanzania),Atlantic-Congo,asut1235,60
Gayo,Austronesian,gayo1244,28
Awetí,Tupian,awet1244,60
Brunei-Sabah Malay,Austronesian,saba1263,60
Emae,Austronesian,emae1237,8
Kurukh,Dravidian,kuru1302,28
Rundi,Atlantic-Congo,rund1242,56
Klon,Timor-Alor-Pantar,kelo1247,8
Tetela,Atlantic-Congo,tete1250,56
Negerhollands,Indo-European,nege1244,44
Ha,Atlantic-Congo,haaa1252,56
Tesuque,,tesu1245,20
Birhor,Austroasiatic,birh1242,28
Sikaiana,Austronesian,sika1261,60
Iloko,Austronesian,ilok1237,60
Malacca-Batavia Portuguese Creole,Indo-European,mala1533,60
Panamint,Uto-Aztecan,pana1305,60
Dhuwal,Pama-Nyungan,dhuw1249,60
Fang (Equatorial Guinea),Atlantic-Congo,fang1246,60
Woods Cree,Algic,wood1236,28
Cimbala-Cizali,Atlantic-Congo,sans1272,56
Arosi,Austronesian,aros1241,25
Javanese,Austronesian,java1254,60
Cahuilla,Uto-Aztecan,cahu1264,49
Mele-Fila,Austronesian,mele1250,60
Warlmanpa,Pama-Nyungan,warl1255,36
Western Low Navarrese,,west1508,60
Konawe,Austronesian,kona1243,28
Fore,Nuclear Trans New Guinea,fore1270,28
Russian,Indo-European,russ1263,60
Omaha-Ponca,,omah1247,28
Bena (Tanzania),Atlantic-Congo,bena1262,50
Dhuwal-Dhuwala,Pama-Nyungan,dhuw1248,52
Creek,,cree1270,28
Northern Emberá,,nort2972,60
Avava,Austronesian,katb1237,44
Maguindanao,Austronesian,magu1243,58
Northern Tepehuan,Uto-Aztecan,nort2959,18
Padoe,Austronesian,pado1242,28
Slaveyic,,hare1243,28
Tigak,Austronesian,tiga1245,12
Muna,Austronesian,muna1247,60
Igbo,Atlantic-Congo,nucl1417,34
Pendau,Austronesian,pend1242,60
Shoshoni,Uto-Aztecan,shos1248,24
Toda,Dravidian,toda1252,60
I'saka,Sko,kris1246,28
Atsugewi,,atsu1245,28
Fe'fe',Atlantic-Congo,fefe1239,40
Digo,Atlantic-Congo,digo1243,60
Äiwoo,Austronesian,ayiw1239,60
Southwestern Alaya-Athima,Pama-Nyungan,kunj1248,24
Kawi,Austronesian,kawi1241,32
Motu,Austronesian,motu1246,28
Tasiko,Austronesian,tasi1237,52
Bali (Democratic Republic of Congo),Atlantic-Congo,bali1274,6
Maquiritari,Cariban,maqu1238,56
Mota,Austronesian,mota1237,44
Zinza,Atlantic-Congo,zinz1238,28
Numbami,Austronesian,numb1247,60
Mwotlap,Austronesian,motl1237,60
Eastern Bolivian Guaraní,Tupian,east2555,60
Northern Mansi,Uralic,mans1258,60
Waropen,Austronesian,waro1242,34
Tetum,Austronesian,tetu1245,32
Piegan,Algic,pieg1239,28
Meyah,,meya1236,28
Kunzakh,Nakh-Daghestanian,kunz1243,60
